clade_name	NCBI_tax_id	CA01	CA02	CA03	CA04	CA05	CA06	CA08	CA12	CA13	CA14	CA15	CA16	CA17	CA18	CA19	CA20	CA21	CA22	CA23	CA24	CA25	CA26	CA27	CA28	CA29	CA30	CA31	CA32	CA33	CA34	CA35	CA36	CA37	CA38	CA39	CA40	CA41
s__Eubacterium_hallii	0	0.56118	4.52038	0.03272	0.5527	0.48308	4.34017	0.31325	0.78262	0.09501	0.06598	0.17531	0.16242	1.50518	0.95366	0.40835	0.22087	0.0	1.47562	0.51013	0.04519	1.08991	0.0	0.207	2.5481	0.05064	0.35445	0.0	0.94249	1.35048	4.15917	0.15473	0.08425	0.0	0.0	0.81311	2.22639	0.28332
s__Fusicatenibacter_saccharivorans	0	0.37739	2.56182	0.26403	1.04123	1.90069	0.11785	0.26894	1.38139	0.44847	0.64226	0.25255	2.43208	1.96793	0.31927	0.0	0.92959	0.0	0.39334	2.23696	3.79857	1.09877	0.0	0.3114	1.11729	0.20997	0.67865	0.0	1.45563	0.12221	4.19089	1.65247	1.12864	11.29797	1.90846	1.04531	1.27009	1.46416
s__Absiella_dolichum	0	0.36616	0.05637	0.0	0.0	0.0	0.21708	0.0	0.0	0.0	0.0	0.23095	0.0	0.0	0.0	0.11136	0.00512	1.08797	0.37231	0.0	0.0	0.0	0.0	0.0	0.01943	0.0	0.02371	0.0	0.10742	0.0	0.26892	0.0	0.11746	0.78677	0.0022	0.0	0.0252	0.0
s__Dorea_formicigenerans	0	0.36194	1.03383	0.95142	0.11792	0.0	0.0	0.0	0.97397	0.08707	0.07868	0.0	0.23049	0.43886	0.21203	0.0	0.17494	0.0	0.0	0.80892	0.10585	0.98252	0.0	0.11566	0.78804	0.03152	0.44651	0.0	0.69651	0.07657	0.99563	0.23885	2.19371	0.0	0.0	0.433	2.0766	0.78957
s__Eubacterium_dolichum_CAG_375	0	0.36035	0.05612	0.0	0.0	0.0	0.21224	0.0	0.0	0.0	0.0	0.23497	0.0	0.0	0.0	0.1163	0.01517	1.08611	0.3903	0.0	0.0	0.0	0.0	0.0	0.02065	0.0	0.02903	0.0	0.12883	0.0	0.25229	0.0	0.13376	0.78586	0.00397	0.0	0.02925	0.0
s__Agathobaculum_butyriciproducens	0	0.35628	0.33689	0.01778	0.20011	0.07502	0.0	0.39374	0.33827	0.27141	0.25532	0.12699	1.2467	0.19313	0.02717	0.77433	0.07052	0.0	0.43458	1.26656	0.00499	0.69969	0.10954	0.53071	0.75817	0.00812	0.38355	0.56021	0.02776	0.07739	0.93904	0.2517	0.2553	0.0	0.14798	0.20909	0.82955	2.79433
s__Eubacterium_rectale	0	0.3281	10.73341	2.26772	0.02463	0.25004	1.34472	0.10883	6.53361	0.24421	0.28011	5.01067	0.12729	1.96002	1.12275	0.00339	0.26905	0.00532	19.97444	0.00842	0.59177	14.23811	0.00334	10.49731	10.38555	2.9433	0.97403	0.00177	14.04466	0.04918	9.13449	8.18108	3.09222	0.00865	0.32567	16.32076	28.13096	6.0079
s__Dorea_sp_CAG_317	0	0.26766	0.0087	0.0	0.0	0.03854	0.25318	0.0	0.00796	0.0	0.0	0.0	0.00392	0.0	0.0	0.7077	0.0	0.0	0.14583	0.0	0.00248	0.0	0.02724	0.0	0.00456	0.0	0.0	0.0	0.04301	0.01201	0.0	0.0	0.0	1.0894	0.22389	0.0	0.01947	0.0
s__Escherichia_coli	0	0.22753	0.05189	0.07614	0.0	0.0	0.2251	0.01535	1.49829	0.0	0.0	0.00806	0.55288	0.03053	0.0	1.87576	5.10534	0.72985	0.73632	0.0	0.82215	0.01789	0.01504	0.40678	0.0	0.0	0.02678	2.3521	0.0277	0.0025	0.00697	0.05191	0.01123	0.44626	0.01156	0.0	0.0	0.0
s__Collinsella_intestinalis	0	0.21934	0.0	0.00391	0.00183	0.00344	0.00616	0.0	0.01404	0.1012	0.0671	0.01955	2.69006	0.00791	0.01155	0.01537	0.19243	0.10551	0.01492	0.00693	0.0	0.05381	0.58479	0.05561	0.01768	0.0	0.04777	0.0	0.00085	0.00486	0.00322	0.00658	0.00372	0.0	0.0	0.00304	0.04046	0.07738
