clade_name	NCBI_tax_id	op146_M1	op147_M1	op151_M1	op152_M1	op153_M1	op155_M1	op157_M1	op158_M1	op159_M1	op160_M1	op161_M1	op162_M1	op163_M1	op164_M1	op167_M1	op168_M1	op174_M1	op175_M1	op176_M1	op177_M1
s__Alistipes_finegoldii	0	0.38333	0.00272	0.0366	0.0	0.00085	0.08661	0.23273	0.01516	0.05636	0.0629	14.84146	0.03113	0.03632	0.00458	0.0	1.50356	0.0	0.02488	0.01843	0.02614
s__Slackia_isoflavoniconvertens	0	0.34589	3.34805	0.90295	0.0	0.00114	0.0	1.86169	0.21122	0.00948	0.06838	0.0	0.0	0.03619	0.99604	0.0	0.49876	0.0	0.13074	0.76434	0.28573
s__Blautia_hydrogenotrophica	0	0.30463	0.0	0.02973	0.0	0.0	1.51868	0.0	0.0	0.0	0.0	0.0	0.40592	0.0	0.08718	0.0	0.0	0.0	0.0	0.0	0.0
s__Gordonibacter_pamelaeae	0	0.29214	0.00125	0.06354	0.0075	0.05554	0.88901	0.24645	0.0053	0.05607	0.00655	0.0	1.12768	0.003	0.0	0.4333	0.01812	0.35517	0.0152	0.00059	0.01988
s__Bacteroides_thetaiotaomicron	0	0.27424	0.0	0.3979	0.00892	0.02699	0.0	0.0	0.03094	0.29203	1.61504	0.0	0.08557	0.05343	0.00066	0.0	0.02451	0.39912	0.4321	0.04685	0.0
s__Blautia_hansenii	0	0.26437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00954	0.0	0.0	0.0
s__Eubacterium_ventriosum	0	0.24362	0.12964	0.0	0.01006	0.0	0.0	0.0397	0.0	0.02177	0.0	0.0	0.0	0.0	0.0	0.11773	0.0	0.0	0.0	0.15427	0.0
s__Bacteroides_ovatus	0	0.23812	0.00607	0.0786	0.0	0.0	0.0	0.09172	0.0	0.02632	0.00927	0.0	0.19929	0.0	0.0	0.01825	0.0	0.98354	0.28687	0.0069	0.0
s__Streptococcus_salivarius	0	0.21118	2.62842	0.03625	0.19079	0.10546	0.23306	0.0911	0.0	0.04651	0.0	0.08183	0.33743	0.44495	0.1111	0.0	0.03083	0.15383	0.0	1.22596	0.09813
s__Streptococcus_parasanguinis	0	0.19995	0.88356	0.0	0.85225	0.05138	0.06976	0.0	0.0	0.02732	0.0	0.00855	1.28596	0.05381	0.01162	0.0	0.0	0.03702	0.05817	0.06472	0.02906
s__Flavonifractor_plautii	0	0.16381	0.0	0.09015	0.02343	0.10489	0.0	0.0	0.0	0.0	0.30788	0.80319	0.46419	0.03041	0.00088	0.0452	0.0	0.43644	0.0	0.01594	0.0
s__Parabacteroides_goldsteinii	0	0.14155	0.0	0.0	0.0	0.0	0.0	0.0	0.03332	0.0	0.62102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_pullorum	0	0.13649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eisenbergiella_tayi	0	0.12414	0.0	0.60413	0.0	0.0	0.09046	0.0	0.0	0.0	0.09284	0.30632	0.04304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Odoribacter_splanchnicus	0	0.12291	0.0	0.14601	0.0	0.0	0.0	0.00848	0.01941	0.03028	0.31758	0.0	0.00704	0.1789	0.0	0.0	0.06965	0.0	0.76065	0.05453	0.16573
s__Firmicutes_bacterium_CAG_94	0	0.11691	0.0	0.00641	0.0	0.0	3.02526	0.06026	0.0	1.04016	0.0	0.39588	0.16747	0.04797	0.02726	0.0	0.0	0.00592	0.0	0.0	0.02778
s__Methanobrevibacter_smithii	0	0.10108	0.0	2.27873	0.0	0.0	4.75147	0.0	6.95599	1.39969	3.10233	0.0	0.0	1.4798	0.30216	0.0	3.43234	0.0	2.81325	0.09819	1.06842
s__Bacteroides_stercoris	0	0.09676	0.03054	0.0	0.0	0.0	0.0	0.0	0.00151	0.0	0.23335	0.0	0.0	0.0	0.00112	0.0	0.0	2.2144	0.0	0.15059	0.12477
s__Clostridium_saccharolyticum	0	0.09439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00069	0.0	0.0	0.0	0.0	0.0	0.29069	0.0	0.0	0.0
