clade_name	NCBI_tax_id	op146_M1	op147_M1	op151_M1	op152_M1	op153_M1	op155_M1	op157_M1	op158_M1	op159_M1	op160_M1	op161_M1	op162_M1	op163_M1	op164_M1	op167_M1	op168_M1	op174_M1	op175_M1	op176_M1	op177_M1
s__Oscillibacter_sp_CAG_241	0	0.0	0.03713	0.00138	0.0	0.0	2.93297	0.00156	0.91154	0.22844	0.49322	0.0	0.0	0.02655	0.00763	0.0	0.13926	0.0	0.16805	0.12289	0.0546
s__Bifidobacterium_dentium	0	0.0	0.03649	0.0	0.0	0.0	0.14511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0092	0.12197	0.0	0.10637	0.0	0.0	0.0
s__Streptococcus_anginosus_group	0	0.0	0.02772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00352	0.0	0.0	0.0
s__Actinomyces_sp_HPA0247	0	0.0	0.02507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00281	0.0	0.0	0.01219	0.0	0.0	0.0
s__Adlercreutzia_equolifaciens	0	0.0	0.01787	0.0	0.11449	0.0	0.0111	0.70766	0.00101	0.72412	0.00568	0.0	0.97191	0.03154	0.0	0.0	0.12134	0.43	0.0	0.00871	0.0
s__Lactobacillus_sakei	0	0.0	0.01736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13554	0.0	0.0	0.0
s__Veillonella_dispar	0	0.0	0.01687	0.0	0.02722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0083	0.05301	0.01096	0.0
s__Veillonella_infantium	0	0.0	0.01583	0.0	0.00523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00518	0.0	0.0
s__Leptotrichia_wadei	0	0.0	0.01294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_odontolyticus	0	0.0	0.0119	0.0	0.00749	0.00345	0.00849	0.0	0.0	0.00946	0.0	0.0	0.0	0.0	0.00834	0.0	0.0	0.00026	0.01665	0.00236	0.0
s__Fusobacterium_nucleatum	0	0.0	0.01132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05593	0.0	0.0	0.0	0.0	0.0
s__Enterococcus_faecium	0	0.0	0.01106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.05403	0.0	0.0
s__Streptococcus_mitis	0	0.0	0.01089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Haemophilus_sp_HMSC71H05	0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_83	0	0.0	0.0095	1.83923	0.0	0.0	0.0	0.0	0.16973	0.0	0.111	0.0	0.0	0.00783	0.03652	0.26133	0.25766	0.0	0.00616	0.17569	0.01361
s__Streptococcus_sobrinus	0	0.0	0.00877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00335	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinobaculum_sp_oral_taxon_183	0	0.0	0.00819	0.0	0.0	0.0	0.0027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_paragasseri	0	0.0	0.00803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_massiliensis	0	0.0	0.00561	0.0	0.0	0.0	0.0	0.0	0.0	0.04297	0.0	0.0	0.0	0.07494	0.0	0.0	0.0	0.0	1.02265	0.07372	0.0
s__Bacteroides_eggerthii	0	0.0	0.00549	0.53547	0.0	0.0	0.0	0.0	0.0	0.86472	0.0072	0.0	0.0	0.0	0.02349	0.0	1.46262	0.04643	6.73043	0.09219	0.0
s__Actinomyces_sp_S6_Spd3	0	0.0	0.0052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_oralis	0	0.0	0.00518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_sp_CAG_471	0	0.0	0.00402	0.0	0.00664	0.00884	0.0	0.0	0.0	0.0	0.01293	0.0	0.02065	0.02204	0.0	0.0025	0.0	0.0	0.00448	0.00996	0.0
s__Veillonella_rogosae	0	0.0	0.00343	0.0	0.00307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00976	0.0	0.0
s__Streptococcus_vestibularis	0	0.0	0.00319	0.0	0.0	0.0	0.0669	0.0	0.0	0.0	0.0	0.0	0.0	0.02139	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_sp_HMSC035G02	0	0.0	0.00306	0.0	0.0	0.0	0.00359	0.0	0.0	0.00343	0.0	0.0	0.0	0.0	0.00336	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_sp_CAG_182	0	0.0	0.00225	0.0	0.0	0.0	0.0	0.0	0.0	0.05229	0.03003	0.0	0.0	0.0	0.0	0.0	0.34124	0.0	0.37344	0.0	0.0
s__Mogibacterium_diversum	0	0.0	0.00196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Coprobacillus_cateniformis	0	0.0	0.00159	0.0	0.0	0.0	0.0	0.0	0.0	0.32703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_vaginalis	0	0.0	0.00143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_infantis	0	0.0	0.00132	0.0	0.04498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rothia_dentocariosa	0	0.0	0.00023	0.0	0.02489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phascolarctobacterium_succinatutens	0	0.0	0.0	3.38385	0.60612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87084	0.38609	0.27351	0.43012	0.0	4.3587	0.0	0.0
s__Prevotella_stercorea	0	0.0	0.0	2.96822	0.0	0.0	0.0	0.0	0.0	0.0	0.04502	0.0	0.0	0.0	0.0	0.0	0.8845	0.0	2.24969	0.0	4.77889
s__Alistipes_putredinis	0	0.0	0.0	2.53805	0.05523	0.0	0.03986	2.23328	0.27405	4.29769	1.54523	0.0	1.03522	4.27102	0.0755	0.0	0.0	2.41189	0.04536	2.51845	1.43178
s__Parabacteroides_johnsonii	0	0.0	0.0	0.86547	0.0	0.0	0.0	0.0	0.12051	0.0	1.25116	0.06384	0.0	0.0	0.0	0.0	0.0	0.0	0.80878	0.01955	0.0
s__Acidaminococcus_intestini	0	0.0	0.0	0.5294	0.0	0.0	0.0	0.0	2.27196	0.0	1.1117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Barnesiella_intestinihominis	0	0.0	0.0	0.4934	0.0	0.01634	0.0	0.15296	0.04654	0.05044	0.08915	0.0	0.3447	0.14646	0.01843	0.01449	0.99169	0.0	0.10688	0.0	0.0169
s__Firmicutes_bacterium_CAG_170	0	0.0	0.0	0.44162	0.0	0.0	0.0	0.0	0.01931	0.0	0.07347	0.0	0.0	0.01449	0.01008	0.0	0.0	0.0	0.0	0.018	0.01181
s__Intestinimonas_butyriciproducens	0	0.0	0.0	0.2277	0.0	0.0	0.0	0.0	0.05354	0.0	0.0	0.261	0.0	0.00762	0.0	0.0	0.0	0.0	0.00432	0.0	0.0
s__Catenibacterium_mitsuokai	0	0.0	0.0	0.22598	0.0	0.0	0.0	0.0	1.38165	0.0	0.80998	0.0	0.0	0.0	1.86243	0.0	0.0	0.0	0.0	0.0	0.41441
s__Bacteroides_clarus	0	0.0	0.0	0.2184	0.0	0.0	0.0	0.0	0.0	0.0	0.06879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05105	0.0
s__Desulfovibrio_piger	0	0.0	0.0	0.21653	0.0	0.0	0.0	0.0	0.32972	0.0	1.04088	0.0	0.00047	0.15188	0.02544	0.0	0.0	0.0	0.50712	0.04571	0.0
s__Bacteroides_intestinalis	0	0.0	0.0	0.1683	0.0	0.0	0.0	0.06807	0.0	0.0	0.0	0.0	0.35893	0.0	0.0	0.0	1.58598	0.0	0.0	0.0	0.0
s__Bacteroides_salyersiae	0	0.0	0.0	0.13962	0.0	0.0	0.0	0.0	0.02129	0.0	0.16877	0.0	0.0	0.0	0.0	0.0	0.0	0.13516	0.0	0.0	0.0
s__Odoribacter_laneus	0	0.0	0.0	0.13752	0.0	0.0	0.0	0.0	0.13994	0.0	0.24062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Alistipes_shahii	0	0.0	0.0	0.11411	0.0	0.0	0.0	0.0	0.16938	0.22314	0.65624	0.0	0.02095	0.05505	0.0	0.0	0.07052	0.0	0.25625	0.03211	0.0191
s__Ruminococcus_lactaris	0	0.0	0.0	0.10407	0.0	0.0	0.0	0.58575	0.0	1.04281	0.0	0.0	0.1856	0.0	0.20039	0.0	0.0027	0.0	0.0	0.0	0.51293
s__Bacteroides_plebeius	0	0.0	0.0	0.10328	0.0	0.0	0.0	0.0	0.07399	0.0	0.55336	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	1.1832	0.0	4.14788
s__Paraprevotella_xylaniphila	0	0.0	0.0	0.10246	0.0	0.0	0.0	0.20331	0.01729	0.09283	0.07244	0.0	0.0	0.0097	0.0	0.00379	0.0	0.0	0.32895	0.06402	0.01289
s__Anaerotignum_lactatifermentans	0	0.0	0.0	0.07819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56725	0.16566	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lawsonibacter_asaccharolyticus	0	0.0	0.0	0.05706	0.0	0.0	0.0	0.10033	0.00919	0.13888	0.13086	0.29229	0.07246	0.01814	0.0	0.01648	0.01008	0.02665	0.01268	0.08434	0.00852
s__Butyricimonas_synergistica	0	0.0	0.0	0.03143	0.0	0.0	0.0	0.0	0.0	0.0	0.0156	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_sp_CAG_279	0	0.0	0.0	0.03099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64986	0.0	0.0
s__Parasutterella_excrementihominis	0	0.0	0.0	0.02706	0.01312	0.0	0.0	0.48871	0.06544	0.00537	0.04703	0.0	0.0	0.0	0.0	0.0	0.03234	0.0	0.0	0.0	0.0
s__Clostridium_leptum	0	0.0	0.0	0.02461	0.0	0.0129	0.03343	0.0	0.01189	0.02485	0.00135	0.16343	0.10507	0.02034	0.01198	0.0	0.01733	0.0	0.00117	0.0	0.0
s__Paraprevotella_clara	0	0.0	0.0	0.02461	0.0	0.0	0.0	0.01812	0.0	0.00279	0.00275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03343	0.0
s__Firmicutes_bacterium_CAG_145	0	0.0	0.0	0.01855	0.0	0.0	0.09921	0.03083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sanguibacteroides_justesenii	0	0.0	0.0	0.0126	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01693	0.0	0.0
s__Harryflintia_acetispora	0	0.0	0.0	0.01094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Akkermansia_muciniphila	0	0.0	0.0	0.00944	0.0	0.0	0.0	0.03096	0.02304	1.67568	0.01817	0.0	1.27452	0.17141	0.0	0.00621	0.0	0.0	0.0	0.0	2.2321
s__Eubacterium_sp_CAG_38	0	0.0	0.0	0.00677	0.04278	0.01545	0.0	0.06289	0.0	0.01224	0.0	0.0	0.0	0.0	0.0	0.09709	0.23937	0.06463	0.44581	0.0	0.0
s__Butyricimonas_virosa	0	0.0	0.0	0.00607	0.0	0.0	0.0	0.0	0.0	0.0	0.06041	0.0	0.0	0.03251	0.0	0.0	0.0	0.0	0.33061	0.0	0.0
s__Faecalicoccus_pleomorphus	0	0.0	0.0	0.00467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Holdemania_filiformis	0	0.0	0.0	0.0016	0.0	0.0	0.0	0.0	0.02647	0.0	0.01405	0.0	0.0	0.0	0.0	0.03524	0.00152	0.02071	0.0	0.0	0.03262
s__Holdemanella_biformis	0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.84662	0.0	0.95918	0.0	0.0	0.0	0.28709	0.0	0.04585	0.0	0.26865	0.95793	0.0
s__Escherichia_albertii	0	0.0	0.0	0.0	0.97015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lachnospira_pectinoschiza	0	0.0	0.0	0.0	0.5531	0.08501	0.0	0.0	0.09785	0.02905	0.0	0.0	0.0	0.0	0.05909	0.23566	0.0	0.0	0.0	0.05919	0.2052
s__Bacteroides_fragilis	0	0.0	0.0	0.0	0.21291	0.0	0.0167	0.05233	0.0	0.32913	0.0	0.0	0.00123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21488
s__Turicibacter_sanguinis	0	0.0	0.0	0.0	0.16203	0.31534	0.51403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05919	0.0	0.0	0.01251	0.05901
s__Megamonas_funiformis_CAG_377	0	0.0	0.0	0.0	0.08302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Megamonas_hypermegale	0	0.0	0.0	0.0	0.06025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_sanguinis	0	0.0	0.0	0.0	0.05734	0.0	0.03703	0.0	0.0	0.0	0.0	0.0	0.47269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Gemella_sanguinis	0	0.0	0.0	0.0	0.05683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Aggregatibacter_aphrophilus	0	0.0	0.0	0.0	0.02831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_253	0	0.0	0.0	0.0	0.02802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03128	0.0	0.0	0.0	0.0
s__Megamonas_funiformis	0	0.0	0.0	0.0	0.02122	0.0	0.0	0.0	0.0	0.0	0.0943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Romboutsia_ilealis	0	0.0	0.0	0.0	0.01806	0.0	0.00623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00073	0.0
s__Clostridium_disporicum	0	0.0	0.0	0.0	0.01529	0.0	0.00107	0.0	0.0	0.15243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00118	0.23495
s__Rothia_mucilaginosa	0	0.0	0.0	0.0	0.00691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_spiroforme	0	0.0	0.0	0.0	0.00249	0.01023	0.0	0.0	0.0	0.0	0.0	0.12489	0.0	0.01295	0.0	0.0	0.0	0.00439	0.0	0.0	0.0
s__Lactobacillus_rogosae	0	0.0	0.0	0.0	0.00155	0.00396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00424	0.00768
s__Ruminococcus_bromii	0	0.0	0.0	0.0	0.0	2.6753	5.02643	15.30627	9.6377	10.42078	3.28269	0.0	0.0	23.197	5.35166	0.0	0.0	0.0	2.05111	11.18504	4.54948
s__Megasphaera_sp_MJR8396C	0	0.0	0.0	0.0	0.0	1.45471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_finegoldii	0	0.0	0.0	0.0	0.0	0.06419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39782	0.0	0.25328	0.0
s__Monoglobus_pectinilyticus	0	0.0	0.0	0.0	0.0	0.04099	0.80963	0.0	0.0	0.0	0.0	0.0	0.50144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77985
s__Clostridium_sp_CAG_299	0	0.0	0.0	0.0	0.0	0.01234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_crispatus	0	0.0	0.0	0.0	0.0	0.00701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_galacturonicus	0	0.0	0.0	0.0	0.0	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00297	0.04695
s__Faecalitalea_cylindroides	0	0.0	0.0	0.0	0.0	0.0	6.74113	0.0	0.22382	0.0	0.02348	0.0	0.0	3.33828	0.0261	0.0	0.0	0.0	0.0	0.0	0.0
s__Desulfovibrio_legallii	0	0.0	0.0	0.0	0.0	0.0	0.62708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcaceae_bacterium_D5	0	0.0	0.0	0.0	0.0	0.0	0.09083	0.0	0.0	0.0	0.0	0.02908	0.0	0.0	0.0	0.0	0.0163	0.0	0.0	0.0	0.01823
s__Cloacibacillus_porcorum	0	0.0	0.0	0.0	0.0	0.0	0.08975	0.0	0.13116	0.0	0.01526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Catabacter_hongkongensis	0	0.0	0.0	0.0	0.0	0.0	0.06461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_D5	0	0.0	0.0	0.0	0.0	0.0	0.04094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_callanderi	0	0.0	0.0	0.0	0.0	0.0	0.03668	0.0	0.00602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lachnoclostridium_sp_An76	0	0.0	0.0	0.0	0.0	0.0	0.03509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_graevenitzii	0	0.0	0.0	0.0	0.0	0.0	0.02259	0.0	0.0	0.0	0.0	0.0	0.09519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_massiliensis	0	0.0	0.0	0.0	0.0	0.0	0.01636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_delbrueckii	0	0.0	0.0	0.0	0.0	0.0	0.01303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00148	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_sp_oral_taxon_448	0	0.0	0.0	0.0	0.0	0.0	0.01079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Anaerostipes_caccae	0	0.0	0.0	0.0	0.0	0.0	0.00957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_naeslundii	0	0.0	0.0	0.0	0.0	0.0	0.00409	0.0	0.0	0.00834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036	0.0	0.0	0.0
s__Lachnoclostridium_sp_An118	0	0.0	0.0	0.0	0.0	0.0	0.00374	0.0	0.0	0.0	0.0	0.0	0.0669	0.0	0.0	0.0	0.0	0.14319	0.0	0.0	0.0
s__Clostridium_hylemonae	0	0.0	0.0	0.0	0.0	0.0	0.00131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Faecalicatena_orotica	0	0.0	0.0	0.0	0.0	0.0	0.00118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_pectinophilus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.47827	0.0	0.0061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_167	0	0.0	0.0	0.0	0.0	0.0	0.0	0.41371	0.05943	0.0	0.00105	0.0	0.0	0.0	0.0	0.02545	0.23338	0.0	0.0	0.10106	0.0
s__Firmicutes_bacterium_CAG_110	0	0.0	0.0	0.0	0.0	0.0	0.0	0.40736	0.22396	0.42791	0.45898	0.0	0.0	0.11266	0.0	0.0	0.00343	0.0	0.02313	0.06009	0.65581
s__Eubacterium_sp_CAG_251	0	0.0	0.0	0.0	0.0	0.0	0.0	0.39146	0.0	0.0	0.0	0.0	0.0	0.0	1.12453	0.0	0.00516	0.0	0.0	4.298	0.33306
s__Bacteroides_faecis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.38094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66193
s__Clostridium_sp_CAG_411	0	0.0	0.0	0.0	0.0	0.0	0.0	0.18108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Proteobacteria_bacterium_CAG_139	0	0.0	0.0	0.0	0.0	0.0	0.0	0.11765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_callidus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.05191	0.00099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02636	0.03675
s__Atopobium_deltae	0	0.0	0.0	0.0	0.0	0.0	0.0	0.02241	0.0	0.0	0.0	0.0	0.0	0.02312	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Alistipes_onderdonkii	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00808	0.0
s__Turicimonas_muris	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_413	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.17795	0.0	3.98519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Oscillibacter_sp_57_20	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11687	0.07823	0.6972	0.0	0.0	0.0	0.01738	0.0	0.79129	0.0	0.12005	0.57403	0.40407
s__Methanosphaera_stadtmanae	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18443	0.0	0.05397	0.0	0.0	0.0	0.05597	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_sp_CAG_1124	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18202	0.0	1.42709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Alistipes_indistinctus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15392	0.08627	0.44036	0.0	0.0	0.15489	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Butyrivibrio_crossotus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14166	0.01228	0.41383	0.0	0.0	0.0	0.0	0.0	1.54053	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_58	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04895	0.0	0.0882	0.0	0.0	0.07265	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_95	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04873	0.0	0.08636	0.0	0.0	0.21715	0.0	0.0	0.04634	0.0	0.03381	0.01057	1.16733
s__Prevotella_sp_CAG_520	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03153	0.0	0.74703	0.0	0.0	0.0	0.00372	0.0	0.0	0.0	0.00796	0.0	0.0
s__Succinatimonas_hippei	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01787	0.0	0.03374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_sp_CAG_309	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00606	0.00729	0.01935	0.0	0.0	0.01017	0.0	0.0	0.01161	0.0	0.0	0.00803	0.08776
s__Atopobium_vaginae	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Leuconostoc_pseudomesenteroides	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_242	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02237	0.0	0.0	0.1703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00887
s__Bacteroides_sp_CAG_462	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93071
s__Firmicutes_bacterium_CAG_238	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17982	0.00898	0.07867
s__Oxalobacter_formigenes	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phascolarctobacterium_sp_CAG_266	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05389	0.0
s__Butyrivibrio_sp_CAG_318	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10164	0.0	0.0	0.0	0.0	0.00783	0.0	0.0	0.0	0.0	0.0	0.0
