clade_name	NCBI_tax_id	SAMEA4031752	SAMEA4031753	SAMEA4031754	SAMEA4031755	SAMEA4031756	SAMEA4031758	SAMEA4031759	SAMEA4031760	SAMEA4031761	SAMEA4031762	SAMEA4031763	SAMEA4031764	SAMEA4031765	SAMEA4031766	SAMEA4031767	SAMEA4031768	SAMEA4031769	SAMEA4031770	SAMEA4031771	SAMEA4031772	SAMEA4031773	SAMEA4031774	SAMEA4031775
s__Prevotella_pleuritidis	0	0.17008	0.08755	0.02837	0.30823	0.02218	0.01384	0.01387	0.34296	2.4039	0.43038	0.2186	0.37154	0.24859	0.04178	0.05999	0.072	0.02949	0.41678	0.00986	1.17622	0.05435	0.00545	0.02877
s__Tannerella_sp_oral_taxon_HOT_286	0	0.16373	0.27762	0.18289	0.72251	0.04254	0.06092	0.13681	0.00698	0.0	0.10725	0.30116	0.00507	0.0	0.02937	0.0946	0.48658	0.20702	0.22381	0.95922	0.47066	0.13807	0.04623	0.92456
s__Veillonella_rogosae	0	0.16254	0.03327	0.08245	0.0	0.02562	0.0056	0.14804	0.01747	0.0	0.0	0.0	0.04895	0.0	0.0	0.02336	0.09145	0.0	0.01669	0.08021	0.0	0.7947	0.00345	0.01048
s__Prevotella_sp_oral_taxon_473	0	0.15264	0.59787	0.66833	0.20822	0.00102	0.00261	0.75646	0.65772	0.02803	0.09048	0.13083	0.02393	0.01407	0.07575	0.2285	0.04605	0.46716	0.41361	0.01469	1.53952	0.00598	0.00311	0.12784
s__Streptococcus_gordonii	0	0.15056	0.66766	0.04055	0.1802	0.41467	0.67296	0.1012	0.11702	0.0	1.67288	0.09346	0.0	0.02876	0.18799	0.46341	0.23712	0.0	0.14438	0.07084	0.24408	0.07957	0.16945	0.20064
s__Veillonella_tobetsuensis	0	0.13847	0.28324	0.411	0.35333	0.0	0.58877	0.00976	0.06733	0.0	0.0	0.86707	0.00874	0.0	0.19562	0.0	3.27227	0.01107	0.21732	0.0848	0.0	0.47108	0.00611	0.26047
s__Leptotrichia_hofstadii	0	0.12865	0.23171	0.25316	0.09388	0.03695	0.03113	0.04198	0.13683	0.13655	0.17211	0.32724	0.17833	0.00738	0.48781	0.18242	0.95474	0.29977	0.59569	0.26036	0.16301	0.10653	0.12999	0.12718
s__Neisseria_elongata	0	0.12646	0.08843	1.81119	0.15416	0.26392	0.02046	0.98155	0.05119	0.01034	0.19595	0.58484	0.05196	0.0	0.19022	0.24274	0.35456	1.42145	1.38371	0.23811	0.18455	0.29002	0.01986	0.53679
s__Fusobacterium_nucleatum	0	0.12643	0.44927	0.43749	1.61064	0.139	0.10248	0.26838	0.47648	0.5927	0.99434	0.76586	0.22181	0.19194	0.82509	0.42017	0.29962	1.18856	0.87658	1.29262	1.49238	0.4192	0.34279	0.35357
s__Campylobacter_showae	0	0.1215	0.10524	0.98338	0.13802	0.06417	0.0158	0.23984	0.18079	0.03602	0.38782	0.19658	0.04192	0.03681	0.13983	0.08342	0.62365	0.3641	0.20639	0.52342	0.19823	0.08759	0.01515	0.30449
s__Streptococcus_pseudopneumoniae	0	0.11196	0.13009	0.10538	0.06618	0.02717	0.01797	0.15511	0.6791	0.0	0.0	0.0	0.04683	0.37825	0.19229	0.09378	0.0534	0.0	0.0	0.0	0.00715	0.0547	0.07336	0.62448
s__Granulicatella_adiacens	0	0.10993	0.16961	0.04334	0.12595	0.06948	0.06375	0.01315	0.05654	0.02807	0.28474	0.16439	0.05807	0.00471	0.07706	0.08207	0.20165	0.28097	0.17311	0.24644	0.04423	0.03078	0.01738	0.05114
s__Tannerella_forsythia	0	0.10666	0.05188	0.19644	0.3647	0.20712	0.00093	0.23111	0.35621	0.6412	0.52867	0.13371	0.14877	0.1318	0.76503	0.08678	0.08002	1.26668	0.17984	0.79599	0.41701	0.07387	0.10188	0.09284
s__Veillonella_sp_T11011_6	0	0.09709	0.41835	0.00167	1.05612	2.236	2.81729	0.13095	0.26489	0.09584	0.58444	0.3122	0.55076	1.29145	0.07462	1.02114	0.09721	0.0	0.0484	0.0257	0.82257	1.18767	1.41501	1.05394
s__Abiotrophia_sp_HMSC24B09	0	0.09568	0.18771	0.91065	0.06665	0.04635	0.06821	0.01405	0.0627	0.0	0.16462	0.05184	0.08006	0.0	0.0	0.07671	0.37976	0.0	0.0	0.02557	0.02524	0.0	0.00051	0.0611
s__Streptococcus_sp_F0442	0	0.08805	0.00933	0.0	0.02537	0.00843	0.02393	0.00335	0.0	0.0	0.20624	0.05013	0.08006	0.01227	0.05884	0.00609	0.20774	0.07888	0.05877	0.059	0.06078	0.03081	0.08715	0.00731
s__Actinomyces_odontolyticus	0	0.08412	0.40254	0.17549	0.39254	0.43644	0.38445	0.10154	0.06814	0.03416	0.0	0.06696	0.0	0.0357	0.00906	0.04085	0.61568	0.98801	0.87391	0.79621	0.15068	0.69764	0.29981	0.25083
s__Prevotella_denticola	0	0.07584	0.14509	0.18211	0.28032	0.01393	0.01681	0.11063	2.82774	0.03734	0.28806	0.0227	0.16946	0.5083	0.01986	0.24443	0.23513	0.19896	0.56483	4.64813	1.29	0.06211	0.18197	0.10543
s__Oribacterium_sinus	0	0.07248	0.22017	0.01666	0.18425	0.13488	0.07562	0.03769	0.06557	0.05396	0.29895	0.13323	0.10271	0.03091	0.13529	0.22807	0.34515	0.16794	0.06439	0.13908	0.25575	0.40242	0.02654	0.23344
s__Prevotella_sp_F0091	0	0.07244	0.25694	0.13245	0.39753	0.11003	0.07936	0.16174	0.81801	0.37114	0.16959	0.17285	0.18935	0.28502	0.28973	1.76705	0.05932	0.12625	0.29656	0.74572	0.72292	0.03526	0.04037	0.12282
s__Eubacterium_nodatum	0	0.0684	0.00801	0.17352	0.15955	0.01452	0.0	0.13616	0.64396	0.36166	0.01339	0.03706	0.0	0.02008	0.12104	0.0869	0.11571	0.00986	0.05728	0.03544	0.0991	0.05212	0.03132	0.18897
s__Aggregatibacter_aphrophilus	0	0.06788	0.10917	0.31242	0.09008	0.0	0.0	0.0	0.0	0.0	0.0	0.00306	0.03955	0.0	0.0	0.0	0.0758	0.45492	0.0	0.07825	0.0	0.01022	0.00326	0.0
s__Rothia_dentocariosa	0	0.06719	1.46029	0.0	0.05117	0.83863	0.30774	0.849	2.34876	1.83554	0.37382	0.31572	0.87674	0.70823	0.6922	0.34045	1.04016	0.07509	1.95516	0.49115	0.1447	0.70959	1.57114	0.0899
s__Simonsiella_muelleri	0	0.0659	0.00719	0.02427	0.0	0.0	0.00585	0.1091	0.0	0.0	0.0	0.0	0.03079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_sinensis	0	0.06533	0.0159	0.0	0.0	0.00105	0.0	0.0	0.0	0.0	0.03242	0.03552	0.0	0.0	0.0	0.00516	0.00108	0.0	0.05986	0.02221	0.01022	0.0	0.0	0.03831
s__Leptotrichia_sp_oral_taxon_225	0	0.06158	0.1108	0.16575	0.0212	0.01238	0.01369	0.00527	0.01202	0.0	0.08128	0.11807	0.02644	0.0	0.24872	0.05171	0.1756	0.1352	0.18551	0.10228	0.04339	0.03717	0.03867	0.04014
s__Alloprevotella_tannerae	0	0.05732	0.39707	0.47425	1.57705	0.02275	0.00422	0.4511	1.07378	0.30253	0.42004	0.97047	0.1633	0.45855	0.19086	0.556	0.3951	1.13873	0.63843	2.47112	2.3201	0.04544	0.08636	0.5622
s__Neisseria_sp_HMSC064E01	0	0.0557	0.00282	0.20411	0.02278	0.0	0.0	0.05655	0.0	0.0	0.02527	0.19519	0.04931	0.0	0.03643	0.0	0.01526	0.09228	0.0	0.04681	0.0	0.0	0.01012	0.0324
s__Actinomyces_oris	0	0.05487	0.14712	0.01513	0.00796	0.03886	0.11364	0.21075	0.04696	0.01024	0.0	0.0	0.00487	0.03797	0.0	0.0	0.02308	0.15858	0.30017	0.65799	0.13854	0.12794	0.05085	0.0573
s__Capnocytophaga_ochracea	0	0.05413	0.04118	0.1243	0.22617	0.03191	0.02978	0.11483	0.01382	0.35006	0.07854	0.0869	0.06155	0.0391	0.11214	0.03222	0.11783	0.21225	0.3063	0.48465	0.16465	0.06328	0.02151	0.23547
s__Capnocytophaga_sp_oral_taxon_332	0	0.05344	0.2963	0.14078	0.06372	0.05264	0.00118	0.6754	0.0	0.0	1.10255	0.04849	0.03008	0.0028	0.0492	0.27074	0.00885	0.09753	0.0975	0.0	0.02752	0.00887	0.01614	0.12219
s__Streptococcus_sp_A12	0	0.05166	0.04149	0.0144	0.02113	0.02123	0.01102	0.04432	0.0	0.0	0.0	0.03085	0.0	0.0	0.17451	0.0	0.00561	0.0	0.02986	0.0	0.0	0.07356	0.00846	0.13317
s__Haemophilus_influenzae	0	0.05086	0.00725	0.17027	0.03415	0.56098	0.11544	0.12676	0.0	0.0	0.48543	0.01894	0.29862	2.17554	0.0	0.02888	0.11694	0.0	0.0	0.0	0.0	0.0	0.00591	0.00764
s__Eikenella_corrodens	0	0.05043	0.07827	0.06489	0.02757	0.03652	0.01135	0.07686	0.0	0.0	0.0	0.00917	0.0	0.0	0.0	0.01115	0.02055	0.0	0.01876	0.0	0.04457	0.09113	0.00445	0.06565
s__Actinomyces_graevenitzii	0	0.04756	0.03377	0.0	0.18533	2.22863	0.78505	0.03144	0.05062	0.0	0.02957	0.46961	0.02526	0.83218	0.12214	0.15079	0.10527	0.19032	0.34487	0.14392	0.13096	0.15288	0.90418	0.38292
s__Prevotella_oris	0	0.04697	0.23765	0.1489	0.45013	0.01739	0.11946	0.16889	0.85977	0.23779	0.82969	0.09769	0.03871	0.14964	0.01037	0.41744	0.18031	0.06582	0.5464	0.80059	0.43803	0.08956	0.44749	0.08018
s__Abiotrophia_defectiva	0	0.04557	0.17304	0.3874	0.04869	0.03658	0.08588	0.0	0.02532	0.0	0.20236	0.0654	0.00845	0.0	0.0	0.16343	0.23473	0.00849	0.0	0.03802	0.03124	0.0	0.0	0.05657
s__Desulfomicrobium_orale	0	0.03979	0.01632	0.0	0.0	0.0	0.0	0.14655	0.0	0.0	0.0	0.0	0.0	0.00353	0.06605	0.0	0.01994	0.0	0.09463	0.13461	0.08698	0.02558	0.0	0.01726
s__Streptococcus_milleri	0	0.03935	0.0141	0.0	0.0	0.00434	0.0	0.0	0.0	0.0	0.10604	0.0	0.0	0.0	0.06548	0.07752	0.02751	0.0	0.04432	0.0637	0.15348	0.01231	0.0041	0.02873
s__Streptococcus_sp_oral_taxon_058	0	0.03816	0.09738	0.08997	0.0	0.00268	0.0455	0.00929	0.05501	0.0	0.07952	0.02695	0.05968	0.01794	0.0573	0.0239	0.13605	0.0581	0.22798	0.0	0.06384	0.00253	0.01011	0.06713
s__Corynebacterium_durum	0	0.03716	0.1421	0.0	0.0103	0.02727	0.00673	0.18631	0.04631	0.0	0.0	0.05234	0.0	0.0	0.05279	0.0	0.08129	0.13256	0.45898	0.71674	0.02216	0.15107	0.03305	0.02546
s__Anaeroglobus_geminatus	0	0.03583	0.00553	0.04573	0.03127	0.0	0.00402	0.01769	0.16573	0.09986	0.0	0.0	0.0	0.00857	0.04737	0.14959	0.06422	0.0	0.02109	0.63393	0.11096	0.00597	0.01544	0.07412
