clade_name	NCBI_tax_id	H1F413846	H1F512951	H1F513817	H1F513818	H1F613739	H1M213648	H1M313811	H1M412743	H1M412809	H1M412832	H1M412835	H1M412837	H1M412844	H1M412949	H1M413802	H1M413815	H1M413822	H1M413827	H1M414905	H1M511833	H1M511841	H1M511842	H1M512808	H1M512821	H1M512831	H1M512834	H1M512836	H1M512840	H1M512853	H1M512854	H1M512855	H1M513606	H1M513729	H1M513730	H1M513738	H1M513747	H1M513803	H1M513804	H1M513807	H1M513810	H1M513813	H1M513816	H1M513819	H1M513820	H1M513823	H1M513826	H1M513828	H1M513852	H1M513912	H1M514901	H1M5XX814	H1M612950	H1M613745	H1M613824	H1M613825	H2F413935	H2F514910	H2F514923	H2M411920	H2M413913	H2M413915	H2M413924	H2M414102	H2M414926	H2M414927	H2M414931	H2M414940	H2M415914	H2M511919	H2M513933	H2M513934	H2M513936	H2M513937	H2M513938	H2M513939	H2M514107	H2M514108	H2M514818	H2M514841	H2M514901	H2M514903	H2M514905	H2M514906	H2M514909	H2M514911	H2M514917	H2M514925	H2M514930	H2M514943	H2M515822	H2M515921	H2M614742	H2M614832	H2M614904	H2M614929	H2M615912	H2MX14816	H2MX14928	H3F416103	H3F516111	H3M414933	H3M415117	H3M415131	H3M415140	H3M415852	H3M415906	H3M416124	H3M416127	H3M419939	H3M420126	H3M513141	H3M514142	H3M514143	H3M514144	H3M515101	H3M515107	H3M515123	H3M515128	H3M515130	H3M515137	H3M515138	H3M515902	H3M515910	H3M515915	H3M515920	H3M515935	H3M515936	H3M515950	H3M516105	H3M516113	H3M516114	H3M516118	H3M516129	H3M516154	H3M516751	H3M516804	H3M516845	H3M516909	H3M517134	H3M517921	H3M517922	H3M517925	H3M518108	H3M518112	H3M518116	H3M615132	H3M615747	H3M615846	H3M616753	H3M616848	H3M617849	H3MX16919	nHF409542	nHF411719	nHF411741	nHF511704	nHF512818	nHF512829	nHF611623	nHF611710	nHF612722	nHM410714	nHM410727	nHM410833	nHM411801	nHM412703	nHM412716	nHM412839	nHM412840	nHM412844	nHM510732	nHM510737	nHM510831	nHM511615	nHM511712	nHM511717	nHM511720	nHM511730	nHM511735	nHM511738	nHM511813	nHM511821	nHM511825	nHM512705	nHM512802	nHM512806	nHM512811	nHM512828	nHM512834	nHM611708	nHM612607	nHM612709	nHM612724	nHM612743	nHM612836	nHMX11726
s__Lachnospira_pectinoschiza	0	0.01735	0.0	0.43521	0.08206	0.0	0.0	0.0	0.0	0.03091	0.28283	0.29324	0.0	0.07027	4.55207	0.02336	0.02393	2.42609	0.0	7.78952	0.0	1.14454	0.01277	0.00379	0.0	0.15745	0.10121	0.0	0.0	0.0	0.03078	0.02067	0.0	0.0	0.01565	0.95214	0.05786	0.32547	0.05895	0.0	0.20395	0.0	0.01097	1.17331	0.0	0.0	0.03662	0.08724	0.0	0.20738	0.0	0.0	0.0	0.0	0.0	0.21676	0.0	0.01872	0.0	0.0	0.0	0.0	0.0265	0.0	0.0	0.0	1.48136	0.0	0.0	0.6078	0.50963	0.0	0.43144	0.01237	0.06987	0.06312	0.0	0.00657	0.0	0.0	0.17796	0.26103	0.0	0.04319	0.0	0.0	0.0	0.24261	0.0	0.0	0.0	0.0	0.78922	0.00684	0.64433	0.0	0.0	0.10091	0.0	0.0	0.0	0.0	0.0	0.05156	0.11503	0.01394	0.00216	0.01366	0.0	0.17175	0.00498	0.0	0.0	0.00687	0.0	0.0	0.0	0.01872	0.17316	0.07189	0.0	0.00863	0.0	0.0	0.10525	0.0	0.00029	0.10398	0.0	0.0	0.0	0.0	0.0	0.04722	1.86366	0.10646	0.9384	0.0	0.0	0.55977	0.00203	0.0	0.60852	0.03294	0.0	0.4785	0.08976	0.00433	1.23726	0.01411	0.0	0.00556	0.07918	0.01168	0.0	0.0	0.0	0.0	0.0	0.0	0.09853	0.0	0.01012	0.02805	0.24311	0.72688	0.06189	0.01201	0.0	0.53537	1.54271	0.0	0.03666	0.0	1.2836	0.0	0.0	0.0	0.0	0.0	0.0	0.17004	0.89498	12.85462	0.00135	0.07527	0.0	0.0	0.01285	0.28332	0.0	0.0	0.0	0.0	0.01262	0.0206	0.0
s__Coprococcus_catus	0	0.01691	0.0004	0.01729	0.0109	0.01898	0.0	0.00151	0.00089	0.0	0.0	0.0	0.00328	0.00079	0.0	0.0	0.01279	0.0	0.00272	0.1233	0.0	0.0149	0.0	0.0	0.00684	0.06305	0.0	0.00892	0.11519	0.0	0.0	0.0	0.0	0.01812	0.00507	0.0	0.0	0.02662	0.03034	0.13431	0.0	0.0	0.07126	0.03528	0.03713	0.0	0.00479	0.0	0.00026	0.02272	0.00148	0.0	0.0	0.0	0.0	0.00877	0.00033	0.01523	0.0	0.00118	0.00156	0.11605	0.00056	0.0	0.0	0.0	0.0	0.00147	0.00431	0.19039	0.04809	0.01548	0.00117	0.08185	0.22091	0.0	0.0	0.0	0.03186	0.01434	0.0025	0.06817	0.0	0.0	0.04235	0.0	0.15844	0.0	0.0	0.0	0.0	0.0	0.05531	0.01191	0.67059	0.28713	0.0	0.02146	0.0	0.01954	0.0	0.0	0.0	0.00707	0.01239	0.0	0.00451	0.0	0.0	0.00611	0.0	0.0	0.0	0.0	0.00102	0.00862	0.0	0.04445	0.00535	0.0	0.01717	0.01028	0.01797	0.0	0.03851	0.0042	0.01382	0.00256	0.03082	0.00266	0.0	0.00875	0.01576	0.22515	0.0126	0.0	0.0	0.00992	0.0	0.0	0.01733	0.0	0.22365	0.03707	0.0	0.0	0.1178	0.06853	0.0	0.02278	0.11919	0.06482	0.05745	0.0	0.0	0.00977	0.0	0.0	0.0	0.045	0.01956	0.0	0.00332	0.02014	0.00144	0.0	0.03166	0.0	0.0	0.0	0.03797	0.0	0.00271	0.05714	0.00861	0.00669	0.00099	0.07993	0.0009	0.0	0.01593	0.00424	0.0	0.08827	0.0	0.00925	0.0	0.03527	0.0	0.01294	0.01439	0.00305	0.0	0.04189	0.01796	0.0	0.01848
s__Bacteroides_xylanisolvens	0	0.01284	0.00256	0.11431	0.0	0.20424	0.0	0.0025	0.0	0.0	0.05484	0.02086	0.05324	0.04757	1.43535	0.00539	0.05009	0.0	0.01977	0.29318	0.0	0.21795	0.01696	0.01006	0.00515	0.00671	0.0	0.01158	0.0705	0.02719	0.00493	0.0	0.04162	0.03345	0.09289	0.0	0.0922	0.00357	0.01032	2.02549	0.03101	0.00641	0.16061	0.01717	0.0097	0.0	0.00688	0.0	0.0	0.03176	0.00102	0.00457	0.0	0.0	0.01678	0.04904	0.08826	0.0	0.0	0.06769	0.05383	0.0	0.0	0.01198	0.00468	0.43664	0.00247	0.0	0.0	0.17897	0.18125	0.00295	0.00327	0.00499	0.08655	0.01378	0.04138	0.0	0.00775	1.08847	0.02135	0.09212	0.00611	0.04842	0.00566	0.0	0.06389	0.17052	0.71988	0.0	0.0201	0.0	0.0	0.49019	0.0	0.48603	0.00136	0.0	0.0	0.0018	0.7182	0.00312	10.61121	0.01687	0.01367	0.0	0.0	0.0	0.0	0.00534	0.0022	0.0	0.0	0.00716	0.0	0.019	0.0	0.13669	0.0681	0.90153	0.26427	0.00899	0.02773	0.01239	0.00279	0.0	0.30827	0.0	0.55483	0.0	0.00112	0.02642	0.04966	0.02712	0.41255	0.05207	0.53928	0.05299	0.0	0.00428	0.0	0.00033	0.07064	0.01391	0.0	0.0	0.26182	0.0	0.11578	0.00041	0.00108	0.0	0.00807	0.03422	0.01702	0.00085	0.0	0.0	0.0	0.0	0.06336	0.05242	0.0027	1.16069	0.0	0.0	0.08043	0.13866	0.00153	0.18414	0.85056	0.01335	0.00361	0.0063	0.21592	0.04222	0.01453	0.05671	0.44727	0.01918	0.0	0.03883	0.12027	0.06809	0.00061	0.0	0.15094	0.39986	0.04887	0.07702	0.10618	0.0	0.00815	0.00425	0.20819	0.09231	0.0
s__Eubacterium_rectale	0	0.01099	2.1693	1.37511	1.09324	3.6834	0.0	0.08783	0.7711	0.05293	0.0	0.20544	0.04597	0.0	13.01981	0.3639	0.54205	0.0	0.76997	8.20537	0.0	0.85498	0.00204	0.0927	0.21987	0.32654	0.03249	0.01138	3.25857	0.0	3.90342	0.00384	0.00619	0.08821	1.08461	0.22482	0.44577	0.09978	0.47992	0.20403	0.62712	0.01635	2.5699	0.00211	0.0	0.0118	0.0	0.05016	0.09092	2.76728	0.1599	0.0	0.0	0.06481	0.24133	1.34868	0.1402	0.15975	0.0	1.0586	0.69483	0.30546	0.25766	0.0	0.0	0.0	0.0	0.04703	0.0727	0.07447	2.65146	1.10593	0.29367	0.05788	3.07239	0.0	0.5867	0.00204	0.0	1.06687	0.49846	4.94977	0.0	0.03246	1.14066	0.0	6.80082	0.26778	0.0	0.01462	1.85132	0.0967	0.8101	0.04394	0.04742	16.97725	0.17999	0.0	0.0	1.57122	0.0	0.19605	0.0	0.90775	0.0	0.01013	0.05959	0.02708	0.0	0.57748	0.23556	0.0	0.0	0.06292	0.02586	0.0148	0.11712	1.80354	0.15538	0.00178	2.51034	0.00279	0.06339	0.0	1.15597	0.0	0.0	0.1874	0.0	0.01973	0.01019	0.0	1.3691	1.97692	4.60526	0.49019	0.0	0.54667	0.0	0.9321	0.74832	0.00918	0.00689	0.21558	0.0	1.64013	3.06153	0.35184	1.94271	0.60845	0.8487	0.76163	1.2791	0.0	0.0	0.64179	0.0	0.0	0.0	2.2151	0.93808	0.0285	0.0932	0.14919	0.01741	0.0	1.23702	0.62908	0.01718	0.0	2.19242	0.05343	0.0	0.0	0.00624	0.0	0.31611	0.15404	0.91288	0.01565	0.0046	1.30867	0.0	0.86911	0.04622	0.19763	0.0	4.5808	0.1267	2.14242	0.39205	0.0	0.0	0.00421	0.00311	0.12112	1.01095
s__Klebsiella_quasipneumoniae	0	0.01085	0.0	0.0	0.0	0.73356	0.23612	0.0	0.01287	0.00852	0.42551	0.0	0.14538	0.02697	0.00316	0.0	0.0	0.0	0.0	0.0	1.17504	0.0	10.79479	0.01583	0.28717	0.0	0.0	0.0	0.0	0.0	0.78938	0.0	0.0	0.02839	0.01022	0.02617	0.21205	0.0	0.0	0.02008	0.03311	0.59246	0.14936	0.71081	0.19483	0.05379	0.21785	0.00249	0.0	0.05467	0.0	0.0	0.0	0.0	0.19203	0.10321	2.83567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00631	0.00761	0.0	0.0	0.0	0.0	0.0	0.0	2.43853	0.0	0.0	0.0	0.0	0.0	0.0	0.02398	0.11364	0.0	0.0	0.09383	0.00912	0.18268	0.0	0.0	0.0	1.92362	0.04077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06722	0.00627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24461	0.00779	0.0	0.0	0.017	0.0	0.23687	2.20544	0.01963	0.0	0.5184	0.0	0.0	0.03373	0.36511	0.0	0.0	0.01601	0.0	0.0	1.0342	0.0	0.0	0.02171	0.0	0.24377	0.0	0.0	0.0	0.0	0.95602	0.0	0.0	0.00622	0.07339	0.0	0.0	0.0	0.0	0.11352	0.0	0.00892	0.0	0.21303	0.0166	0.0	0.01108	0.0	0.0	0.0	0.0	0.0	0.0521	0.0	0.07699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58871	0.0	0.0	0.02003	0.01	10.56758	0.0	0.0	0.12772	0.00621	0.0	0.0	0.0	0.02662	0.0	0.20206	0.0184	0.0	0.0	0.0	0.0	0.0	0.0	0.02041	0.01627	0.0
s__Alistipes_onderdonkii	0	0.00931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01282	0.0	0.09071	0.00253	0.0	0.02081	0.0	0.0	0.0	0.0	0.0	0.04913	0.0	0.0	0.0	0.0	0.0	0.0	0.02144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00096	0.0	0.0	0.0	0.00226	0.05219	0.0	0.0	0.38373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00914	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.11551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00216	0.0	0.0	0.0	0.0	0.0	0.0	0.01554	0.0	0.0	0.0	0.01579	0.02115	0.0	0.0	0.0	0.0	0.03202	0.0	0.0	0.16251	0.0	0.0	0.0	0.41815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102	0.05521	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.00365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0684
s__Roseburia_intestinalis	0	0.00786	0.09099	0.21737	0.03067	0.68138	0.11794	0.01926	0.0	0.02531	0.0	0.0	0.02707	0.37834	1.93187	0.0	0.16705	2.55004	0.01661	0.02628	0.00099	0.0	0.01975	0.04537	0.0	0.01284	0.01884	0.10662	0.04893	0.01392	0.02202	0.53949	3.33572	0.06182	0.23897	3.07065	5.04187	0.26923	0.0	0.0	0.03223	0.29494	1.65552	0.63085	0.0	0.0	0.25399	0.09134	0.00611	0.31981	0.0	0.03987	0.0	0.00234	0.00429	1.33041	0.0	0.0011	0.10892	0.29664	2.80472	0.0	0.18724	0.0	0.0	0.0	11.40148	0.0	0.03273	0.51116	1.38259	1.2458	0.70852	0.11054	0.01403	0.0	0.02082	0.06697	0.0	0.3368	2.26753	0.67251	0.0	0.08542	1.16225	0.03419	0.43162	9.49833	0.0	0.01777	0.0	0.14314	6.69012	0.0	0.01757	3.95441	0.00503	0.0	0.04514	0.40557	2.44579	0.03721	0.0	0.21076	0.13362	0.11894	0.04992	0.01812	0.0	0.00662	0.11706	0.0	0.0	0.00291	0.00262	0.0	0.00038	1.24902	0.07437	8.46765	4.13291	0.0135	0.28175	0.0	0.26149	0.32706	0.17283	0.07752	0.0	0.0	0.0	0.0	3.43032	0.0	9.70565	0.0	1.76971	0.57661	0.0	0.42455	0.02629	0.0	0.00585	4.11057	0.0	0.11225	4.76982	0.14874	2.68006	0.02143	0.0	0.01609	1.05522	0.03806	0.0	0.0	0.0	0.49348	0.01976	0.01028	0.28177	0.0	0.03895	0.65756	0.02216	0.1298	1.22036	0.00887	0.01612	0.0	2.24402	0.0	0.00458	0.0	5.28159	0.03084	0.0	0.00742	0.04309	0.04797	0.02728	0.0	2.42247	1.48804	0.00494	0.53023	1.96243	3.48653	0.28195	3.86896	0.29038	4.64914	12.59846	0.0	0.25594	0.55837	1.49605
s__Escherichia_coli	0	0.00717	0.0	0.02881	0.01426	28.24686	3.44448	0.22855	0.06681	0.01164	0.51923	0.12592	0.31915	3.68955	0.09877	0.07801	0.02798	11.36648	0.0143	0.0	0.19687	0.0	2.13888	0.14356	0.04394	0.02685	0.01113	0.0	0.0993	1.99486	24.30988	4.93252	0.65686	0.01071	2.03634	1.00948	0.14167	0.0	0.0	0.12985	0.0	7.3748	1.93748	0.02429	1.08781	0.02894	0.02231	0.14387	0.00295	0.0	0.01384	0.0	0.0	0.00105	0.08579	1.17067	13.12823	0.0	0.3981	1.31045	0.09972	0.08613	0.0	0.39559	25.97904	4.24625	0.0	0.06418	0.00412	5.00518	0.1435	0.00239	1.57104	0.26883	0.27407	1.34007	0.0	0.06361	0.0	1.56243	0.56486	0.0	52.96415	0.90927	0.0	0.19301	1.09722	0.02759	0.0	0.6441	0.08022	0.41293	0.06704	0.59287	0.30341	0.47928	0.0	0.03483	0.50057	1.21383	0.0	0.54949	0.48349	0.0257	0.02499	0.04344	1.29851	0.58983	69.88979	0.50363	0.42116	12.86428	1.48154	0.12843	0.41217	0.17053	1.22742	3.77214	0.04761	6.59212	2.38012	0.01718	0.0141	1.35358	0.04781	0.07722	1.28987	0.04897	0.76349	0.05611	0.26097	8.66127	0.73291	1.93884	10.9428	0.05307	0.50228	8.48476	27.48923	0.20884	0.12373	0.30893	0.0	5.00234	20.72337	1.00951	0.01221	0.07287	0.21917	0.0	2.72982	0.00166	0.0	3.63286	0.09284	0.0	33.72287	0.21143	1.12581	0.0	0.0	0.74073	0.05594	0.45338	2.23222	32.46999	0.60435	0.0	0.03053	0.51711	0.42505	0.5701	0.18706	0.16599	0.0	0.0	0.1819	0.13217	0.03378	0.93262	0.41244	0.10167	17.39813	0.5936	0.04665	0.04368	2.07156	0.04969	2.49999	0.35853	0.03827	0.01658	1.63112	0.0	5.78787	2.52067	0.20653
s__Gordonibacter_pamelaeae	0	0.00371	0.0	0.0	0.0	0.00435	0.0	0.0	0.0	0.0	0.0127	0.0	0.01753	0.0	0.0	0.01379	0.01269	0.08854	0.0	0.0	0.0	0.0	0.00684	0.0	0.00388	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.00408	0.0	0.0	0.0	0.09734	0.0	0.0	0.01243	0.01752	0.00356	0.0	0.00316	0.0	0.0	0.0	0.0	0.00366	0.08572	0.0	0.0	0.07844	0.04974	0.02262	0.07735	0.21092	0.0	0.02102	0.02397	0.0	0.0	0.0	0.02229	0.0005	0.0	0.02455	0.0	0.00455	0.0	0.0	0.10754	0.0	0.0	0.0	0.0	0.00277	0.00237	0.01622	0.00016	0.0	0.0	0.01704	0.23689	0.00019	0.0086	0.0	0.0	0.0	0.0	0.0	0.00506	0.00131	0.0	0.00778	0.0	0.0	0.01233	0.01808	0.00012	0.0	0.05282	0.00854	0.0	0.0	0.0206	0.0	0.04588	0.0	0.0059	0.0	0.0	0.0	0.00718	0.0	0.00351	0.01169	0.04054	0.00468	0.03973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01413	0.0	0.04486	0.03288	0.08791	0.0	0.0	0.00316	0.0	0.04004	0.0	0.0114	0.0	0.12612	0.00167	1.04177	0.0	0.0	0.00023	0.00178	0.0	0.02653	0.03538	0.0	0.03998	0.0	0.0	0.02951	0.08131	0.0	0.3153	0.00825	0.07357	0.02374	0.0	0.00961	0.0	0.16408	0.0	0.01476	0.0	0.0057	0.0	0.0	0.00603	0.01088	0.09469	0.0	0.00361	0.0	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.0	0.04061	0.0	0.0	0.03928	0.0304	0.0	0.0523	0.00972	0.0136	0.0
s__Dorea_formicigenerans	0	0.00217	0.01306	0.02063	0.0006	0.02623	0.02325	0.0	0.0	0.0	0.02106	0.01074	0.0	0.00581	0.01665	0.00163	0.01526	0.0	0.004	0.13067	0.0	0.00752	0.0	0.0	0.00077	0.04949	0.00131	0.01268	0.07509	0.0	0.01342	0.00066	0.0	0.0	0.0	0.02593	0.02744	0.0	0.00116	0.14086	0.00032	0.0	0.09961	0.01879	0.01289	0.0	0.0	0.0	0.0	0.31202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00886	0.05012	0.0	0.0	0.0	0.0	0.03048	0.0	0.0	0.00225	0.03599	0.10756	0.0151	0.0	0.01918	0.12719	0.00228	0.0118	0.0	0.0	0.01717	0.0	0.03029	0.0	0.0	0.02589	0.0	0.02019	0.08402	0.0	0.0	0.03944	0.0	0.00205	0.04323	0.26781	0.11738	0.0	0.0	0.00123	0.01107	0.02777	0.0	0.0	0.00427	0.0	0.0	0.01074	0.0	0.0	0.00391	0.00167	0.0	0.0	0.0	0.0	0.0	0.0	0.00816	0.03011	0.0	0.04036	0.0	0.00167	0.01942	0.01041	0.00812	0.0814	0.01089	0.0	0.0	0.00237	0.0	0.0	0.01194	0.01183	0.00894	0.00764	0.00985	0.0	0.0	0.00534	0.01547	0.08898	0.0	0.0	0.0	0.05158	0.00642	0.0	0.00033	0.05443	0.02067	0.0	0.00449	0.01201	0.00162	0.0	0.01182	0.0	0.01552	0.01775	0.0	0.0	0.02703	0.0	0.0	0.02713	0.0	0.0	0.0	0.06018	0.0	0.00264	0.01311	0.01352	0.0	0.0	0.0	0.0	0.0	0.0	0.00834	0.07109	0.53552	0.0	0.00896	0.0	0.04975	0.0075	0.0	0.0	0.0	0.0	0.00604	0.03199	0.0	0.04632
s__Ruminococcus_torques	0	0.00215	0.01448	0.02136	0.01985	0.00442	0.0	0.00029	0.06228	0.0	0.17922	0.01349	0.00461	0.08264	0.06984	0.01627	0.00888	0.0	0.0468	0.14157	0.00095	0.0364	0.0	0.00839	0.01895	0.03591	0.01269	0.12657	1.23186	0.0	0.02812	0.03526	0.03441	0.0	0.0	0.0	0.10151	0.04399	0.07648	2.59677	0.0439	0.0	0.0384	0.13989	0.29713	0.0	0.00034	0.06846	0.0	0.12576	0.0433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.05574	0.06397	0.0	0.0	0.0	0.00758	0.0	0.0448	0.0164	0.60602	0.25399	0.02265	0.01496	0.11548	0.60016	0.00287	0.0	0.0	0.0	0.0	0.01133	0.01928	0.0	0.0	0.00354	0.00469	0.0	0.8487	0.0	0.0	0.24378	0.0	0.06186	0.05948	0.20202	0.27271	0.0	0.0	0.0	0.0	0.0	0.00026	0.0	0.00777	0.06007	0.16866	0.0894	0.0	0.00263	0.0	0.00253	0.0	0.0	0.0	0.00802	0.0173	0.0	0.01051	0.04749	0.00512	0.02436	0.01598	0.01581	0.0	0.01148	0.00023	0.0083	0.00474	0.0	0.00558	0.0	0.0	0.00567	0.0	0.07243	0.03867	0.10213	0.00859	0.0	0.02202	0.0	0.08919	0.23586	0.04638	0.0	0.0	0.18145	0.03811	0.0	0.0	0.0	0.08416	0.00555	0.0	0.0	0.03129	0.0	0.0	0.0	0.03604	0.00624	0.0	0.0	0.14495	0.04654	0.23036	0.03239	0.0233	0.0063	0.0	0.0	0.0	0.08483	0.1773	0.04435	0.00631	0.00183	0.33054	0.0	0.0	0.02698	0.02277	0.0	1.28114	0.0	0.0	0.21873	0.06853	0.19267	0.03893	0.03816	0.0	0.0	0.0	0.0	0.0	0.18038
s__Oscillibacter_sp_CAG_241	0	0.0021	0.00013	0.00258	0.01681	0.00183	0.0	0.03289	0.0	0.06978	0.0	0.0	0.0	0.0	0.0	0.09237	0.0	0.03426	0.0	0.0	0.00878	0.01347	0.0	0.05015	1.16911	0.0	0.0	0.02837	0.54195	0.0	0.0039	0.0	0.0	0.12529	0.31051	0.0	0.0	0.0	1.91325	0.0	0.00143	0.02333	0.00215	0.00525	0.0	0.0	0.05171	0.0	0.00705	0.0	0.0	1.72364	0.0	0.02263	0.0	0.0	0.0	0.1332	0.0	0.0	0.0	0.0	0.01075	0.0	0.0	0.0	0.0	0.00329	0.01251	0.0	0.0225	0.00299	0.0	0.07506	0.47779	0.0	0.23675	0.06355	0.0	0.01906	2.3422	0.00185	0.0	0.0	0.49757	0.18566	0.0	0.0	0.0	0.0	0.0	0.53009	0.00993	0.00954	0.39662	0.00254	0.03545	0.0	0.0	0.00174	0.0	0.02579	0.0	0.00921	0.0	0.0	0.00344	0.69741	0.0	0.0	0.28108	0.0	0.0	0.03544	0.00461	0.0	0.1441	0.01011	0.02201	0.0	0.17379	0.07277	0.00719	0.0	0.00146	0.0	0.0	0.68359	0.0	0.0	0.14349	0.00583	0.0	0.0	0.0	0.2813	0.0	0.14876	0.0	0.0	0.04228	0.0	0.10771	0.0	0.0	0.0	0.0	0.0	0.0	0.01097	0.01029	0.36987	0.49127	0.0	0.0	0.0	0.00746	0.0	0.0	0.00503	0.13492	0.0	0.4024	0.57184	0.0	0.0	1.09822	0.09792	0.36454	0.0	0.0	0.64227	0.04903	0.0	0.0	0.15162	0.07739	0.0	0.44084	0.10788	0.1404	0.12219	0.0	0.0	0.0	0.00949	0.0	0.02731	0.0	0.01174	0.86002	0.0	0.0	0.92117	0.01191	0.00821	0.0543
s__Gemmiger_formicilis	0	0.00199	0.00481	0.00507	0.52455	0.14379	0.07219	0.032	0.004	0.07402	0.0	0.21781	0.06601	0.00112	0.16517	0.0	0.03152	0.0	0.04202	0.22786	0.00196	0.11734	0.01118	0.00453	0.05226	0.00438	0.01398	0.04063	0.3877	0.0	0.0	0.0	0.0	0.0156	0.10479	0.0	0.0	0.18112	0.49969	0.17373	0.00421	0.00718	0.05977	0.04309	0.06397	0.0	0.03409	0.00768	0.0311	0.06509	0.00206	0.06315	0.0	0.03216	0.01964	0.15355	0.03108	0.33852	0.02345	0.0	0.08175	0.0	0.03957	0.0	0.0	0.0	0.0	0.00157	0.01553	0.0	0.02192	0.16688	0.0418	0.04339	0.28352	0.00192	0.02821	0.157	0.69687	0.00034	0.14686	0.13695	0.0	0.0	0.42778	0.0708	0.04557	0.0	0.20361	0.0276	0.0	0.09808	0.47737	0.12067	0.17181	0.0	0.02417	0.02418	0.00453	0.15142	0.0	0.06057	0.0	0.07689	0.0	0.04021	0.03392	0.05603	0.0	0.04807	0.04177	0.0	0.0	0.05334	0.00146	0.12136	0.01332	0.23057	0.01057	0.0	0.05786	0.1095	0.00335	0.0	0.00363	0.0	0.0	0.01848	0.0	0.02238	0.57068	0.04312	0.02875	0.25542	0.05142	0.01162	0.0	0.00905	0.0	0.45138	0.04529	0.0	0.11539	0.03166	0.0	0.0	0.00794	0.04834	0.0	0.46741	0.1084	0.08142	0.04931	0.00341	0.00545	0.00228	0.0	0.01203	0.0	1.52726	0.03665	0.00576	0.04618	0.03012	0.01199	0.01738	0.10267	0.07017	0.05646	0.0	0.01224	0.05751	0.02	0.19534	1.20929	0.23814	0.038	0.09604	0.36558	0.00392	0.00136	0.05073	0.0	0.0	0.0096	0.0256	0.0	0.0	0.02679	0.278	0.22567	0.0	0.00869	0.84258	0.037	0.05545	0.05108
s__Eisenbergiella_tayi	0	0.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00097	0.0	0.09307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
