clade_name	NCBI_tax_id	FAT_006-22-0-0	FAT_006-22-14-0	FAT_006-22-2-0	FAT_006-22-42-0	FAT_006-22-84-0	FAT_008-22-0-0	FAT_008-22-14-0	FAT_008-22-2-0	FAT_008-22-42-0	FAT_008-22-84-0	FAT_010-22-0-0	FAT_010-22-14-0	FAT_010-22-2-0	FAT_010-22-42-0	FAT_010-22-84-0	FAT_012-22-0-0	FAT_012-22-14-0	FAT_012-22-2-0	FAT_012-22-42-0	FAT_012-22-84-0	FAT_014-22-0-0	FAT_014-22-14-0	FAT_014-22-2-0	FAT_014-22-42-0	FAT_014-22-84-0	FAT_015-22-0-0	FAT_015-22-14-0	FAT_015-22-2-0	FAT_015-22-42-0	FAT_015-22-84-0	FAT_017-22-0-0	FAT_017-22-14-0	FAT_017-22-2-0	FAT_017-22-42-0	FAT_017-22-84-0	FAT_020-22-0-0	FAT_020-22-14-0	FAT_020-22-2-0	FAT_020-22-42-0	FAT_020-22-84-0	FAT_023-22-0-0	FAT_023-22-14-0	FAT_023-22-2-0	FAT_023-22-42-0	FAT_023-22-84-0	FAT_024-22-0-0	FAT_024-22-14-0	FAT_024-22-2-0	FAT_024-22-42-0	FAT_024-22-84-0	FAT_DON_11-22-0-4	FAT_DON_11-22-0-5	FAT_DON_11-22-0-6	FAT_DON_19-22-0-0	FAT_DON_8-22-0-0
s__Alloscardovia_omnicolens	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00368	0.0	0.01613	0.00575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_caccae	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00222	0.00441	0.17305	0.00064	0.10951	0.00244	0.0	0.0	0.05186	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.0	0.0	0.0	0.00131	2.51231	0.93577	0.3381	0.43328	1.25838	0.00108	0.00193	0.07396	0.0	0.43399	0.00127	0.33589	0.63279	0.00816	0.07382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94121	0.03763
s__Scardovia_wiggsiae	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00085	0.00133	0.0	0.00996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_sp_CAG_274	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.01483	0.00025	0.05269	0.0	0.0	0.0	0.0	0.0	0.56466	1.13984	0.14185	0.08858	0.14162	0.20649	0.05658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05884	0.0	0.19722	2.57417	0.46347	0.35556	0.19963	0.45727	0.09426	0.07008	0.13606	0.15254	0.0	0.0	0.0	0.0	0.73891
s__Anaerotruncus_colihominis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02531	0.0102	0.01544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00056	0.00406	0.00555	0.0	0.01312	0.0	0.0	0.0	0.0035	0.0	0.0	0.00792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00133	0.00291	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_299	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01719	0.00584	0.00965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04809	0.0	0.01112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01106	0.03815	0.0	0.03042	0.05902	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_coprocola	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0163	0.86698	0.0	0.63068	0.00802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00192	0.0	0.0	0.0	0.0	0.0	0.0
s__Christensenella_minuta	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00332	0.01466	0.01091	0.0	0.0	0.0	0.00218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00993	0.00185	0.0	0.05376	0.0	0.0	0.00036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02584
s__Clostridium_disporicum	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00247	0.26184	0.00206	0.00227	0.00341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03716	0.0	0.0	0.0
s__Actinomyces_sp_oral_taxon_448	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Turicimonas_muris	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00638	0.0	0.0225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01979	0.01816	0.01827	0.0	0.00089
s__Butyricimonas_synergistica	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02627	0.0	0.04399	0.0	0.0	0.0	0.0	0.0	0.01641	0.01243	0.00458	0.0	0.0	0.00749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Turicibacter_sanguinis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00858	0.0	0.0	0.05425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01274	0.08254	0.00294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01119	0.0	0.0	0.00066
s__Streptococcus_mutans	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_anginosus_group	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0157	0.0	0.0	0.00019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00616	0.0	0.0	0.0
s__Lactobacillus_rogosae	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00352	0.00154	0.01497	0.06214	0.02558	0.11172	0.23627	0.04533	0.01061	0.0129	0.03202	0.0	0.00168	0.03705	0.00428	0.00834	0.0	0.0	0.03768	0.03441	0.05577	0.0	0.00149	0.0	0.00145	0.00764	0.02753	0.01527	0.0	0.0	0.00161	0.0	0.0	0.10732	0.22944	0.0	0.02121	0.01619	0.0	0.00517	0.01315	0.0	0.00167
s__Coprobacter_secundus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0014	0.00791	0.00073	0.0	0.0	0.01292	0.03009	0.0148	0.0	0.0	0.01092	0.00499	0.0	0.0	0.0	0.01386	0.0022	0.00674	0.0	0.01317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcaceae_bacterium_D5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00108	0.0	0.0	0.0	0.0	0.0	0.00283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01646	0.0	0.0	0.0	0.00311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00866
s__Pseudoflavonifractor_capillosus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00144	0.0	0.0	0.00622	0.0	0.0	0.0	0.0	0.00108	0.0	0.0	0.0	0.0	0.0
s__Coprobacter_fastidiosus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00032	0.0	0.00097	0.0061	0.00121	0.0	0.0	0.0	0.08293	0.05501	0.00813	0.0	0.01001	0.0359	0.01352	0.02166	0.00498	0.00466	0.0626	0.01091	0.00604	0.0	0.04286	0.0	0.0	0.0	0.0	0.01109	0.0	0.04834	0.0077	0.00082	0.02345	0.0	0.0	0.0	0.00155	0.01672	0.0	0.00874	0.02666	0.09218	0.0
s__Bifidobacterium_breve	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00608	0.0	0.0	0.0	0.0	0.0
s__Dialister_invisus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00354	0.0	0.0	0.00437	0.0	0.0	0.0	0.0	4.39695	3.59871	1.98932	3.97193	1.2996	0.0	0.00585	0.00065	0.0	0.0	0.0	0.0	0.0	0.0	0.00163	0.0	0.0	0.0	0.0	0.00207	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_galacturonicus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00098	0.02888	0.00794	0.00585	0.05824	0.0	0.11863	0.18951	0.10265	0.0	0.0268	0.13366	0.00413	0.02026	0.0	0.0	0.0	0.00766	0.00283	0.0	0.0	0.0	0.02511	0.0	0.26303	0.04759	0.0	0.0	0.0	0.0	0.0	0.04256	0.07386	0.0	0.0137	0.00871	0.0	0.0715	1.27274	0.0	0.0
