clade_name	NCBI_tax_id	PRJNA231909.3101140	PRJNA231909.3101335	PRJNA231909.3101336	PRJNA231909.3101338	PRJNA231909.3101436	PRJNA231909.3101439	PRJNA231909.3102732	PRJNA231909.3102986	PRJNA231909.3103734	PRJNA231909.3103736	PRJNA231909.3104913	PRJNA231909.3105378	PRJNA231909.3105379	PRJNA231909.3105829	PRJNA231909.3105875	PRJNA231909.3106384	PRJNA231909.3107336	PRJNA231909.3107345	PRJNA231909.3107373	PRJNA231909.3107376	PRJNA231909.3107526	PRJNA231909.3107527	PRJNA231909.3107649	PRJNA231909.3107651	PRJNA231909.3107859	PRJNA231909.3107861	PRJNA231909.3107883	PRJNA231909.3107978	PRJNA231909.3108096	PRJNA231909.3108098	PRJNA231909.3108100	PRJNA231909.3108103	PRJNA231909.3108105	PRJNA231909.3108107	PRJNA231909.3108330	PRJNA231909.3108332	PRJNA231909.3108363	PRJNA231909.3108437	PRJNA231909.3108440	PRJNA231909.3108485	PRJNA231909.3108488	PRJNA231909.3108490	PRJNA231909.3108601	PRJNA231909.3108874	PRJNA231909.3108875	PRJNA231909.3109753	PRJNA231909.3109755	PRJNA231909.3109940	PRJNA231909.3109945	PRJNA231909.3109952	PRJNA231909.3109997	PRJNA231909.3110006	PRJNA231909.3110086	PRJNA231909.3110090	PRJNA231909.3110226	PRJNA231909.3111969	PRJNA231909.3111970	PRJNA231909.3112121	PRJNA231909.3112122	PRJNA231909.3112348	PRJNA231909.3112358	PRJNA231909.3112359	PRJNA231909.3112360	PRJNA231909.3112363	PRJNA231909.3112365	PRJNA231909.3112367	PRJNA231909.3112419	PRJNA231909.3112924	PRJNA231909.3112925	PRJNA231909.3113035	PRJNA231909.3113044	PRJNA231909.3113065	PRJNA231909.3113068	PRJNA231909.3113111	PRJNA231909.3113114	PRJNA231909.3113118	PRJNA231909.3113339	PRJNA231909.3113393	PRJNA231909.3113604	PRJNA231909.3113627	PRJNA231909.3113663	PRJNA231909.3113669	PRJNA231909.3113765	PRJNA231909.3113767	PRJNA231909.3113831	PRJNA231909.3113834	PRJNA231909.3113933	PRJNA231909.3113936	PRJNA231909.3113996	PRJNA231909.3114185	PRJNA231909.3114201	PRJNA231909.3114542	PRJNA231909.3114545	PRJNA231909.3114755	PRJNA231909.3114784	PRJNA231909.3114810	PRJNA231909.3114865	PRJNA231909.3115067	PRJNA231909.3115068	PRJNA231909.3115070	PRJNA231909.3115087	PRJNA231909.3115315	PRJNA231909.3115615	PRJNA231909.3115643	PRJNA231909.3115644	PRJNA231909.3115646	PRJNA231909.3116456	PRJNA231909.3116468	PRJNA231909.3116471	PRJNA231909.3117245	PRJNA231909.3117247	PRJNA231909.3117249	PRJNA231909.3117378	PRJNA231909.3117380	PRJNA231909.3117383	PRJNA231909.3117624	PRJNA231909.3117627	PRJNA231909.3119726	PRJNA231909.3119727	PRJNA231909.3119729
s__Aeriscardovia_aeriphila	0	0.0	0.00227	0.0	0.01176	0.0044	0.00221	0.0	0.0	0.0	0.00251	0.01344	0.00976	0.0	0.0	0.0	0.0	0.0	0.0	0.00288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00516	0.0	0.00378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00446	0.0	0.0	0.0	0.0	0.0	0.0	0.00329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Barnesiella_intestinihominis	0	0.0	0.00199	0.09252	0.85258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1379	0.0	0.0	0.0	0.0	0.0	2.34496	2.26894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.50057	0.0	0.0	0.0	4.81516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.27176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22881	0.0	0.0	0.0	0.02712	1.07552	0.83934	2.04606	1.17373	0.0	0.0	0.0
s__Roseburia_faecis	0	0.0	0.0	5.06892	2.53539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14575	0.0	0.0	0.0	0.0	0.0	1.96726	0.0	0.18368	3.27215	0.0	0.0	0.0	0.00307	0.0	0.0	0.0	0.0	0.0	0.0	10.9473	7.3636	14.89503	2.752	24.90378	0.0	0.0029	0.0	0.0	0.0	0.0	0.0	0.28613	0.8481	0.0296	9.38116	0.0	0.06943	0.0	0.0	4.66232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.11386	0.0	0.0	6.33154	1.45077	0.0	0.16216	0.0	0.0	0.0	0.0	43.32408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.82077	0.95283	3.08364	0.0	0.00141	0.0	0.0	0.0	0.03592	5.29585	0.0	0.0	0.0	0.0	0.0	0.0	10.58714	2.99088	3.11284	0.0	0.0	31.54294	0.0	5.12371	3.40008	0.31374	0.57845	0.0	3.44082	0.0	2.21017	6.92253	2.52089
s__Anaerostipes_hadrus	0	0.0	0.0	3.3284	1.70971	0.0	0.0	2.03526	0.0	0.0	0.00268	0.0	0.0	0.0	0.0	0.59354	0.0	2.54098	0.0	0.0	1.67353	1.43338	1.78345	2.8467	5.46068	1.09464	1.29908	1.30678	7.25039	1.14523	1.70942	3.99019	9.41293	2.63148	2.36881	0.0	3.75581	0.86079	1.96485	1.23895	3.90319	2.11447	0.06839	2.73356	0.01061	2.99024	0.15358	0.12253	0.52651	4.60859	5.46891	1.5342	0.79361	2.19248	3.38956	0.37401	0.6817	1.89465	6.10734	2.89963	0.0	3.20884	3.17061	2.61352	5.67557	3.73481	0.0	2.76443	3.12064	1.67366	0.0	0.94699	2.41124	2.90673	1.70248	3.44518	0.82835	1.68284	4.87099	3.6425	0.0	0.83759	5.71974	1.91126	1.70102	9.36023	3.12227	0.48174	1.7583	2.78653	0.0	1.24198	0.16049	0.00525	3.03644	13.23536	0.9723	2.96651	0.0	0.0	0.0	2.41461	4.68524	2.76352	4.3566	2.22115	3.60527	0.0	1.75304	1.99851	0.79074	2.48933	2.10572	0.25132	0.68779	1.28796	2.51198	0.62904	3.08636	2.66964	3.59302
s__Fusicatenibacter_saccharivorans	0	0.0	0.0	1.96226	2.02209	0.0	0.0	2.19966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52343	0.0	0.0	0.0	0.0	0.85344	2.07436	1.53291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68326	1.14591	0.27587	2.23171	0.0	0.0	0.0	0.0	0.0	0.59184	1.05694	2.48056	7.56111	1.13201	0.61781	0.0	0.52272	3.97095	0.24645	1.0411	0.0	2.06863	0.0	0.0	0.0	0.0	5.74321	0.0	0.0	1.60371	1.72223	1.42966	0.0	0.70899	2.89199	0.08837	0.0	0.0	0.0	1.21584	0.0	1.90556	0.0	0.0	0.0	0.68904	3.16148	0.0	0.0	1.29841	1.22865	0.0	0.0	0.0	0.0	0.0	3.21921	0.0	4.20663	0.03815	0.0	0.0	0.0	2.80142	4.37809	2.00336	0.0	0.0	0.82121	0.0	2.01577	1.30122	0.0	1.55306	0.40379	1.14173	0.55211	0.43834	1.31593	1.082	0.78013	0.00447	0.86236
s__Roseburia_hominis	0	0.0	0.0	0.38123	0.42298	0.0	0.0	0.0	0.0	0.49917	0.0	0.0	0.0	0.0	0.0	0.08633	0.0	12.21584	0.0	0.0	0.86172	0.20442	0.267	0.0	0.0	0.0	0.0	0.0	9.12064	0.03113	0.49059	3.28092	0.0	0.0	1.22662	0.13485	0.01059	0.15141	0.0	0.0	0.0	0.0	0.0	0.72628	0.0	0.0	0.0	0.0	0.06968	0.00306	0.03508	0.0	0.0	0.0039	0.03724	0.01665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02325	0.16196	0.0	0.0	0.0833	0.01977	0.08	0.0	0.27978	0.0	0.0	0.0	0.0	0.0	0.00044	0.0	0.0	0.0	0.0	0.0	0.88956	0.18426	0.0	0.0	0.0	1.48666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00973	0.07557	0.0	0.0	0.0	0.39541	0.0	0.05017	0.65361	0.18706	0.07964	0.0	0.0	0.0	0.0	0.0	0.00134	0.00683	0.87951	2.00743	0.0	0.55715	0.6841	0.0	0.51756
s__Ruminococcus_bromii	0	0.0	0.0	0.33256	0.0622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43683	1.62597	2.34673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.54472	0.0	4.44319	4.51826	4.8488	16.44906	0.00455	0.24592	3.87105	13.08361	0.0	5.18307	0.26223	0.0	0.00092	2.10899	7.42877	0.0	5.91669	0.0	0.0	18.82268	0.0009	0.0	2.42915	0.0	0.0	2.80107	4.95296	2.53422	3.93666	8.11319	2.2547	0.0	0.0	0.0	0.0	1.68137	0.0	0.0	0.0	2.4594	3.38728	3.80878	0.0	4.35748	2.05309	1.29749	0.0	0.0	2.12352	0.0	0.0	0.0	0.0	4.06382	5.9741	5.27179	0.0	0.0	0.0	0.00525	0.0	2.11918	0.0	0.0	0.0	0.0	8.45116	0.0	6.52254	0.0	0.0	0.0	5.12574	5.18028	3.1054	0.0	2.37926	0.031	0.0	0.40653	0.95641	0.0	7.20541	2.229	0.0	0.0	0.0	0.57322	0.47196	2.89553	3.06472	0.45898
s__Roseburia_inulinivorans	0	0.0	0.0	0.1813	0.95884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18113	0.0	0.0	0.00108	0.0	0.0	0.43253	0.0923	0.0	0.0	0.0	0.0	1.66416	0.0	2.80704	1.87672	0.0	0.59473	0.16116	0.26335	0.29064	5.98696	0.13003	0.02719	0.08481	0.0	4.47543	0.0	0.0	0.0	0.0	0.0	0.05372	0.58597	0.12168	0.04918	0.0	1.98476	0.0	1.09994	0.00355	0.0	0.0	1.76203	1.645	0.0	1.11721	2.02446	3.17982	2.85931	0.0	0.0	0.06492	0.0	0.0	0.06567	1.51536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62492	0.0	0.02336	0.16525	10.12091	3.74071	0.0	0.0	0.18859	0.24064	0.0	0.0	0.0	0.0	0.0	8.65109	3.69891	0.05437	0.0	0.0	0.0	0.0	1.20325	0.0	0.0	1.32909	1.11895	1.35364	0.0	0.0	0.0	0.18092	0.6458	8.29585	0.12904	5.43003	0.9237	0.07949	1.50984	2.66879	0.20938	4.90787
s__Ruthenibacterium_lactatiformans	0	0.0	0.0	0.1409	0.16241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03645	0.0	0.0	0.0	0.0	0.04996	0.09911	0.2178	0.05691	0.10755	0.0	0.0	0.0	0.0	0.1606	0.32676	0.44871	0.85689	0.37417	0.13416	0.0	0.06937	0.15284	0.2654	0.06303	6.87655	0.22124	0.2281	0.45285	0.0	0.58933	0.0	0.0	0.34701	0.31959	0.23756	0.02184	0.05367	1.10794	1.33355	0.07974	0.07135	0.01229	0.44969	0.36927	0.0	0.0	0.0	0.03039	0.12495	0.12262	0.15317	0.04923	0.08124	0.1412	0.14932	0.0438	0.19872	0.18093	0.04507	0.17501	0.12328	0.21836	0.50518	0.0	0.0	0.0	1.27283	0.04726	0.18284	0.0	0.0	0.40863	0.3044	0.15764	0.0	0.07189	0.0	0.09965	0.16384	0.20789	0.43162	0.54431	0.0	0.0	0.09781	0.06135	0.24258	0.06657	0.37967	0.21481	0.19819	0.0	0.0	0.00066	0.0	0.0	0.0	0.0	0.0	0.11108	0.0612	0.02	0.06366	0.18242	0.05068
s__Bilophila_wadsworthia	0	0.0	0.0	0.12081	0.17704	0.12088	0.11326	0.09937	0.0	0.34506	0.13419	0.0	0.0	0.0	0.0	0.00657	0.0	0.0	0.0069	0.0	0.0	0.09224	0.30938	0.12774	0.07018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037	0.00455	0.02147	0.0	0.0	0.02775	0.03248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05007	0.0	0.02586	0.0	0.00393	0.0	0.0	0.0	0.0	0.0	0.09903	0.10074	0.0	0.0	0.00063	0.05864	0.0	0.00681	0.08569	0.04846	0.0	0.0	0.0	0.25944	0.0	0.0	0.0	0.09355	0.0	0.0	0.0	0.0	0.0	0.22	0.11371	0.09383	0.0	0.0	0.00356	0.02027	0.0	0.0	0.15683	0.0	0.0	0.0	0.0	0.01336	0.0	0.0898	0.1365	0.23971	0.06309	0.0	0.08085	0.04297	0.0	0.0	0.00069	0.0	0.0	0.03775	0.11739	0.09691	0.03479	0.0	0.00505
