clade_name	NCBI_tax_id	MMPD11819740ST	MMPD13674240ST	MMPD13967032ST	MMPD15187820ST	MMPD15249256ST	MMPD15431352ST	MMPD16704201ST	MMPD17122405ST	MMPD17444064ST	MMPD18335439ST	MMPD19218411ST	MMPD19359459ST	MMPD19623701ST	MMPD20413160ST	MMPD21946553ST	MMPD23066988ST	MMPD23212378ST	MMPD24188488ST	MMPD25043039ST	MMPD27078321ST	MMPD27380896ST	MMPD27744413ST	MMPD29762767ST	MMPD29951127ST	MMPD30531062ST	MMPD33788863ST	MMPD33826006ST	MMPD34227989ST	MMPD34845324ST	MMPD36816868ST	MMPD37460080ST	MMPD37940420ST	MMPD39823498ST	MMPD41403504ST	MMPD44276157ST	MMPD44591718ST	MMPD45281271ST	MMPD45969642ST	MMPD47465864ST	MMPD50836218ST	MMPD52850328ST	MMPD54490160ST	MMPD56131850ST	MMPD58315584ST	MMPD59466593ST	MMPD60018995ST	MMPD65722427ST	MMPD69225512ST	MMPD76778172ST	MMPD78206795ST	MMPD79688031ST	MMPD79900020ST	MMPD89180418ST	MMPD91172559ST	MMPD91702294ST	MMPD91893113ST	MMPD93172239ST	MMPD94895988ST	MMPD97202411ST
s__Bifidobacterium_dentium	0	0.0	0.20281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0555	0.0	0.0	0.0	0.73795	0.0	0.05302
s__Blautia_obeum	0	0.0	0.19579	0.59996	0.27119	0.06891	0.0	0.0	0.31617	0.06945	0.39435	0.16946	0.13241	0.1063	0.10471	0.0	1.26141	0.09663	0.0	0.0	0.0	0.0	0.04074	0.09801	0.00606	0.0	0.0	1.64657	0.07417	0.0	0.63087	0.09302	1.81704	0.10527	0.69494	0.02507	6.86523	0.0	0.06902	0.47353	0.04039	0.0	0.0	0.0162	0.04594	0.15007	0.43004	0.28677	0.0	0.10855	0.04207	0.83853	0.30159	0.54429	0.033	0.337	0.60764	0.00964	0.0	0.0
s__Firmicutes_bacterium_CAG_83	0	0.0	0.18577	0.07154	0.47904	0.02481	0.68506	0.0	0.15491	1.22893	1.26552	2.76989	0.0	2.50867	2.16633	0.02723	0.00316	0.06249	1.13744	0.31235	0.0	0.96118	0.28578	1.5384	0.14185	0.03249	0.54396	0.40856	0.19329	0.0	0.17883	4.98839	0.14137	0.0	0.0	1.14215	0.13426	0.03587	0.0	0.34895	0.52967	0.0	0.84307	0.49951	0.77973	0.14337	0.0	0.03612	2.80705	0.05766	0.51122	0.50087	0.0	0.27367	0.0	0.10305	0.67971	0.0	0.0	0.20622
s__Desulfovibrio_piger	0	0.0	0.17776	0.0	0.0	0.0	10.45779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25361	0.0	0.0	0.0	0.0	0.0	1.9645	0.0	0.0	0.0	0.0	0.74428	0.59573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58416	0.0	0.0	0.0	0.0	0.0	0.0	2.51017	0.0	0.0	0.0	0.0	0.11096	0.0	0.30245	0.0	4.73835
s__Eubacterium_rectale	0	0.0	0.17478	0.11051	0.0	0.03556	1.35179	0.0	0.45951	0.16625	3.67066	3.17733	1.47074	0.696	5.41298	0.29093	1.01568	8.48119	7.26059	0.0	17.54788	0.0	0.18652	1.04854	0.94497	0.04624	0.14456	0.10853	0.00822	1.37578	0.88869	0.0	1.63608	8.22782	0.02646	3.84132	2.07517	0.09327	4.74865	0.90342	0.98857	0.005	7.19544	3.3194	1.89918	8.3489	2.68206	1.53725	0.0	1.72307	0.12803	0.0	0.0	10.88147	1.12876	0.11587	7.06655	0.22671	0.13037	1.46205
s__Agathobaculum_butyriciproducens	0	0.0	0.17092	0.10256	0.48792	0.46481	0.40272	0.0	0.03795	0.35822	0.21122	0.44372	1.39856	0.4178	0.06426	0.12632	0.12102	0.03849	0.25798	0.18008	0.0	0.04499	0.0	0.01258	0.05017	0.0	0.0	0.0	0.10647	0.03038	1.16408	0.36784	0.12362	0.30261	0.0	0.24419	0.37796	0.06362	0.30002	0.26501	0.30466	0.0	0.0	0.77133	0.28158	0.40654	0.26594	0.12107	0.0	0.0	0.10689	0.0	0.68986	0.30536	0.14358	0.16073	0.4168	0.06664	0.45799	1.38078
s__Bacteroides_massiliensis	0	0.0	0.15326	0.0	0.0	2.09248	0.86317	0.05052	0.0	0.0	0.75356	0.65413	0.0	0.77102	0.83906	0.0	0.0	0.56679	2.01979	0.0	0.0	0.0	0.0	3.79312	0.59089	0.09339	0.0	0.35098	0.81172	0.0	0.1627	0.0	0.0	1.00485	0.0	0.0503	0.0	0.0	0.0	0.0	0.35441	0.0	9.2976	0.0	0.0	0.0	0.0	1.23662	0.0	2.79073	0.0	1.30814	0.45689	0.0	0.0	0.0	2.79408	0.0	0.0	0.0
s__Parabacteroides_johnsonii	0	0.0	0.14781	0.0	0.0	0.0	0.0	0.0	0.01421	0.0	0.01253	0.185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35477	0.06297	0.0	0.0	0.0	0.0	0.02354	0.0	0.0	0.0	0.00813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46824	0.0	0.0	0.0	0.0	0.0
s__Veillonella_dispar	0	0.0	0.14615	0.0	0.0	0.0	0.0	0.0	0.02609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Veillonella_infantium	0	0.0	0.12768	0.0	0.0	0.0	0.0	0.0	0.02045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
