clade_name	NCBI_tax_id	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
s__Megasphaera_elsdenii	0	0.02093	0.0	2.64051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85699	0.97871	0.0	0.18527	0.0	0.88061	0.0	3.04189	0.02875	0.0	0.0	1.67084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91022	0.0	4.17349	0.10536	0.3946	0.23916	0.0	0.0	0.0
s__Roseburia_intestinalis	0	0.01826	0.08046	0.0	0.08545	0.23686	0.47384	0.15172	0.0	0.0	0.0	0.0	0.0	0.02888	0.09385	0.0	0.0	0.0	0.00042	0.03578	0.0	1.11573	0.08999	0.0	0.0	0.18579	0.00854	0.00444	0.0	0.00547	0.0	0.0	0.0	0.0	0.0397	1.26952	0.0	0.01053	0.05658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65676	0.0	0.01787	0.0	0.00376
s__Lactococcus_garvieae	0	0.01818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Olsenella_scatoligenes	0	0.01805	0.0491	0.0	0.02985	0.02355	0.01301	0.0	0.14711	0.048	0.07881	0.00399	0.08	0.0	0.01039	8e-05	0.11414	0.00899	0.02522	0.0203	0.0416	0.0	0.02034	0.00031	0.04685	0.0	0.03308	0.0	0.0	0.01354	0.05513	0.02526	0.0213	0.0	0.06162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05291	0.04498	0.01266	0.01596	0.00427	0.00026	0.0	0.00029	0.02113
s__Ruminococcus_bicirculans	0	0.01403	0.00283	0.0	0.00569	0.0	0.00186	0.08409	0.00414	0.18565	0.0	0.0	0.0	0.0	0.99253	0.00012	0.0006	0.0	2.15472	0.0	0.13611	0.0	0.0	0.0	0.00513	0.0	0.0804	0.00729	0.0	0.00711	0.08743	0.00812	0.02192	0.0	0.00181	0.05938	0.01654	0.03691	0.01717	0.0	0.0	0.18601	0.0	0.03791	0.0	0.00263	0.17085	0.0	0.12836	0.0	0.03155
s__Oscillibacter_sp_CAG_241	0	0.01369	0.64876	0.0	0.0069	0.4207	0.31973	0.0	0.74275	0.00409	0.80818	0.0	1.01826	0.0	0.02308	0.00164	0.19327	0.45614	0.03724	0.47346	0.77104	0.01765	0.09618	0.0591	0.08164	0.03599	0.11497	0.02074	0.0	0.01497	0.16376	0.12359	0.14696	0.0	0.6462	0.02377	0.17006	0.01842	0.07932	0.0	0.0	0.2897	0.0	0.87568	0.0	0.47822	0.03259	0.04781	0.01061	0.0	0.31731
s__Collinsella_intestinalis	0	0.01304	0.00497	0.0038	0.01373	0.00525	0.0062	0.0	0.04577	0.01323	0.01979	0.00712	0.03556	0.0	0.00738	0.00039	0.01775	0.00263	0.00651	0.02299	0.00217	0.0	0.00472	0.00543	0.01384	0.00827	0.00552	0.0	0.0	0.00258	0.012	0.01451	0.0147	0.0	0.01501	0.00133	0.00864	0.0	0.0	0.0	0.0	0.01624	0.22251	0.02224	0.01916	0.01623	0.01081	0.00393	0.0	0.00617	0.00944
s__Roseburia_sp_CAG_309	0	0.01046	0.03121	0.0	0.0	0.04917	0.13441	0.0	0.03049	0.0	0.29575	0.0	0.12749	0.0	0.02502	0.0	0.0063	0.0	0.02055	0.0	0.04111	0.00566	0.00791	0.0	2.05156	0.0	0.01699	0.0	0.0	0.01949	0.00552	0.0	0.0	0.0	0.80264	0.03072	0.00025	0.0	0.0	0.0	0.0	0.09396	0.0	0.1451	0.0	0.02039	0.30353	0.0	0.0	0.0	0.22803
s__Odoribacter_splanchnicus	0	0.01034	0.0	0.06713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00437	0.0	0.0377	0.3491	0.0	0.0	0.27264	0.0	0.11849	0.0	0.01406	0.0	0.30422	0.0	4.45101	0.00906	0.01663	0.24475	0.0	0.0	0.09781	0.15392	0.0	0.0	0.0	0.23913	0.0	0.00372	0.0	0.0	0.44496	0.0	0.0	0.0	0.0	0.05678	0.01457	0.14189	0.0	0.07273
s__Micrococcus_terreus	0	0.00883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
