clade_name	NCBI_tax_id	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
s__Bacteroides_xylanisolvens	0	0.00027	0.0	0.01685	0.00163	0.0	0.0	0.0	0.0	0.0	0.0	0.10801	0.0	0.01134	0.23914	0.01305	0.0	0.0	0.0	0.19082	0.05592	0.0	0.0	0.00554	0.0	0.00558	0.0	0.00633	0.40372	0.0	0.0	0.02262	0.02065	0.0	0.0	0.0	0.04081	0.02124	0.0	0.0	0.0	0.0864	0.80375	0.0	0.64731	0.0	0.0	0.0	0.03187	0.0	0.04649
s__Prevotella_sp_CAG_873	0	0.0	27.4491	0.0	0.55333	2.38758	2.32131	0.0	19.20746	0.00412	10.52331	0.0	4.56547	0.0	0.0	0.00495	0.0	10.23686	0.0	0.0	2.66174	0.0	0.0	0.0	0.0	0.01601	22.84357	0.1899	0.0	0.0	0.0	0.0	0.0	0.0	0.02849	0.00297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.07339	0.0	5.03174	0.02344	0.0	0.0	0.00209	9.28362
s__Ruminococcus_bromii	0	0.0	5.41979	0.0	0.0	0.72692	3.58631	0.05066	2.10363	1.85327	0.83909	0.0	4.25173	0.008	1.92439	0.01526	0.55356	3.48919	1.26612	0.42895	6.22237	1.02959	0.1003	1.76371	0.0	0.12082	0.28236	1.11381	0.0	3.46379	0.0	0.04443	0.07271	0.00794	0.88582	0.08201	12.04897	0.0	0.49427	0.0	0.0	0.27723	0.0	1.30314	0.0	0.12406	0.173	0.0	3.24221	0.0	0.26103
s__Akkermansia_muciniphila	0	0.0	2.41248	0.01775	0.0	0.0	0.0	0.0	0.03969	0.0	0.00213	0.0	0.0	0.07874	0.5135	0.0	0.0	18.10861	0.0	0.91617	0.0	0.0	0.0	0.12092	0.0	8.25316	0.0	0.00648	0.28048	0.0	0.0	0.0	0.0	0.0	0.0	0.06605	0.02103	0.0	0.12463	0.0	0.0	0.05279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01276
s__Clostridium_sp_CAG_510	0	0.0	1.38218	0.0	0.0	0.02253	0.04909	0.21987	0.04925	0.0329	1.28657	0.0	0.73088	0.01228	0.81869	0.00526	0.07421	0.0	0.17952	0.0	2.84869	0.22982	0.2536	0.0	3.87922	0.0	0.0055	0.01427	0.0	0.005	0.28314	0.2071	0.30392	0.0	0.77253	0.12005	0.0	0.01978	0.03911	0.0	0.0	2.71895	0.0	0.0	0.0	0.83976	5.39852	0.0	0.0	0.0	0.342
s__Ruminococcus_sp_CAG_563	0	0.0	1.35202	0.0	0.0	0.00321	0.00518	0.13621	0.20087	0.28814	0.78819	0.0	0.59454	0.0	0.60257	0.00048	0.00592	0.05914	1.27857	0.0	0.22057	0.0	0.1037	0.0	0.19696	0.0	2.95889	0.03766	0.0	0.01019	0.29441	0.12991	0.21869	0.0	0.42523	0.0	0.02272	0.0	0.01161	0.0	0.0	0.69456	0.0	0.0295	0.0	3.69449	0.03555	0.0	0.0	0.0	0.02804
s__Firmicutes_bacterium_CAG_170	0	0.0	1.05452	0.0	0.11883	0.15945	0.11773	0.13529	0.93734	0.07978	0.34911	0.0	0.61069	0.0	0.09282	0.00841	0.00674	0.02311	0.13621	0.04868	0.01599	0.02445	0.0444	0.0	0.09257	0.0	0.10952	0.01086	0.0	0.00253	0.05359	0.70992	0.64164	0.0	0.5188	0.04613	0.52845	0.00821	0.042	0.0	0.0	0.56367	0.0	0.92839	0.0	0.55008	0.1043	0.0	0.2885	0.0	0.46836
s__Roseburia_sp_CAG_182	0	0.0	0.99586	0.0	0.0271	1.3592	2.13961	0.02475	0.01489	0.0	0.0	0.0	0.07474	0.0	1.31767	0.0	0.0	0.0	0.0041	0.15744	0.02717	0.0	0.0	0.77551	0.04338	0.0	0.0	0.00273	0.10798	0.0	0.0	0.03455	0.04535	0.0	0.02238	0.0	0.00324	0.05827	0.18052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03496	0.0	0.09157	0.0	0.08418
s__Clostridium_sp_CAG_413	0	0.0	0.89551	0.0	0.0	0.0	0.0	0.0	0.06154	0.0	1.4104	0.0	5.7304	0.0	0.0	0.0	0.52521	0.22179	0.0	0.0	0.05907	0.0	0.0	0.0	0.03909	0.0	0.04117	0.0	0.0	0.0	0.04164	0.0	0.0	0.0	1.36759	0.01083	0.0	0.0	0.0	0.0	0.0	0.1584	0.0	0.09454	0.0	0.01771	0.02728	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_534	0	0.0	0.57726	0.0	0.0	0.0	0.0	0.0	0.68933	0.0	0.33989	0.0	1.93389	0.0	0.00329	0.0	0.01751	0.06383	0.0144	0.0	0.63785	0.0	0.0	0.0	0.23012	0.0	0.0	0.0	0.0	0.0	0.04931	0.0	0.0	0.0	0.49248	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	1.37875	0.0	0.58269	0.08516	0.0	0.0	0.0	0.5596
s__Mitsuokella_jalaludinii	0	0.0	0.44276	0.0	0.16935	0.16893	0.07037	0.0	0.05081	0.0	0.37019	0.00222	0.05745	0.0	0.0145	0.01179	0.30355	0.0	0.0822	0.29372	0.02373	0.0	0.00834	0.0	0.062	0.0	0.20371	0.01423	0.0	0.16173	0.23072	0.0	0.0	0.0	0.0	0.03994	0.22046	0.08114	0.0	0.0	0.0	0.91731	0.0	0.10731	0.0	0.18616	0.0129	0.00844	0.15876	0.0	0.77787
s__Treponema_berlinense	0	0.0	0.3031	0.0	0.0	0.0	0.0	0.0	0.0	0.53246	0.24819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11835	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_sp_CAG_251	0	0.0	0.28808	0.0	1.25503	0.0	0.0	0.0	0.0	0.0	0.17559	0.0	0.0	0.0	0.0	0.36245	0.02015	0.0	0.0569	0.0	0.0	0.0	0.05424	0.0	0.44005	0.0	0.16059	0.02209	0.0	0.0	0.13887	0.19019	0.28924	0.0	0.00728	0.0	0.0	0.06213	0.10734	0.0	0.0	0.03344	0.0	0.01495	0.0	0.79024	0.0	0.0	0.26134	0.0	0.00101
s__Eubacterium_coprostanoligenes	0	0.0	0.25494	0.0	0.00518	0.1469	0.48334	0.00865	0.01611	0.01767	0.02225	0.0	0.0	0.01564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16604	0.00618	0.0276	0.0	0.0	0.0	0.0	0.0	0.02823	0.00203	0.0058	0.0	0.04148	0.00643	0.00464	0.00893	0.00366	0.0	0.0	0.0	0.0	0.0	0.0	0.00132	0.0	0.0	0.0	0.0	0.00379
s__Firmicutes_bacterium_CAG_83	0	0.0	0.24822	0.0	0.03278	0.16222	0.11982	0.04493	0.04403	0.0924	0.05876	0.18779	0.98599	0.0	0.7658	0.0	0.00497	0.00133	0.00994	0.01309	0.05347	0.16741	0.04973	0.12481	0.05042	6.80932	0.03869	0.01139	0.0	0.01991	0.14924	2.51124	1.7809	0.0	0.23509	0.02778	0.3062	0.00293	0.00775	0.0	0.0	0.11846	0.09873	0.08214	0.0	0.09697	0.00507	0.00111	0.03199	0.00349	0.02603
s__Treponema_succinifaciens	0	0.0	0.20499	0.0	0.0	0.0	0.0	0.08374	0.0	0.25243	0.0	0.0	0.13239	0.0	0.0	0.0023	0.00061	0.0	0.7034	0.0	0.83637	0.0	0.19136	0.0	0.0	0.0	0.0	0.00797	0.0	0.0	0.0	0.0	0.0	0.0	0.57048	0.68366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13741	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Methanobrevibacter_smithii	0	0.0	0.19911	0.0	0.26341	0.42331	0.86799	0.0	2.89042	0.0	1.80477	0.0	0.38585	0.0	0.23506	0.04489	5.16915	0.0	0.0	0.68137	5.52695	0.00331	0.24049	0.0	0.07941	0.0	0.06405	0.06496	0.0	0.15458	0.69631	0.57175	0.82827	0.0	0.15912	0.0	0.05019	0.01429	0.00723	0.0	0.0	4.55767	0.0	2.58132	0.0	0.06693	0.02337	0.0	0.0	0.0	5.1997
s__Victivallis_vadensis	0	0.0	0.17627	0.0	0.0	0.00494	0.0	0.0	2.82458	0.0	0.0145	0.0	0.15051	0.0	0.00232	0.0	0.0	0.16472	0.0	0.02238	0.06829	0.0	0.0	0.0	0.35267	0.0	0.12988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04582	0.06753	0.0	0.0	0.0	0.0	0.0908	0.0	0.0	0.0	0.04678	0.43716	0.0	0.0	0.00087	0.31205
s__Coprococcus_comes	0	0.0	0.17057	0.0	0.058	0.18376	0.05098	0.1084	0.28379	1.55319	0.46203	0.00587	0.08457	0.03003	0.16038	0.01057	0.18938	0.0	0.24357	0.15573	0.22291	0.17872	0.3408	0.0	0.08187	0.09405	0.03907	0.02046	0.00342	0.26461	0.23881	0.06648	0.09289	0.0	0.56194	0.06442	0.19476	0.11732	0.03711	0.0	0.0	0.30812	0.0	0.09489	0.0	0.49559	0.01507	0.0	0.34989	0.0	0.08791
s__Mitsuokella_multacida	0	0.0	0.15661	0.0	0.1316	0.06378	0.03167	0.0	0.1771	0.0	0.11962	0.00524	0.15927	0.0	1.33858	0.00433	0.12242	0.0	0.07928	0.24737	0.05303	0.0	0.0102	0.0	0.10047	0.0	0.11892	0.01261	0.0	0.08334	0.11298	0.0	0.0	0.0	0.0	0.00847	0.31279	0.0735	0.0	0.0	0.0	0.22406	0.0	0.09457	0.0	0.15035	0.0608	0.01338	0.02428	0.0	0.38487
s__Turicibacter_sanguinis	0	0.0	0.11444	0.08656	0.06367	0.02833	0.00613	0.0	0.12901	0.33011	0.3817	0.0	0.19163	0.03857	0.00139	0.0	0.0	0.0	0.00802	0.0	0.03736	0.0	0.0	0.0	0.07441	0.0	0.02278	0.07173	0.0	0.15244	0.06585	0.0	0.0	0.0	0.08189	0.0	0.00163	0.0	0.0	0.0	0.00585	0.19455	0.0	0.33305	0.0	0.0224	0.0	0.0	0.0	0.0	0.15416
s__Methanosphaera_stadtmanae	0	0.0	0.06518	0.0	0.02484	0.02979	0.10332	0.0	0.20331	0.0	0.06288	0.0	0.12948	0.0	0.03143	0.0	0.28903	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.01471	0.0	0.01207	0.0	0.0	0.03317	0.05311	0.0	0.0	0.0	0.00114	0.0	0.02988	0.00908	0.00435	0.0	0.0	0.02481	0.0	0.04814	0.0	0.00732	0.0	0.0	0.0	0.01239	0.15748
s__Ruminococcus_sp_CAG_330	0	0.0	0.05663	0.0	0.01342	0.16886	0.05442	0.41187	0.05449	0.0	0.68685	0.0	0.00683	0.0	0.15708	0.0	0.07222	0.0	0.88258	0.0	0.39569	0.0	0.0	0.0	0.05995	0.72191	0.10678	0.00169	0.0	0.00262	0.12311	0.0	0.0	0.0	0.12931	0.0	0.10901	0.0	0.00035	0.0	0.0	1.37747	0.0	0.00141	0.0	0.01793	0.44316	0.0	0.21257	0.0	0.00775
s__Desulfovibrionaceae_bacterium	0	0.0	0.05505	0.0	0.0	0.0	0.0	0.01628	0.19878	0.01477	0.0	0.0	0.05406	0.0	0.0	0.0	0.00093	0.16467	0.0	0.0	0.0	0.0	0.0	0.0	0.00957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01341	0.0	0.0	0.0	0.00454	0.0	0.0	0.0	0.05675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_sp_CAG_471	0	0.0	0.0404	0.0	0.0	0.12148	0.11799	0.01872	0.17855	0.27671	0.06487	0.0	0.13455	0.08174	0.07804	0.006	0.04371	0.0	0.04384	0.0	0.05622	0.06921	0.00239	0.0	0.13665	0.42741	0.01222	0.0	0.0	0.12073	0.0	0.12419	0.17164	0.0	0.09443	0.00167	0.05765	0.01068	0.04435	0.0	0.0	0.03838	0.0	0.0	0.0	0.0	0.01166	0.0	0.0	0.0	0.03762
s__Firmicutes_bacterium_CAG_791	0	0.0	0.03631	0.0	0.37843	1.1627	1.00727	0.0	5.55066	2.9767	5.40829	0.0	6.81913	0.0	0.0	0.01562	3.9744	0.0	2.9434	0.0	2.03037	0.0	1.90026	0.0	8.21319	0.00023	3.01378	0.07307	0.0	4.25657	3.0646	0.0	0.0	0.0	8.33555	0.0	0.0	0.0	0.0	0.0	0.0	5.69554	0.0	5.7534	0.0	5.34616	5.89959	0.0	0.57575	0.00044	7.6206
s__Clostridium_sp_CAG_253	0	0.0	0.02936	0.0	0.06122	0.02991	0.03838	0.06883	0.0	0.0	0.0	0.0	0.0	0.0	0.00559	0.02861	0.0	0.0	0.00683	0.0445	0.01007	0.16928	0.04246	0.0	0.0	0.0	0.0	0.00028	0.0	0.00526	0.0	0.0	0.0	0.0	0.03399	0.21002	0.0	0.17757	0.03408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02082	0.0	0.06441	0.0	0.06612
s__Holdemanella_biformis	0	0.0	0.0224	0.0	0.0406	0.05379	0.02962	0.10971	0.11038	0.93075	0.02713	0.02975	0.05836	0.42523	0.10348	0.04579	0.10632	0.00451	0.06025	0.02095	0.12301	0.13047	0.20272	0.10826	0.04666	0.0	0.0144	0.07356	0.03582	0.16748	0.15766	0.07266	0.09699	0.0	0.03895	0.01462	0.75143	0.1842	0.18431	0.0	0.0	0.03664	0.01144	0.00845	0.0	0.04232	0.01038	0.07997	0.16428	0.00172	0.09688
s__Roseburia_sp_CAG_303	0	0.0	0.0222	0.0	0.0	0.0	0.0	0.09228	0.0	0.0	0.0	0.0	0.0	17.2187	0.00635	0.0	0.0	0.0	0.0	0.0	0.1863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00695	0.0	0.0	0.0	0.0	0.0	0.08955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20736	0.0	0.01073
s__Clostridium_sp_CAG_632	0	0.0	0.01519	0.0	0.0	0.01396	0.01706	0.0	0.0	0.93845	0.42475	0.0	0.0	0.0	0.80491	0.0	0.05799	0.0	0.40612	0.17773	0.05795	0.0	0.0	0.0	5.48947	0.0	0.0	0.0	0.0	0.0	0.18664	0.13573	0.13642	0.0	0.15096	0.0	0.0	0.04796	0.01158	0.0	0.0	0.0	0.0	0.0	0.0	0.23434	0.0	0.0	0.0	0.0	1.88363
s__Eubacterium_sp_CAG_786	0	0.0	0.01099	0.0	0.0	0.0	0.0	0.0	0.00757	0.00616	0.06773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14799	0.0	0.0	0.0	0.05956	0.0	0.0	0.0	0.0	0.02709	0.0	0.33818	0.28615	0.0	0.0	0.0	0.0	0.0	0.0311	0.0	0.0	0.0	0.0	0.0	0.0	0.18973	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_sp_CAG_488	0	0.0	0.01081	0.0	0.0	0.22681	0.29825	0.01505	0.00033	0.00398	0.08932	0.0	0.23602	0.0	0.01733	0.0008	0.0315	0.0	0.26762	0.35753	0.48305	0.10906	0.23058	0.0	0.0695	0.0	0.03456	0.0428	0.0	0.0	0.36199	0.0	0.0008	0.0	0.02243	0.00679	0.66772	0.0	0.03303	0.0	0.0	0.00395	0.0	2.88876	0.0	0.14639	0.03815	0.0	0.0	0.0	0.34993
s__Catenibacterium_mitsuokai	0	0.0	0.00763	0.0	0.03808	0.1509	0.25992	0.0	0.29948	1.66005	0.42394	0.0	0.14807	0.0	0.02534	0.02086	1.67783	0.0	2.07684	0.38667	0.54145	0.21734	1.15628	3.31797	0.22719	0.1087	0.06635	0.05761	0.0	0.6462	0.58052	0.0	0.0077	0.0	1.69943	0.05863	0.20304	0.0213	0.0	0.0	0.0	0.0	0.05529	0.35956	0.0	0.01068	0.02499	0.09802	0.6617	0.0	0.13357
s__Fretibacterium_fastidiosum	0	0.0	0.00332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00196	0.0	0.01351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00086	0.0	0.0	0.0	0.0	0.00395	0.0	0.0	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0085	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Romboutsia_ilealis	0	0.0	0.00128	0.0	0.0	0.00083	0.0	0.0	0.0	0.00516	0.02828	0.0	0.01814	0.0	0.0	0.0	0.00229	0.0	0.0	0.0	0.00723	0.0	0.00062	0.0	0.0	0.0	0.00198	0.0	0.0	0.01302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03067	0.0	0.02695	0.0	0.0045	0.0	0.0	0.0	0.0	0.02225
s__Eubacterium_sp_OM08_24	0	0.0	0.00085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30099	0.0	0.00999	0.0	0.0	0.0	0.0	0.0	0.00514	0.01919	0.01677	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0	0.0	0.0	0.0032	0.00559	0.0	0.17276	0.0	0.0	0.0	0.01323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00043
s__Ruminococcus_gnavus	0	0.0	0.0	33.76635	0.0	0.0	0.0	0.0	0.73483	0.0	0.02708	0.0	0.0	0.0	0.16879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.97137	0.24973	0.002	0.0	1.78597	0.0	0.0	0.07271	0.0	0.0663	0.23948
s__Bifidobacterium_kashiwanohense	0	0.0	0.0	10.25813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102	0.0	0.0	0.0	0.0	0.00362	0.07223	0.0	0.0627	0.0	0.0	0.0	0.0	0.0	0.05354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06769	0.0	0.0	3.7987	0.0	3.45993	0.0	0.00086	0.89433	0.0	49.34109	0.00241
s__Campylobacter_jejuni	0	0.0	0.0	8.71082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Escherichia_coli	0	0.0	0.0	2.43919	0.0	0.0	0.0	0.0	0.2658	0.0	0.0	0.3117	0.0	0.00312	0.92434	0.00268	0.0	12.8708	0.01433	0.0	0.0	0.0	10.87884	0.0	0.0	1.59373	0.0	20.81297	0.29327	0.0	0.0	0.00741	0.0419	13.85671	0.07638	0.00292	0.18845	0.0	0.21993	1.10424	22.73841	0.00303	13.26461	0.0	0.55691	0.0	0.0	0.7875	0.0	7.05341	0.67269
s__Megamonas_hypermegale	0	0.0	0.0	1.89932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06472	0.0
s__Erysipelatoclostridium_ramosum	0	0.0	0.0	0.4684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00355	0.0	0.0096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01402	0.0	0.02288	0.0	0.0	0.0	0.0	0.0	0.29737
s__Megamonas_funiformis	0	0.0	0.0	0.45046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00667	0.0
s__Streptococcus_mitis	0	0.0	0.0	0.36982	0.0	0.0	0.0	0.0166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03891	0.0	0.00279	0.0	0.0	0.0	0.00168	0.0	0.0	0.0	0.0	0.0	0.00554	0.09732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_sanfranciscensis	0	0.0	0.0	0.31971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01193	0.0	0.0	0.0	0.0	0.0	0.0	0.00551	0.0	0.0	0.0	0.0	0.0	0.00217	0.0	0.03133	0.0	0.0	0.00696	0.05799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01014	0.03371	0.0	0.0	0.0	0.0	0.0	0.00401	0.0	0.0	0.0
s__Bacteroides_fragilis	0	0.0	0.0	0.26639	0.0	0.0	0.0	0.0	0.21136	0.0	0.0	0.0	0.0	0.57229	5.13503	0.0	0.0	0.43768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3127	0.0078	0.54967	0.03045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71325	0.0	0.0	0.0	0.0	1.5332	1.84937	0.02458	0.62152	0.0	0.08717	0.0	0.0	0.0	4.45987
s__Haemophilus_parainfluenzae	0	0.0	0.0	0.1297	0.0	0.02098	0.00751	0.07275	0.0	0.00676	0.0	0.00806	0.0	0.0	0.0	0.00358	0.0	0.0	0.00821	0.0	0.03489	0.08649	0.05135	0.0	0.0	0.06294	0.0	0.03237	0.0	0.15241	0.0515	0.0	0.0	0.0	0.0	0.00947	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00719	0.0	0.04534	0.0	0.07863
s__Phascolarctobacterium_sp_CAG_266	0	0.0	0.0	0.11821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00526	0.0
s__Bacteroides_caccae	0	0.0	0.0	0.10563	0.0	0.0	0.0	0.0	0.0	0.0	0.07834	0.0	0.0	0.0	0.09314	0.0	0.0	0.53278	0.0	0.16071	0.0	0.00227	0.0	0.0	0.0	1.71002	0.0	0.02539	0.0	0.0	0.0	0.01016	0.02406	0.0	0.0	0.0	0.21449	0.0	0.0	0.0	0.0	0.19028	0.91694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20807
s__Bifidobacterium_pseudocatenulatum	0	0.0	0.0	0.06924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02553	0.0	0.0	0.00148	0.00511	0.00067	0.0	0.0	0.02863	0.0	0.0	0.0	0.00126	0.0	0.02794	0.0	0.01699	0.0266	0.0	0.0	0.0	0.0	0.0	0.00384	0.15816	0.14387	0.24587	0.0	0.0	0.0	0.0	0.0	0.0	0.00629	0.0	0.0	0.08209	0.0	0.01032	0.0
s__Veillonella_dispar	0	0.0	0.0	0.04719	0.0	0.0	0.0	0.13979	0.0	0.0	0.0	0.0	0.0	0.01539	0.0	0.00346	0.0	0.0	0.0	0.0	0.0	0.00339	0.01895	0.08853	0.0	0.0	0.0	0.02825	0.02623	0.21724	0.0	0.0	0.0	0.0	0.04336	0.0	0.0	0.0	0.0	0.0	0.0024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06684	0.00169	0.0032
s__Veillonella_atypica	0	0.0	0.0	0.0312	0.0	0.0	0.00446	0.06137	0.0	0.0	0.0	0.0	0.0	0.02417	0.0	0.01383	0.0	0.0	0.0	0.0	0.0	0.0	0.10095	0.02111	0.0	0.17287	0.0	0.89787	0.00912	0.53974	0.0	0.0	0.0	0.01763	0.09408	0.0	0.0	0.00877	0.00509	0.0	0.0058	0.0	0.0	0.0	0.0	0.0	0.04786	0.0	0.13136	0.0	0.0047
s__Streptococcus_pseudopneumoniae	0	0.0	0.0	0.02492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Gemella_haemolysans	0	0.0	0.0	0.01936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_neonatale	0	0.0	0.0	0.01645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_peroris	0	0.0	0.0	0.01201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10878	0.0	0.0	0.0	0.0	0.0	0.05132	0.0	0.0	0.0	0.0	0.0	0.0	0.00487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
