clade_name	NCBI_tax_id	Ahn.Mel01	Ahn.Mel04	Ahn.Mel07	Ahn.Mel10	Ahn.Mel13	Ahn.Mel16	Ahn.Mel19	Ahn.Mel22	Ahn.Mel25	Ahn.Mel26	Ahn.Mel27	Ahn.Mel28	Ahn.Mel29	Ahn.Mel30	Ahn.Mel31	Ahn.Mel32	Ahn.Mel34	Ahn.Mel35	Ahn.Mel37	Ahn.Mel38	Ahn.Mel40	Ahn.Mel42	Ahn.Mel43	Ahn.Mel44	Ahn.Mel45	Ahn.Mel46	Ahn.Mel47
s__Phascolarctobacterium_faecium	0	0.56345	0.9467	0.0	0.03024	0.52381	0.38115	0.0	0.33532	0.38601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87823	0.02682	0.0721	0.31534	0.0	0.0147	0.37808	0.0	0.20038	0.41426	0.0
s__Barnesiella_intestinihominis	0	0.55743	0.0	1.67227	0.02698	1.46163	0.0	0.0	1.25713	0.0	0.0	0.0	0.0	2.20732	0.0	0.0	2.16447	0.0	0.0	0.0	0.0	0.87297	0.0	0.19672	0.0	3.25075	3.72824	0.0
s__Bacteroides_sp_CAG_144	0	0.47431	0.0	1.2085	1.73535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21545	0.0	0.0	0.71565	0.0	0.0	0.0	0.0	0.0	0.0	0.20327	0.0	0.0	0.0	0.0
s__Oscillibacter_sp_57_20	0	0.4628	0.0	0.0	0.29913	0.0	0.0	0.0	0.57509	1.21359	0.0	0.84056	0.0	0.37117	0.0	0.81786	0.0	0.36805	0.0	0.0	1.11398	1.59051	0.84565	0.13641	1.14783	0.0	0.70952	2.48351
s__Firmicutes_bacterium_CAG_83	0	0.41881	0.0	0.0	0.14484	0.0	2.63278	0.26524	0.06001	0.2023	0.04547	0.0	0.0	0.0123	0.0	0.49153	0.0	0.0	0.0	0.0	0.36918	2.5326	0.25302	0.03744	3.86329	0.0	0.10019	3.00082
s__Dorea_formicigenerans	0	0.41094	0.0	0.10498	0.04017	0.4232	0.1158	0.01749	0.26197	0.48165	0.0	0.12447	0.0	0.56547	0.93429	0.14857	0.0158	0.87016	0.0	0.0	0.83695	0.45033	0.01634	0.0	0.28813	0.0	0.13336	0.21293
s__Odoribacter_splanchnicus	0	0.3601	0.39151	0.26909	0.59192	0.0	0.72849	0.28648	0.48635	0.60826	0.14657	0.146	0.0	0.46809	0.42514	1.41151	0.88888	0.0	0.38089	1.37938	0.51937	0.2294	0.47734	0.23798	0.0	0.0	0.54145	1.11277
s__Roseburia_hominis	0	0.34923	0.02101	0.0	0.22921	0.11507	0.0	0.0	0.0	2.16072	0.5593	0.03244	0.42299	0.04603	0.0	0.11552	0.03202	0.11246	0.95658	0.0	0.0903	0.90135	0.09736	0.0	0.22963	1.91622	0.24113	0.0
s__Bacteroides_finegoldii	0	0.26808	0.00102	0.07513	0.87805	0.0	0.0	0.0	0.02294	0.07525	3.37454	0.0	0.0	0.10983	0.0	0.16175	1.45279	0.21498	0.0	0.0	0.15081	0.07117	0.87309	0.0	0.48059	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_110	0	0.25474	0.0	0.0	0.19449	0.0	0.0	0.0	0.86573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04525	0.0	0.0	0.06726	0.10407	0.0	0.20289	0.0	1.06145	0.06617	0.0
s__Roseburia_inulinivorans	0	0.24299	1.47742	0.0	0.60258	0.0	0.0	1.41204	0.0	1.30595	0.03963	0.14136	0.17965	0.94112	0.0	3.15713	0.63985	0.70438	0.0	15.82791	0.14718	1.44615	1.76446	0.00012	1.52379	0.0	0.0181	0.0
s__Collinsella_aerofaciens	0	0.22788	0.0	0.09956	0.23834	2.91769	0.39515	0.04315	9.65273	0.87784	0.0	0.00044	0.0	0.99323	0.4566	0.51669	0.45268	8.84559	0.0	0.00329	3.31993	2.77205	2.76646	0.00519	0.46651	0.02336	0.00583	0.0053
s__Eubacterium_rectale	0	0.21849	8.83649	0.01405	4.29126	15.81115	0.06577	17.75255	0.02568	17.70286	29.22512	1.95388	13.43701	6.96933	6.78644	0.03118	12.90777	13.06231	6.02643	0.0	20.04647	0.31671	0.0	0.00762	0.73588	0.02773	2.63239	0.0016
s__Turicimonas_muris	0	0.20534	0.0	0.02888	0.00752	0.00484	0.12368	0.0	0.0	0.0	0.0	0.0	0.0	0.07247	0.0	0.0	0.0	0.36945	0.07523	0.0	0.0	0.0	0.00331	0.0	0.45857	0.04236	0.01835	0.03192
s__Dorea_longicatena	0	0.19941	0.0	1.33229	1.31944	0.00876	0.0	0.33563	1.33039	0.60413	4.4239	2.05114	0.0	0.47411	0.94428	0.27796	1.03111	3.554	0.0	0.0	2.41505	0.60663	2.4253	0.18326	0.89173	0.0	1.12692	0.0
s__Bacteroides_caccae	0	0.19732	0.0	4.80872	5.36914	0.0102	5.06502	4.73764	2.61736	1.76015	0.00051	0.00328	0.00069	1.02442	4.17668	1.63538	3.21636	1.51644	3.52443	2.83956	0.08152	0.22892	1.53544	1.22734	1.74138	0.00294	0.51969	0.0
s__Clostridium_leptum	0	0.16775	0.10603	0.03724	0.01861	0.01758	0.0205	0.36893	0.09535	0.01537	0.0	0.06256	0.01063	0.03592	0.0	0.05065	0.29005	0.0	0.0	3.40944	0.00913	0.0	0.26456	0.00638	0.02354	0.14808	0.12272	0.0764
s__Gemmiger_formicilis	0	0.15133	0.03524	0.07831	0.00236	0.05861	0.25045	0.05942	0.34352	0.68886	0.05441	0.0	0.0	0.03057	0.0	0.16016	0.0013	0.01569	0.0	0.0	0.00093	0.06986	0.19215	0.00358	0.08309	0.256	0.43076	0.0
s__Bifidobacterium_animalis	0	0.14388	0.0	0.0	0.00605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02104
s__Lawsonibacter_asaccharolyticus	0	0.11562	1.65251	0.08811	0.00922	0.00931	0.36198	0.52025	0.19104	0.29119	0.00742	0.36392	0.004	0.09075	0.0	0.08835	0.06788	0.07208	0.15656	0.39103	0.00785	0.01556	0.00386	0.12675	0.01916	0.50036	0.06901	0.03996
s__Eubacterium_sp_CAG_180	0	0.11109	4.37659	11.57368	1.16612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04586	0.0	0.0	0.0	0.0	0.0	1.67038	0.0	0.0	0.0	0.0	0.05892	0.02702	10.98681	4.04064
s__Butyricimonas_synergistica	0	0.11036	0.03959	0.34365	0.07466	0.00079	0.0	0.24679	0.05582	0.0	0.0	0.0	0.0	0.03243	0.0	0.0	0.07516	0.0	0.03628	1.00377	0.03293	0.05765	0.0	0.07471	0.0	0.0	0.05591	0.09986
s__Roseburia_sp_CAG_471	0	0.10432	0.0	0.0018	0.0	0.0	0.00374	0.00049	0.00442	0.00162	0.00186	0.0	0.0	0.00193	0.0	0.0	0.0004	0.0013	0.00052	0.0	0.0	0.0646	0.29677	0.36683	0.00694	0.0012	0.00045	0.0
s__Parabacteroides_merdae	0	0.09564	5.93623	0.532	0.30745	0.83858	0.0	0.0	0.0	0.0031	0.0	0.11182	0.0	0.32398	0.18945	1.99101	1.06425	0.0	0.7156	0.0	0.56302	0.99972	0.0	0.54519	1.60754	0.0	0.0	0.73106
s__Coprococcus_catus	0	0.09372	0.0	0.0625	0.03365	0.0	0.0	0.0	0.02845	0.08377	0.0	0.0	0.0	0.31502	0.22754	0.07536	0.02558	0.0	0.0	0.0	0.51877	0.12707	0.124	0.00293	0.0	0.0	0.16584	0.0
