clade_name	NCBI_tax_id	SRR3992955	SRR3992956	SRR3992957	SRR3992958	SRR3992959	SRR3992960	SRR3992961	SRR3992962	SRR3992963	SRR3992964	SRR3992965	SRR3992966	SRR3992967	SRR3992968	SRR3992969	SRR3992970	SRR3992971	SRR3992972	SRR3992973	SRR3992974	SRR3992975	SRR3992976	SRR3992977	SRR3992978	SRR3992979	SRR3992980	SRR3992981	SRR3992982	SRR3992983	SRR3992984	SRR3992985	SRR3992986	SRR3992987	SRR3992988	SRR3992989	SRR3992990	SRR3992991	SRR3992992	SRR3992993	SRR3992994	SRR3992995	SRR3992996	SRR3992997	SRR3992998	SRR3992999	SRR3993000	SRR3993001	SRR3993002	SRR3993003	SRR3993004	SRR3993005	SRR3993006	SRR3993007	SRR3993008	SRR3993009	SRR3993010	SRR3993011	SRR3993012	SRR3993013	SRR3993014	SRR3993015	SRR3993016	SRR3993017	SRR3993018	SRR3993019	SRR3993020	SRR3993021	SRR3993022	SRR3993023	SRR3993024	SRR3993025	SRR3993026	SRR3993027	SRR3993028	SRR3993029	SRR3993030	SRR3993031	SRR3993032	SRR3993033	SRR3993034	SRR3993035	SRR3993036	SRR3993037	SRR3993038	SRR3993039	SRR3993040	SRR3993041	SRR3993042	SRR3993043	SRR3993044	SRR3993045	SRR3993046	SRR3993047	SRR3993048	SRR3993049	SRR3993050	SRR3993051	SRR3993052	SRR3993053	SRR3993054	SRR3993055	SRR3993056	SRR3993057	SRR3993058	SRR3993059	SRR3993060	SRR3993061	SRR3993062	SRR3993063	SRR3993064
s__Firmicutes_bacterium_CAG_83	0	0.17942	0.92892	0.09454	0.26046	0.70837	0.06372	0.01091	2.32633	0.60622	0.46527	1.04153	0.61443	0.91846	0.02987	0.09611	0.45769	0.00213	0.18864	1.79691	3.26468	0.28238	1.05016	0.12746	2.67105	0.06777	1.75747	2.10518	0.24232	0.46406	0.3065	0.0	0.15364	0.06205	0.13456	0.23228	3.03372	0.76887	1.53929	0.41134	0.38803	0.99349	0.8287	0.23191	0.06987	0.00707	0.27158	1.69284	1.05237	0.18602	0.39732	0.51017	0.1336	1.71082	1.91444	0.39453	0.14482	0.67917	0.47251	0.24053	0.12841	2.41777	0.22549	0.14991	0.36355	0.48091	0.96743	0.00073	0.68336	0.55391	0.10126	0.01574	8.99034	0.11534	0.30674	0.58386	3.40709	0.31373	0.03438	0.00118	0.24269	1.64619	0.30245	0.72536	0.37268	0.12939	11.51915	0.31417	0.12546	0.07917	1.3207	0.24623	0.51736	0.11173	1.97345	0.13336	2.31744	0.10023	1.80777	0.82052	0.01791	0.51273	0.49759	0.37157	1.05368	0.10281	0.18513	0.17008	1.18727	0.01364	0.12701
s__Mitsuokella_jalaludinii	0	0.16371	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.00253	0.0	0.0	0.0	0.0	0.00914	0.0	0.0	0.0	0.0	0.00871	0.0	0.0	0.01038	0.12207	0.09038	0.02384	0.0	0.07941	0.0	0.0	0.01078	0.00113	0.0	0.19153	0.05804	0.07057	0.0	0.01091	0.0	0.03249	0.0	0.0	0.00455	0.0	0.01675	0.0	0.3913	0.11859	0.29345	0.0	0.0037	0.0	0.01008	0.02236	0.0	0.12732	0.0	0.0	0.0	0.0	0.0	0.0	0.26264	0.00092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03552	0.01492	0.03128	0.1285	0.0	0.0	0.09059	0.0	0.04045	0.0	0.00801	0.01394	0.0	0.0	0.0	0.0	0.03919	0.0	0.03202	0.0	0.03357	0.0	0.0	0.05795	0.06847	0.0	0.0	0.0	0.0	0.01164	0.0	0.05062	0.00266	0.10565	0.0	0.02153	0.0
s__Eubacterium_eligens	0	0.15993	0.23597	0.00033	0.0263	0.52502	0.01385	0.00506	0.30206	0.01947	0.01933	0.01531	1.13384	0.16251	0.0	0.11364	0.0	0.0	0.0	0.00501	0.0	0.0	0.02757	0.0	0.0	0.08156	0.00908	0.01795	0.0	0.0	0.0	0.0	0.42525	1.68543	0.0082	0.0055	0.0	0.00882	0.69515	0.3696	0.00358	0.04337	0.01716	0.0	0.00043	0.00711	0.07378	0.01907	0.01398	0.00421	0.0	0.09494	0.02366	0.0015	0.05561	0.0	0.0	0.0	0.23565	0.17213	0.30645	1.4275	2.45385	0.35674	0.0029	0.08972	3.86931	0.0	0.35345	0.11663	0.08971	0.0	0.36443	0.04403	0.03535	0.1475	0.00015	0.01496	0.00793	0.00832	1.62015	0.00905	0.15543	0.07224	0.15443	0.4209	1.47016	0.37288	0.00491	0.0	1.14261	0.00053	0.34435	0.22348	0.46003	0.16202	0.0	0.0	0.30508	1.11002	0.00254	1.18823	0.0	0.08004	0.0	0.0	0.01202	0.09866	0.0	0.08282	0.02057
s__Slackia_isoflavoniconvertens	0	0.12362	1.88435	0.75357	0.55303	0.87426	0.88297	0.86251	0.55155	0.89942	0.27089	0.33002	1.01131	0.21013	0.01566	0.40769	8.59282	0.68617	1.22951	0.26109	1.82874	0.50682	0.57485	2.27596	0.9966	0.89857	0.66774	3.19895	1.67664	0.55952	1.31359	0.0	0.21687	0.00558	3.08932	0.42086	2.15294	0.55627	0.86196	0.35948	0.60659	1.19041	1.10412	0.22509	0.94833	0.0031	0.57361	0.27296	0.69488	0.68783	0.78536	0.04801	0.37333	1.90172	0.38177	0.29018	0.67623	0.71895	0.49492	0.6998	4.75214	1.64414	0.00646	0.00605	0.0	0.17285	1.10579	0.0113	0.77455	0.48343	0.00719	0.02681	0.02545	0.09511	0.5903	1.56437	0.5024	0.36652	1.24044	0.0	1.06525	0.15488	0.60588	0.33567	1.06875	0.85184	0.00405	2.58048	1.28304	0.53506	0.86819	0.00165	1.0084	0.10131	3.01979	0.38677	0.00878	0.31148	1.15588	0.47372	1.95714	0.13451	0.07019	0.65705	0.29553	0.0	0.12572	0.72768	0.17302	0.62285	0.39409
s__Klebsiella_quasipneumoniae	0	0.11557	0.0	0.0	0.15486	0.0	0.0	0.0	0.0	0.0	0.00439	0.07459	0.0	0.0	0.0	0.05569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02288	0.0	0.0	0.0	0.0	0.0	0.01974	0.00742	0.0	0.0	0.01316	0.04534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00615	0.00386	0.0	0.0	0.01561	0.00873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00557	0.22417	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_longum	0	0.11013	0.62978	0.50347	0.05107	1.08694	0.20493	0.64909	1.45209	1.37931	23.25493	0.19936	1.67206	0.77416	0.6404	0.57639	1.15811	0.00745	0.04433	1.15106	2.13079	3.22392	0.19	2.35739	0.02971	1.62289	0.56994	0.14779	0.01401	0.38374	9.40198	8.82784	0.35264	1.53477	1.77698	0.23	0.04931	0.41057	0.38708	4.85876	2.22807	0.14312	0.15312	0.28778	0.03564	20.49478	0.02522	0.0212	0.1879	0.89758	0.16143	0.23711	0.59507	0.48391	0.45108	2.29078	23.14383	4.25239	1.42889	1.26156	0.3816	0.60147	4.21577	2.03566	0.01542	0.18065	1.23548	1.29191	6.44075	7.05719	1.69934	15.95615	3.54038	0.17492	0.44248	0.423	0.70266	0.74011	1.70047	35.66582	0.20492	0.21903	2.68823	5.10074	1.73852	1.05739	6.08725	0.21989	3.34873	0.10343	0.07977	16.09357	1.67612	0.43885	0.83795	9.71348	1.05826	0.31518	0.8111	2.65374	1.33304	0.01055	0.02846	0.06513	1.21322	0.63485	0.10205	0.05403	1.72862	3.46528	0.34348
s__Firmicutes_bacterium_CAG_170	0	0.10807	0.03674	0.0	0.08427	0.0418	0.0	0.07428	0.0	0.15372	0.0	0.0	2.05423	0.02268	0.0	0.00111	1.29522	0.0	0.00343	0.03977	0.18913	0.10957	0.03392	0.0	0.38253	1.2261	0.25515	2.79297	0.0035	0.71146	0.12125	0.0	0.12428	0.03036	0.18476	0.2453	0.0	0.03678	0.07085	0.29523	0.08307	0.22798	0.08935	0.0348	0.49924	0.0	0.08572	0.10195	0.36925	0.09119	0.69472	0.17999	0.47575	0.02115	0.05828	0.21237	0.41804	3.81031	1.08919	0.0	0.05023	0.0	0.0	0.00672	0.02808	0.03048	0.60785	0.0	0.0	0.16974	0.00672	0.00045	0.0	0.0	0.22521	0.02142	0.00379	0.03522	0.46141	0.0	0.07709	0.0	0.0	0.0	0.13942	0.4379	0.0	0.15189	0.00847	6.60329	0.38272	0.0	1.3066	0.3068	0.38084	0.02194	0.93078	0.13256	0.14137	0.02965	0.01835	0.31156	0.00311	0.01656	0.0	2.32007	0.26554	1.12682	0.0	0.02054	0.0
s__Firmicutes_bacterium_CAG_110	0	0.088	0.0	0.0	0.15422	0.13504	0.0	0.27194	0.10603	0.19561	0.15443	0.03143	0.74741	0.02632	0.0	0.0	0.06896	0.00089	0.03176	0.66346	0.16074	0.0653	0.02316	0.0	0.01009	0.3443	0.2998	0.056	0.13738	0.01746	0.0	0.0	0.01177	0.36362	0.31479	0.0	0.0	0.0248	0.00284	0.47786	0.00293	0.09222	0.0	0.0	0.69404	0.0	0.00594	0.0	0.11754	0.00056	0.01812	0.03255	0.03197	0.00543	0.08322	0.09752	0.07327	0.05152	1.79414	0.0	0.07904	0.01633	0.04824	0.05867	0.00717	1.2691	0.07771	0.0	0.16066	0.91378	0.38164	0.0	0.001	0.007	0.48446	0.17485	0.001	0.00462	0.31363	0.0	0.70962	0.34886	0.33763	0.01237	0.80775	0.36904	0.0	0.19651	0.0	1.11409	0.10434	0.0	0.0	0.09978	0.02432	0.2467	0.86881	1.49137	0.08301	0.30265	0.09662	0.57281	0.02932	3.09953	0.0	0.03933	0.13753	0.37647	0.0	0.13545	0.0
s__Fusicatenibacter_saccharivorans	0	0.0857	1.31507	0.03442	0.26934	1.6567	0.08723	0.09366	0.38614	0.50737	4.3203	1.669	0.67118	0.29143	0.93627	0.05745	0.06262	0.03689	0.04772	0.20194	1.0905	0.13683	0.05629	0.5939	0.07322	0.99766	0.54586	0.05625	0.31365	0.4096	0.67667	0.0	0.22587	1.83187	0.30589	0.03435	0.9212	1.02208	1.21922	1.91598	0.47733	0.3895	0.23412	0.0252	0.08936	3.35697	0.15528	0.51618	0.18749	0.13721	0.40226	0.45522	0.06764	0.82515	2.38704	0.10553	0.02036	0.05566	2.06204	0.22432	0.14009	1.36402	5.43189	3.20099	0.14021	0.16136	1.18289	0.0	2.79955	3.11772	0.80464	0.03762	4.42387	0.06858	0.52695	0.1765	0.01312	0.49459	0.01198	0.34683	0.65433	0.90394	0.22477	2.939	0.2237	0.16554	8.46124	0.94545	0.20096	19.43477	0.59129	0.0048	2.29007	1.09292	0.34837	0.33504	0.02635	0.43296	0.58555	2.36489	0.12729	2.20755	1.22831	0.883	0.32391	0.22984	0.45213	0.29818	0.82001	0.43887	0.24673
s__Megasphaera_elsdenii	0	0.07324	0.0	0.06328	0.39757	0.0	0.03573	0.00088	0.03131	0.05518	0.44796	0.05143	0.02804	0.0	0.06114	0.04747	0.19437	0.0	0.08536	0.0616	0.0	0.10632	0.0	0.23651	0.03019	1.0304	1.07561	0.03845	0.0	0.07437	0.0	0.0	0.05881	0.25579	0.0	0.15995	0.15065	1.12025	0.0064	1.5209	0.2113	0.23542	0.14292	0.019	0.15669	0.0	0.01869	0.0	0.72468	0.94702	0.07471	0.00879	0.01229	0.60488	0.10779	0.15397	0.0777	0.18327	0.19089	0.02421	0.0	0.0	0.0	0.00465	0.0	0.19701	0.0	0.0	0.10399	0.00853	1.94581	0.00185	0.0	0.19513	0.00462	0.34938	0.15077	0.09164	0.0	0.0	0.03761	0.25925	0.02275	0.0	0.0055	0.13256	0.0	0.0	0.0	0.0	0.1017	0.14071	0.50337	0.0	0.01895	0.00025	0.0	0.00724	0.03851	0.06752	0.0	0.0	0.04731	0.04466	0.0	0.0	0.00883	0.0	0.0	0.32425	0.01213
