clade_name	NCBI_tax_id	ESS-0005	ESS-0010	ESS-0014	ESS-0020	ESS-0026	ESS-0035	ESS-0039	ESS-0044	ESS-0053	ESS-0058	ESS-0062	ESS-0068	ESS-0077	ESS-0080	ESS-0088	ESS-0093	ESS-0098	ESS-0104	ESS-0113	ESS-0119	ESS-0123	ESS-0129	ESS-0136	ESS-0141	ESS-0147	ESS-0155	ESS-0158	ESS-0165	ESS-0172	ESS-0177	ESS-0184	ESS-0188	ESS-0195	ESS-0202	ESS-0208	ESS-0215	ESS-0219	ESS-0224	ESS-0231	ESS-0237	ESS-0243	ESS-0251	ESS-0254	ESS-0262	ESS-0268	ESS-0272	ESS-0280	ESS-0286	ESS-0290	ESS-0296	ESS-0302	ESS-0308	ESS-0316	ESS-0321	ESS-0326	ESS-0335	ESS-0338	ESS-0347	ESS-0353	ESS-0359	ESS-0364	ESS-0371	ESS-0376	ESS-0383	ESS-0386	ESS-0394	ESS-0400	ESS-0405	ESS-0410	ESS-0419	ESS-0425	ESS-0430	ESS-0435	ESS-0441	ESS-0447	ESS-0452	ESS-0459	ESS-0467	ESS-0473	ESS-0476	ESS-0482	ESS-0489	ESS-0496	ESS-0501	ESS-0506	ESS-0513	ESS-0521	ESS-0526	ESS-0531	ESS-0536	ESS-0542	ESS-0550	ESS-0555	ESS-0561	ESS-0569	ESS-0578	ESS-0586	ESS-0590	ESS-0596	ESS-0603
s__Flavonifractor_plautii	0	1.13299	0.06558	0.8222	1.09341	0.03433	0.04113	2.03089	0.28559	0.08759	0.98707	0.73504	0.05347	0.18858	0.0575	0.38759	0.07856	0.20125	0.19139	0.82867	0.16243	0.51562	0.43278	0.14491	0.60877	0.338	0.06346	0.01326	0.10267	0.16824	0.19252	0.02467	0.03422	1.50305	0.03857	0.6615	0.73147	0.38786	0.27572	0.62433	0.00354	1.58499	0.01562	0.04933	1.01571	0.06486	0.50878	0.14235	0.14147	0.42865	0.09692	0.30038	0.01058	0.04962	0.18726	0.04621	0.12404	0.03403	0.0	0.09367	0.03759	0.05207	0.02191	0.27421	0.38404	0.4077	0.81736	0.38267	0.95922	2.53717	0.46763	0.42	0.01366	0.09649	0.97329	0.07491	0.03171	1.07145	0.05883	1.45604	0.45738	0.39097	0.03144	0.67829	0.75315	0.00497	0.0	0.34938	0.79623	0.2795	0.06323	0.05494	0.10142	2.50837	0.01698	0.0	0.00542	0.28537	0.00714	0.66138	1.25792
s__Eisenbergiella_massiliensis	0	1.04563	0.0956	0.00701	0.0	0.0	0.10187	0.0	0.00032	0.04003	0.01639	0.11397	0.0	0.00685	0.0	0.00844	0.0	0.0	0.26712	0.0	0.0	0.00379	0.0	0.0	0.03934	0.00432	0.04033	0.00025	0.04207	0.0	0.0	0.0	0.0	0.07252	0.0	0.00558	0.13338	0.01834	0.01841	0.78254	0.0	0.53995	0.0	0.0	0.06057	0.26804	0.0	0.00358	0.0	0.0	0.0	0.00156	0.10605	0.46477	0.11864	0.0	0.0	0.0	0.00368	0.0	0.0	0.01026	0.18157	0.04228	0.0	0.00263	0.44667	0.14853	0.13232	0.02989	0.13452	0.02775	0.0002	0.01308	0.03245	0.0	0.02046	0.05325	0.00013	0.0	0.0	0.16515	0.02045	0.0	1.18832	0.0	0.0	0.00193	0.0	0.04127	0.0053	0.0	0.02107	0.0	0.0	0.0	0.0	0.22802	0.0	0.00973	0.0
s__Roseburia_faecis	0	0.99305	0.04678	0.02898	0.00483	6.31916	6.45941	0.76407	1.65544	0.27412	0.01873	2.92823	4.87282	2.10289	1.68412	1.31324	4.15973	1.12669	1.57763	0.04841	1.31209	1.12516	12.94647	1.05359	0.74524	2.13762	3.94241	0.00403	0.65512	0.20231	0.00304	4.58761	0.50052	0.02042	1.60283	1.08853	0.0	0.04022	4.20006	0.03364	0.20478	0.76666	4.16722	0.97237	0.00079	0.05078	0.35247	0.33843	8.08824	0.59153	0.60878	0.55724	0.00242	0.01104	0.75716	0.00839	2.2177	0.8772	0.28456	0.42497	0.09138	1.17916	0.52077	0.00789	0.00086	0.04948	0.21302	13.86298	0.17159	0.20196	7.18273	0.04086	0.08559	0.05155	0.86335	0.00494	0.63717	0.56726	0.00315	1.6176	1.54441	0.02346	0.32705	2.00972	0.00602	2.1797	0.06653	0.07421	0.12727	0.06242	3.98492	5.0408	1.08866	0.02628	0.00019	10.29566	0.01016	4.27296	2.11674	0.84007	0.00786
s__Oscillibacter_sp_57_20	0	0.79479	0.00608	0.018	0.01961	1.32336	3.99691	0.34199	1.136	0.05825	0.00184	2.59472	0.89249	0.46551	0.68349	13.39481	1.541	0.0	0.00516	0.00517	0.00864	0.01119	0.83985	0.01207	0.0	0.00548	2.30773	0.0001	0.64461	0.18296	0.56377	0.73603	4.77958	0.7101	0.65897	0.4844	0.0	0.00657	0.01009	0.09608	0.962	0.00204	0.9929	1.02221	0.42921	0.44786	0.00102	1.69044	0.0	3.57813	0.86863	0.00622	1.78786	0.00453	0.0	0.0005	0.64596	7.69419	0.0	0.03066	0.00101	0.04883	0.04863	0.00148	0.45073	0.05487	0.00128	0.00137	0.0	0.0	0.0	0.00977	5.51584	0.68939	0.69932	3.08135	0.01026	0.0	0.32465	0.0	0.00735	0.00247	0.27553	0.00011	0.00183	0.10367	1.74703	0.0	0.00012	0.10623	0.0	4.11837	0.20134	4.76562	0.80648	2.8878	2.046	0.0	0.20339	0.12901	0.0207
s__Anaerostipes_hadrus	0	0.77584	0.01343	0.27501	0.0	0.11396	0.74794	0.67863	0.0011	0.12621	0.41853	0.22071	1.90253	0.32601	0.58146	0.10423	0.26976	1.1028	0.10233	0.0	0.82566	0.24691	0.5098	0.85603	0.23024	0.23603	0.33393	0.00521	0.21385	0.06314	0.47563	1.26777	1.85371	0.00985	0.59941	0.30011	0.75268	0.0	0.6429	0.00621	0.66052	1.5832	0.19838	0.0399	0.01348	0.37309	2.13669	0.18554	1.31809	0.01735	0.13195	0.50946	0.53393	0.23698	0.23532	0.3645	0.20662	0.01742	3.6203	0.13692	5.35041	0.35304	0.25021	0.91095	0.0	0.11554	1.31669	1.08587	0.11972	0.01486	0.14587	0.5501	0.66518	0.03501	0.46186	0.09302	1.34491	0.66551	0.17818	0.27127	0.3921	0.00514	0.14961	0.12704	1.57126	0.01049	1.10447	0.35409	0.0196	0.72912	0.13782	0.55757	0.1085	0.03718	0.10926	0.21502	3.07471	0.41563	1.02646	0.52811	0.11268
s__Anaerotruncus_colihominis	0	0.47069	0.0	0.08381	0.32281	0.0	0.0	0.07988	0.02986	0.00931	0.03498	0.00196	0.0	0.02379	0.0	0.0	0.00577	0.0	0.25078	0.01973	0.00742	0.00662	0.0	0.0211	0.00492	0.00869	0.0	0.0	0.00433	0.18915	0.0	0.0047	0.01719	0.01036	0.0	0.00658	0.0374	0.03847	0.07912	0.0	0.0	0.13742	0.0	0.0	0.82679	0.01329	0.08953	0.01195	0.00189	0.01016	0.00443	0.04744	0.0	0.50177	0.00449	0.0026	0.0	0.00077	0.0	0.0	0.0	0.0	0.0	0.01092	0.01892	0.04379	0.05539	0.06228	0.32495	0.26266	0.11915	0.01086	0.006	0.00387	0.02074	0.01128	0.00168	0.00798	0.0444	0.0356	0.0	0.01147	0.01723	0.00363	0.06756	0.0	0.0	0.01491	0.00593	0.10099	0.00434	0.0	0.0057	0.03731	0.0	0.0	0.0	0.00101	0.00015	0.05293	0.01963
s__Blautia_wexlerae	0	0.45654	0.00732	0.30624	1.19439	0.10358	0.21454	0.75051	0.00334	0.01235	0.4531	0.33835	0.20255	0.44897	0.05617	0.01752	0.03918	0.89816	0.01213	0.01681	0.45403	1.22032	0.02847	0.19342	0.0103	0.02519	0.0	0.04993	0.2154	0.26462	0.07515	0.01712	0.28284	0.0	0.03124	0.00911	0.06029	0.63601	0.36559	0.46828	0.00514	0.66597	0.01492	0.00247	0.01264	0.47599	0.11099	0.08983	0.01435	0.00398	0.02694	0.01749	0.2609	0.2322	0.38542	0.14989	0.0752	0.0	0.68898	0.01442	0.02505	0.16996	0.06807	0.15074	0.0	0.02042	0.10642	5.78524	0.04902	1.74425	0.95895	0.34063	0.06183	0.42121	0.07352	0.06834	0.14369	0.33597	0.01326	0.25633	0.13592	0.01428	0.00346	0.03951	0.01078	0.00093	0.01797	0.01236	0.0073	0.06729	0.01418	0.12265	0.01582	0.00582	0.00243	0.00205	0.06655	0.05246	0.02907	0.01493	0.14915
s__Alistipes_indistinctus	0	0.42023	0.0	0.0	0.0	0.11991	0.0	0.0	0.0	0.0	0.0	0.04763	1.10925	0.14523	0.0	0.33406	0.0	0.10672	0.0	0.0	0.27569	0.14768	0.0	0.47914	0.0	0.0	0.48636	0.0	0.2252	0.0	0.03967	0.0	0.45088	1.17634	0.01533	0.1759	0.0	0.04389	0.0	0.03272	0.0	0.0	0.0899	0.09023	0.0	0.0	0.0	0.0	0.05333	0.02551	0.43614	0.0	0.03137	0.0	0.0	0.0	0.0721	0.0	0.22373	0.0	0.0	0.0	0.08209	0.21645	0.0	0.0	0.07453	0.038	0.0	1.50109	0.0913	0.0	0.04126	0.20315	0.0	0.0	0.0	0.33902	0.06344	0.0	0.0	0.14792	0.14471	0.0	0.0	0.0237	0.11912	0.0	0.0	0.0	0.03808	0.0	0.0	0.03299	0.03182	0.0	0.05375	0.0	0.0	0.0	0.0
s__Monoglobus_pectinilyticus	0	0.41818	0.0	0.0	0.13336	0.08376	0.0	0.22504	0.00047	0.03979	0.0	0.02478	0.09948	0.06489	0.01573	0.79982	0.12155	0.0041	0.40304	0.0	0.00099	0.0	0.01858	0.16983	0.0	0.07439	0.03399	0.0	0.0	0.34732	0.20857	0.00118	0.0	0.05085	0.0	0.0	5.75935	0.0	0.00541	0.0	0.71516	2.13545	0.05885	0.0	0.01304	0.0001	0.0	0.16339	0.0	0.004	0.0	0.00361	0.0	0.63617	0.0	0.10612	0.0	0.0807	0.0	0.0	0.0	0.0	0.00117	0.07323	0.0	1.00636	0.07944	0.0	0.0	1.6398	0.39927	0.0	0.0	0.0	0.16451	0.0	0.13259	0.0	0.00701	0.0	0.0	0.02105	0.13076	0.0	0.0	0.00013	0.0	0.0	0.0	0.67966	0.0	0.0	0.0	0.0	0.01634	0.0	0.20395	0.09976	0.0	0.0	0.0
s__Ruthenibacterium_lactatiformans	0	0.4107	0.02406	1.20917	0.06193	0.00822	0.01152	1.32588	0.1689	0.02931	0.05674	0.74583	0.03166	0.12855	0.08273	0.0494	0.02824	0.00684	0.21457	0.38398	0.04266	0.08549	0.02869	0.12595	0.45703	0.08335	0.0803	1.02421	0.06965	0.27505	0.01666	0.06503	0.03464	15.05433	0.02046	0.16685	0.09847	0.10896	0.24751	0.623	0.07221	0.44638	0.02311	0.01479	2.27726	0.06842	0.08268	0.11717	0.05999	0.44393	0.0534	0.21571	0.07124	0.15697	0.07305	0.08316	0.01453	0.07681	0.09461	0.33508	0.00181	0.26884	0.27938	0.15334	0.13398	0.6297	0.45802	1.01574	0.66335	7.25171	0.27831	0.10959	0.02952	1.10771	0.09562	0.02478	0.03371	0.04521	0.04708	0.549	0.04464	0.12494	0.31793	0.41192	0.96544	0.00667	0.0801	0.05265	0.06972	0.55996	0.05315	0.03906	0.07081	2.19799	0.00616	0.02912	0.0058	0.11898	0.01874	0.17967	1.43966
