clade_name	NCBI_tax_id	SK_CT101OSL_t1M14	SK_CT101RCR_t1M14	SK_CT102OSL_t1M14	SK_CT102RCL_t1M14	SK_CT102RCR_t1M14	SK_CT104OSL_t1M14	SK_CT104OSR_t1M14	SK_CT104RCL_t1M14	SK_CT104RCR_t1M14	SK_CT105OSL_t1M14	SK_CT105OSR_t1M14	SK_CT105RCL_t1M14	SK_CT105RCR_t1M14	SK_CT106OSL_t1M14	SK_CT106OSR_t1M14	SK_CT106RCL_t1M14	SK_CT106RCR_t1M14	SK_CT107OSL_t1M14	SK_CT107OSR_t1M14	SK_CT107RCL_t1M14	SK_CT107RCR_t1M14	SK_CT108OSL_t1M14	SK_CT108OSR_t1M14	SK_CT108RCR_t1M14	Steph_2	Steph_3	Steph_4	Steph_5	Steph_6	Steph_7	Steph_b2_1	Steph_b2_10	Steph_b2_11	Steph_b2_12	Steph_b2_13	Steph_b2_14	Steph_b2_16	Steph_b2_17	Steph_b2_18	Steph_b2_2	Steph_b2_20	Steph_b2_21	Steph_b2_22	Steph_b2_23	Steph_b2_24	Steph_b2_25	Steph_b2_26	Steph_b2_28	Steph_b2_29	Steph_b2_30	Steph_b2_31	Steph_b2_32	Steph_b2_33	Steph_b2_34	Steph_b2_35	Steph_b2_36	Steph_b2_39	Steph_b2_40	Steph_b2_43	Steph_b2_45	Steph_b2_46	Steph_b2_47	Steph_b2_48	Steph_b2_49	Steph_b2_5	Steph_b2_50	Steph_b2_51	Steph_b2_52	Steph_b2_53	Steph_b2_54	Steph_b2_55	Steph_b2_56	Steph_b2_57	Steph_b2_58	Steph_b2_6	Steph_b2_60	Steph_b2_61	Steph_b2_62	Steph_b2_63	Steph_b2_64	Steph_b2_65	Steph_b2_66	Steph_b2_67	Steph_b2_68	Steph_b2_70	Steph_b2_71	Steph_b2_72	Steph_b2_74	Steph_b2_9
s__Corynebacterium_pseudogenitalium	0	0.49065	0.0	0.36047	0.01468	0.0	0.0	0.0	0	0.0	0.13818	0.10753	0.33685	0.08276	0.0	0.01889	3.2177	0.0	0.0	0.0	0.0	0.0	0	0.19223	13.4536	0	0.0	0.0	0.0	0.0	0	0.0	0.38754	0.0	0.0	0.14154	0.16134	0.0	0.0	0.01171	0.02475	0.33024	0.05783	0.19793	23.2824	0.0	2.09285	1.0732	20.80264	0.0	0.0	0.0	0.0	0.0068	0.0	0.0	0.0	0.0	0.03997	0	0.08851	0.39057	0.45657	0.76719	1.56655	0.0	0.94813	0.0	0.10464	0.0	0.0	0.0	0.0	0.01922	0.0199	0.0	0.0	0.0	0.02854	0.08919	0.0	0.0	0.0042	0.12335	0	0.0	0.0	2.57706	0.0	0.87619
s__Micrococcus_luteus	0	0.38435	32.11035	2.815	0.4382	0.09273	0.23672	0.14623	0	31.78143	1.00258	0.45011	3.10539	1.35751	2.89888	0.01741	0.18542	0.06767	0.0	2.51563	0.0	0.0	0	1.01087	0.0	0	0.0	0.0	0.00488	0.01363	0	0.0	2.90811	50.68024	6.7847	0.04439	0.09084	64.72435	4.94713	1.12653	0.0	22.76519	0.07612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56884	0.63475	0.66698	8.53441	7.24514	3.44928	0	4.64756	2.8381	14.91914	10.54495	0.0	0.0	0.01913	29.53692	28.02896	0.0	0.0	0.42702	0.0	2.20956	0.2707	0.0	67.46745	0.23453	0.11725	36.53351	0.0	0.0	0.0	0.0	0	0.0	14.427	17.31666	0.0	2.13512
s__Moraxella_lacunata	0	0.27307	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_rectale	0	0.27174	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
s__Staphylococcus_aureus	0	0.11368	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.70936	0.0	0.0	0.0	0	35.35204	0.0	100	1.52419	6.2824	0.0	0.0	0	0.0	0.0	0.0	0.0	0.73489	0.31211	0.0	0.0	0.0	0.0	0.0	3.42905	0.07447	28.56305	27.06246	67.57691	42.9084	0.0	0.0	0.0	0.0	0.0	3.06498	0.0	94.29292	58.76516	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.38681	1.39377	0.04054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	0.1118	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
s__Malassezia_globosa	0	0.07364	0.0	0.36735	1.67069	0.00859	0.02984	0.19048	0	0.0	0.0	0.01651	0.0	0.0116	0.0	0.03512	0.0	0.29253	0.0	0.0	1.92108	0.0	0	0.28361	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.13153	0.0	0.0	0.0	0.0	0.0	0.0	0.03084	0.0	0.10561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00879	0.0	0.0	0.0	0.17148	0.02479	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.6699	0.0	0.38805	0.0	0.02287	0.0	0.0	0.0	0.0	0.32881	0.4926	0.0	0.0	0.00321	0.0	16.73898	0.0	0.0	0.25951	0.0	0	0.0	0.0	0.0	0.0	0.22202
s__Ruminococcus_bromii	0	0.07362	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_bicirculans	0	0.04592	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_stercoris	0	0.04261	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
