clade_name	NCBI_tax_id	TRAVELRES1	TRAVELRES10	TRAVELRES11	TRAVELRES12	TRAVELRES13	TRAVELRES14	TRAVELRES15	TRAVELRES16	TRAVELRES17	TRAVELRES18	TRAVELRES19	TRAVELRES2	TRAVELRES20	TRAVELRES21	TRAVELRES22	TRAVELRES23	TRAVELRES24	TRAVELRES25	TRAVELRES26	TRAVELRES27	TRAVELRES28	TRAVELRES29	TRAVELRES3	TRAVELRES30	TRAVELRES31	TRAVELRES32	TRAVELRES33	TRAVELRES34	TRAVELRES35	TRAVELRES36	TRAVELRES37	TRAVELRES38	TRAVELRES39	TRAVELRES4	TRAVELRES40	TRAVELRES41	TRAVELRES42	TRAVELRES43	TRAVELRES44	TRAVELRES45	TRAVELRES46	TRAVELRES47	TRAVELRES48	TRAVELRES49	TRAVELRES5	TRAVELRES50	TRAVELRES51	TRAVELRES52	TRAVELRES53	TRAVELRES54	TRAVELRES55	TRAVELRES56	TRAVELRES57	TRAVELRES58	TRAVELRES59	TRAVELRES6	TRAVELRES60	TRAVELRES61	TRAVELRES62	TRAVELRES63	TRAVELRES64	TRAVELRES65	TRAVELRES66	TRAVELRES67	TRAVELRES68	TRAVELRES69	TRAVELRES7	TRAVELRES70	TRAVELRES8	TRAVELRES9
s__Clostridium_sp_CAG_253	0	0.0	0.0	1.3692	0.17849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08992	0.0	0.0	0.0	0.07693	0.08717	0.68346	0.14363	0.0	0.0	0.02584	2.30313	0.0	0.00933	0.0	0.0	0.0	0.0	0.37256	0.09874	0.0	0.30494	0.43634	0.0497	1.23227	0.14698	0.0	0.0	0.0	0.86594	0.05576	0.04435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07545	0.01355	0.0	0.0	0.0	0.0	0.02688	0.08928	0.03705	0.0	0.0	0.0	0.0	0.0	0.31594	0.49149	0.81019	0.10726	0.20342	0.0
s__Candidatus_Methanomassiliicoccus_intestinalis	0	0.0	0.0	1.36325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phascolarctobacterium_sp_CAG_266	0	0.0	0.0	0.78444	2.203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_964	0	0.0	0.0	0.3306	0.14416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_sp_CAG_633	0	0.0	0.0	0.23972	0.0021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_cellulosilyticus	0	0.0	0.0	0.02334	0.53135	0.0	0.00134	0.0	0.09551	0.03797	0.03858	0.0	0.0	0.01127	0.50897	0.46093	0.0	0.0	0.4038	0.25061	0.44879	0.51834	0.76572	2.2369	0.01997	0.73589	1.48213	0.00031	0.00029	1.78661	3.55464	13.21682	1.90898	0.0243	4.82042	0.00196	0.3471	0.52089	0.0257	0.00272	1.42141	2.54425	0.06466	0.02086	0.78512	0.01673	0.69046	9.64335	1.16317	0.47525	6.72187	0.13284	0.58105	0.00101	0.10755	0.08576	0.45488	0.40447	0.07151	0.06675	0.03931	0.01008	0.76849	0.39631	0.0	0.0	0.44761	0.16923	0.22477	0.07637	0.0
s__Brachyspira_sp_CAG_700	0	0.0	0.0	0.01327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.68958	2.74931	0.0	0.0	0.0	0.0	0.0	0.0	1.48399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Haemophilus_sp_HMSC71H05	0	0.0	0.0	0.01195	0.04246	0.00151	0.00661	0.36125	0.0	0.06016	0.29384	0.0	0.01086	0.0	0.00021	0.0	0.00763	0.00068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00104	0.00103	0.0	0.0	0.0	0.00557	0.00979	0.12186	0.00446	0.0	0.01724	0.01539	0.02331	0.0	0.00136	0.0	0.00558	0.00627	0.0	0.02399	0.0	0.0	0.0185	0.0233	0.0	0.0	0.00842	0.00999	0.08156	0.03115	0.02007	0.0	0.01876	0.0	0.0	0.01326	0.00937	0.01297	0.03815	0.01448	0.01247	0.00545	0.00211	0.00402	0.0	0.00093
s__Cloacibacillus_porcorum	0	0.0	0.0	0.01025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Holdemania_filiformis	0	0.0	0.0	0.0085	0.00775	0.00911	0.0231	0.00079	0.00467	0.0	0.0	0.00915	0.0	0.00114	0.0	0.0	0.0	0.00218	0.00158	0.01124	0.03673	0.01707	0.00708	0.0	0.00181	0.0	0.0	0.00805	0.14123	0.0	0.0	0.0	0.0	0.01956	0.0	0.00435	0.01229	0.0047	0.00586	0.00208	0.00239	0.00293	0.0	0.0	0.0	0.00218	0.01488	0.02565	0.00328	0.01055	0.02643	0.00759	0.0	0.0	0.0	0.02664	0.04698	0.01565	0.01855	0.02888	0.0	0.0	0.0	0.0	0.00096	0.0	0.00645	0.00322	0.01407	0.0	0.0
s__Lactobacillus_plantarum	0	0.0	0.0	0.00769	0.14496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00053	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046	0.0	0.1575	0.0
s__Gemella_sanguinis	0	0.0	0.0	0.00467	0.0	0.0003	0.0	0.0	0.0	0.0011	0.00171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00085	0.00092	0.0	0.0	0.00112	0.00094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02061	0.0	0.0	0.00205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.0	0.0	0.0	0.0	0.0	0.0
s__Parabacteroides_johnsonii	0	0.0	0.0	0.00465	0.0	0.00346	0.02523	0.0	0.17348	0.0	0.00017	0.0	0.00788	0.00144	0.0	0.0	0.0	0.0	0.30208	0.51372	0.0	0.01028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_gnavus	0	0.0	0.0	0.00351	0.0	0.00141	0.00943	0.0	0.0	0.00413	0.00299	0.0	0.0	0.0	0.02607	0.01109	0.02477	0.00052	0.00263	0.00926	0.0	0.0	0.00328	0.0	0.00772	0.26503	1.70422	0.03099	0.68074	0.0	0.0	0.0	0.0	0.01861	0.0	0.0	0.0	0.0	0.11942	0.11711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02035	0.00036	0.03077	0.13277	0.00935	0.00782	0.00469	0.0	0.02679	0.0	0.0	0.0	0.09842	0.0	0.0	0.0	0.00753	0.0	0.0	0.0	0.02533	0.0	1.81361	0.0089
s__Parabacteroides_gordonii	0	0.0	0.0	0.00182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00148	0.0	0.00095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.00116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06093	0.04112	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Saccharomyces_cerevisiae	0	0.0	0.0	0.00165	0.0	0.0	0.01212	0.0	0.0	0.0	0.02021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112	0.0	0.0	0.00484	0.0	0.0	0.00711	0.0	0.0	0.0	0.00304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00068	0.0	0.00114	0.0	0.00309	0.0	0.00241	0.0	0.00144	0.02353	0.00147	0.0	0.0	0.0	0.0	0.00142	0.0	0.00794	0.0	0.0	0.0	0.0
s__Bifidobacterium_pseudocatenulatum	0	0.0	0.0	0.00103	0.0	0.0	0.0	0.05126	0.00792	0.0	0.0	0.0	0.0	0.0	0.12449	0.32297	0.0	0.00068	0.0	0.00934	0.0	0.0	0.0	0.0	0.0	0.05421	0.06541	0.05744	0.27585	0.00532	0.03432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01074	0.00462	0.01945	0.0177	0.28449	0.01661	0.0	0.0	0.00014	0.0	0.0	0.0	0.58903	0.02474	0.01771	0.00205	0.00469	0.0235	0.0	0.00649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00274	0.00398
s__Streptococcus_infantis	0	0.0	0.0	0.00091	0.0	0.00192	0.0	0.0	0.0	0.00285	0.00599	0.00076	0.00536	0.00144	0.0	0.00277	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.00219	0.00258	0.0	0.0	0.0	0.0	0.0	0.00218	0.0	0.0	0.0	0.0009	0.0	0.00136	0.01297	0.0	0.0	0.00518	0.0353	0.0	0.0	0.01342	0.0	0.00663	0.0	0.0	0.0	0.0	0.00095	0.01935	0.0	0.0	0.00255	0.0	0.0	0.00064	0.0	0.0	0.0	0.00245	0.0221	0.0	0.0	0.00257	0.0	0.0	0.00077	0.0
s__Clostridium_citroniae	0	0.0	0.0	0.00061	0.00034	0.0037	0.01959	0.00648	0.00426	0.0	0.00288	0.00837	0.00014	0.00457	0.00047	0.03753	0.0151	0.00565	0.0	0.0	0.01781	0.0	0.00473	0.0	0.01141	0.00963	0.00854	0.00146	0.00966	0.0	0.0	0.00528	0.0	0.00606	0.00465	0.00501	0.00318	0.0	0.00356	0.0	0.0	0.0	0.0	0.00191	0.00514	0.0	0.0	0.01412	0.0036	0.01097	0.01338	0.00336	0.00328	0.0	0.0	0.00675	0.00069	0.01261	0.00083	0.00446	0.0	0.0	0.01539	0.0063	0.00279	0.0	0.0	0.00034	0.00137	0.0	0.0
s__Streptococcus_sp_F0442	0	0.0	0.0	0.00039	0.00098	0.00014	0.0	0.0	0.00044	0.0	0.0	0.00024	0.00135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0158	0.0	0.00088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00108	0.0	0.0	0.00957	0.0	0.00194	0.00068	0.0033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Leuconostoc_mesenteroides	0	0.0	0.0	0.00029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00847	0.0	0.0	0.00359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00482	0.0	0.0	0.00293	0.0	0.0	0.00278	0.0	0.0	0.0	0.01419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00676	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033	0.0	0.0	0.0	0.0
s__Clostridium_clostridioforme	0	0.0	0.0	0.00027	0.0	0.00784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00132	0.00092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1783	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00055	0.00177	0.00574	0.09599	0.00056	0.0	0.0	0.0	0.00091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Christensenella_minuta	0	0.0	0.0	0.0	0.02303	0.0	0.0	0.0	0.0	0.0	0.00044	0.0	0.0	0.0	0.01188	0.0	0.0	0.0	0.0	0.0	0.00488	0.0	0.0	0.0	0.0	0.0	0.0	0.0027	0.00577	0.0	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00076	0.00082	0.00081	0.0	0.0	0.0	0.00141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_vestibularis	0	0.0	0.0	0.0	0.00222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.0	0.0	0.00172	0.0	0.0	0.0	0.0	0.0	0.0	0.00109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00052	0.0	0.00159	0.0	0.0	0.0	0.0
s__Neisseria_flavescens	0	0.0	0.0	0.0	0.00198	0.0	0.0	0.0	0.0007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136	0.0	0.0	0.0	0.0	0.0	0.0	0.00072	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013	0.0	0.0	0.0	0.0	0.0	0.00136	0.0
s__Veillonella_rogosae	0	0.0	0.0	0.0	0.0006	0.00095	0.00249	0.0	0.0	0.00295	0.00086	0.00164	0.0	0.0	0.0	0.0	0.0	0.0	0.00221	0.0	0.0	0.0	0.0	0.00287	0.0	0.0	0.0	0.0	0.0	0.00106	0.0	0.00058	0.00157	0.00072	0.00925	0.00076	0.00552	0.01336	0.0	0.00169	0.0	0.0	0.0	0.0	0.00129	0.00207	0.0	0.00052	0.00264	0.0	0.0	0.0	0.00099	0.00073	0.00148	0.0	0.00295	0.00111	0.0	0.0	0.0	0.0	0.0	0.03184	0.0	0.00021	0.0	0.0	0.0	0.0	0.0
s__Haemophilus_sputorum	0	0.0	0.0	0.0	0.0004	0.0	0.0	0.00058	0.00397	0.0	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00721	0.0023	0.00308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022	0.0	0.00226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00506	0.00654	0.0	0.0	0.00116	0.00688	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00146	0.00032	0.00065	0.00415	0.0
s__Clostridium_innocuum	0	0.0	0.0	0.0	0.00032	0.0	0.0	0.0	0.0	0.0	0.0	0.00013	0.0	0.0	0.00147	0.00416	0.0	0.00232	0.0	0.0	0.00245	0.0	0.00082	0.0	0.00407	0.00056	0.00651	0.00088	0.01091	0.0	0.0	0.00085	0.0	0.0	0.0	0.0	0.0	0.0	0.0058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00374	0.0048	7e-05	0.00087	0.00379	0.0	0.00376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00133
s__Clostridium_celatum	0	0.0	0.0	0.0	0.00016	0.0	0.0	0.00211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.00078	0.0	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.0	0.0
s__Parabacteroides_sp_CAG_409	0	0.0	0.0	0.0	0.0	0.5221	0.35736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Paraprevotella_xylaniphila	0	0.0	0.0	0.0	0.0	0.34923	2.04097	0.0	0.0	0.10137	0.10852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53686	0.01277	0.0	0.0	0.02356	0.0	0.84468	0.02217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71236	0.0	0.90761	0.0	0.0	0.55584	0.3925	0.0	0.0	1.21978	4.16411	0.00322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29742	0.45541	0.72776	0.77711	0.0	0.0	0.16091	0.08699	0.0	0.03392	0.0	0.01639	0.0
s__Fusobacterium_sp_CAG_439	0	0.0	0.0	0.0	0.0	0.06791	0.33161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_clarus	0	0.0	0.0	0.0	0.0	0.04007	0.38231	0.0	0.0	0.06015	0.18197	0.0	0.02477	0.06172	0.4417	1.13752	0.0	0.96313	0.00825	0.00624	0.0	0.20845	0.00268	0.0	0.00847	0.0005	0.0	0.0	0.0	0.0	0.00316	0.0	0.0	0.0	0.0	0.09592	0.0171	0.15902	0.0	0.0	0.0	0.0	0.00262	0.02037	0.0	0.0	0.0	0.0	2.9931	0.00168	0.0	0.0	0.0	0.28322	1.018	0.10859	0.0	0.45726	1.09144	0.519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0817	0.0	0.01502	0.0
s__Bacteroides_coprocola	0	0.0	0.0	0.0	0.0	0.02882	0.0655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27473	4.14217	0.0	0.0	3.80845	1.10477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.87382	1.48282	0.00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.32259	4.11527	2.24804	1.01427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_ruminis	0	0.0	0.0	0.0	0.0	0.01513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00115	0.0	0.07918	0.00441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00928	0.0	0.0	0.0	0.0	0.14812	0.0	0.0	0.11358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.09341	0.0
s__Clostridium_saccharolyticum	0	0.0	0.0	0.0	0.0	0.01054	0.00102	0.0	0.0	0.0	0.0	0.01077	0.0	0.0	0.00221	0.0471	0.02967	0.02191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00132	0.0	0.00035	0.00177	0.00108	0.0	0.00021	0.0	0.0	0.0	0.0	0.00273	0.00667	0.0	0.0	0.0	0.0	0.0	0.0	0.00053	0.0	0.00099	0.0	0.0
s__Clostridium_sp_chh4_2	0	0.0	0.0	0.0	0.0	0.00312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Anaerotruncus_sp_CAG_528	0	0.0	0.0	0.0	0.0	0.00213	0.0	19.46362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07712	3.49831	0.01002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027	0.0	0.03826	0.0
s__Hungatella_hathewayi	0	0.0	0.0	0.0	0.0	0.00137	0.00371	0.00697	0.0	0.0	0.0	0.00348	0.0	0.00087	0.00436	0.01112	0.00045	0.00422	0.0	0.0	0.01939	0.0	0.00199	0.0	0.00693	0.00107	0.02093	0.0	0.02197	0.0	0.0	0.02979	0.00243	0.00168	0.00497	0.0	0.0	0.0	0.00256	0.00114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.00127	0.00803	0.02257	0.00059	0.0	0.0	0.0	0.00045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00303
s__Streptococcus_australis	0	0.0	0.0	0.0	0.0	0.00094	0.0	0.0	0.0	0.0009	0.00129	0.01439	0.0	0.0	0.0	0.00187	0.0	0.0	0.0	0.0	0.0	0.0	0.00011	0.0	0.0	0.0	0.0	0.0	0.0	0.00034	0.0	0.0	0.0	0.0	0.0	0.0	0.00014	0.02109	0.0	0.00042	0.00217	0.00271	0.0	0.0	0.0	0.0	0.0	0.00044	0.0	0.0	0.0	0.0	0.02928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00077	0.0	0.00061	0.0	0.0	0.0	0.0
s__Streptococcus_sp_A12	0	0.0	0.0	0.0	0.0	0.00082	0.0	0.0	0.0	0.0	0.00061	0.01272	0.0	0.0	0.0	0.00109	0.0	0.0	0.0	0.0	0.00021	0.0	0.0	0.0	0.00064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.02888	0.0	0.00069	0.0	0.00053	0.0	0.0	0.0	0.0	0.0	0.00326	0.0	0.0	0.0	0.0	0.01934	0.0	0.0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00108	0.00082	0.0	0.00047	0.0	0.0	0.0	0.0
s__Streptococcus_oralis	0	0.0	0.0	0.0	0.0	0.00077	0.0	0.0	0.0	0.00142	0.00383	0.00084	0.00138	0.0	0.0	0.00252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00383	0.0	0.0	0.0	0.00467	0.00091	0.0	0.01729	0.0	0.00804	0.0	0.0	0.00061	0.0	0.00078	0.01156	0.0	0.00073	0.00302	0.0	0.0	0.00211	0.0	0.00051	0.0	0.0	0.00371	0.0	0.0	0.00161	0.0	0.0	0.00511	0.0
