clade_name	NCBI_tax_id	TRAVELRES1	TRAVELRES10	TRAVELRES11	TRAVELRES12	TRAVELRES13	TRAVELRES14	TRAVELRES15	TRAVELRES16	TRAVELRES17	TRAVELRES18	TRAVELRES19	TRAVELRES2	TRAVELRES20	TRAVELRES21	TRAVELRES22	TRAVELRES23	TRAVELRES24	TRAVELRES25	TRAVELRES26	TRAVELRES27	TRAVELRES28	TRAVELRES29	TRAVELRES3	TRAVELRES30	TRAVELRES31	TRAVELRES32	TRAVELRES33	TRAVELRES34	TRAVELRES35	TRAVELRES36	TRAVELRES37	TRAVELRES38	TRAVELRES39	TRAVELRES4	TRAVELRES40	TRAVELRES41	TRAVELRES42	TRAVELRES43	TRAVELRES44	TRAVELRES45	TRAVELRES46	TRAVELRES47	TRAVELRES48	TRAVELRES49	TRAVELRES5	TRAVELRES50	TRAVELRES51	TRAVELRES52	TRAVELRES53	TRAVELRES54	TRAVELRES55	TRAVELRES56	TRAVELRES57	TRAVELRES58	TRAVELRES59	TRAVELRES6	TRAVELRES60	TRAVELRES61	TRAVELRES62	TRAVELRES63	TRAVELRES64	TRAVELRES65	TRAVELRES66	TRAVELRES67	TRAVELRES68	TRAVELRES69	TRAVELRES7	TRAVELRES70	TRAVELRES8	TRAVELRES9
s__Mitsuokella_multacida	0	0.0	0.00792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_disiens	0	0.0	0.00707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018	0.00089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01795	0.00047	0.0	0.00104	0.0	0.0	0.01671	0.0	0.0	0.0	0.09436	0.0	0.0	0.00283	0.00094	0.0	0.00794	0.0	0.0	0.0	0.00143	0.00133	0.00462	0.0	0.00865	0.0	0.0	0.0	0.0	0.0	0.0	0.00075	0.0	0.0	0.00076
s__Firmicutes_bacterium_CAG_94	0	0.0	0.00678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.0	0.00435	0.00235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00638	0.0	0.05385	0.00501	0.00452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00227	0.0	0.0046	0.0	0.01358
s__Lactobacillus_rogosae	0	0.0	0.00555	0.06898	0.02441	0.0582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01023	0.04347	0.52759	0.00429	0.0	0.16555	0.14276	0.04061	0.04684	0.09678	0.12193	0.01216	0.0	0.01068	0.0	0.0	0.00294	0.00096	0.0	0.00578	0.03887	0.00062	0.0	0.0	0.11545	0.10842	0.01265	0.00994	0.10977	0.06599	0.0	0.0	0.00204	0.04467	0.0149	0.0	0.0	0.10937	0.07332	0.0	0.17265	0.07888	0.0	0.17741	0.00039	0.00097	0.00144	0.02842	0.00123	0.0	0.01912	0.0	0.01294	0.1903	0.02282	0.08105	0.00586
s__Streptococcus_mitis	0	0.0	0.0055	0.00801	0.00109	0.0	0.0	0.00052	0.00773	0.0	0.00799	0.00119	0.0	0.0	0.0	0.0065	0.0	0.00014	0.0088	0.00123	0.00106	0.0	0.0014	0.0054	0.00454	0.0017	0.0	0.00071	0.0	0.00198	0.00172	0.0	0.0	0.0	0.00553	0.00185	0.00116	0.0267	0.00159	0.00089	0.00098	0.00298	0.00135	0.0	0.00457	0.0	0.01314	0.0	0.00098	0.00375	0.0	0.00776	0.03593	0.00263	0.00029	0.00765	0.0	0.00378	0.00468	0.0015	0.00187	0.0	0.0	0.02015	0.00106	0.00026	0.02519	0.00109	0.00181	0.00733	0.00135
s__Flavonifractor_sp_An100	0	0.0	0.00397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00549	0.00098	0.0013	0.0	0.0	0.0	0.0037	0.0	0.03916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00723	0.0	0.00114	0.0	0.00093
s__Prevotella_buccalis	0	0.0	0.00363	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019
s__Actinomyces_sp_oral_taxon_181	0	0.0	0.00354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00057	0.0	0.0	0.0	0.00455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00156	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0	0.00051	0.0	0.0	0.00289	0.0	0.0	0.0	0.0	0.0	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00344
s__Actinomyces_sp_S6_Spd3	0	0.0	0.00259	0.0	0.0	0.0	0.0	0.00038	0.0	0.0	0.0	0.00074	0.0	0.0	0.0	0.00143	0.0	0.0	0.00016	0.0	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00104	0.00035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0	0.00194
s__Prevotella_bivia	0	0.0	0.00168	0.0	0.0	0.0	0.0	0.00202	0.00192	0.0	0.0	0.0	0.0	0.01709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00167	0.00043	0.0	0.0	0.0	0.0	0.0	0.0	0.00069	0.0	0.0	0.00585	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00043	0.0	0.00264	0.00237
