metric	kruskal_H	kruskal_p	spearman_rho_vs_auroc
mean_auroc	14.688382160475214	0.011780214593936902	1.0
max_auroc (best model)	12.343571931944041	0.030371570357095392	0.942857142857143
mean_balanced_accuracy	8.799677841538312	0.11732608916188057	1.0
mean_f1_macro	8.763384677338166	0.11888236242768	1.0
