category	n_studies	median_auroc	mean_auroc	iqr_low	iqr_high
IBD	5	0.9560562499999999	0.8945512499999999	0.82780625	0.9566749999999999
Infection/parasitic	6	0.8196656250000001	0.8111364583333334	0.751334375	0.88305625
Metabolic	10	0.70188125	0.7044693750000001	0.57125	0.825815625
Neuropsychiatric	4	0.67393125	0.6876296875	0.6410484375000001	0.7205124999999999
Other	6	0.65668125	0.6841979166666666	0.5634015625	0.7502046875
Cancer (CRC)	11	0.60766875	0.6202710227272727	0.557596875	0.6536718749999999
