clade_name	NCBI_tax_id	P10E0	P10E7	P10E90	P11E0	P11E7	P11E90	P12E0	P12E7	P12E90	P13E0	P13E7	P13E90	P14E0	P14E7	P14E90	P15E0	P15E7	P15E90	P17E0	P17E7	P17E90	P18E0	P18E7	P18E90	P19E0	P19E7	P19E90	P1E0	P1E7	P1E90	P20E0	P20E7	P20E90	P21E0	P21E7	P21E90	P22E0	P22E7	P22E90	P23C0	P23C7	P23C90	P25C0	P25C7	P25C90	P2E0	P2E7	P2E90	P38C0	P38C7	P38C90	P3E0	P3E7	P3E90	P4E0	P4E7	P4E90	P5E0	P5E7	P5E90	P6C0	P6C7	P6C90	P7C0	P7C7	P7C90	P8C0	P8C7	P8C90	P9E0	P9E7	P9E90
s__Haemophilus_sputorum	0	0.00932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00553	0.00793	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_94	0	0.00903	0.0	0.01581	0.00127	0.12083	0.21289	0.0	0.0	0.0	0.00435	0.07507	0.00126	0.0	0.0	0.0	0.0	0.0	0.0155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77065	0.42968	0.03609	0.0	0.0	0.0	0.01546	0.0001	0.02439	0.01499	0.00133	0.01666	0.00214	0.00136	0.0	0.0	0.0	0.0	0.00519	0.01249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10888	0.18059	0.02475	0.0	0.0	0.0	0.0	0.0	0.0	0.00735	0.00861	0.0208
s__Clostridium_symbiosum	0	0.00892	0.54805	0.0	0.00102	1.42411	0.01999	0.13346	2.69105	0.20337	0.0	0.00835	0.0	0.0	0.0	0.0	0.0	0.30828	0.0	0.01101	0.0	0.00291	0.00428	0.13543	0.01715	0.02616	0.00154	0.0	0.0	0.0	0.0	0.04476	1.10776	0.3975	0.01045	0.04635	0.04616	0.01823	0.47968	0.01352	0.02831	0.04865	0.01643	0.0	0.0	0.0	0.0	0.0	0.0	0.00337	0.00519	0.00089	0.0	0.01783	0.0	0.00125	0.03154	0.00183	0.01288	0.03291	0.0	0.00056	0.00386	0.00587	0.0	0.0	0.0	0.00833	0.01486	0.00208	0.00285	0.0715	0.04225
s__Turicimonas_muris	0	0.00871	0.00445	0.00421	0.00597	0.02945	0.00025	0.0	0.0	0.0	0.02831	0.01287	0.04952	0.0	0.01712	0.00151	0.11451	0.05454	0.00768	0.0	0.03555	0.00347	0.19888	0.06211	0.13226	0.0	0.0071	0.0	0.00343	0.00123	0.02021	0.00442	0.02053	0.02143	0.00632	0.01666	0.00366	0.10695	0.11085	0.08853	0.00552	0.0	0.00193	0.0	0.0	0.0	0.02182	0.01628	0.01207	0.06091	0.02416	0.04913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18046	0.10118	0.32109	0.04686	0.08296	0.02594	0.14142	0.09672	0.09135	0.00557	0.05739	0.00703
s__Parabacteroides_johnsonii	0	0.00785	0.3881	0.06476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02931	0.00295	0.03052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16005	15.32406	2.31747	0.0	0.0	0.0	0.0	0.0	0.0	2.98449	4.29398	0.22979	0.0	0.0	0.0	0.12082	1.16121	0.11013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34108	1.25806	0.29647	0.0	0.0	0.0	0.0	0.0	0.0
s__Rothia_mucilaginosa	0	0.00785	0.0	0.00029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00096	0.00235	0.0	0.00375	0.00319	0.00198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00711	0.01342	0.01843	0.0	0.0	0.00087	0.0	0.0	0.0	0.0	0.0	0.0
s__Blautia_hydrogenotrophica	0	0.00748	0.00889	0.00095	0.0	0.14953	0.00296	0.0	0.0	0.0	0.0	0.00178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00458	0.00104	0.00209	0.0	0.0	0.0	0.0	0.0	0.0	0.01675	0.07158	0.04685	0.01577	0.04761	0.0303	0.0	0.01181	0.00165	0.00681	0.00909	0.00794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00212	0.0	0.0	0.0	0.00067	0.00263	0.00273	0.0	0.0	0.0	0.0	0.0	0.0	0.00197	0.01907	0.01443
s__Gordonibacter_pamelaeae	0	0.00748	0.00158	0.00249	0.01444	0.00202	0.02321	0.06203	0.0	0.03606	0.00114	0.00137	0.00028	0.0	0.0	0.0	0.00906	0.0	0.01583	0.01305	0.01001	0.0202	0.07169	0.00583	0.01922	0.00987	0.00361	0.00384	0.00246	0.0009	0.00099	0.0	0.0	0.0	0.0606	0.01166	0.36605	0.02257	0.00147	0.01283	0.00803	0.03221	0.00163	0.00734	0.01071	0.00641	0.00351	0.00137	0.00868	0.01743	0.02507	0.00635	0.05946	0.04441	0.01614	0.00631	0.0	0.00717	0.04518	0.02071	0.00175	0.10311	0.17477	0.02611	0.07305	0.05312	0.06596	0.01765	0.02371	0.01537	0.0004	0.00196	0.02439
s__Veillonella_sp_T11011_6	0	0.00739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00056	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.0	0.0	0.0	0.00108	0.03732	0.00111	0.00167	0.00036	0.00413	0.0	0.0	0.0	0.02004	0.0	0.00846	0.00692	0.0	0.0	0.0	0.0	0.01355	0.0	0.0	0.00112	0.0	0.0	0.00125	0.0	0.0	0.0	0.00057	0.0	0.0
s__Dorea_sp_CAG_317	0	0.00638	0.0	0.0	0.0	0.0	0.00246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02574	0.0089	0.08317	0.00259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00108	0.0	0.0	0.0	0.0	0.0	0.0	0.00066	0.06624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00122	0.00064	0.0	0.0	0.0
s__Prevotella_buccalis	0	0.00626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00088	0.0	0.00299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eisenbergiella_massiliensis	0	0.00598	0.07136	0.00233	0.0	0.0	0.0	0.68599	0.11056	0.46549	0.0	0.0	0.0	0.0	0.00186	0.0	0.0	0.01336	0.01405	0.0	0.0	0.0	0.0	0.0	0.0	0.00545	0.03581	0.0	0.0	0.00278	0.00783	0.0	0.0	0.0	0.05339	0.1579	0.0433	0.00114	0.01415	0.00496	0.0024	0.01194	0.00055	0.0	0.0	0.0	0.00461	0.00982	0.0	0.00328	0.0065	0.00212	0.0	0.04739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03154	0.00766
s__Roseburia_sp_CAG_303	0	0.00574	0.0	0.0	0.0	0.0	0.0	0.00808	0.0	0.0	0.0	0.0	0.00383	0.0	0.0	0.0	0.08787	0.0	0.1609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05463	0.13004	0.01834	0.0	0.0	0.0	0.03183	0.10219	0.07949	0.13079	0.0	0.02589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2992	0.04821	0.17949	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_hallii	0	0.00544	0.0	0.03674	0.00418	0.0	0.00302	0.0	0.0	0.0	0.06811	0.0	0.06368	0.00621	0.0	0.02261	0.01111	0.0	0.00527	0.03089	0.0	0.02398	0.10025	0.0	0.05533	0.06287	0.00053	0.00311	0.0	0.0	0.00459	0.02034	0.0	0.0276	0.03184	0.0	0.0	0.01374	0.0	0.03142	0.07151	0.13489	0.02099	0.00972	0.02421	0.00655	0.01334	0.00522	0.02099	0.03166	0.03809	0.02695	0.00489	0.0	0.0	0.0	0.0	0.00011	0.00772	0.0	0.0	0.03394	0.20569	0.03411	0.00322	0.0109	0.0301	0.01802	0.04234	0.00196	0.00371	0.0	0.02988
s__Eisenbergiella_tayi	0	0.00525	0.0	0.00177	0.0	0.0	0.1595	0.03399	0.0	0.02434	0.02072	0.00256	0.00143	0.0	0.0	0.0	0.0	0.0	0.0	0.00344	0.00107	0.005	0.02505	0.03332	0.00802	0.00019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04845	0.05251	0.08729	0.00265	0.0	0.00266	0.00842	0.29512	0.00274	0.0	0.0	0.0	0.00271	0.00427	0.00834	0.0	0.0	0.0	0.0	0.00534	0.0	0.0	0.0	0.01627	0.05071	0.0	0.0	0.00338	0.02015	0.00353	0.0011	0.0	0.0	0.03085	0.03684	0.01117	0.0	0.0	0.0
s__Porphyromonas_sp_HMSC065F10	0	0.00496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
