clade_name	NCBI_tax_id	P10E0	P10E7	P10E90	P11E0	P11E7	P11E90	P12E0	P12E7	P12E90	P13E0	P13E7	P13E90	P14E0	P14E7	P14E90	P15E0	P15E7	P15E90	P17E0	P17E7	P17E90	P18E0	P18E7	P18E90	P19E0	P19E7	P19E90	P1E0	P1E7	P1E90	P20E0	P20E7	P20E90	P21E0	P21E7	P21E90	P22E0	P22E7	P22E90	P23C0	P23C7	P23C90	P25C0	P25C7	P25C90	P2E0	P2E7	P2E90	P38C0	P38C7	P38C90	P3E0	P3E7	P3E90	P4E0	P4E7	P4E90	P5E0	P5E7	P5E90	P6C0	P6C7	P6C90	P7C0	P7C7	P7C90	P8C0	P8C7	P8C90	P9E0	P9E7	P9E90
s__Clostridium_bolteae_CAG_59	0	0.00107	0.02472	0.0	0.0	2.41392	0.0072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11265	0.0	0.0	0.0	0.0	0.00755	0.0	0.00784	0.02053	0.15988	0.00012	0.0	0.00033	0.0	0.07285	0.06946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00105	0.00334	0.0	0.00837	0.00831	0.00283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00028	0.01238	0.0	0.0	0.0	0.0
s__Clostridiales_bacterium_1_7_47FAA	0	0.00105	0.0	0.00338	0.0	0.00036	0.00352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00343	0.0	0.0	0.02817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02621	0.02425	0.0	0.01125	0.04037	0.00906	0.01529	0.01227	0.00501	0.00137	0.00273	0.00242	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.00423	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_sp_CAG_471	0	0.0007	0.0	0.00055	0.0	0.0	0.0	0.0	0.0	0.00048	0.03095	0.0	0.00628	0.01782	0.01205	0.04662	0.06294	0.0	0.07259	0.0	0.0	0.0	0.00037	0.0	4e-05	0.00045	0.0	0.0	0.0	0.0	0.0	0.00023	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018
s__Anaeromassilibacillus_sp_An250	0	0.00038	0.0	0.00741	0.0	0.0	0.02069	0.01639	0.0	0.00019	0.01088	0.00039	0.00011	0.00078	0.02057	0.00226	0.0	0.0	0.00213	0.00597	0.0	0.0052	0.00973	0.0	0.00412	0.01242	0.13682	7e-05	0.07644	0.08347	0.14554	0.00227	0.0	0.04866	0.0043	0.00083	0.00669	0.01812	0.0	0.01173	0.04616	0.12307	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.00759	0.02268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00195	0.00238	0.0	0.00017	0.00855	0.00149	0.0	0.0	0.0	0.0	0.0	0.01084
s__Clostridium_methylpentosum	0	0.0	0.11778	0.00152	0.0	0.20303	0.0	0.0	0.0	0.0	0.0	0.00385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00153	0.38421	0.04397	0.0	0.0138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00664	0.03836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00161	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00725	0.0047
s__Clostridium_clostridioforme	0	0.0	0.11418	0.01381	0.0	0.0	0.0	0.02217	1.16897	0.03823	0.0	0.01041	0.0	0.0	0.0	0.0	0.0	0.21884	0.0	0.0	1.87069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8836	0.00681	0.07062	3.90248	0.01529	0.0	1.48753	0.02543	0.0	0.0	0.0	0.0	0.0	0.0	0.06194	0.13805	0.0	0.0	0.0	0.0	0.0	0.00378	0.0	0.00017	0.00157	0.01948	0.0	0.0	0.0	0.00476	0.00455	0.00867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15753	0.1079
s__Klebsiella_pneumoniae	0	0.0	0.02747	0.0	0.0	0.0	0.00994	0.0	0.09672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lachnoclostridium_sp_An131	0	0.0	0.01428	0.00366	0.0	0.01392	0.0	0.0	0.0	0.0	0.00235	0.00113	0.0	0.0	0.0	0.0	0.0	0.0031	0.00515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02134	0.02386	0.0	0.0	0.0	0.0	0.00591	0.15755	0.04313	0.00499	0.00652	0.00262	0.00748	0.02562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00222	0.00289	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00397
s__Firmicutes_bacterium_CAG_95	0	0.0	0.00626	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.00971	0.01271	0.0	0.03767	0.10359	0.00934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95318	2.77603	0.27773	0.0	0.0	0.0	0.00372	0.0	0.0	0.0	0.0	0.0	0.00325	0.0	0.00668	0.0	0.04747	0.0	0.0	0.00133	0.0167	0.12475	0.20338	0.00133	0.0	0.0	0.0	0.0	0.11897	0.01248	0.0	0.0	0.0	0.0	0.0	0.0	0.00494	0.00604	0.00244	0.01021	0.00513	0.03334	0.0	0.0	0.0	0.00173	0.0	0.01007
s__Sellimonas_intestinalis	0	0.0	0.00529	0.0004	0.0	0.01293	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.0	0.0	0.0	0.0	0.0	0.00437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02153	0.02381	0.0	0.0158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00758	0.0	0.0	0.0	0.0	0.0	0.00408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00421	0.01089	0.00663	0.0	0.0	0.01485
s__Hungatella_hathewayi	0	0.0	0.00393	0.0	0.0	0.11596	0.02181	0.04964	2.98661	0.02654	0.0	0.00775	0.0	0.0	0.0	0.0	0.0	0.09983	8e-05	0.0	0.0	0.0	0.00134	0.09672	0.0	0.02355	0.0	0.0	0.0	0.0	0.0	0.00058	0.0	0.00741	0.01041	0.00289	0.05459	0.00053	0.0	0.0	0.0	0.00024	7e-05	0.0	0.0	0.00142	0.09187	0.21272	0.00494	0.0	0.00027	0.0	0.0	0.08883	0.0	0.0	0.00201	0.01313	0.01381	0.00423	5e-05	0.00766	0.00701	0.0	0.0	0.0	0.0	0.01813	0.02056	0.00928	0.0	0.0	0.0
s__Fretibacterium_fastidiosum	0	0.0	0.00082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00127	0.0	0.00027	0.00221	0.00287	0.00922	0.0	0.0	0.0	0.0	0.0	0.00101	0.0	0.00056	0.0	0.00222	0.00209	0.00231	0.0	0.0	0.00306	0.0	0.0	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0005	0.0	0.00106	0.00027	0.0	0.00034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00032	0.0	0.00101	0.00047	0.0	0.00068	0.0	0.0	0.0	0.00026
s__Eubacterium_sp_CAG_180	0	0.0	0.0	4.74727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.78521	34.72412	20.12088	0.0	0.0	0.0	0.0	0.0	7.29335	0.0	0.0	5.5781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04167	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_167	0	0.0	0.0	0.36432	0.0	0.0	0.0	0.0	0.0	1.3874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01216	0.0	0.0	0.0	0.13824	0.02295	0.01075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02623	0.0	0.08281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15326	0.15612	0.068	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_faecis	0	0.0	0.0	0.20208	1.34563	0.0	0.0	0.41872	0.0	0.50821	0.23308	0.0	0.0	0.23996	0.0	0.46007	1.13598	0.0	0.93596	0.44535	0.0	0.70818	0.0	0.0	0.2666	0.94686	0.0	0.43121	0.0	0.0	0.0	0.18486	0.0	0.12033	0.31857	0.0	0.01021	1.8406	0.0	0.0	0.04096	0.00685	0.06385	4.12443	3.14133	0.62973	2.27505	1.31262	0.0	0.20996	0.1625	0.11804	0.04322	0.0	0.0	0.09398	0.0	0.1075	0.6251	0.0	0.1086	0.16012	0.00329	0.59255	0.75145	0.72545	0.18512	0.14912	0.39163	0.0	0.45122	0.0	0.18709
s__Roseburia_intestinalis	0	0.0	0.0	0.14927	0.83885	0.0	5.36527	0.0	0.0	0.06755	0.0	0.15617	0.3649	0.25202	0.1176	0.11561	2.76053	0.0	0.15643	0.03551	1.55423	0.01392	0.00515	0.00664	0.0	0.20889	0.14071	0.34323	0.00818	0.01399	0.05102	0.05692	0.0	0.0	0.0	0.0	0.0	1.05782	0.04153	1.55367	0.0	0.00738	0.02378	1.15862	0.79981	0.00141	0.63339	0.50313	0.20475	0.0	0.0	0.0	0.0	0.00106	0.19688	0.06773	0.0	0.0	0.0	0.0	0.0	0.00199	0.0	0.0	1.27657	0.54274	0.40839	0.0	0.0	0.0	0.0	0.0	0.0
s__Dialister_invisus	0	0.0	0.0	0.02983	0.0	0.0	0.00503	0.25642	0.0	0.0	1.02966	0.00193	0.53512	0.0	0.0	0.0	0.33446	0.0	0.39616	0.00108	0.0	0.0	2.62656	0.0	0.77765	0.0	0.0	0.0	0.0	0.0	0.0	0.70704	0.0	0.29508	1.70344	0.00014	0.67843	0.01429	0.0	0.09846	0.04448	0.01089	0.00339	0.0	0.0	0.0	0.0317	0.02486	0.07444	0.0	0.0	0.0	0.0	0.0	0.0	1.33217	0.0	0.73415	1.432	0.0	0.75239	0.0	0.0	0.0	0.0	0.0	0.0	0.2138	0.41649	0.46884	0.0	0.0	0.0
s__Streptococcus_salivarius	0	0.0	0.0	0.02223	0.00421	0.0	0.00642	0.00062	0.0	0.0	0.08743	0.0	0.01919	0.00012	0.0	0.02987	0.02039	0.0	0.00077	0.01567	0.0	0.0065	0.01769	0.0	0.00485	0.08374	0.0	0.05366	0.0	0.0	0.0	0.01299	0.0	0.0049	0.00376	0.0	0.00966	0.00042	0.0	0.0	0.02931	0.07705	0.00641	0.0322	0.08688	0.05229	0.0446	0.02004	0.04588	0.01108	0.01357	0.0414	0.01809	0.0	0.00331	0.00791	0.0	0.00196	0.00331	0.0	0.0021	0.02547	0.15022	0.04036	0.0	0.0	0.00426	0.0	0.0	0.0	0.05489	0.0	0.03496
s__Haemophilus_parainfluenzae	0	0.0	0.0	0.01293	0.00952	0.0	0.0	0.0	0.0	0.0	0.00174	0.0	0.00221	0.0	0.0	0.00263	0.398	0.0	0.0	0.00647	0.0	0.00494	0.0	0.0	0.01186	0.00041	0.0	0.00154	0.0	0.0	0.00673	0.0	0.0	0.0	0.0	0.0	0.0	0.00177	0.0	0.03556	0.0	0.0	0.0	0.35503	0.32543	0.15004	0.01836	0.01944	0.07205	0.0	0.0	0.02323	0.00379	0.02599	0.00881	0.02582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.02496	0.0	0.0	0.00052	0.0	0.04826	0.0	0.0
s__Streptococcus_parasanguinis	0	0.0	0.0	0.00873	0.01359	0.0	0.01073	0.00333	0.0	0.0	0.01837	0.0	0.00354	0.0	0.0	0.01185	0.04078	0.0	0.0	0.00945	0.0	0.00967	0.00795	0.0	0.00032	0.03013	0.0	0.01576	0.0	0.0	0.0	0.00894	0.0	0.01247	0.00723	0.0	0.0	0.0	0.0	0.0	0.04823	0.11068	0.03636	0.06763	0.22811	0.04981	0.00381	0.00043	0.01477	0.00806	0.01828	0.02969	0.03352	0.0007	0.01085	0.01692	0.00031	0.00173	0.00808	0.0	0.00959	0.01295	0.02265	0.01461	0.00119	0.00298	0.00654	0.0	0.0	0.0	0.04164	0.0	0.02189
s__Gemella_morbillorum	0	0.0	0.0	0.00321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lachnoclostridium_sp_An138	0	0.0	0.0	0.00297	0.0	0.00032	0.00072	0.0069	0.0	0.0	0.0	0.0027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01065	0.01053	0.0	0.0	0.0	0.0	0.0019	0.11113	0.00532	0.00769	0.0	0.00581	0.0037	0.01824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00139	0.00522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01023	0.02611	0.00628	0.0	0.0	0.0	0.0	0.0	0.0	0.00116	0.0	0.00527
s__Turicibacter_sanguinis	0	0.0	0.0	0.00203	0.0	0.0	0.01531	0.0	0.0	0.0	0.0	0.00387	0.00661	0.0	0.0	0.0	0.00266	0.0	0.00057	0.00588	0.0	0.0307	0.031	0.0	0.00133	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00599	0.00441	0.0059	0.00516	0.0	0.00844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactococcus_lactis	0	0.0	0.0	0.00175	0.0	0.0	0.00185	0.0	0.0	0.0	0.00462	0.00551	0.00568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	0.0	0.0	0.0	0.00133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.00044	0.04067	0.0	0.0	0.0	0.0	0.0	0.0	0.00579	0.0	0.0	0.00063	0.0	0.0	0.00033	0.0	0.00928	0.04156	0.00194	0.00261	0.0	0.05681	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_chh4_2	0	0.0	0.0	0.00131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00998	0.00193	0.0	0.0	0.0	0.0	0.0	0.00082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parvimonas_micra	0	0.0	0.0	0.00124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_spiroforme	0	0.0	0.0	0.00049	0.0	0.0	0.0	0.00288	0.0	0.0	0.00466	0.0	0.01387	0.0	0.0	0.0	0.00325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00179	0.0	0.0	0.0	0.0	0.0	0.0	0.00352	0.00753	0.00051	0.0	0.00653	0.00224	0.0	0.0	0.0	0.0	0.00287	0.0	0.0	0.0	0.0	0.00053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00322	0.00125	0.00023	0.00409	0.0	0.00112	0.00042	0.0	0.0	0.00191
s__Lactobacillus_rogosae	0	0.0	0.0	0.00043	0.0	0.0	0.0	0.0	0.0	0.0	0.01402	0.00041	0.00429	0.01684	0.0	0.00611	0.0	0.0	0.0	0.0	0.0	0.0	0.00325	0.0	0.00696	0.00222	0.0	0.00164	0.0	0.0	0.0	0.0094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20189	0.31306	0.08751	0.0	0.0	0.0	0.00072	0.0	0.00207	0.0	0.0	0.0	0.00187	0.0	0.02491	0.01874	0.00083	0.00994	0.01624	0.0	0.01094	0.0	0.0	0.0	0.0	0.0	0.00035	0.0	0.0	0.0
s__Aeriscardovia_aeriphila	0	0.0	0.0	0.00038	0.0	0.0	0.00055	0.0	0.0	0.0	0.00181	0.0	0.00088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00167	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00721	0.00149	0.00162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Collinsella_intestinalis	0	0.0	0.0	0.00017	0.02848	0.0	0.09533	0.0	0.0	0.0	0.0	0.0	0.0	0.0023	0.00133	0.00502	0.0	0.0	0.0	0.0	0.0	0.00047	0.05534	0.0	0.00586	0.00085	0.00038	0.00091	0.00034	0.00056	0.00153	0.00019	0.0	0.0001	0.00484	0.0	0.00715	0.0	0.0	0.00038	0.21932	0.33629	0.48809	0.0	0.0	0.0	0.00211	0.00084	0.00063	0.00065	0.00134	0.0	0.00035	0.0	0.00107	0.0	0.0	0.0	0.00824	0.00786	0.00832	0.00213	0.00448	0.00491	0.00226	0.00224	0.00582	0.0	0.0	0.0	0.0	0.0	0.00016
s__Bacteroides_massiliensis	0	0.0	0.0	0.0	3.80226	0.12611	1.82457	0.0	0.0	0.0	0.0	0.0	0.0	0.52826	0.23302	0.34531	1.93733	2.65906	1.55253	0.0	0.0	0.0	0.0	0.0	0.0	0.36442	0.19362	0.27078	0.03572	0.07031	0.2022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11225	0.14192	0.90975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94192	0.33589	0.5032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Acidaminococcus_intestini	0	0.0	0.0	0.0	2.31706	0.0	8.2756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06082	0.35247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Oscillibacter_sp_57_20	0	0.0	0.0	0.0	1.6825	0.0	0.73056	0.83937	0.0	1.20102	1.60858	0.00349	0.69731	0.98313	1.7652	0.95236	1.15657	0.0	0.0	0.0	0.0	0.0	0.04373	0.0	0.24622	14.18039	5.42555	9.30049	0.0	0.0	0.0	0.0	0.0	0.0	5.58347	0.05624	1.01205	0.0	0.0	0.0	8.56322	7.05795	1.68763	4.04874	2.06885	2.56729	2.9091	2.23632	0.63568	3.08414	5.93963	2.93811	1.14863	0.90979	2.00019	0.0	0.0	0.0	0.37402	0.0168	0.03308	0.0512	0.06287	0.65102	1.53204	1.2641	1.58806	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_finegoldii	0	0.0	0.0	0.0	1.29881	0.10353	0.10034	0.0	0.0	0.0	0.0	0.0	0.0	0.12597	0.41879	0.30781	3.11641	17.89065	2.64444	0.00592	0.02019	0.26149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26717	0.0733	0.2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66406	2.89861	1.13099	2.91478	1.07015	4.63124	0.03436	0.38733	0.0217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_58	0	0.0	0.0	0.0	0.22126	1.35029	0.03887	0.17769	0.01457	0.1069	0.0	0.0	0.0	0.01567	0.00507	0.01635	0.0168	0.05624	0.25397	0.00212	0.0	0.00155	0.01899	0.00772	0.06113	0.14703	0.17622	0.08906	0.0253	0.01685	0.01651	0.0	0.0	0.0	0.28324	0.11467	0.01348	0.03848	0.0	0.0	0.03717	0.05313	0.02917	0.03085	0.00933	0.02557	0.0	0.0	0.0	0.55367	0.76193	0.1359	0.0	0.0	0.0	0.00152	0.0	0.0	0.05064	0.09303	0.00908	0.07592	0.06363	0.05731	0.13126	0.08799	0.1293	0.32514	0.1668	0.04029	0.06762	0.12727	0.26427
s__Phascolarctobacterium_faecium	0	0.0	0.0	0.0	0.1808	0.00287	0.69247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24584	0.28146	0.00243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33714	0.92968	0.97329	0.0	0.0	0.0	0.1391	0.12023	0.2795	0.14407	0.24006	0.2178	0.44389	0.93648	0.4012	0.0	0.0	0.0	0.0	0.0	0.0	0.39423	0.37462	0.3107	0.98755	0.8179	0.73394	0.0	0.0	0.0	0.536	0.10148	1.27019
s__Bacteroides_thetaiotaomicron	0	0.0	0.0	0.0	0.14915	2.35283	0.44611	0.0	0.0	0.0	0.29376	2.62999	2.36432	0.0	0.0	0.0	0.52259	4.96867	0.63885	0.66134	0.7868	1.10463	0.0	0.0	0.0	0.10076	0.09985	0.12829	0.22015	0.27752	0.13723	1.32769	1.45298	1.3369	0.0	0.0	0.0	6.37708	6.42339	1.54858	0.32338	0.18957	0.79004	0.08244	0.02027	0.11733	4.33932	7.07389	0.80825	0.15625	0.36221	0.22147	1.09604	2.58374	0.78236	0.0	0.0	0.0	0.0	0.0	0.60504	0.0	0.0	0.0	0.09479	0.07908	0.26226	0.0	0.0	0.0	0.76576	0.53456	0.27898
s__Eubacterium_sp_CAG_38	0	0.0	0.0	0.0	0.13536	0.0	0.28163	0.0	0.0	0.01073	0.01965	0.00846	0.03175	0.04387	0.00524	0.15061	2.42914	0.0	0.20473	0.04415	0.0	0.13944	0.05156	0.0	0.06116	0.30384	0.08147	0.08683	0.0	0.0	0.09289	0.02952	0.0	0.2793	0.0	0.0	0.0	0.17715	0.0	0.0	0.10593	0.00611	0.00667	0.26855	0.23275	0.12963	0.00249	0.0	0.21548	0.27114	0.29223	0.31459	0.01222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94547	0.7013	0.63922	0.0	0.0	0.0	0.0	0.0	3.16979
s__Megasphaera_elsdenii	0	0.0	0.0	0.0	0.12815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04477	0.0145	0.03321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26181	0.10473	0.17321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_299	0	0.0	0.0	0.0	0.07095	0.0	0.04169	0.0	0.0	0.0	0.0	0.0	0.0	0.00474	0.00729	0.0	0.0	0.0	0.0	0.0	0.0	0.00543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12817	0.01148	0.01516	0.0	0.0	0.0	0.0	0.0	0.0	0.00601	0.02275	0.01421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_cellulosilyticus	0	0.0	0.0	0.0	0.04398	0.04447	0.05791	0.0	0.0	0.0	1.25814	0.53214	2.61656	0.00033	0.02126	0.00217	1.56067	0.79292	2.01031	0.0	0.0	0.0	2.187	11.78178	2.70603	0.0	0.0	0.0	0.58583	1.71514	6.09422	0.0	0.0	0.0	0.0	0.0	0.0	4.00545	13.12283	4.01077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34746	2.37844	3.06871	0.0	0.0	0.0	0.0	0.0	0.0	3.98981	1.6161	0.40204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01375	0.0	0.01525
