clade_name	NCBI_tax_id	SP_101SPI_T016	SP_104SPI_T016	SP_105SPI_T016	SP_122SPI_T016	SP_122SPT_T016	SP_123SPI_T016	SP_123SPT_T016	SP_124SPI_T016	SP_125SPI_T016	SP_129SPI_T016	SP_129SPT_T016	SP_132SPI_T016	SP_132SPT_T016	SP_133SPT_T016	SP_143SPI_T016	SP_143SPT_T016	SP_144SPI_T016	SP_148SPI_T016	SP_161SPI_T016	SP_162SPI_T016	SP_162SPT_T016	SP_163SPI_T016	SP_163SPT_T016	SP_164SPI_T016	SP_164SPT_T016	SP_184SPI_T016	SP_184SPT_T016	SP_186SPI_T016_R	SP_187SPI_T016	SP_187SPT_T016_R	SP_189SPI_T016	SP_191SPI_T016	SP_201SPI_T016	SP_201SPT_T016	SP_221SPT_T016_R	SP_222SPI_T016	SP_224SPI_T016	SP_224SPT_T016	SP_230SPI_T016	SP_241SPT_T016	SP_242SPI_T016	SP_242SPT_T016_R	SP_243SPI_T016	SP_261SPI_T016	SP_261SPT_T016	SP_262SPI_T016	SP_262SPT_T016	SP_264SPI_T016	SP_281SPI_T016	SP_282SPI_T016	SP_282SPT_T016_R	SP_283SPI_T016	SP_283SPT_T016	SP_284SPI_T016	SP_284SPT_T016	SP_285SPI_T016	SP_285SPT_T016	SP_286SPI_T016	SP_286SPT_T016	SP_287SPI_T016	SP_287SPT_T016	SP_288SPT_T016	SP_302SPI_T016	SP_302SPT_T016	SP_303SPI_T016	SP_303SPT_T016	SP_304SPI_T016	SP_305SPI_T016	SP_305SPT_T016	SP_321SPI_T016	SP_321SPT_T016	SP_322SPI_T016	SP_322SPT_T016	SP_323SPI_T016	SP_323SPT_T016	SP_324SPI_T016	SP_324SPT_T016	SP_325SPI_T016	SP_326SPI_T016	SP_343SPI_T016	SP_343SPT_T016_R	SP_344SPI_T016_R	SP_344SPT_T016	SP_345SPI_T016	SP_345SPT_T016	SP_361SPI_T016	SP_361SPT_T016	SP_363SPI_T016_R	SP_381SPI_T016	SP_381SPT_T016	SP_382SPI_T016	SP_382SPT_T016	SP_383SPI_T016	SP_383SPT_T016	SP_384SPI_T016	SP_384SPT_T016	SP_385SPI_T016	SP_385SPT_T016	SP_386SPI_T016	SP_386SPT_T016	SP_387SPI_T016	SP_387SPT_T016	SP_388SPT_T016	SP_389SPI_T016	SP_401SPI_T016	SP_401SPT_T016	SP_402SPT_T016	SP_403SPT_T016	SP_502SPI_T016	SP_502SPT_T016	SP_503SPT_T016	SP_601SPI_T016	SP_602SPI_T016
s__Eikenella_corrodens	0	0.73194	0.0	0.04114	4.12123	0.0	0.12429	0.0	0.28867	0.0	0.0	0.0	1.0144	0.0	0.0	0.0	0.0	0.0	0.0	0.04521	0.06037	0.02018	0.0	0.0	0.07295	0.09222	0.0	0.0	0.07804	0.0	0.03079	0.14943	0.06638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46744	0.0	0.04429	0.10812	0.0	0.0	0.0	0.01007	0.0	0.09326	0.0	1.56169	0.0	0.0	0.0	0.39303	0.0	0.0	0.0	0.12972	0.09834	0.0	0.0	0.0	0.0	0.0	0.0	0.0668	0.112	0.13811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11828	0.0	0.0	0.0	0.0	0.0	0.0	0.50316	0.0	0.20536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00749	0.0	3.66431
s__Pseudopropionibacterium_propionicum	0	0.70748	0.0	0.04223	2.49036	0.0	0.02598	1.00412	0.84102	0.0	0.0	0.0	0.31187	0.0	0.0	0.0	0.0	0.0	0.0	0.04902	0.0	0.0	0.05569	0.90336	0.25294	0.0	0.05568	0.0	0.09358	0.0	4.73952	0.015	0.34223	0.0	0.0	0.01727	0.0	0.0	0.0	0.0	0.0	1.26881	0.00046	0.0	0.0	0.12251	0.0	0.0	0.0	0.0	0.0	0.35997	0.0	0.06395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08246	0.04459	0.0	0.0	0.0	0.0	0.0	0.0	0.25362	0.00693	1.06119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87429	0.07913	1.65569	0.0	0.0	0.0	0.0	0.0	0.20398	0.96727	0.0	4.30748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82979	0.22811	0.0	0.0
s__Actinomyces_odontolyticus	0	0.70353	0.0	0.7092	0.0	0.0	0.07035	0.05556	0.0	0.02005	0.0	0.0	0.0	0.0	0.0	0.04169	0.03917	0.0	0.0	1.95453	0.52491	0.66723	0.0219	0.20812	0.1538	2.16252	0.0	0.0	2.49757	0.05619	0.00765	0.38474	0.0	0.0	0.0	0.70574	0.0	0.0	0.0	0.0	0.07114	0.0	4.79193	0.0	0.20616	5.00387	0.0	0.0	0.0	0.0	0.0	0.03579	0.00478	0.00032	33.78987	0.22054	0.15354	0.0	0.0	0.0	0.0	0.0	0.3932	0.0	0.0	0.0	0.0	0.0	0.0	0.11848	0.0	1.29804	0.0	0.0	0.02531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044	0.0	1.3248	0.0	0.0	15.73707	0.0	0.02587	0.0	0.0	0.0	0.0	0.0	0.01711	0.24695	16.70221	0.0	0.00345	0.0	0.81859	1.28955	0.0	9.5211	0.69984	0.0	1.34686	0.0	0.0	0.01113	0.0	0.09158
s__Cardiobacterium_valvarum	0	0.60053	0.0	0.37603	0.75418	0.0	0.0	0.0	0.20096	0.0	0.0	0.0	0.75506	0.0	0.0	0.00361	2.06673	0.0	0.0	0.0309	0.01576	0.02625	0.0	0.20318	0.13393	0.00684	0.0	0.0	0.04385	0.0	0.58561	0.00848	0.09695	0.0	0.0	0.25434	0.0	0.0	0.0	0.0	0.08249	0.16085	0.10438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00256	0.0	0.00765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24646	0.13115	0.0	0.0	0.0	0.0	0.0	0.0	0.19477	0.0	0.23269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10822	0.0	0.0	0.0	0.0	0.0	0.0	0.07766	0.0	1.76031	0.0	0.00062	0.0	0.0	0.0	0.07823	0.0	0.02148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00293	0.03606	1.65093	0.05893	0.0	0.31263
s__Actinomyces_sp_oral_taxon_180	0	0.46026	0.0	0.0	0.0	0.01164	0.0	0.13376	0.20557	0.01435	0.0	0.0	0.0	0.0	0.74471	0.01357	8.87802	0.0	2.13701	2.91164	0.54366	0.50281	0.0542	0.22713	0.0	0.0	0.0	0.02382	0.1528	5.11892	0.11071	0.22464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5394	0.0	0.32407	0.30264	0.0	1.15531	0.0	0.0	0.0	0.82171	0.0	0.89143	1.7033	1.42581	0.0	0.0	0.11661	0.0	0.0	0.08316	0.0	0.05283	0.0	0.87854	0.1406	0.0	17.36943	0.0	0.0	0.01769	0.0	0.0	0.0	0.94799	0.00986	0.0	0.0	0.0	0.04217	0.0	0.0	0.0	0.0	0.0	0.0	0.39798	0.0	0.0	4.24133	0.0	0.56088	0.0	0.0	0.0	0.01112	0.00386	0.00434	0.0	0.0	0.0	0.8264	0.0	0.05063	7.72072	0.0	0.0	0.0	0.0	0.05856	0.0	0.0	0.0	0.0	0.0
s__Eikenella_sp_NML130454	0	0.3592	0.0	0.0	0.51664	0.0	0.0	0.0	0.0728	0.0	0.0	0.0	0.48216	0.0	0.0	0.0	0.0	0.0	0.0	0.01385	0.01528	0.00586	0.0	0.0	0.00733	0.00264	0.0	0.0	0.0	0.0	0.04117	0.01055	0.02198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03863	0.23729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00444	0.0	0.0
s__Actinomyces_naeslundii	0	0.3428	0.0	20.25255	0.89343	0.0	0.3307	1.02399	3.37369	0.0	0.0	0.0	2.351	0.0	0.0	0.03777	21.33119	0.0	0.15426	5.12472	0.09091	0.11138	0.15085	0.94269	12.23816	0.04056	0.53614	0.0	0.12117	0.0	3.2347	0.0	0.53592	0.0	0.10842	6.72359	0.0	2.27875	0.0	0.0	2.23214	0.25399	22.93066	0.0	0.0	0.16307	0.0	0.0	0.0	0.0	0.0	1.30841	0.01848	0.09815	0.0	1.8777	0.0	0.0	0.0	0.0	0.00301	0.03563	4.19526	0.0	0.0	0.0	0.0	0.0	0.0	9.54243	0.0	3.00411	0.0	0.0	0.0	0.0	0.02992	2.369	0.06103	0.0	0.0	0.0	0.0	9.52614	0.0	11.4056	0.0	0.39413	0.0	0.0	2.16548	0.0	1.44003	0.0	0.0019	0.0	0.00279	0.0	0.0	0.0	39.27523	0.0	0.0	0.0	6.89817	0.0	0.04506	1.52289	0.01425	0.0	0.0	0.98976	0.0	0.01874
s__Alloscardovia_omnicolens	0	0.31158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01349
s__Streptococcus_oralis	0	0.29412	0.0	1.20887	0.6108	0.0	2.30971	0.17088	4.73645	0.61873	0.0	0.0	12.56849	28.3313	0.38573	0.33761	1.2329	0.0	17.08735	8.12593	7.87583	18.02659	11.69175	16.15073	0.46858	2.6403	12.65219	0.04859	4.41653	0.32773	0.65911	7.66507	0.18969	0.0	0.03517	4.44136	0.0	0.0	0.07293	0.0	0.02028	2.90305	2.6465	18.87265	0.00617	1.99674	0.0	25.97475	0.0	0.55589	0.0	2.21735	0.06126	10.0045	42.70712	0.0	0.25151	0.0	0.0	11.45676	0.02498	1.66631	0.70374	0.0	0.04908	0.0	8.27777	0.0	0.00051	1.09379	0.0	7.4539	0.0	0.21057	0.14548	0.0	0.0	30.46706	0.01797	0.0	0.0	0.0	0.0	0.12707	0.0	14.97136	0.0	0.0	4.14636	0.0	1.69562	0.0	2.66885	0.0	0.6448	0.0	1.823	3.75907	16.70389	0.0	12.35206	0.0	1.78875	19.51448	0.0	0.0	3.18725	1.79389	0.07468	0.0	27.31924	0.00795	0.0	1.34557
s__Capnocytophaga_gingivalis	0	0.26391	0.0	0.0008	2.05031	0.0	0.18926	0.0	2.36012	0.0	0.0	0.0	1.53127	0.0	0.0	0.0	0.02425	0.0	0.0	0.52683	0.10006	0.00717	0.0479	0.01731	2.03896	0.70518	0.0	0.0	0.29358	0.0	0.28405	0.02486	4.18017	0.0	0.12735	0.69678	0.0	0.0	0.0	0.0	0.0	0.0	1.91726	0.0	0.0	0.0	0.0	0.0	0.0	0.00934	0.0	0.15479	0.0	0.04528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23078	0.67282	0.0	0.0131	0.0	0.0	0.0	0.0	0.00072	0.0	1.33906	0.0	0.04111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43216	0.0	0.03288	0.0	0.0	0.0	0.0	0.5616	0.0	0.46136	0.0	0.0	0.0	0.34282	0.0	1.2639	0.0	1.62649	0.0	0.0	0.0	0.0	3.23762	0.36993	0.0	0.03662	0.0	0.0	2.01336	0.0	0.04027
