clade_name	NCBI_tax_id	JAS_1	JAS_10	JAS_2	JAS_3	JAS_4	JAS_5	JAS_6	JAS_7	JAS_8	JAS_9	KHG_1	KHG_10	KHG_11	KHG_12	KHG_2	KHG_3	KHG_4	KHG_5	KHG_6	KHG_7	KHG_8	KHG_9	LDK_1-2	LDK_2	LDK_3	LDK_4	LDK_5	LDK_6	LDK_7	LDK_8	LDK_9
s__Prevotella_stercorea	0	1.01008	0.04372	0.27138	2.35612	0.0	0.0	0.50428	3.43426	0.19027	0.23413	0.00121	0.0	0.24682	0.00642	1.31911	0.1566	1.47547	0.0	18.06521	0.45923	0.00843	0.0	0.00831	0.0	0.22957	0.04744	0.0	0.08902	0.065	0.0	0.0
s__Coprococcus_catus	0	0.68888	0.15194	0.4716	0.02357	0.19734	0.37529	0.79444	0.15755	0.80147	0.23629	0.68461	1.74266	0.33559	0.05273	0.12195	0.31701	0.18533	0.38161	0.27262	0.17338	0.78709	0.07284	0.10514	0.03489	0.0455	0.11653	0.01738	0.0303	0.10985	0.29831	0.10421
s__Fusicatenibacter_saccharivorans	0	0.6695	0.13811	0.84693	0.25838	0.82885	1.02866	0.40003	0.79706	2.48769	0.90212	1.26694	1.05389	1.16694	0.90917	0.28797	0.20504	0.36089	0.97404	1.93216	0.30118	0.47372	1.13787	0.10783	0.06669	0.02672	0.17413	0.04222	0.07609	0.65766	0.28271	0.87459
s__Coprococcus_comes	0	0.64686	0.0836	0.91921	0.21443	0.63761	0.78829	0.5648	0.42503	0.11669	0.22821	0.0	0.0	0.16683	0.03293	0.1267	0.12938	0.19075	0.13579	0.25453	0.3642	0.0	0.22535	0.45606	0.11763	0.01666	0.14065	0.09877	0.0512	0.76942	0.16973	0.14145
s__Blautia_wexlerae	0	0.64447	0.2478	0.41157	0.11396	0.12687	0.1467	0.15787	0.18068	2.25472	0.01398	0.10831	0.86592	0.22949	0.02591	0.08211	0.24883	0.09618	0.06467	0.10755	0.01013	0.24188	0.04657	0.04054	0.0038	0.0	0.13382	0.0143	0.00485	0.37951	0.07796	0.05628
s__Eubacterium_sp_CAG_38	0	0.63772	0.0	0.01985	0.0	0.11647	0.0246	0.00575	0.76615	0.02609	0.02824	0.0	0.0	0.0	0.03648	0.0	0.0	0.0	0.0	0.56839	0.00458	0.21132	0.02397	0.01397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01124
s__Roseburia_sp_CAG_471	0	0.52351	0.17109	1.18281	0.00126	0.03744	0.12503	0.41088	0.00081	0.02796	0.00122	0.12909	0.62285	0.01286	0.0	0.00166	0.04914	0.00086	0.02959	0.05238	0.00104	0.0	0.05003	0.01036	0.0	0.03156	0.12302	0.06802	0.00269	0.35472	0.08246	0.03451
s__Eubacterium_sp_CAG_251	0	0.51633	0.50307	0.0	0.02106	0.10083	0.32616	0.0	0.0	0.0	0.03633	0.0	0.01995	0.33091	0.0	0.34436	0.0	0.4095	0.0	0.0	0.1574	0.04731	0.92915	0.33006	0.0	0.0	0.0	0.07275	0.0	1.65799	0.0	0.01409
s__Phascolarctobacterium_succinatutens	0	0.51464	0.0	0.0981	0.02784	0.00274	0.0	0.10809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05606	0.0	0.06279	0.0	3.16723	0.00403	0.0	0.0	0.55097	0.06981	0.0	0.0	0.0	0.0	0.14079	0.0	0.0
s__Dorea_formicigenerans	0	0.46634	0.4133	0.82486	0.33773	0.45061	0.43063	0.39785	0.61398	1.18226	0.10184	0.11094	0.16624	0.33681	0.07911	0.26632	0.32459	0.41302	0.44261	0.37381	0.25542	0.35796	0.45712	0.21953	0.16661	0.06129	0.3837	0.07242	0.08675	1.68505	0.49488	0.183
