model	held_out_study	balanced_accuracy	balanced_accuracy_std	f1_macro	f1_macro_std	n_train_samples	n_eval_samples
capda-vae-oof-probs	FengQ_2015	0.49832510206935826	0.010877800820294277	0.41403479526301007	0.013266510720681149	1490	154
capda-vae-oof-probs	VogtmannE_2016	0.669871794871795	0.004532735776836879	0.45818659087566654	0.002053974456897407	1540	104
capda-vae-oof-probs	ZellerG_2014	0.49266247379454925	0.005151961975858276	0.4133787863159955	0.005044801192724986	1488	156
capda-vae-oof-probs	YuJ_2015	0.7602602602602603	0.008203730966395931	0.5913117536542295	0.12136426619050725	1516	128
capda-vae-oof-probs	WirbelJ_2018	0.7536324786324786	0.0074449792265744805	0.5128818212398407	0.002140169262337738	1519	125
capda-vae-oof-probs	YachidaS_2019	0.34315194004344374	0.0024907117676219778	0.3097837227212888	0.002129097594286632	1028	616
capda-vae-oof-probs	ThomasAM_2018a	0.44428480204342274	0.01603909652951011	0.3538621479516484	0.012785948678893287	1564	80
capda-vae-oof-probs	ThomasAM_2018b	0.6971726190476191	0.03723213096189527	0.5311893383603697	0.12760502667970738	1584	60
capda-vae-oof-probs	ThomasAM_2019_c	1.0	0.0	1.0	0.0	1564	80
capda-vae-oof-probs	HanniganGD_2017	0.3796409351964907	0.005287259600058425	0.280789706651365	0.005287523267995238	1563	81
capda-vae-oof-probs	GuptaA_2019	0.7444444444444445	0.020786985482077427	0.7419751600471088	0.023557155829535343	1584	60
