model	held_out_study	balanced_accuracy	balanced_accuracy_std	f1_macro	f1_macro_std	n_train_samples	n_eval_samples
capda-vae-oof-probs-cov	FengQ_2015	0.5091630733871525	0.013407972608675295	0.42539500289484916	0.017629067613069017	1490	154
capda-vae-oof-probs-cov	VogtmannE_2016	0.6538461538461539	0.023552785988299796	0.44478399906971333	0.015004614818563572	1540	104
capda-vae-oof-probs-cov	ZellerG_2014	0.49630546104409384	0.0025759809879291116	0.41674377832960036	0.0024929287453794627	1488	156
capda-vae-oof-probs-cov	YuJ_2015	0.7327327327327327	0.0075601535271085625	0.5707000113342297	0.11876413503335254	1516	128
capda-vae-oof-probs-cov	WirbelJ_2018	0.7591880341880342	0.003484937271431631	0.5189308772405075	0.002994948252921593	1519	125
capda-vae-oof-probs-cov	YachidaS_2019	0.3497019673245004	0.004535191920733321	0.31544992863736304	0.004206308329943039	1028	616
capda-vae-oof-probs-cov	ThomasAM_2018a	0.46583652618135374	0.022239051700429474	0.3711934090368105	0.01757220914402526	1564	80
capda-vae-oof-probs-cov	ThomasAM_2018b	0.7135416666666666	0.014618216297908151	0.6185436013818071	0.1162817295326489	1584	60
capda-vae-oof-probs-cov	ThomasAM_2019_c	1.0	0.0	1.0	0.0	1564	80
capda-vae-oof-probs-cov	HanniganGD_2017	0.38376746710080045	0.02019271722654604	0.2857968336516191	0.02809554022860931	1563	81
capda-vae-oof-probs-cov	GuptaA_2019	0.7388888888888889	0.007856742013183834	0.7370114453447787	0.007971748214849006	1584	60
