model	held_out_study	balanced_accuracy	balanced_accuracy_std	f1_macro	f1_macro_std	n_train_samples	n_eval_samples
capda-vae-oof-probs-cov4	FengQ_2015	0.5013227312631325	0.010315492853420875	0.4199525906366374	0.012644718253132008	1490	154
capda-vae-oof-probs-cov4	VogtmannE_2016	0.6634615384615384	0.03422140465394655	0.4516119120002615	0.024542405429243973	1540	104
capda-vae-oof-probs-cov4	ZellerG_2014	0.4953087947211053	0.008999378687309722	0.4147708087661575	0.008271908065378293	1488	156
capda-vae-oof-probs-cov4	YuJ_2015	0.7616783450116783	0.01378624265229668	0.6740480257721636	0.10709860269304255	1516	128
capda-vae-oof-probs-cov4	WirbelJ_2018	0.7666666666666666	0.023778508962809464	0.5226695515478457	0.015470293770082638	1519	125
capda-vae-oof-probs-cov4	YachidaS_2019	0.34869694349218117	0.0028826123373039223	0.3147013778004839	0.0023822847913888764	1028	616
capda-vae-oof-probs-cov4	ThomasAM_2018a	0.46503831417624525	0.01953647323215624	0.3707607714457029	0.01574233724991073	1564	80
capda-vae-oof-probs-cov4	ThomasAM_2018b	0.6964285714285715	0.02369298114299203	0.5301612491893822	0.11704058857470973	1584	60
capda-vae-oof-probs-cov4	ThomasAM_2019_c	1.0	0.0	1.0	0.0	1564	80
capda-vae-oof-probs-cov4	HanniganGD_2017	0.3672952561841451	0.005957529576300195	0.26359026255530466	0.01712978403295157	1563	81
capda-vae-oof-probs-cov4	GuptaA_2019	0.7277777777777779	0.047790695928014604	0.6570337444106642	0.14293634626359836	1584	60
