clade_name	NCBI_tax_id	AS100raw	AS101raw	AS103raw	AS104raw	AS105raw	AS106raw	AS108raw	AS109raw	AS10raw	AS111raw	AS113raw	AS114raw	AS115raw	AS116raw	AS117raw	AS119raw	AS11raw	AS120raw	AS121raw	AS122raw	AS123raw	AS126raw	AS127raw	AS128raw	AS12raw	AS130raw	AS131raw	AS132raw	AS133raw	AS134raw	AS136raw	AS137raw	AS138raw	AS15raw	AS17raw	AS18raw	AS19raw	AS20raw	AS21raw	AS22raw	AS24raw	AS25raw	AS26raw	AS28raw	AS29raw	AS2raw	AS31raw	AS34raw	AS35raw	AS36raw	AS37raw	AS38raw	AS3raw	AS40raw	AS41raw	AS42raw	AS43raw	AS45raw	AS46raw	AS48raw	AS49raw	AS4raw	AS50raw	AS51raw	AS54raw	AS56raw	AS57raw	AS58raw	AS5raw	AS61raw	AS62raw	AS63raw	AS64raw	AS65raw	AS66raw	AS67raw	AS68raw	AS6raw	AS71raw	AS73raw	AS74raw	AS76raw	AS77raw	AS78raw	AS79raw	AS80raw	AS81raw	AS82raw	AS84raw	AS90raw	AS92raw	AS94raw	AS96raw	AS97raw	AS98raw	AS99raw	AS9raw
s__Veillonella_infantium	0	0.00322	0.0	0.0	0.0	0.0	0.00115	0.02652	0.0	0.16856	0.0	0.0	0.0	0.0	0.0	0.02102	0.0	0.0	0.0	0.02746	0.0	0.01148	0.00493	0.08352	0.0	0.0	0.05037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.0	0.0	0.0	0.00222	0.0	0.0	0.0	0.0	0.0	0.00586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00309	0.0	0.0	0.0	0.00284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00922	0.02569	0.0	0.0006	0.00263	0.0	0.01649	0.0	0.0	0.03149	0.0	0.0	0.01301	0.0091	0.0	0.0	0.0	0.0	0.0	0.00046	0.11351	0.0	0.00177	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_graevenitzii	0	0.00315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00743	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.00016	0.0	0.0	0.00284	0.0	0.0	0.0	0.00059	0.0	0.0	0.0	0.00272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00236	0.0	0.0	0.00254	0.0	0.00082	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Paraprevotella_xylaniphila	0	0.00278	0.00052	0.0	0.0	0.0015	0.0	0.0	2.00971	0.0	0.00164	0.55412	0.2747	0.0	0.0	0.0	0.41786	0.15895	0.0	0.0	0.0	0.0	0.0	0.0	0.75242	0.5698	0.00021	0.0	0.0	0.0	0.0	0.0	0.40263	0.0	0.01102	0.8659	0.0	0.0	3.59844	0.0	0.57222	2.72279	2.03148	0.15427	0.0	0.0	0.0	0.0	3.61586	0.0	2.47228	0.0	0.29069	0.6249	0.32944	0.0	0.0	0.00404	0.0	0.02842	0.0	1.40645	0.0	0.00357	8.57473	2.39878	5.76092	0.0	0.00231	0.0	0.0	0.0	0.44207	0.0	0.0	0.0	0.08971	0.83897	11.16035	0.0	0.0	0.1638	0.0	0.23124	0.0	0.11828	0.02355	0.0	0.0	0.0	0.0	0.0	0.0	0.40615	0.92318	0.0	0.0	0.0
s__Clostridium_aldenense	0	0.00257	0.0	0.00278	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.00352	0.03898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.00733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00192	0.0	0.0	0.0	0.00123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.02184	0.03576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_sp_A12	0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_odontolyticus	0	0.00231	0.0	0.00339	0.0	0.0	0.00224	0.00379	0.0	0.00835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00181	0.0	0.00261	0.0	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.0	0.00656	0.0	0.0	0.01222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02098	0.0	0.0	0.0	0.0	0.00814	0.0	0.0	0.0	0.0	0.00148	0.00391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07452	0.0	0.0	0.0	0.0	0.00055	0.0	0.0	0.0	0.0	0.0	0.0	0.0067	0.0	0.0	0.0	0.00684	0.0	0.00015	0.0	0.00117	0.0	0.0	0.00334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00306
s__Collinsella_massiliensis	0	0.00219	0.0	0.01003	0.0	0.00128	0.00389	0.0	0.0	0.00293	0.0	0.0	0.0	0.00074	0.0	0.0099	0.00151	0.0	0.0028	0.00324	0.0	0.01646	0.0	0.00082	0.0019	0.00266	0.0	0.02866	0.00194	0.00327	0.00031	0.0	0.00265	0.00099	0.0	0.0	0.0	0.0	0.0063	0.0	0.00265	0.0	0.00139	0.0	0.00098	0.00357	0.00178	0.00055	0.00204	0.00111	0.0	0.0	0.04566	0.0	0.0	0.0	0.0	0.00443	0.0	0.0	0.0	0.00622	0.0	0.00064	0.0	0.01288	0.00063	0.0	0.0	0.0	0.0	0.0031	0.0	0.0	0.00065	0.0	0.01344	0.0	0.0	0.0	0.00431	0.00167	0.00177	0.00331	0.0013	0.00338	0.0	0.00051	0.0	0.0003	0.00519	0.00231	0.0	0.00287	0.02254	0.00202	0.0	0.00799
s__Bacteroides_intestinalis	0	0.00213	0.04097	0.0	0.0	1.56872	0.0	0.04365	0.12549	0.0	0.0	0.0	0.0	0.0	2.54894	0.0	0.0	0.03417	0.0	0.03099	0.0	0.0	0.0	0.0	0.39813	0.01237	0.0	0.0	0.06163	0.15128	0.0	1.18315	0.01232	0.0	0.20475	1.10208	0.0	0.0	1.12422	0.0	0.00336	0.12932	4.00064	0.31616	0.0	0.56823	0.0	0.0	0.005	0.0	0.0	0.0	0.48712	0.0	0.0	0.0	0.29654	0.09644	0.0018	0.0	0.0	0.16954	0.0	0.11761	0.0	0.01144	0.0	0.0	0.47348	0.06157	0.0	0.0	0.01318	4.70883	0.07856	0.0	0.3615	0.0	0.04807	0.0	0.0	0.00364	0.0	0.35024	0.03283	0.0	0.0	0.01198	0.16776	0.0	0.22258	0.72708	0.00425	0.07871	0.08478	0.28194	0.02851	0.26837
s__Actinomyces_sp_ICM47	0	0.00212	0.0	0.00218	0.0	0.0	0.0002	0.0	0.0	0.0	0.00149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01008	0.0	0.0	0.0	0.00616	0.0	0.0	0.0	0.0	0.00318	0.0	0.00455	0.0	0.0	0.00062	0.0	0.0	0.0027	0.06563	0.01032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00353	0.0	0.0	0.00224	0.0	0.04319	0.0	0.00524	0.0	0.0	0.00371	0.0	0.0	0.0	0.0	0.00578	0.0	0.0	0.0	0.01715	0.00015	0.0	0.0	0.01068	0.00056	0.0	0.00346	0.0	0.00652	0.0	0.0	0.00549	0.0	0.00022	0.0	0.00437	0.0	0.0008	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.0
s__Clostridium_spiroforme	0	0.00203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00115	0.0	0.0	0.0	0.0	0.0	0.03324	0.0	0.0	0.0	0.0	0.0	0.00604	0.0	0.0	0.0	0.0	0.03264	0.0	0.0	0.04881	0.08606	0.0	0.0	0.0	0.0	0.0	0.0	0.03762	0.0	0.0	0.0	0.0	0.03552	0.01414	0.07578	0.0	0.00792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043	0.0	0.0	0.0	0.0	0.0	0.0	0.00236	0.01408	0.0	0.0	0.02403	0.00208	0.0	0.0	0.0	0.0	0.00059	0.0
