clade_name	NCBI_tax_id	YEZ_BA1	YEZ_BA10	YEZ_BA11	YEZ_BA12	YEZ_BA13	YEZ_BA15	YEZ_BA16	YEZ_BA17	YEZ_BA18	YEZ_BA19	YEZ_BA2	YEZ_BA20	YEZ_BA21	YEZ_BA22	YEZ_BA3	YEZ_BA4	YEZ_BA5	YEZ_BA6	YEZ_BA7	YEZ_BA8	YEZ_N-1	YEZ_N-10	YEZ_N-11	YEZ_N-12	YEZ_N-13	YEZ_N-14	YEZ_N-15	YEZ_N-16	YEZ_N-17	YEZ_N-18	YEZ_N-19	YEZ_N-2	YEZ_N-20	YEZ_N-21	YEZ_N-22	YEZ_N-23	YEZ_N-24	YEZ_N-25	YEZ_N-26	YEZ_N-27	YEZ_N-28	YEZ_N-29	YEZ_N-3	YEZ_N-30	YEZ_N-31	YEZ_N-32	YEZ_N-33	YEZ_N-34	YEZ_N-35	YEZ_N-36	YEZ_N-37	YEZ_N-38	YEZ_N-39	YEZ_N-4	YEZ_N-40	YEZ_N-41	YEZ_N-42	YEZ_N-43	YEZ_N-44	YEZ_N-45	YEZ_N-46	YEZ_N-47	YEZ_N-48	YEZ_N-8	YEZ_N-9
s__Alistipes_finegoldii	0	0.04256	0.00645	0.1811	0.0	0.13182	0.00526	0.67824	0.19051	0.15906	2.0028	0.01228	0.49875	1.0979	0.04491	6.69351	1.2137	0.06127	0.00434	1.61373	0.48379	0.0	0.28657	0.00299	4.01721	0.15132	0.00442	0.00572	1.1292	0.06777	0.00903	0.0017	0.0	4.18872	0.33256	0.01346	1.22573	0.0	0.0	3.73644	0.18661	0.02028	0.0	0.47979	0.00456	0.29516	3.35756	1.13366	0.0	0.28365	6.12997	0.04027	0.0509	0.21756	0.01999	0.54413	1.44787	0.00452	4.09996	0.34127	4.60082	0.17478	0.3701	0.0	1.49517	0.19991
s__Bacteroides_dorei	0	0.04122	0.00707	0.02583	0.0	1.91431	0.03866	0.0	0.01402	0.68652	17.88909	3.29799	0.0	0.01113	0.00908	2.26883	0.01309	0.09763	0.08749	14.17393	0.00782	0.01063	0.00101	0.01529	0.0	0.0	0.04742	0.09456	1.70921	0.00699	0.01338	0.00139	14.31022	0.00833	2.11041	0.02511	27.84822	60.27181	0.00708	0.01129	0.01262	0.00125	22.19238	0.02281	0.00291	0.15906	0.00289	0.0	0.0	1.22628	0.00188	0.0	0.01827	0.0	0.00742	14.06955	0.0	0.06185	0.40409	0.0	0.0	0.0	0.20095	0.0	0.20193	0.0
s__Bilophila_wadsworthia	0	0.03745	0.44852	0.07256	0.06558	0.06664	0.30396	0.22106	0.03092	0.03488	0.11419	0.39107	0.25393	0.16539	0.03703	0.01164	2.31831	0.02448	0.13499	0.39139	0.13768	0.0	0.0	0.00165	0.10966	0.05546	0.54	0.08538	0.13852	0.08813	0.03443	0.00347	0.33654	0.09723	0.00067	0.05187	0.12563	0.0	0.0	0.32883	0.12159	0.0	0.04194	0.0	0.02562	0.27983	0.20807	0.14165	0.0	0.13555	0.05373	0.0	0.32412	0.06814	0.00832	0.34126	0.0	0.00249	0.0304	0.01431	0.17856	0.07094	0.0	0.0	0.08112	0.05823
s__Blautia_obeum	0	0.03604	0.0	0.0	0.00776	0.0	0.00107	0.0	0.03559	0.0	0.0	0.35597	0.05601	0.0	0.0	0.01243	0.00641	0.01334	0.0	0.0	0.00594	0.0	0.0	0.01939	0.0	0.0	0.00565	0.0	0.00075	0.0	0.08637	0.0	0.0	0.01609	0.0009	0.00126	0.0	0.01634	0.0	0.00473	0.0058	0.0	0.0	0.00787	0.00578	0.0022	0.00398	0.01581	0.0	0.0	0.0	0.0	0.01182	0.06409	0.0	0.0	0.0	0.00184	0.0	0.03126	0.0	0.00049	0.0	0.0	0.0	0.0
s__Prevotella_sp_885	0	0.03473	0.0	0.00485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03421	0.0	0.05059	0.02527	0.05198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183	0.0	0.0	0.01679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterobacter_mori	0	0.03187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_eggerthii	0	0.02928	0.02298	0.00043	0.35091	0.69401	0.0028	3.80621	0.00795	0.0	0.0905	0.03567	0.0	0.93441	0.05085	0.31053	13.03706	0.02014	0.0303	0.0008	0.07345	0.00064	0.09773	0.0	0.44202	0.1481	0.06495	7.3944	0.00251	0.00323	0.00791	0.00075	0.0	12.28656	0.02097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40361	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.00346	0.16489	0.0	0.0	0.11745	0.168	0.0	0.0	0.0	0.0	0.55124	0.0
s__Eubacterium_sp_CAG_180	0	0.02511	0.0	0.0	0.01102	1.4315	0.0	0.0	0.83739	0.0	0.92307	0.7408	0.62866	0.0	0.04991	0.0	0.0	0.00237	0.0	0.0	0.0	0.0	0.42073	0.0	0.0	0.27076	0.0	0.01082	0.00851	1.39197	0.12866	0.00082	0.0	0.0	0.00994	0.0	0.0	0.0	0.0	7.14018	0.0	0.00162	0.0	0.00841	0.0	0.0	0.0	0.01129	0.0	0.0	0.67955	0.0	0.0	0.0	0.00474	0.03274	0.0	0.0	0.0	0.00112	0.0	0.0	0.00398	0.0	0.0	0.0
s__Dorea_formicigenerans	0	0.02506	0.00587	0.0	0.0	0.0	0.0322	0.0	0.0	0.00549	0.0	0.00275	0.00773	0.00047	0.0	0.00298	0.0	0.09212	0.0	0.0	0.01772	0.01656	0.0006	0.0	0.0	0.00463	0.0	0.0	0.0	0.00617	0.01397	0.0	0.0	0.00138	0.01737	0.00632	0.0	0.0155	0.0	0.0254	0.02291	0.0	0.01276	0.00027	0.0	0.0	0.0	0.0	0.07895	0.0	0.0	0.00858	0.00228	0.03449	0.0	0.0	0.0	0.01502	0.00821	0.07052	0.02448	0.00066	0.0	0.0	0.012	0.0
s__Lawsonibacter_asaccharolyticus	0	0.02484	0.0	0.0	0.0	0.00851	0.06538	0.10592	0.0	0.0008	0.01472	0.01342	0.0	0.02444	0.0	0.0	0.02175	0.0	0.00111	0.0	0.01008	0.0	0.0	0.0	0.0	0.0	0.21585	0.0	0.01439	0.0	0.00122	0.0	0.0	0.0	0.01914	0.0	0.00833	0.0	0.0	0.0	0.0	0.0	0.0	0.00205	0.0	0.00448	0.04073	0.04411	0.0	0.0	0.01258	0.0	0.0	0.0101	0.0	0.00234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Dorea_longicatena	0	0.02446	0.03493	0.00377	0.01111	0.04865	0.03398	0.01648	0.00634	0.02838	0.0	0.10344	0.01618	0.02362	0.0	0.02054	0.0	0.11294	0.0	0.05038	0.02773	0.0	0.04194	0.00532	0.06076	0.01859	0.05084	0.00644	0.01417	0.0404	0.02052	0.00275	0.0	0.06223	0.10011	0.01049	0.0	0.07962	0.02431	0.05817	0.06812	0.0	0.0	0.00505	0.0	0.01418	0.02994	0.0	0.0	0.34879	0.0	0.0	0.02648	0.02995	0.00294	0.0	0.0	0.03695	0.0063	0.17521	0.25502	0.00734	0.02916	0.0	0.03445	0.21662
s__Bacteroides_coprocola	0	0.02445	0.0	0.00287	0.0	0.0	0.0	0.0	0.38443	0.26517	0.0	0.00114	0.36084	9.24187	0.00255	0.02153	0.0	0.04488	0.0241	0.02276	0.0	23.12454	0.20464	0.00175	0.00059	0.03102	0.12743	0.19855	0.2403	12.85184	0.123	0.05018	13.32063	0.0126	0.07747	0.0	0.0	0.0	0.00145	0.0	0.00114	0.0	0.0	1.76259	0.0	0.0	0.0	0.0	0.00635	0.0	0.15975	0.11559	11.34978	0.0	0.01416	0.01734	0.0	0.82969	0.0	0.00474	2.34958	0.0	0.0	0.18665	0.00538	0.0
s__Eggerthella_lenta	0	0.02276	0.06951	0.0023	0.00747	0.0	0.01064	0.18802	0.0	0.0	0.13184	0.53076	0.0	0.0	0.0	0.02926	0.0	0.0	0.00308	0.0	0.19303	0.00426	0.0	0.0	0.00086	0.0	0.0	0.00748	0.16902	0.0	0.0	0.0	0.0	0.00112	0.00321	0.00139	0.0	0.0	0.0	0.0	0.01433	0.0	0.0	0.0	0.0	0.0	0.00222	0.0	0.0	0.0	0.0	0.0	0.0	0.06199	0.0	0.0	0.0	0.0	0.0	0.0	0.04599	0.0	0.0	0.0	0.0	0.0
