clade_name	NCBI_tax_id	GupDM_A_11	GupDM_A_15	GupDM_A1	GupDM_A10	GupDM_A12	GupDM_A13	GupDM_A14	GupDM_A2	GupDM_A3	GupDM_A4	GupDM_A5	GupDM_A6	GupDM_A7	GupDM_A8	GupDM_A9	GupDM_HAG	GupDM_HAH	GupDM_HAI	GupDM_HAJ	GupDM_HAK	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HBR	GupDM_HCL	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCU	GupDM_HCV	GupDM_HCY	GupDM_HDB	GupDM_HDF	GupDM_HP	GupDM_HR	GupDM_HS	GupDM_JA	GupDM_JB	GupDM_JC	GupDM_JD	GupDM_JE	GupDM_JG	GupDM_JH	GupDM_JI	GupDM_JJ	GupDM_JK	GupDM_JL	GupDM_JM	GupDM_JN	GupDM_JO	GupDM_JP
s__Porphyromonas_uenonis	0	2.17207	0.0	0.09385	0.0	0.0	0.0	0.0	0.08964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20792	0.0	0.0	0.0	0.0	0.69817	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_413	0	2.03725	0.0	0.08775	0.0	0.0	0.0	0.0	22.75191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04103	0.32125	0.0	0.0	0.0	0.52009	0.0	0.0	0.0	0.0	0.50918
s__Parvimonas_micra	0	1.53036	0.0	0.05045	0.0	0.0	0.0	0.0	7.29352	0.0	1.86491	0.34438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18378	0.0	0.0	0.0	0.0	0.0	0.07363	0.0	0.0	0.0	0.0	0.0	0.06755	0.01527
s__Bacteroides_fragilis	0	1.5118	0.04738	2.05309	0.23019	0.32517	0.0	0.65511	0.90556	0.0	1.81227	0.2691	0.0	0.0	0.03861	0.012	0.0	0.25216	0.0	10.5555	0.0	0.0	0.02198	0.0	0.0	0.16651	0.0	0.0	0.0	0.0	0.0	3.53786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.92148	0.0	0.00934	0.0	0.0	0.0	0.0	0.13754	12.2518	6.65674	0.0	0.08724	0.63852	4.02881	4.83668	0.30088	0.75867	7.72265	7.69899	3.67521	0.05378
s__Peptostreptococcus_anaerobius	0	1.36325	0.0	0.0502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_intestinalis	0	1.04865	0.0	0.04533	0.0	0.0	0.0	0.0	0.02443	2.72866	0.0	0.0	0.14028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59518	2.72529	1.91997	0.0	0.0	0.27129	4.66367	0.85636	0.0	0.34541	0.33169	0.20306	0.67392
s__Bacteroides_thetaiotaomicron	0	1.01085	0.05706	0.83492	0.58814	0.19229	3.39676	1.19441	0.48194	5.27813	0.56118	0.0	1.40294	0.02581	0.03057	0.2179	0.0	0.02548	0.00221	0.09126	0.0	0.0	0.24314	0.49879	0.0	0.0	0.0	0.0	0.04547	0.0	0.0	0.11338	0.0	0.12344	0.05011	0.0	0.0	0.0	0.00955	0.0	0.2845	0.02439	0.39615	0.0	0.00926	0.0	0.0	1.5405	0.0818	0.05001	0.1068	0.0	1.12312	0.83965	0.05851	0.64256	0.0	0.52141	0.57479	0.89504	0.29611
s__Firmicutes_bacterium_CAG_170	0	1.01031	0.0	0.03982	0.0	0.0	0.0	0.0	0.0	0.0	0.22935	0.32793	0.0	0.12892	0.0	0.0	0.00921	0.0	0.0	0.0	0.23383	0.08337	0.03592	0.0	0.0	0.0	0.0	0.0	0.01396	0.0	0.04235	0.3806	0.20678	1.36788	0.0	0.0	0.5955	0.0	0.0	0.23726	0.0	0.0	0.0	0.15393	0.0	0.81976	0.0	0.0	0.08165	0.1451	0.90299	10.3109	0.0	0.12193	0.086	0.38637	0.00972	0.0342	0.04557	0.09111	5.33678
s__Bacteroides_caccae	0	0.98178	0.0	0.22568	0.0	0.0	0.0	1.08753	0.0	7.40214	0.0	0.54696	0.14297	0.50059	0.0	0.0	0.13353	0.11618	0.0	1.4021	0.0	0.0	0.16611	3.8565	0.1301	0.0	0.0	0.0	0.36338	0.0	0.0	1.80236	0.01481	4.93052	1.12275	0.18762	0.0	0.0	0.0	0.0297	1.43209	0.43266	3.30893	0.0	3.43255	0.00508	0.0	0.0	1.20459	0.52386	0.0	0.0	0.9725	0.34358	0.36321	0.5622	0.0	1.10395	1.26756	0.32834	0.0
s__Ruminococcus_bromii	0	0.87549	0.0	0.09491	0.44022	0.0	0.0	0.0	0.0	5.19197	0.0	0.28959	0.76797	0.0	0.0	0.0	0.48022	0.0	0.12528	2.09178	0.22259	0.01013	9.2527	0.03898	0.0	0.0	0.0	0.0	0.00746	0.0	0.0	2.69534	0.14918	0.0	0.0	0.0	0.0	0.12619	0.0	0.19897	0.0	0.05752	0.5764	0.0	0.0	0.0	5.37327	0.0	0.27236	0.14142	0.17749	0.82086	0.0	0.07198	0.08104	0.07171	4.58835	0.12589	0.12477	0.09748	0.45112
s__Bacteroides_vulgatus	0	0.79867	0.04319	3.09513	0.76904	4.12337	0.0	15.06112	1.62086	26.08714	0.2793	0.53455	0.0	0.86639	0.02856	3.09807	1.46858	0.17954	0.88048	20.99067	0.0	0.0	1.50875	34.2484	0.04376	0.1086	0.0	0.0	5.109	0.0	0.06808	3.54074	0.0	33.26705	1.63707	5.20296	0.0	0.0	0.0	0.0	6.20418	4.91874	0.0	0.0	1.81346	0.69346	0.0	7.60562	6.69426	3.51821	7.74483	0.6789	19.76786	6.21394	2.91394	15.89093	0.24012	11.49088	12.12159	6.5772	4.88874
s__Parabacteroides_distasonis	0	0.72057	0.11384	0.48817	0.0	0.01933	0.0	1.28904	1.35861	1.98272	0.0471	0.0	0.28682	0.42096	0.10566	0.0	0.08971	0.03029	0.0	3.02973	0.06625	0.0	0.69217	0.54544	0.4466	0.0	0.0	0.0	0.01159	0.0	0.13059	0.42186	0.0	1.30711	0.65002	0.0	0.0	0.0	0.04645	0.0	0.21305	0.06723	0.50981	0.0	0.06153	0.0	2.25029	1.22805	2.25083	1.62378	6.93366	0.0	1.31249	1.60287	1.17078	3.683	2.2444	1.88524	1.83765	1.51381	2.62847
s__Coprococcus_eutactus	0	0.67844	0.0	0.01696	0.0	0.0	0.0	0.0	0.0	0.0	5.71205	0.0	0.0	0.0	0.0	0.0	0.40224	0.20437	0.0	0.0	0.0	0.11506	0.0	0.0	0.0	0.2237	0.0	0.40881	0.35923	0.01848	0.0	0.95734	0.0	0.0	0.00587	0.0	0.0	0.0	0.0	0.0	0.88458	0.51277	0.0	0.06954	0.34239	0.0	0.0292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0748	0.0	0.0	0.0	0.0
s__Eubacterium_rectale	0	0.53343	0.0	0.05039	0.02461	0.0	0.0	0.09169	0.0	0.0	13.77966	1.40596	0.0	0.35673	0.0	0.0	1.54806	9.8119	3.28133	0.64361	6.85524	15.72571	0.20513	1.17527	7.96704	1.01025	0.40005	6.65805	1.57102	0.76775	0.12836	9.84427	0.0	0.0	1.6997	5.02788	2.88784	0.10742	0.0	0.0	2.12862	1.64141	0.39055	2.92822	0.2439	1.49865	0.0	0.0	0.0	0.0	0.0	1.03441	0.12197	0.0	0.0	0.00798	0.0	0.01791	0.01702	0.0	0.47731
s__Lactobacillus_mucosae	0	0.50598	0.0	0.45964	3.03352	0.0	0.0	0.05369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09819	0.0	0.0	0.03037	0.0	0.02527	0.00395	0.0	0.0
s__Bacteroides_ovatus	0	0.44572	0.0	0.41756	0.89691	1.76919	0.0	0.71107	0.21995	2.82965	0.0	0.56138	2.10921	0.01679	0.0	0.07564	0.4484	0.00706	0.14068	0.29213	0.19348	0.0	0.17823	0.0	0.03121	0.20004	0.0	0.04227	0.34741	0.0	0.03347	1.47906	0.0	0.09216	2.11475	0.19314	0.0	0.07496	0.0	0.0	1.12517	0.44139	30.98905	0.0	0.11793	0.0	0.07425	0.0	2.62223	1.60329	0.27915	0.0	1.24441	0.84954	0.93032	0.49111	0.15182	1.7601	1.93644	1.04617	0.12691
s__Butyricimonas_virosa	0	0.32673	0.0	0.01101	0.0	0.0	0.0	0.0	0.0	0.55039	0.05093	0.0	0.1145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01121	0.0	0.0	0.01754	0.45406	0.44499	0.78617	0.0	0.0	0.22618	0.54246	0.37969	0.0	0.23907	0.21653	0.2518	0.2608
s__Parabacteroides_goldsteinii	0	0.31939	0.0	0.00716	0.0	0.0	0.0	0.0	0.0	0.18988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19065	0.07754	0.0	0.0	0.0	0.04641	0.07808	0.0	0.0	0.03608	0.06463	0.02128	0.0
s__Eubacterium_eligens	0	0.31864	0.0	0.54284	0.0	0.0	4.23201	0.0	0.0	0.0	0.33061	0.0	0.05903	0.06958	0.0	1.36983	0.96213	0.28793	0.45879	2.09531	0.44446	0.85611	1.57287	0.01509	4.64137	0.28092	0.0981	0.25632	0.07019	0.0	0.0	0.25165	0.0	0.0	0.11578	0.39071	0.22305	0.14628	0.0	0.0	0.17894	0.06107	0.1618	1.4109	0.19962	0.12387	0.30126	1.00852	0.18134	0.09376	1.98139	1.20132	0.0	0.506	0.07975	0.8327	0.37827	0.11579	0.10468	0.52722	1.27532
s__Roseburia_inulinivorans	0	0.31341	0.0	0.54722	0.03846	8.16503	2.24654	1.24033	1.50706	0.0	0.16741	0.0	0.00691	2.29096	0.0	3.44784	0.0	0.00684	2.03174	8.03141	1.35459	2.67238	0.0	2.03955	0.31744	0.0	0.46468	0.51622	0.02983	0.17187	0.48645	0.48269	0.10762	2.70339	0.94826	4.1838	0.05779	0.0	0.0	0.13595	0.18776	0.02729	0.0166	0.0	0.27981	0.54365	0.0	0.72599	0.82899	0.28768	0.0	0.54971	0.38805	0.59549	0.29973	0.16728	0.0	0.65557	0.64742	0.61818	0.34104
s__Peptostreptococcus_stomatis	0	0.30674	0.0	0.00592	0.0	0.0	0.0	0.0	0.0	0.0	0.00814	0.01016	0.0	0.0	0.0	0.00906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
