clade_name	NCBI_tax_id	TZ_10742	TZ_12739	TZ_14139	TZ_16581	TZ_21460	TZ_21618	TZ_24827	TZ_25806	TZ_27689	TZ_29321	TZ_37609	TZ_38244	TZ_39227	TZ_39371	TZ_40311	TZ_41014	TZ_42041	TZ_42864	TZ_43638	TZ_47979	TZ_60579	TZ_61717	TZ_65172	TZ_65642	TZ_67706	TZ_70090	TZ_73414	TZ_76219	TZ_81781	TZ_83627	TZ_83788	TZ_83893	TZ_83985	TZ_86768	TZ_86771	TZ_87532	TZ_90808	TZ_91827	TZ_93321	TZ_99300
s__Firmicutes_bacterium_CAG_110	0	1.80018	0.0	0.0	0.0	0.0	0.0	0.05022	0.0	0.0	0.31502	0.78878	0.0	4.8695	0.47391	0.0	0.0	0.08597	0.11557	0.14728	0.0	0.44089	0.04368	0.08603	0.03639	0.04526	0.0	0.12911	0.21912	0.0	0.2559	0.0	0.26581	0.0	0.0	0.01536	0.0	0.07687	0.0	0.0	0.22693
s__Gemmiger_formicilis	0	1.52022	1.43704	0.62974	0.43952	0.08422	0.69516	0.88906	0.0	0.62666	0.0	0.41681	0.0	0.37123	0.87163	0.89278	0.71323	0.53702	0.65119	0.10883	0.15118	0.45494	0.0	0.18717	0.96874	0.11703	0.13301	0.77287	1.1134	0.29687	0.0	0.05096	0.28576	0.46739	0.2336	0.48903	1.43974	0.11493	0.69773	0.6322	0.17855
s__Phascolarctobacterium_succinatutens	0	1.42424	0.08251	0.0	0.53667	0.55481	0.18754	0.13217	4.91997	1.88603	4.84862	3.3608	0.98063	0.06829	0.33213	0.0	0.87334	1.81784	2.15758	3.11397	1.67202	2.19052	1.79861	1.52938	1.98986	0.08948	0.00808	0.60364	8.25672	0.15417	3.15513	1.24118	3.06613	0.39981	0.20287	0.17508	0.01779	2.40071	0.0	1.82699	1.51704
s__Dorea_longicatena	0	1.23884	0.91834	1.82762	0.89668	1.81245	4.87482	1.94971	0.0	3.28787	0.46267	0.73542	0.62995	1.72391	0.06088	1.56347	3.43391	1.23582	0.55589	0.15918	0.69129	0.38673	0.1912	5.82404	0.49873	0.71502	1.24509	1.93686	1.19414	0.63767	0.45232	0.48512	1.43427	0.76061	0.67539	2.79776	2.41575	0.24082	1.25632	1.49881	1.74818
s__Brachyspira_sp_CAG_700	0	1.22288	0.48251	0.0	0.05222	0.0	0.0	0.41982	0.63712	0.19066	0.04891	0.03767	3.53432	0.7818	0.10527	0.0	0.25232	0.87636	1.44291	3.33277	0.56859	1.10536	0.14013	0.27984	0.36476	0.71275	0.01317	0.14039	2.78441	0.70467	2.99515	0.57823	0.50229	2.12554	0.55867	0.12427	0.06184	2.07699	0.07464	0.84065	0.50933
s__Coprococcus_comes	0	1.1845	1.70888	2.41982	7.71115	0.19913	1.51643	0.38852	0.6036	2.6868	0.49153	0.75491	0.99856	1.92977	0.57913	2.39644	3.16631	1.06057	2.43853	0.65267	0.43456	0.34007	0.51755	1.18829	3.19966	3.12821	0.7058	1.27052	2.61435	0.25568	0.26053	0.13263	2.22893	0.94042	0.25233	0.20205	1.6853	1.00767	0.24831	0.93031	2.88782
s__Blautia_obeum	0	1.16146	1.38991	2.16112	0.16881	0.61572	0.69473	2.61009	0.0	0.26205	0.03906	0.35214	0.71431	5.51568	1.15771	1.67217	1.60303	0.60098	0.27851	0.0	1.30088	2.1317	0.36643	1.74765	0.38249	1.01554	1.18132	0.62159	0.36704	0.0	0.53583	0.64447	2.70667	0.33662	0.1124	2.63873	1.06501	2.93811	10.68931	0.65526	1.66454
s__Oscillibacter_sp_57_20	0	0.90121	0.08335	0.0	0.0	0.05403	0.0701	0.02216	2.91433	3.97282	1.31025	0.81437	0.51591	0.0	0.0	0.0	0.23437	0.0525	1.33494	1.54703	0.91615	0.82692	0.37197	0.23539	0.13746	0.10933	0.0	0.16073	3.41563	0.12019	0.58008	0.0	0.41719	0.19011	0.19449	0.0	0.0	0.54319	0.0	0.03334	2.84082
s__Prevotella_copri	0	0.88987	4.76599	2.16917	1.57629	0.57723	0.49413	2.07395	18.56635	11.70445	19.18279	18.53822	31.19845	12.24684	1.43476	0.58189	12.1104	11.16879	16.99284	19.66436	21.24053	2.55185	2.33372	9.3607	10.47334	10.94551	1.88107	17.22795	10.55519	47.89399	2.20443	33.21269	1.98823	42.05672	51.31938	4.51078	1.33962	27.8729	1.72684	23.37842	1.62842
s__Coprococcus_catus	0	0.64597	0.35523	1.45652	0.50329	0.0	0.14663	0.38802	0.57427	1.02306	0.81358	0.22178	0.20567	0.71329	0.31406	0.67656	1.33912	1.05398	0.63805	0.06856	0.41158	0.44969	0.0	0.78415	0.41901	0.94826	1.60716	0.42198	0.0692	0.49803	0.34746	0.12046	1.05816	0.03703	0.38924	0.91036	0.24912	0.24766	0.38811	0.33248	0.91495
