model	held_out_study	balanced_accuracy	f1_macro	auroc	balanced_accuracy_std	f1_macro_std	auroc_std	n_train_samples	n_eval_samples	ctrl_anchor_mmd_mean	ctrl_anchor_mmd_max	ctrl_anchor_coral_mean	ctrl_anchor_coral_max	n_studies_diag
hyp-philr-zinb	FengQ_2015	0.4397238945926409	0.2493840944260423		0.0124442319320034	0.0108126099679041		1496	154					0
hyp-philr-zinb	VogtmannE_2016	0.3358974358974359	0.2077094606079375		0.0179028718509858	0.0108444257703843		1540	110					0
hyp-philr-zinb	ZellerG_2014	0.4306830846577211	0.2211010482708493		0.013434814816264	0.0078012448429905		1494	156					0
hyp-philr-zinb	YuJ_2015	0.6525025025025025	0.2641116201296034		0.0181613418789292	0.0081182852021397		1522	128					0
hyp-philr-zinb	WirbelJ_2018	0.5588461538461539	0.2384562274897305		0.0215168924357594	0.0077010957134992		1525	125					0
hyp-philr-zinb	YachidaS_2019	0.3243469140907157	0.2379163699383149		0.0041677302080715	0.0041805233740378		1034	616					0
hyp-philr-zinb	ThomasAM_2018a	0.4585994040017028	0.2213738192641343		0.0205004644217553	0.0123705821131917		1570	80					0
hyp-philr-zinb	ThomasAM_2018b	0.5383928571428571	0.2250247415241571		0.0314248932506751	0.0135546673687608		1590	60					0
hyp-philr-zinb	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
hyp-philr-zinb	HanniganGD_2017	0.3614163614163614	0.214405597120372		0.0237634839989192	0.0141474432135061		1569	81					0
hyp-philr-zinb	GuptaA_2019	0.6966666666666665	0.2843691475191475		0.0182574185835055	0.0051878825965505		1590	60					0
treenbvae	FengQ_2015	0.4006339000015165	0.2232685187691377		0.0167365758732578	0.010024715085136		1496	154					0
treenbvae	VogtmannE_2016	0.3576923076923077	0.217258196477981		0.0146176336551171	0.0092855201120835		1540	110					0
treenbvae	ZellerG_2014	0.4306585362261205	0.2278074629346142		0.0172732142330784	0.0102840491612584		1494	156					0
treenbvae	YuJ_2015	0.6341841841841841	0.2529000534782771		0.0266474804877397	0.0095247512211603		1522	128					0
treenbvae	WirbelJ_2018	0.5611538461538462	0.2425182519756287		0.0376315356932517	0.0137462164202865		1525	125					0
treenbvae	YachidaS_2019	0.3071737462967752	0.2255890766922135		0.0062571303135464	0.0070264890622751		1034	616					0
treenbvae	ThomasAM_2018a	0.4171775223499361	0.2063122239471801		0.0240085576528152	0.0144159124964086		1570	80					0
treenbvae	ThomasAM_2018b	0.565625	0.2332148117525408		0.0193695474552827	0.0069391031613833		1590	60					0
treenbvae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
treenbvae	HanniganGD_2017	0.343623660290327	0.1949648244201159		0.0157169895355019	0.0096243730954918		1569	81					0
treenbvae	GuptaA_2019	0.6333333333333333	0.2701424120251974		0.0117851130197757	0.0047159961668824		1590	60					0
diva-treenbvae	FengQ_2015	0.4290941902609909	0.2447888398310367		0.0158868858849745	0.0098832829858311		1496	154					0
diva-treenbvae	VogtmannE_2016	0.3461538461538461	0.2178331371837606		0.0101355053210525	0.0060299152051623		1540	110					0
diva-treenbvae	ZellerG_2014	0.4105332410312305	0.2221858190224123		0.0170420423595012	0.0080119078339886		1494	156					0
diva-treenbvae	YuJ_2015	0.6452452452452453	0.2689062762178095		0.0151195477063623	0.0046867107622469		1522	128					0
diva-treenbvae	WirbelJ_2018	0.5562820512820512	0.2422813379500468		0.0156520557996731	0.007805595947048		1525	125					0
diva-treenbvae	YachidaS_2019	0.3127646765708196	0.232834760211151		0.0038828168418026	0.0030151349871596		1034	616					0
diva-treenbvae	ThomasAM_2018a	0.4637505321413367	0.24784023748925		0.0138177750407557	0.0083696568051533		1570	80					0
diva-treenbvae	ThomasAM_2018b	0.5767857142857143	0.2447591701087214		0.0200644687984323	0.0091836875711471		1590	60					0
diva-treenbvae	ThomasAM_2019_c	0.9675	0.3869985935302391		0.0068465319688146	0.0027398967128833		1570	80					0
diva-treenbvae	HanniganGD_2017	0.3718830552163885	0.2187544937966927		0.021462634450705	0.015694471158894		1569	81					0
diva-treenbvae	GuptaA_2019	0.6133333333333334	0.2517586215229134		0.0074535599249993	0.0053797867172561		1590	60					0
diva-hyp-philr-nb	FengQ_2015	0.8709710195477776	0.5248487393125936		0.0105017465896443	0.0063249324148588		1496	154					0
diva-hyp-philr-nb	VogtmannE_2016	0.6230769230769231	0.3673691150637015		0.0053632052982953	0.002502237198532		1540	110					0
diva-hyp-philr-nb	ZellerG_2014	0.813617015008911	0.489805384647564		0.0151107886770033	0.0091736004975497		1494	156					0
diva-hyp-philr-nb	YuJ_2015	0.9587087087087088	0.3852488002020712		1.2412670766236366e-16	0.0		1522	128					0
diva-hyp-philr-nb	WirbelJ_2018	0.9358974358974358	0.3825887411482299		0.009951394036064	0.0028674293154594		1525	125					0
diva-hyp-philr-nb	YachidaS_2019	0.5660423906595071	0.4502432277229111		0.0035917718788995	0.0035659063218345		1034	616					0
diva-hyp-philr-nb	ThomasAM_2018a	0.7872498935717326	0.4680816488252434		0.0232930548095022	0.0139216593950663		1570	80					0
diva-hyp-philr-nb	ThomasAM_2018b	0.9415178571428572	0.3825087782587782		0.0097807599554494	0.0034954947888155		1590	60					0
diva-hyp-philr-nb	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
diva-hyp-philr-nb	HanniganGD_2017	0.8395197395197395	0.5095225887005832		0.016296764634815	0.0100129980322822		1569	81					0
diva-hyp-philr-nb	GuptaA_2019	0.98	0.3926301367238026		0.0074535599249993	0.0015682534032727		1590	60					0
diva-beta-vae	FengQ_2015	0.957316894395495	0.5764098317141795		0.0032406782282605	0.0019667236954512		1496	154					0
diva-beta-vae	VogtmannE_2016	0.6461538461538462	0.3768289608599959		0.0028667538173074	0.0016572228693526		1540	110					0
diva-beta-vae	ZellerG_2014	0.925387987961449	0.5567776220664346		0.0050497748006738	0.0029367651108426		1494	156					0
