model	held_out_study	balanced_accuracy	f1_macro	auroc	balanced_accuracy_std	f1_macro_std	auroc_std	n_train_samples	n_eval_samples	ctrl_anchor_mmd_mean	ctrl_anchor_mmd_max	ctrl_anchor_coral_mean	ctrl_anchor_coral_max	n_studies_diag
hyp-philr-zinb	FengQ_2015	0.4291204763854557	0.2437502522791485		0.0091469803267171	0.0065051160003328		1496	154					0
hyp-philr-zinb	VogtmannE_2016	0.3615384615384615	0.2216235397300753		0.0210662522117371	0.0133864179097267		1540	110					0
hyp-philr-zinb	ZellerG_2014	0.4314465408805031	0.2215038435905076		0.0152199985302338	0.0069064529553919		1494	156					0
hyp-philr-zinb	YuJ_2015	0.6098598598598599	0.2514831875450111		0.0154659918728906	0.0068329213319876		1522	128					0
hyp-philr-zinb	WirbelJ_2018	0.6134615384615385	0.2557680824946894		0.0258842629609871	0.0095928955118278		1525	125					0
hyp-philr-zinb	YachidaS_2019	0.3251769273709282	0.2382007238699147		0.006874641047684	0.0055083203624571		1034	616					0
hyp-philr-zinb	ThomasAM_2018a	0.4467220093656875	0.2162829025881224		0.0160424242006187	0.0070566461936611		1570	80					0
hyp-philr-zinb	ThomasAM_2018b	0.5312500000000001	0.2241603554927151		0.0331080289602484	0.015234197782197		1590	60					0
hyp-philr-zinb	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
hyp-philr-zinb	HanniganGD_2017	0.3109822276488943	0.184557399486336		0.0186652358088256	0.0115318108480374		1569	81					0
hyp-philr-zinb	GuptaA_2019	0.7	0.2890353136803124		0.0333333333333333	0.0143371997336876		1590	60					0
treenbvae	FengQ_2015	0.3969118858777796	0.2354045784641749		0.0125216100447744	0.0082226111560306		1496	154					0
treenbvae	VogtmannE_2016	0.3423076923076923	0.2116893587524488		0.0229340305384594	0.0138412969374586		1540	110					0
treenbvae	ZellerG_2014	0.3936488297762656	0.1969856055313397		0.0172822049894365	0.0087118800151591		1494	156					0
treenbvae	YuJ_2015	0.5941441441441441	0.2447345584206559		0.0216509134991722	0.0089870180628999		1522	128					0
treenbvae	WirbelJ_2018	0.5507692307692308	0.2344837519032191		0.0190234551927027	0.008885641467834		1525	125					0
treenbvae	YachidaS_2019	0.3056873858263579	0.2225206809032933		0.003680649260763	0.003721284327027		1034	616					0
treenbvae	ThomasAM_2018a	0.5062047679863773	0.2439624368623054		0.0153560629564519	0.0079587738141255		1570	80					0
treenbvae	ThomasAM_2018b	0.5491071428571428	0.2182863689553644		0.0331080289602484	0.0118893862748407		1590	60					0
treenbvae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
treenbvae	HanniganGD_2017	0.3686474019807353	0.219242384686577		0.0346872963379589	0.0234357346652386		1569	81					0
treenbvae	GuptaA_2019	0.5766666666666665	0.2240778735413181		0.0278886675511358	0.0142289622374687		1590	60					0
diva-treenbvae	FengQ_2015	0.4696713728939506	0.2846270125711605		0.0262808204440231	0.0172062349478591		1496	154					0
diva-treenbvae	VogtmannE_2016	0.3948717948717949	0.2509337105745954		0.0147575185041299	0.008917037571586		1540	110					0
diva-treenbvae	ZellerG_2014	0.4631341473593252	0.2557482667221176		0.0126434023199208	0.0092656841255249		1494	156					0
diva-treenbvae	YuJ_2015	0.6532532532532531	0.2714041934749899		0.0090430066993427	0.0034816143804456		1522	128					0
diva-treenbvae	WirbelJ_2018	0.5748717948717947	0.2585508876221157		0.0198893636150044	0.0077376476408881		1525	125					0
diva-treenbvae	YachidaS_2019	0.3391077711599511	0.2586553548433953		0.0102153233221558	0.0084432205447429		1034	616					0
diva-treenbvae	ThomasAM_2018a	0.4962962962962963	0.2743897199188483		0.0329298243385851	0.0190581248803295		1570	80					0
diva-treenbvae	ThomasAM_2018b	0.5910714285714287	0.2516582788899366		0.025713278130061	0.0102911240827619		1590	60					0
diva-treenbvae	ThomasAM_2019_c	0.8800000000000001	0.3610180743381276		0.0111803398874989	0.0054125307679026		1570	80					0
diva-treenbvae	HanniganGD_2017	0.3735856735856736	0.2249323586140619		0.0107880275803352	0.0066834481497615		1569	81					0
diva-treenbvae	GuptaA_2019	0.5966666666666667	0.2583206649575262		0.0273861278752583	0.0088925122564317		1590	60					0
diva-hyp-philr-nb	FengQ_2015	0.8124591174939214	0.4878652836000741		0.0085684004075937	0.0047210344556988		1496	154					0
diva-hyp-philr-nb	VogtmannE_2016	0.5628205128205128	0.3456627313831582		0.0053632052982954	0.0026473494850732		1540	110					0
diva-hyp-philr-nb	ZellerG_2014	0.6848084485882197	0.3976577466422414		0.0157880140294823	0.0131845835237591		1494	156					0
diva-hyp-philr-nb	YuJ_2015	0.912062062062062	0.3699307642558084		0.009989029564606	0.0037138076100136		1522	128					0
diva-hyp-philr-nb	WirbelJ_2018	0.8785897435897436	0.3586934171491515		0.0038085771224392	0.0017943310986496		1525	125					0
diva-hyp-philr-nb	YachidaS_2019	0.5054815678855791	0.399128148808438		0.00735341464333	0.0069359915136765		1034	616					0
diva-hyp-philr-nb	ThomasAM_2018a	0.6362707535121328	0.3650119952192409		0.0183995283531495	0.0107512677938069		1570	80					0
diva-hyp-philr-nb	ThomasAM_2018b	0.8883928571428571	0.3663197785820736		0.0075695647133094	0.0016838811138728		1590	60					0
diva-hyp-philr-nb	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
diva-hyp-philr-nb	HanniganGD_2017	0.7223443223443223	0.4356978030737444		0.0108572280138849	0.0065697805355012		1569	81					0
diva-hyp-philr-nb	GuptaA_2019	0.9833333333333334	0.3933314809669352		0.0	0.0		1590	60					0
diva-beta-vae	FengQ_2015	0.9348245653943172	0.5613808595308954		0.0060076116620224	0.003626670422621		1496	154					0
diva-beta-vae	VogtmannE_2016	0.6269230769230769	0.3677816023616756		0.0028667538173074	0.0015638120442876		1540	110					0
diva-beta-vae	ZellerG_2014	0.9425326125913814	0.5639586386797198		0.003444795959152	0.0018918978264055		1494	156					0
diva-beta-vae	YuJ_2015	0.9747247247247246	0.3908953349008546		1.2412670766236366e-16	0.0007252629547954		1522	128					0
diva-beta-vae	WirbelJ_2018	0.9669230769230768	0.386870558074419		0.0037267799624996	0.0017560640740308		1525	125					0
diva-beta-vae	YachidaS_2019	0.695180979195563	0.5503446434067203		0.0018131564786249	0.0010624220781673		1034	616					0
diva-beta-vae	ThomasAM_2018a	0.9357492550021286	0.5600863479842393		0.0113516860926713	0.0051411473806001		1570	80					0
diva-beta-vae	ThomasAM_2018b	0.9665178571428572	0.3866071428571428		1.2412670766236366e-16	0.0		1590	60					0
diva-beta-vae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
diva-beta-vae	HanniganGD_2017	0.9161036494369826	0.5497964172809715		0.0054751892685274	0.0035493065027692		1569	81					0
diva-beta-vae	GuptaA_2019	1.0	0.4		0.0	0.0		1590	60					0
beta-vae	FengQ_2015	0.3749220262557943	0.2144257117579228		0.0322639399794534	0.0208141367089658		1496	154					0
beta-vae	VogtmannE_2016	0.3179487179487179	0.1931935433460631		0.014044168141158	0.0073382213176487		1540	110					0
beta-vae	ZellerG_2014	0.4044707603631204	0.2147205529458312		0.0122816980420158	0.0044297594706621		1494	156					0
beta-vae	YuJ_2015	0.538988988988989	0.2217747020820772		0.0167941971547044	0.0066116901797195		1522	128					0
beta-vae	WirbelJ_2018	0.527051282051282	0.2177750992931866		0.0252510406891337	0.0105364637129549		1525	125					0
beta-vae	YachidaS_2019	0.3038067099875403	0.2261205306478065		0.0056580934809648	0.0065791047731054		1034	616					0
beta-vae	ThomasAM_2018a	0.4737441464452958	0.2356015304767616		0.0384953154196147	0.0245908746216225		1570	80					0
beta-vae	ThomasAM_2018b	0.5687500000000001	0.2328064347363193		0.0360751854479231	0.0133160105641009		1590	60					0
beta-vae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
beta-vae	HanniganGD_2017	0.3314475647808981	0.198940816277821		0.0303261261793563	0.0186702759684389		1569	81					0
beta-vae	GuptaA_2019	0.6	0.2507558825578897		0.0204124145231931	0.0072525682587959		1590	60					0
xgb-baseline	FengQ_2015	0.5021246265601067	0.2644253621672014		0.0144855603524156	0.0098132998328224		1496	154					0
xgb-baseline	VogtmannE_2016	0.4051282051282051	0.2503457371474985		0.0146176336551171	0.0077216783562559		1540	110					0
xgb-baseline	ZellerG_2014	0.4891412467657441	0.2505238119857657		0.0096374290527201	0.0056824559568995		1494	156					0
xgb-baseline	YuJ_2015	0.7321821821821823	0.294598325061591		0.0086858830111164	0.0047411590480068		1522	128					0
xgb-baseline	WirbelJ_2018	0.717948717948718	0.3073408930963986		0.0085041661291164	0.0036602222498563		1525	125					0
xgb-baseline	YachidaS_2019	0.3448848018777602	0.2493985546712195		0.0037118593593291	0.0026846904942597		1034	616					0
xgb-baseline	ThomasAM_2018a	0.5214665815240528	0.2741227820852101		0.0290665515934233	0.0166665058486886		1570	80					0
xgb-baseline	ThomasAM_2018b	0.7107142857142857	0.2871319159164897		0.0206156248018193	0.0062102071340647		1590	60					0
xgb-baseline	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
xgb-baseline	HanniganGD_2017	0.3612806946140279	0.1775773354660363		0.0198329773593538	0.0178665988177887		1569	81					0
xgb-baseline	GuptaA_2019	0.6933333333333334	0.2879175163645994		0.0252762514801717	0.0104125850150948		1590	60					0
xgb-coral	FengQ_2015	0.4237303043629911	0.2105994940219309		0.0145468113178412	0.0089039670024038		1496	154					0
xgb-coral	VogtmannE_2016	0.3756410256410256	0.2192446676353306		0.0205728288921554	0.0115094198816841		1540	110					0
xgb-coral	ZellerG_2014	0.4846891432106402	0.2471322326097642		0.0098173183353778	0.0050540259680884		1494	156					0
xgb-coral	YuJ_2015	0.6877377377377377	0.2732300452871573		0.0199152664822814	0.0077894932126332		1522	128					0
xgb-coral	WirbelJ_2018	0.5956410256410256	0.2386290869423932		0.0219891417230109	0.0095230415939501		1525	125					0
xgb-coral	YachidaS_2019	0.3071493385476951	0.2221296974743646		0.0025958056739293	0.0032429333076025		1034	616					0
xgb-coral	ThomasAM_2018a	0.4499042145593869	0.2140120339219894		0.0285245278891571	0.0131963321655242		1570	80					0
xgb-coral	ThomasAM_2018b	0.5950892857142858	0.2377080286667215		0.0216183928800057	0.0084488969598533		1590	60					0
xgb-coral	ThomasAM_2019_c	0.75	0.3006855990049523		0.0279508497187474	0.0106196690895077		1570	80					0
xgb-coral	HanniganGD_2017	0.3833401166734499	0.1880584508084508		0.0316036190946536	0.0134542191526592		1569	81					0
xgb-coral	GuptaA_2019	0.7366666666666667	0.2928545276651789		0.0320589734361189	0.0121537171150216		1590	60					0
