clade_name	NCBI_tax_id	ES_001	ES_007	ES_010	ES_014	ES_017	ES_019	ES_024	ES_043	ES_046	ES_048	ES_069	ES_080	ES_088	ES_089	ES_095	ES_099	ES_104	ES_106	ES_107	ES_108	ES_110	ES_114	ES_116	ES_132	ES_137	ES_147	ES_158	ES_207	ES_208	ES_209	ES_210	ES_211
s__Capnocytophaga_ochracea	0	0.0	0.1624	0.0	0.0	0.0	0.11247	0.06743	0.00374	0.00791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00754	0.00413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00141	0.0	0.0	0.0	0.01222	0.0
s__Gemella_sanguinis	0	0.0	0.15509	1.62807	0.09694	0.24981	0.0343	0.03044	0.42503	0.55986	0.0544	0.0	0.0	0.11576	0.0	0.14495	0.0816	0.45101	1.16028	0.02302	0.24293	0.16069	0.37095	0.09019	0.03759	0.91304	0.47016	0.36307	0.06183	0.44282	0.01681	0.29669	0.716
s__Tannerella_sp_oral_taxon_HOT_286	0	0.0	0.15342	0.0	0.0	0.20271	0.69243	0.02755	0.0	0.11865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0175	1.70009	0.01244	0.0	0.20838	0.0	0.0462	0.0	0.0	0.0	0.00795	0.0	0.0	1.31882	0.0	0.96313
s__Selenomonas_noxia	0	0.0	0.14441	0.0	0.0	0.00593	0.03751	0.0344	0.03353	0.01837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00041	0.0	0.0	0.0	0.00335	0.0	0.0	0.0	0.0	0.0	0.0	0.05412	0.0	0.0
s__Actinomyces_graevenitzii	0	0.0	0.13661	0.0	0.54158	0.0	0.0	0.04644	0.0	0.34634	0.0	0.00966	0.0	0.0	2.57014	0.0	0.0	0.10052	1.78847	0.75353	0.98504	0.23326	1.06642	6.48707	0.0	9.10206	0.0	0.0595	0.0	0.06777	1.23819	0.46001	0.22798
s__Prevotella_jejuni	0	0.0	0.10064	0.0	1.12967	0.0	0.01234	0.09134	0.04063	0.29279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69804	2.93207	6.08993	0.0	1.23288	4.02583	0.47815	1.55511	0.73965	9.13874	1.11693	1.03035	0.00324	7.59864	3.29644	0.0
s__Oribacterium_sp_oral_taxon_078	0	0.0	0.08316	0.0	0.0	0.0	0.1301	0.0896	0.0601	0.10191	0.0	0.25815	0.00312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12957	0.0	0.0	0.0	0.0	0.00919	0.0
s__Actinomyces_sp_HMSC035G02	0	0.0	0.08012	0.0	0.81315	0.0903	0.0	0.20055	0.12705	0.18252	0.0	1.1316	0.00247	0.0	0.43805	0.0	0.0	0.11617	0.10566	0.04095	1.1127	0.44106	0.07027	0.44451	0.12065	1.59228	1.08187	0.02286	0.0	0.05136	0.1571	0.29426	0.01693
s__Stomatobaculum_longum	0	0.0	0.07752	0.0	0.38251	0.00379	0.01967	0.07198	0.64522	0.7143	0.0	0.10073	0.38857	0.0	1.47348	0.0	0.0	0.0581	0.08215	0.76436	0.42476	0.13204	1.38568	1.48414	0.7902	0.2959	1.99277	0.00413	0.0	0.02218	0.46974	0.0703	0.0
s__Veillonella_dispar	0	0.0	0.07366	5.80224	5.23193	0.52409	0.2569	0.32067	6.83198	1.28509	0.2077	0.0	7.24707	0.61087	0.60132	0.10403	0.03926	1.08725	6.44708	1.08143	3.52822	1.5138	7.76338	5.6836	14.70424	9.14211	0.0	0.89088	0.0	0.59771	1.95437	17.49355	1.40301
s__Leptotrichia_sp_oral_taxon_215	0	0.0	0.06368	0.0	0.0	0.01872	0.08286	0.0	0.0	0.08911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48299	1.73615	0.0052	0.0	0.02503	0.86302	0.54021	0.0	0.0	0.0	0.35503	0.111	0.17328	0.34321	0.54583	1.85012
s__Streptococcus_cristatus	0	0.0	0.06106	0.0	0.0	2.53456	1.31632	0.27108	0.0	0.15088	0.0	0.0	0.0	0.07147	0.0	0.0	0.0	0.0	0.01436	0.02961	0.172	0.0	0.01622	0.04588	0.0	0.0	0.0	0.02453	0.0	0.03307	0.02943	0.00451	0.0
s__Cardiobacterium_hominis	0	0.0	0.05597	0.0	0.0	0.0	0.0	0.01338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00271	0.0	0.0	0.0
s__Capnocytophaga_sputigena	0	0.0	0.05335	0.0	0.0	0.0	0.00209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00206	0.35494	0.0	0.00112	0.0	0.06946	0.0	0.0	0.0	0.0	0.0	0.17315	0.0	0.0815	0.0	0.00082	0.0
s__Streptococcus_sp_HPH0090	0	0.0	0.05118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05773	0.07683	0.0	0.00479	0.0	0.01983	0.24421	0.4987	0.0	0.00463	0.0	0.0	0.01191	0.02517	0.0
s__Streptococcus_anginosus_group	0	0.0	0.02712	0.0	0.0	0.03204	0.14634	0.07638	0.0	0.0	0.0	0.02198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02974	0.12014	0.00825	0.0	0.0134	0.4078	0.12663	2.13818	0.00109	0.0	0.0	0.00801	0.0	0.0
s__Granulicatella_adiacens	0	0.0	0.02398	0.0	0.0	0.05285	0.0561	0.02301	0.06749	0.03578	0.0	0.09468	0.0	0.0	0.0	0.0	0.0	0.02604	0.0102	0.003	0.21985	0.02806	0.02868	0.00651	0.0	0.03042	0.0	0.00942	0.06894	0.02791	0.0081	0.05884	0.0
s__Veillonella_sp_T11011_6	0	0.0	0.01948	0.08469	1.03039	0.19139	0.04003	0.03904	1.96771	0.27748	0.07696	0.0	3.34825	0.0	0.0	0.01995	0.0	0.04212	0.33044	0.59384	0.65359	0.08821	0.55912	0.18522	0.41678	1.22049	0.0	0.02861	0.0156	0.03184	0.52332	0.82428	0.01437
s__Parvimonas_micra	0	0.0	0.01934	0.0	0.0	0.17889	0.20326	0.00304	0.00703	0.06202	0.00447	0.0	0.00417	0.0	0.0	0.0	0.01912	0.0	0.0	0.02726	1.021	0.02952	0.0	0.0	1.22184	0.0	1.14787	0.01513	0.0	0.0	0.0	0.08021	1.45273
s__Prevotella_salivae	0	0.0	0.018	0.0	0.96621	0.0	0.01511	0.02511	0.56508	0.07675	0.0	0.09507	0.09316	0.0	0.31638	0.0	0.0	0.99731	0.49904	3.40152	1.18711	3.37081	1.72649	3.50479	1.13708	0.733	0.0	0.1132	0.0	0.03903	4.17488	1.15338	0.0
s__Lachnoanaerobaculum_saburreum	0	0.0	0.00687	0.0	0.03788	0.0	0.11981	0.02864	0.19708	0.48879	0.0	0.0	1.08602	0.0	0.0	0.0	0.0	0.05206	0.00185	0.35841	0.15264	0.3646	0.53434	0.89382	0.10146	0.06624	0.18465	0.00444	0.0	0.00085	0.75529	0.15006	0.0
s__Neisseria_flavescens	0	0.0	0.0	10.22117	0.0	0.13115	0.0	0.32099	0.11444	0.0	0.26149	0.0	0.00499	45.39887	20.3185	13.18515	53.68228	31.81909	0.73114	0.08437	0.0	22.8612	0.19576	0.0685	0.0552	0.0	0.0	16.07997	2.48725	24.92076	0.33017	0.0	14.73694
s__Streptococcus_salivarius	0	0.0	0.0	2.48309	0.61367	0.03082	0.03219	0.05822	0.04117	0.0	1.4638	0.08407	13.9655	0.0	0.0	0.0	0.0	0.70304	0.0595	0.35388	1.34407	0.16801	1.41503	0.20568	8.63192	4.49682	0.0	1.53147	0.0	0.40137	0.31871	0.20657	0.0
s__Haemophilus_parainfluenzae	0	0.0	0.0	1.32637	0.50448	0.89017	0.49626	0.93123	0.0	0.37856	0.0	0.0	0.16612	0.78579	0.0	3.12936	1.03706	2.98407	0.97585	0.15409	0.47359	0.98647	0.05116	0.14733	0.0	0.08145	0.01435	4.42243	0.24722	7.37632	0.33639	2.17186	6.65605
s__Oribacterium_sinus	0	0.0	0.0	0.6412	0.50949	0.0	0.05633	0.00335	0.72928	0.086	0.0	0.0	0.0	0.0	0.0	0.28529	0.0	0.76447	0.18085	0.00918	0.10572	0.191	1.86163	0.1048	1.63577	0.4481	0.0	1.72607	0.0	1.52379	0.74377	0.53331	0.12749
