clade_name	NCBI_tax_id	AS43_12	AS43_18	AS43_24	AS43_3	AS43_6	AS44_0	AS44_12	AS44_18	AS44_24	AS44_3	AS44_6	AS45_0	AS45_12	AS45_24	AS45_3	AS45_6	AS50_0	AS50_12	AS50_18	AS50_24	AS50_3	AS50_6	AS51_0	AS51_12	AS51_18	AS51_24	AS51_3	AS51_6	AS53_0	AS53_12	AS53_18	AS53_24	AS53_3	AS53_6	AS56_0	AS56_12	AS56_18	AS56_24	AS56_3	AS56_6	AS58_0	AS58_12	AS58_18	AS58_24	AS58_3	AS58_6	AS60_0	AS60_12	AS60_18	AS60_24	AS60_3	AS60_6	AS61_0	AS61_12	AS61_18	AS61_24	AS61_6	AS62_0	AS62_12	AS62_18	AS62_24	AS62_3	AS62_6	AS63_0	AS63_12	AS63_18	AS63_24	AS63_3	AS63_6	AS64_0	AS64_12	AS64_18	AS64_24	AS64_3	AS64_6	AS65_0	AS65_12	AS65_18	AS65_24	AS65_3	AS65_6	AS66_0	AS66_12	AS66_18	AS66_24	AS66_3	AS66_6	AS68_0	AS68_12	AS68_24	AS68_3	AS68_6
s__Bacteroides_ovatus	0	2.05964	0.5299	0.05342	1.92136	2.48591	2.17987	0.25676	0.07571	1.88681	0.26232	0.57077	0.01776	0.01203	0.01677	0.03457	0.0138	3.14712	1.52509	0.44739	0.28	2.17053	0.13564	3.16495	1.02644	0.93692	0.7067	0.99727	1.92722	0.0	0.0	0.0	0.0	0.0	0.0	0.65057	2.76174	2.86231	8.68396	0.1567	2.14452	0.59184	2.49366	0.01276	0.01901	3.51346	0.92437	1.26252	5.43927	0.73403	0.76161	0.4177	4.52687	3.1791	9.66962	0.37763	1.58949	0.57463	2.4069	1.51576	1.58012	7.83587	0.47238	1.2838	0.27115	0.14332	0.08348	0.09837	0.28865	0.02265	4.45144	7.63101	1.54887	0.25007	0.06722	0.92054	2.30545	0.04421	2.18906	4.22821	0.09837	0.07847	0.76497	1.16398	0.16984	1.68177	2.85404	0.36688	0.0	0.0	0.0	0.0	0.0
s__Roseburia_intestinalis	0	1.92929	0.08606	0.44512	0.0	1.20316	0.0	0.0	0.0	0.0	0.0	0.0	0.04139	0.0307	0.07385	0.0	0.02843	0.0	0.0	0.0	0.09165	0.0	0.0	1.10339	0.0	0.0	0.0	0.0	0.0	9.97222	1.52219	4.03823	3.9903	1.30525	0.09323	1.13532	0.17533	0.0	0.7665	0.0	0.12415	0.0	0.0	2.39695	9.27109	0.0	1.00937	6.23316	1.63557	0.2281	0.46325	0.0	0.0	0.73025	0.0	0.0	0.0	0.24591	0.0	0.0	0.11802	4.7458	0.0	0.0	0.0	0.12134	0.0	0.02659	0.0	0.16965	1.15515	0.02827	0.41134	0.2025	0.0	2.29649	0.73298	0.0567	0.07074	0.0	0.0	0.45071	0.29072	0.0	0.04885	9.08566	0.71488	0.0	0.10994	0.05318	0.56301	0.0	0.27665
s__Bacteroides_stercoris	0	1.89781	0.43235	1.08763	1.64387	1.15707	0.0	0.0	0.0	0.0	0.0	0.0	1.61071	0.23406	0.48352	0.0	0.92451	0.0	0.0	0.0	0.0	0.0	0.0	17.47898	28.7327	10.69127	15.95218	11.02059	16.24939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.60008	19.59867	15.32096	0.0	0.35797	9.81157	19.03904	2.24371	28.41129	16.97835	2.61358	12.10277	0.0	0.0	0.0	9.5223	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parabacteroides_distasonis	0	1.80246	3.34339	2.48167	3.81862	2.92593	3.27655	1.20346	2.47327	3.56188	4.7066	1.89602	11.44253	0.22549	0.48454	0.44559	5.94731	6.58778	1.34678	8.73015	0.99177	2.90533	2.61938	7.04317	4.47785	11.25719	9.56481	7.12311	3.05945	2.56342	4.42266	2.76695	5.07925	1.90563	5.06745	2.42325	3.06558	1.95359	1.53098	1.32407	5.52832	0.0	0.0	0.87851	0.74699	0.0	0.0	10.10834	6.53263	7.25797	0.49642	7.04816	32.29809	5.16157	1.41663	1.09213	1.53441	5.95616	0.73029	1.09131	0.61593	1.42238	1.66554	0.19828	1.85273	2.77568	1.59437	1.00089	9.23894	0.26886	1.54507	0.46387	4.05646	0.64928	0.83899	2.55656	1.74614	0.90575	1.42349	1.80811	6.71259	1.04794	0.0	1.67113	1.02293	1.35948	0.0	0.0	0.0	0.0	1.36837	0.0	0.0
s__Parasutterella_excrementihominis	0	1.56487	1.06347	0.52611	1.43419	0.99613	0.00956	0.01628	0.0	0.01129	0.0	0.01748	0.0	0.0	0.0	0.0	0.0	0.04231	0.0	0.02577	0.00349	0.0	0.0	0.0	0.0	0.0	3.0192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.40372	1.06972	4.98884	1.72414	2.10377	2.38216	0.824	0.92186	0.8988	1.66609	1.11598	0.51534	0.07059	0.11714	0.17481	0.0	0.03842	0.09059	2.84214	0.91738	1.01555	1.51174	1.01897	0.18839	0.6097	0.3301	0.28024	0.0	0.0646	0.0	0.0	0.00802	0.001	0.0	0.0	0.03483	0.08952	0.37645	0.0	0.03738	0.07096	0.0	0.0	0.00213	0.0	0.0	0.00645	0.00493	0.0	0.0	0.17109	0.0	0.0	0.4108	0.1898	0.28976	0.09462	0.18358
s__Oscillibacter_sp_57_20	0	1.46546	1.71953	0.08367	0.32754	0.51864	0.0	0.0	0.0	0.0	0.0	0.0	0.02987	0.49038	0.0	0.60173	0.99927	0.00206	0.12839	0.54334	0.70706	0.14281	0.27578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39301	3.2211	0.49374	0.0	0.0	0.0	0.0	0.0	0.61027	0.0	0.0	0.72221	0.36285	1.1436	0.683	0.21101	0.09553	0.0	0.0	0.0	0.0	0.0	0.0	1.18706	0.0	0.0	0.0	0.0	0.61536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47564	3.12051	1.55988	0.12205	0.0	0.0	1.38228	3.38762	1.54385	0.47957	0.99919	0.83621	0.0	0.04091	0.01202	1.80531	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Collinsella_aerofaciens	0	1.37624	2.59064	3.12244	0.734	0.24391	0.06669	0.60182	0.21571	0.19753	0.11341	0.10685	1.38497	0.64693	0.49186	0.16056	0.4557	0.06677	0.26751	0.13505	0.11823	0.09782	0.08099	0.78416	0.55873	0.21501	1.38792	0.23923	0.28476	1.78341	0.56069	0.0	0.0	0.71722	0.62877	1.01944	0.6098	1.48184	2.33879	0.0	0.16857	1.14372	0.42349	15.32134	13.30647	1.16468	1.6058	0.50675	0.27103	0.2819	0.417	2.9172	0.27459	0.44409	1.02321	4.04885	3.26077	1.2514	0.85782	0.31353	0.47304	1.33028	0.02716	0.15261	1.19693	2.00365	3.93017	2.92774	0.0	0.0	0.8552	0.16622	2.25318	0.06981	0.0	0.53071	0.6726	0.24443	0.28989	0.19773	1.19361	0.20634	3.38207	0.84567	0.48055	0.76481	0.0	0.0	2.92274	0.51449	2.0103	0.53964	0.71389
s__Eubacterium_rectale	0	1.15201	1.91161	3.0042	1.70467	0.35112	3.60945	2.17351	1.14172	2.28053	0.2678	1.48976	2.0804	1.00104	2.72497	2.5329	2.00544	2.96627	0.99806	0.57046	6.4521	4.73888	0.12551	17.38114	3.50121	2.25154	6.69857	7.49709	3.0851	27.6264	12.03542	8.13358	15.75017	4.63074	15.01729	1.31589	0.00325	1.11378	0.43937	0.0	2.98886	4.29471	2.80244	0.08443	0.76715	0.0	5.301	2.22198	0.30263	0.04346	0.44427	0.0	0.16211	3.33798	0.76339	1.70726	0.69836	1.05933	0.57818	11.41504	1.95072	0.04436	0.0	4.38317	0.48825	1.19583	0.00979	0.07472	0.0	0.0	2.47396	0.78287	4.42668	2.34828	0.0	2.26956	0.03131	0.90854	0.0	3.68079	0.00599	2.90213	0.0	0.04512	0.07546	1.61827	0.0	2.31753	7.37787	0.4695	0.02545	0.01764	13.19982
s__Bifidobacterium_pseudocatenulatum	0	1.1309	1.32795	1.39884	0.27292	0.84766	0.0	0.0	0.0	0.0	0.0	0.0	0.00231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53436	2.02613	0.0	0.62835	0.0	0.80407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.22048	2.25925	0.68976	0.0	0.97406	0.0	0.0	0.0	0.0	0.0	0.0	0.02221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13081	0.00643	0.0	0.0	0.0	0.0	0.0	0.10434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05147	0.38175	0.27543	0.0	0.0	0.61069	0.07388	0.05951	0.06684	0.00482	0.22183
s__Bacteroides_eggerthii	0	0.72139	1.7593	1.17611	1.55593	3.70957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01061	0.0	0.00322	33.04592	23.25461	11.54417	10.85173	6.26757	12.6954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01307	0.0	0.0	0.0	0.0	0.0	0.0	1.30854	5.67229	0.0	0.0	16.99808	13.24353	14.05408	28.29914	14.33461	26.9238	0.26857	0.41327	0.94385	0.94057	3.48109	5.46845	2.30739	1.80789	3.90286	0.91791	5.43666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02581	1.1727	0.09126	0.25549	0.00433	0.25902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
