clade_name	NCBI_tax_id	U_VS-1226-261	U_VS-1226-705	U_VS-1506-127	U_VS-1506-333	U_VS-1540-350	U_VS-1540-523	U_VS-1590-365	U_VS-1590-529	U_VS-1592-169	U_VS-1592-367	U_VS-1651-391	U_VS-1651-541	U_VS-1686-403	U_VS-1686-548	U_VS-3059-508	U_VS-3059-665	U_VS-3145-692	U_VS-3145-837	U_VS-4218-876	U_VS-4218-901	U_VS-P610052-1	U_VS-P610096-1	U_VS-P610119-1	U_VS-P610129-1
s__Gemella_sanguinis	0	0.00554	0.06556	0.00255	0.0	0.0	0.0	0.03775	0.0314	0.01205	0.00366	0.01925	0.0	0.00936	0.01917	0.12686	0.0905	0.03905	0.01111	0.00712	0.0214	0.01011	0.0	0.02721	0.0
s__Fretibacterium_fastidiosum	0	0.00544	0.0	0.0	0.00032	0.0	0.0	0.0	0.0	0.0	0.0	0.00119	0.0	0.0	0.00053	0.0	0.0	0.00084	0.0	0.00046	0.00116	0.00098	0.0	0.0	0.0
s__Actinomyces_sp_oral_taxon_181	0	0.00534	0.00253	0.08319	0.01757	0.0	0.00834	0.00412	0.01503	0.01025	0.00259	0.01378	0.00838	0.00068	0.0	0.09445	0.01427	0.02527	0.15116	0.02034	0.02287	0.00246	0.0	0.0	0.0
s__Ruminococcus_sp_CAG_488	0	0.00503	0.0	0.0	0.14782	1.21784	0.00649	0.0008	0.0	0.01232	0.00018	4.71209	3.96837	0.02197	0.00711	0.0	0.00221	0.53533	0.4343	0.02513	0.08262	0.03445	0.0	0.0	0.0
s__Lactococcus_petauri	0	0.00498	0.0	0.0	0.0	0.0	0.0	0.00119	0.11123	0.0	0.0034	0.0	1.82326	0.0	0.0	0.0	0.0	0.0	0.0	0.0604	16.2704	0.0	0.0387	0.48371	0.22353
s__Streptococcus_mitis	0	0.00404	0.02701	0.0	0.00528	0.00026	0.0	0.00902	0.01809	0.00224	0.0043	0.01513	0.00228	0.01274	0.05359	0.14311	0.04912	0.06531	0.00885	0.00957	0.00193	0.0	0.0	0.01116	0.0
s__Streptococcus_australis	0	0.00298	0.00302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00755	0.0163	0.00498	0.00185	0.01656	0.0218	0.0	0.0	0.0	0.0	0.03158	0.0
s__Streptococcus_sanguinis	0	0.00273	0.03436	0.00685	0.00984	0.0	0.03561	0.0	0.0	0.04174	0.03517	0.0019	0.0	0.02327	0.01966	0.06719	0.02988	0.01551	0.0423	0.0	0.00953	0.0	0.0	0.00387	0.0
s__Clostridium_disporicum	0	0.0021	0.00125	0.23378	0.01873	0.0	0.0	0.0	0.0117	0.00595	0.0	0.0	0.0	0.0	0.00216	1.61084	0.00534	0.03129	0.21251	0.0	0.0	0.20516	0.02924	0.0	0.0
s__Haemophilus_sputorum	0	0.00192	0.0	0.0	0.0	0.0	0.08709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Saccharomyces_cerevisiae	0	0.00187	0.0	0.0	0.0	0.0	0.0	0.00405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01576	0.00903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_oralis	0	0.0017	0.01159	0.00287	0.0	0.00014	0.0	0.00848	0.02101	0.00377	0.001	0.00376	0.0	0.01639	0.05192	0.02562	0.04175	0.03313	0.00736	0.00496	0.0	0.0	0.0	0.00846	0.0
s__Odoribacter_splanchnicus	0	0.00167	0.0	0.0	0.0	0.01405	0.0	0.0	0.0	0.00069	0.00322	0.03437	0.05845	0.00053	0.00372	0.00148	0.00402	0.02903	0.06644	0.0	0.0	0.0622	0.02945	0.01363	0.0
