clade_name	NCBI_tax_id	U_VS-1226-261	U_VS-1226-705	U_VS-1506-127	U_VS-1506-333	U_VS-1540-350	U_VS-1540-523	U_VS-1590-365	U_VS-1590-529	U_VS-1592-169	U_VS-1592-367	U_VS-1651-391	U_VS-1651-541	U_VS-1686-403	U_VS-1686-548	U_VS-3059-508	U_VS-3059-665	U_VS-3145-692	U_VS-3145-837	U_VS-4218-876	U_VS-4218-901	U_VS-P610052-1	U_VS-P610096-1	U_VS-P610119-1	U_VS-P610129-1
s__Actinomyces_sp_oral_taxon_414	0	0.0	0.00017	0.00075	0.00173	0.00013	0.0	0.00114	0.0	0.0	0.0	0.0	0.0001	0.00361	0.0	0.0	6e-05	0.00204	0.00038	0.01019	0.0	0.0	0.0	0.00172	0.0
s__Atopobium_parvulum	0	0.0	0.00015	0.0063	0.00169	0.0	0.0	0.00066	0.00276	0.00395	0.001	0.0	0.0	0.01116	0.00103	0.00845	0.00228	0.00491	0.00888	0.00029	0.00023	0.0	0.0	0.00446	0.0
s__Enterococcus_gallinarum	0	0.0	0.00014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Klebsiella_aerogenes	0	0.0	0.0	6.59092	0.0	0.01364	0.0	0.0	0.00693	0.0	0.32704	0.0	0.0	0.0	0.0	0.0	0.0	0.00755	0.0	0.0	0.0	0.0	0.0	0.20303	0.00141
s__Butyrivibrio_crossotus	0	0.0	0.0	2.51715	6.9757	0.23269	0.00572	0.01016	0.0	0.0	1.25269	0.21406	0.0	0.40722	0.0	0.0	0.0	0.29792	2.19781	0.27848	0.0	5.13512	6.13914	0.02459	0.0
s__Streptococcus_gallolyticus	0	0.0	0.0	2.11777	0.28703	0.0	0.0	0.0	0.0	0.07681	0.49271	0.0	0.0	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_sp_CAG_520	0	0.0	0.0	0.47985	2.18607	0.07111	2.31813	0.18044	0.4348	0.0001	0.0	0.0	0.0	0.0	0.0	1.34038	0.45112	0.00165	0.0	0.01148	0.06677	0.54727	0.0111	2.1178	1.91587
s__Streptococcus_infantarius	0	0.0	0.0	0.3346	4.10832	0.01036	0.0	0.03884	0.0	0.00552	0.91919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00264	0.0	0.0	0.0	5.38468	0.66026
s__Streptococcus_macedonicus	0	0.0	0.0	0.31776	0.031	0.0	0.0	0.0	0.0	0.01069	0.05349	0.0	0.0	0.0	0.00117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_crispatus	0	0.0	0.0	0.1743	0.0023	0.0	0.0	0.0	0.0	0.0	0.00802	0.12658	0.0	0.11904	0.0011	0.05054	0.00027	0.08051	0.0	0.0	0.02103	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_632	0	0.0	0.0	0.12014	3.1519	2.79966	0.0	1.67366	0.0	0.0	0.00039	0.83523	0.0	0.0	0.00068	0.0	0.0	0.0	0.00253	0.0	0.0	0.0	0.0	0.0	0.46331
s__Bifidobacterium_dentium	0	0.0	0.0	0.10484	0.00594	0.0	0.0	0.00199	0.0	0.78905	0.04872	0.0	0.0	0.04433	0.0	0.09261	0.0662	0.00255	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_bicirculans	0	0.0	0.0	0.06132	0.04732	0.0176	0.00172	0.0	0.18937	0.00291	0.00121	0.00349	0.00401	0.03187	0.01431	0.0	0.00145	0.01808	0.05093	0.0	0.05508	0.04673	0.0	0.0	0.02347
s__Lactobacillus_salivarius	0	0.0	0.0	0.04724	0.0	0.0	0.0	0.0	0.0	0.00171	0.0	0.0069	0.0	0.0	0.0	0.0	0.01196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_celatum	0	0.0	0.0	0.04075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01673	0.0	0.0	0.0
s__Lactobacillus_mucosae	0	0.0	0.0	0.03868	0.0	0.0	0.0	0.0	0.0	0.0	0.05835	0.0	0.0	0.12017	0.11575	0.20156	0.00963	0.0	0.0	5.38313	0.14046	0.0	0.0	0.0	0.0
s__Prevotella_stercorea	0	0.0	0.0	0.0311	0.16334	0.00404	0.14739	0.00963	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0847	0.02523	0.39064	0.68086	0.00296	0.02467	0.03853	1.39441	0.62197	1.78184
s__Streptococcus_mutans	0	0.0	0.0	0.02143	0.00112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01613	0.0	0.0	0.0	0.0	0.0073	0.0	0.00142	0.0	0.0	0.00749	0.0
s__Streptococcus_thermophilus	0	0.0	0.0	0.01007	0.15671	0.0	0.0	0.00095	0.0	0.22498	0.08218	0.0	0.0	0.0	0.0	0.00956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_brachy	0	0.0	0.0	0.00739	0.0	0.0	0.0	0.0	0.00305	0.00039	0.0	0.0	0.0	0.02566	0.0	0.01773	0.00591	0.00026	0.01912	0.02654	0.00105	0.00264	0.0	0.0	0.0
s__Clostridium_sp_CAG_253	0	0.0	0.0	0.00632	0.04439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02315	0.0	0.0	0.0
s__Lactobacillus_paragasseri	0	0.0	0.0	0.00561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02486	0.00499	0.07181	0.00512	0.0	0.0	0.0	0.0032	0.0	0.0	0.0	0.0
s__Alistipes_indistinctus	0	0.0	0.0	0.00447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103	0.00696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_510	0	0.0	0.0	0.00394	0.0136	0.08102	0.0	0.0	0.07981	0.0	0.00856	0.26909	1.29312	0.25063	0.02168	0.0	0.0	1.13458	0.12233	0.00193	0.0	2.11769	0.0	0.0	0.0212
s__Firmicutes_bacterium_CAG_95	0	0.0	0.0	0.00368	0.01526	0.00062	0.0	0.07744	0.00561	0.0	0.00578	0.07045	0.00244	0.01669	0.00125	0.0	0.0	0.00314	0.00459	0.0029	0.00078	0.08358	0.00446	0.03519	0.12385
s__Barnesiella_intestinihominis	0	0.0	0.0	0.00352	0.00383	0.00394	0.0	0.0	0.0	0.0	0.0	0.09428	0.98762	0.0	0.0	0.0	0.0	0.03038	0.03531	0.0	0.0	0.0	0.0	0.0	0.0
s__Anaerobiospirillum_thomasii	0	0.0	0.0	0.00318	0.0	0.00688	0.00671	0.0	0.0	0.00544	0.00089	0.0	0.00174	0.00718	0.00303	0.00186	0.0	0.00174	0.00822	0.00144	0.0	0.01857	0.0	0.03551	0.00465
s__Bacteroides_pectinophilus	0	0.0	0.0	0.00316	0.0	0.0	0.0	0.34725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04696	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_sp_oral_taxon_180	0	0.0	0.0	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_gasseri	0	0.0	0.0	0.00263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.0	0.0	0.00518	0.00286	0.0	0.0	0.0	0.02737	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_167	0	0.0	0.0	0.00129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02126	0.0	0.0	0.0
s__Eubacterium_ventriosum	0	0.0	0.0	0.00113	0.0	0.0	0.00343	0.0	0.0	0.01814	0.00054	0.0	0.0	0.0	0.03885	0.0	0.00415	0.0	0.0	0.00026	0.00333	0.0	0.0	0.0	0.0
s__Streptococcus_sp_HPH0090	0	0.0	0.0	0.00084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00085	0.0	0.0	0.0	0.0	0.00056	0.00338	0.0	0.0	0.0	0.0
s__Ruminococcus_sp_CAG_403	0	0.0	0.0	0.00079	0.0	0.0	0.0	0.0	0.07674	0.0	0.0	0.0	0.0	0.02122	0.01246	0.0	0.0	0.0382	0.0	0.00586	0.0	0.0	0.0	0.0	0.05718
s__Paraprevotella_xylaniphila	0	0.0	0.0	0.00072	0.0	0.0	0.0	0.0	0.0	0.0	0.00235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_vaginalis	0	0.0	0.0	0.00064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01254
s__Lactobacillus_animalis	0	0.0	0.0	0.00058	0.0	0.0	0.0	0.0	0.0	0.01981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Veillonella_tobetsuensis	0	0.0	0.0	0.00057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_oris	0	0.0	0.0	0.00045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03258	0.00306	0.00328	0.0	0.0	0.0	0.00336	0.0	0.0	0.0	0.0	0.0
s__Stenotrophomonas_rhizophila	0	0.0	0.0	0.00039	0.0	0.0	0.00492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mageeibacillus_indolicus	0	0.0	0.0	0.00031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_meyeri	0	0.0	0.0	0.00028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Adlercreutzia_equolifaciens	0	0.0	0.0	6e-05	0.0	0.0	0.0	0.0	0.0	0.00022	0.0	0.0	0.0	0.00096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_sp_CAG_786	0	0.0	0.0	0.0	0.40886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_sp_CAG_579	0	0.0	0.0	0.0	0.21073	0.03458	0.0	0.25207	0.0	0.0	0.0	0.18133	0.0	0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Weissella_confusa	0	0.0	0.0	0.0	0.04317	0.01884	0.0	0.13795	0.02363	0.01409	0.02077	0.0	0.0	0.0	0.0	0.0	0.0	0.39148	0.0	0.0	0.0	0.0	0.0	0.19545	0.00438
s__Roseburia_sp_CAG_309	0	0.0	0.0	0.0	0.02911	0.0	0.0	0.0	0.0	0.0	0.0	0.00492	0.0	0.00551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01076	0.0	0.0	0.0
s__Parabacteroides_distasonis	0	0.0	0.0	0.0	0.00801	0.0	0.0	0.0	0.0	0.0	0.00873	0.01407	0.04628	0.00422	0.0	0.0	0.00029	0.04845	0.19919	0.0	0.0	0.02794	0.00045	0.04923	0.0
s__Bacteroides_intestinalis	0	0.0	0.0	0.0	0.00247	0.0	0.0	0.0	0.0	0.0	0.0	0.03319	0.11045	0.0	0.0	0.0	0.0	0.02661	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_milleri	0	0.0	0.0	0.0	0.00203	0.0	0.0	0.0	0.0	0.00895	0.0	0.0	0.0	0.0	0.00488	0.0	0.0	0.0	0.00919	0.00884	0.0	0.0	0.0	0.00546	0.0
s__Alistipes_onderdonkii	0	0.0	0.0	0.0	0.00138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Alistipes_shahii	0	0.0	0.0	0.0	0.00111	0.0	0.0	0.0	0.0	0.0	0.0	0.00735	0.18121	0.00386	0.0	0.0	0.0	0.00136	0.00276	0.0	0.0	0.0	0.0	0.0	0.0
s__Neisseria_subflava	0	0.0	0.0	0.0	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00511	0.0
s__Corynebacterium_matruchotii	0	0.0	0.0	0.0	0.00058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_xylanisolvens	0	0.0	0.0	0.0	0.00037	0.00165	0.0	0.0	0.0	0.0	0.01572	0.00042	0.03064	0.0	0.0	0.0	0.0	0.0	0.00446	0.0	0.0	0.00075	0.0	0.01623	0.0
s__Asaccharobacter_celatus	0	0.0	0.0	0.0	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Anaerotruncus_sp_CAG_528	0	0.0	0.0	0.0	0.0	2.50011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Butyrivibrio_sp_CAG_318	0	0.0	0.0	0.0	0.0	0.33508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22424	0.0	0.0	0.0	0.55737	0.25826	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_413	0	0.0	0.0	0.0	0.0	0.07021	0.0	0.0	0.0	0.0	0.0	1.12044	0.0	0.2688	0.0	0.0	0.0	0.0	8e-05	0.00606	0.0	0.0	0.0	0.0	0.0
s__Enterobacter_mori	0	0.0	0.0	0.0	0.0	0.02801	0.0	0.00941	0.0	0.0	0.01078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32371	0.0	0.0	0.0	0.0	0.03172	0.0
s__Prevotella_sp_CAG_5226	0	0.0	0.0	0.0	0.0	0.02233	0.00029	0.0	0.00025	0.00801	0.0	0.0	0.0	0.22838	7.89217	5.75468	0.94325	0.0	0.75339	0.01162	0.0455	0.0	4.13073	0.0	0.38446
s__Erysipelatoclostridium_ramosum	0	0.0	0.0	0.0	0.0	0.02195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00204	0.02888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Megasphaera_elsdenii	0	0.0	0.0	0.0	0.0	0.02181	0.12902	0.0	0.0	0.05158	0.0	0.0	0.0	0.0	0.0	0.03695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_sp_CAG_330	0	0.0	0.0	0.0	0.0	0.02142	0.01294	0.0	0.0347	0.16379	0.0	0.0	0.0	0.0	0.0219	0.0	0.0	0.0	0.0	0.0	0.0	0.20665	0.03344	0.0	0.59611
s__Lactobacillus_delbrueckii	0	0.0	0.0	0.0	0.0	0.01929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_sp_CAG_1092	0	0.0	0.0	0.0	0.0	0.01049	0.33653	0.38643	0.1078	0.0	0.0	0.0	0.0	0.01179	0.13286	0.01578	0.01965	0.0	0.0	0.0	0.01009	0.32517	1.22126	0.93251	0.83207
s__Firmicutes_bacterium_CAG_238	0	0.0	0.0	0.0	0.0	0.00299	0.0	0.02617	0.0032	0.0	0.0	0.2396	0.00064	0.00139	0.0	0.0	0.0	0.0	0.00218	0.00123	0.00039	0.03284	0.0	0.0	0.00025
s__Mitsuokella_jalaludinii	0	0.0	0.0	0.0	0.0	0.00096	0.14371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_fermentum	0	0.0	0.0	0.0	0.0	0.00023	0.0	0.02252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27372	0.0
s__Mitsuokella_multacida	0	0.0	0.0	0.0	0.0	0.0	0.05059	0.0	0.0	0.00255	0.29226	0.0	0.0	0.01704	0.07034	3.53373	0.05166	0.05911	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Allisonella_histaminiformans	0	0.0	0.0	0.0	0.0	0.0	0.02123	0.0	0.0	0.00365	0.00099	0.0	0.0	0.0	0.00075	0.06074	0.00372	0.0	0.0	0.0	0.0	0.0	0.0	0.02946	0.00317
s__Lautropia_mirabilis	0	0.0	0.0	0.0	0.0	0.0	0.01123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Veillonella_rogosae	0	0.0	0.0	0.0	0.0	0.0	0.00533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00172	0.00442	0.0	0.0	0.0	0.0	0.00736	0.0
s__Campylobacter_concisus	0	0.0	0.0	0.0	0.0	0.0	0.00454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00068	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Neisseria_flavescens	0	0.0	0.0	0.0	0.0	0.0	0.00418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00245	0.0
s__Neisseria_sicca	0	0.0	0.0	0.0	0.0	0.0	0.00343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_obeum_CAG_39	0	0.0	0.0	0.0	0.0	0.0	0.00303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84739	0.01298	0.0	0.0	0.0	0.00264	0.0
s__Neisseria_mucosa	0	0.0	0.0	0.0	0.0	0.0	0.00159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mesorhizobium_sp_UASWS1009	0	0.0	0.0	0.0	0.0	0.0	0.00116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Morococcus_cerebrosus	0	0.0	0.0	0.0	0.0	0.0	0.00082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lachnospiraceae_bacterium_oral_taxon_096	0	0.0	0.0	0.0	0.0	0.0	0.00028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Chryseobacterium_scophthalmum	0	0.0	0.0	0.0	0.0	0.0	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parvimonas_sp_KA00067	0	0.0	0.0	0.0	0.0	0.0	0.0	0.01159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Klebsiella_variicola_CAG_634	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Peptoniphilus_lacrimalis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00289	0.0	0.00292	0.00049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_fragilis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187	0.01136	0.0	0.0	0.09722	0.00028	0.0	0.0	0.00327	0.0	0.00213	0.00178	0.0	0.0	0.40711	0.0	0.0	0.0
s__Atopobium_deltae	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00142
s__Gemella_asaccharolytica	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00085	0.0	0.0	0.00119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mogibacterium_timidum	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00058	0.0	0.0	0.0	0.0	0.0	0.00063	0.0	0.00208	0.00024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_coagulans	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048	0.0	0.00102	0.00057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactococcus_garvieae	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.01777	0.0	0.0	0.0	0.144	0.0	0.0	0.0	0.0	0.0	0.0	0.00204	0.75354	0.0	0.02762	0.06473	0.01411
s__Abiotrophia_sp_HMSC24B09	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00034	0.00158	0.0	0.0	0.0	0.0	0.0	0.00012	0.00147	0.00172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_coprostanoligenes	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09229	0.0	0.0	0.0	0.0	0.00245	0.00147	0.0	0.0	0.00904	0.0	0.53806	0.19053	0.0033	0.00112	0.0	0.05982
s__Weissella_cibaria	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05258	0.00251	0.0	0.0	0.0	0.94866	0.0	0.00088	0.0	0.00576	0.0	0.0	0.0	0.0	0.0	0.0	0.01593
s__Methanosphaera_stadtmanae	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactococcus_lactis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Abiotrophia_defectiva	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	0.0	0.0	0.0	0.0	0.0	0.0	0.00152	0.00318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Escherichia_fergusonii	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03518	0.0	0.0	0.0	0.0	0.0	0.00805	0.01224	0.00418	0.00832	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_stercoris	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01803	0.0496	0.00079	0.01021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00462	0.0
s__Bifidobacterium_bifidum	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01927	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_viridans	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00926	0.00349	0.0	0.0	0.0	0.0	0.0067	0.0	0.0	0.00473	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_moukalabense	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_johnsonii	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00179
s__Peptoniphilus_sp_HMSC062D09	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00122	0.00259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Negativicoccus_succinicivorans	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Finegoldia_magna	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_saphenum	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027	0.0	0.0	0.00076	0.00481	0.0	0.00085	0.00113	0.00026	0.00128	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterobacter_bugandensis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30482	0.0	0.00786	0.0	0.0	0.0	0.0	0.0	0.37342	0.0	0.00055	0.0	0.0	0.0	0.0
s__Kluyvera_georgiana	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00101	0.0	0.0	0.0	0.0	0.00621	0.01732
s__Campylobacter_hominis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_buccalis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Leuconostoc_lactis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pantoea_dispersa	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_agilis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Alistipes_putredinis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00133	0.0	0.01652	0.00134	0.00043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
