clade_name	NCBI_tax_id	S1_a_WGS	S101_a_WGS	S102_a_WGS	S103_a_WGS	S117_a_WGS	S119_a_WGS	S128_a_WGS	S13_a_WGS	S130_a_WGS	S132_a_WGS	S134_a_WGS	S138_a_WGS	S139_a_WGS	S14_a_WGS	S140_a_WGS	S142_a_WGS	S144_a_WGS	S146_a_WGS	S148_a_WGS	S149_a_WGS	S15_a_WGS	S150_a_WGS	S151_a_WGS	S152_a_WGS	S153_a_WGS	S154_a_WGS	S155_a_WGS	S156_a_WGS	S157_a_WGS	S158_a_WGS	S159_a_WGS	S16_a_WGS	S160_a_WGS	S161_a_WGS	S162_a_WGS	S163_a_WGS	S164_a_WGS	S165_a_WGS	S166_a_WGS	S167_a_WGS	S17_a_WGS	S18_a_WGS	S2_a_WGS	S26_a_WGS	S27_a_WGS	S28_a_WGS	S29_a_WGS	S3_a_WGS	S30_a_WGS	S31_a_WGS	S32_a_WGS	S33_a_WGS	S34_a_WGS	S35_a_WGS	S36_a_WGS	S4_a_WGS	S43_a_WGS	S45_a_WGS	S46_a_WGS	S47_a_WGS	S48_a_WGS	S49_a_WGS	S5_a_WGS	S50_a_WGS	S51_a_WGS	S52_a_WGS	S53_a_WGS	S54_a_WGS	S55_a_WGS	S56_a_WGS	S57_a_WGS	S58_a_WGS	S59_a_WGS	S6_a_WGS	S60_a_WGS	S62_a_WGS	S63_a_WGS	S64_a_WGS	S65_a_WGS	S66_a_WGS	S67_a_WGS	S68_a_WGS	S69_a_WGS	S70_a_WGS	S71_a_WGS	S72_a_WGS	S73_a_WGS	S79_a_WGS	S80_a_WGS	S81_a_WGS	S82_a_WGS	S83_a_WGS	S84_a_WGS	S87_a_WGS
s__Collinsella_intestinalis	0	0.0	0.0	0.0	0.0	0.00491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09717	0.00371	0.27049	0.00401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00164	0.00334	0.0	0.0	0.0	0.0	0.00456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01162	0.00435	0.0	0.02185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00649	0.0	0.002	0.0	0.0	31.00748	11.71961	37.5676	49.52048	39.0949	0.0	1.41292	0.0	3.91006	8.42488	10.64238	0.46086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00165	0.0	0.00569	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_sp_OM08_24	0	0.0	0.0	0.0	0.0	0.00323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27285	0.0	0.0	0.0	0.00497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09346	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_mutans	0	0.0	0.0	0.0	0.0	0.00147	0.0	0.0	0.04372	0.0	0.0	0.0	0.0	0.0387	0.0	0.0	0.06283	0.0	0.0	0.0	0.0	0.0	0.03185	0.03959	0.15529	0.0	0.0	0.0	0.0	0.0	0.0	0.01506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02997	0.0	0.0	0.03915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.37588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07337	0.24105	0.0	0.02848	0.28794	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_bromii	0	0.0	0.0	0.0	0.0	0.0	4.90065	17.6408	0.0	0.0	7.38705	3.51503	11.06859	0.0	0.0	4.3771	12.26966	22.43899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.32872	4.04148	0.0	0.0	0.0	0.0	23.02077	0.0	0.0828	1.68223	0.0	13.15019	0.0	0.36875	47.41692	15.78959	0.0	6.57554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13895	0.0	0.0	0.0	2.5225	11.32595	22.12203	0.0	0.0	0.0	0.0	0.0	0.0	26.55441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.30629	0.0	0.0	0.0	0.0	0.0	0.0	14.68321	0.0	0.0	0.0	0.0	25.17955	20.27055	22.61611	0.0	0.0	0.0	29.53421	0.0	0.0
s__Ruminococcus_lactaris	0	0.0	0.0	0.0	0.0	0.0	1.47529	0.0	0.0	3.50192	0.05057	0.0	0.63475	8.00079	0.0	3.85113	0.0773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45138	0.11084	0.0	0.0	0.0	0.0	0.63852	0.0	0.10414	0.0	0.62083	1.00734	0.0	0.47669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01769	0.0	0.0	0.0	0.0	0.0	0.0	0.25482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phascolarctobacterium_succinatutens	0	0.0	0.0	0.0	0.0	0.0	0.63104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.41463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_sp_CAG_330	0	0.0	0.0	0.0	0.0	0.0	0.34084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05279	0.01826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24465	0.0	0.0	0.0	0.0	0.0
s__Slackia_isoflavoniconvertens	0	0.0	0.0	0.0	0.0	0.0	0.31326	0.0	0.0	0.32282	0.0	0.0	0.30822	0.00134	0.0	0.0	0.31738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06537	0.0	0.0	0.9942	0.0	1.50719	1.29794	0.0	0.0	0.81354	1.13439	0.26279	0.0	0.0	0.0	0.0	1.02441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9296	0.20531	0.0	0.0	0.0	0.0	0.0	0.18004	0.0
s__Bacteroides_uniformis	0	0.0	0.0	0.0	0.0	0.0	0.26618	0.27527	0.05409	0.13989	0.16154	0.21973	0.0	0.03388	0.02564	0.62099	0.0	0.44743	10.11735	0.30346	0.0	0.0	0.17878	0.04913	0.02562	0.16351	0.92664	6.13957	1.01217	0.0	0.34903	0.1936	0.0	0.01053	0.04834	0.0	0.0	0.0	0.21937	0.00144	0.23056	0.0	0.08779	0.0	0.0	0.0	0.00197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69574	0.0	0.0	0.0	0.0	0.0	0.0	0.03924	0.82772	0.0	0.0226	0.0	18.38055	0.0	0.0	0.01465	0.11169	0.0	0.23607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00208	0.1849	1.19376	1.18628	0.23517	0.0	0.0	3.2309	0.97288	0.21926
s__Roseburia_intestinalis	0	0.0	0.0	0.0	0.0	0.0	0.13826	0.0	0.0	0.0	0.0	0.0	0.0	0.02811	0.0	0.02624	0.0	0.32036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7015	0.67182	2.49299	1.02266	0.0	0.0	0.0	0.0	0.0	0.06766	0.07483	0.0	0.0	0.04186	0.78293	0.5082	0.1087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05457	0.0	0.0	0.0	0.0	0.0	1.41728	0.04666	0.0	0.0	0.0	0.0	0.01351	0.14491	2.10292	0.0	0.0	0.0	0.0	0.0	0.0
