clade_name	NCBI_tax_id	SAMEA4719760	SAMEA4719761	SAMEA4719762	SAMEA4719763	SAMEA4719764	SAMEA4719765	SAMEA4719766	SAMEA4719767	SAMEA4719768	SAMEA4719769	SAMEA4719770	SAMEA4719771	SAMEA4719772	SAMEA4719773	SAMEA4719774	SAMEA4719775	SAMEA4719776	SAMEA4719777	SAMEA4719778	SAMEA4719779	SAMEA4719780	SAMEA4719781	SAMEA4719782	SAMEA4719783	SAMEA4719784	SAMEA4719785	SAMEA4719786	SAMEA4719787	SAMEA4719788	SAMEA4719789	SAMEA4719790	SAMEA4719791	SAMEA4719792	SAMEA4719793	SAMEA4719794	SAMEA4719795	SAMEA4719796	SAMEA4719797	SAMEA4719798	SAMEA4719799	SAMEA4719800	SAMEA4719801	SAMEA4719802	SAMEA4719803	SAMEA4719804	SAMEA4719805	SAMEA4719806	SAMEA4719807	SAMEA4719808	SAMEA4719809	SAMEA4719810	SAMEA4719811	SAMEA4719812	SAMEA4719813	SAMEA4719814	SAMEA4719815	SAMEA4719816
s__Intestinibacter_bartlettii	0	1.68277	0.0	0.0	0.01271	0.00098	0.0	0.0	0.0	0.0	0.06437	0.32391	0.0	0.1687	0.0	0.0	0.0	0.0	0.00796	0.02093	0.0	0.00165	0.10817	0.0	0.0	0.0	0.0	0.0	0.0	0.02126	0.06623	0.01381	0.0	0.02438	0.0	0.04218	0.01467	0.01854	0.00358	0.00154	0.01995	0.0	0.0	0.0	0.65568	0.0	0.01052	0.39143	0.01408	0.06722	0.0	0.00094	0.0	0.01116	0.0	0.0	0.0	0.41965
s__Eubacterium_eligens	0	1.63145	1.34352	0.12698	2.91801	3.38176	0.99395	0.0	0.00147	0.22966	0.95762	0.59484	0.11872	0.0	0.11408	0.62831	1.3527	0.81827	0.11704	1.77208	0.38153	1.70314	2.24087	5.64126	7.33987	4.69754	2.00376	0.2713	4.35837	1.95312	5.23315	0.73624	1.93244	1.44364	2.17428	8.50151	2.21097	3.79549	0.59139	7.11524	4.27041	1.05001	0.03468	0.19936	1.81795	6.77053	1.52574	0.19578	5.22898	2.45294	0.82588	0.06975	0.55267	0.18823	1.02387	2.66571	0.11387	0.0
s__Lachnospira_pectinoschiza	0	1.56191	0.0	0.0	0.66005	0.03426	0.14065	0.0	0.0	0.0	1.17615	0.0	0.0	0.00689	0.0	0.0	6.54362	0.12799	0.13102	0.00333	0.0	0.0	0.38072	0.00882	0.10923	0.99855	0.0	5.16577	0.0209	0.0	2.73317	0.0	0.12522	0.0	0.84256	2.14157	0.0	0.0	1.27368	2.10278	0.81278	0.0	0.29539	0.03263	0.74135	0.0	3.74509	0.03212	3.12983	8.56037	2.09735	0.37792	2.1945	0.0	0.43553	0.62132	0.10468	0.0
s__Escherichia_coli	0	1.53512	0.83065	17.20994	0.71748	0.07967	0.57805	82.33345	0.51823	18.95957	1.36631	7.29281	0.50684	44.31025	0.04835	18.93017	32.40435	9.52872	7.07092	5.42261	22.27327	0.21051	0.87777	1.81095	1.93695	0.04392	0.0	0.27971	1.84467	7.27344	4.1541	1.8768	0.62216	10.22031	0.39814	2.47982	0.14521	0.66432	0.39936	13.69267	32.03002	7.84552	0.22707	36.10881	5.17358	0.24445	0.05712	0.66075	0.89201	2.59264	1.2398	0.58479	11.20825	5.1889	7.88414	0.22336	2.91229	13.19214
s__Prevotella_sp_CAG_520	0	1.45903	0.0	1.91064	5.04687	8.68416	0.02049	0.0	1.6387	4.97223	6.49862	4.4175	10.46795	1.35097	0.04591	5.13259	0.02774	1.19416	0.0	0.08098	1.29128	2.97203	2.37288	1.50162	3.52633	0.45965	4.97667	26.55589	1.90375	0.0	0.00463	5.01895	1.09552	1.54978	0.02569	1.07114	0.00944	0.0	0.00267	0.15048	0.00226	0.37324	2.20618	0.0116	1.84409	0.90582	0.00202	0.00636	1.38736	0.00129	5.73016	11.79718	0.0	0.42324	2.17499	0.0	14.83488	0.00561
s__Firmicutes_bacterium_CAG_83	0	1.25089	0.0	0.34503	0.10698	0.78163	0.04317	0.0	0.31175	0.01824	0.23916	0.0	0.0	0.00587	0.0157	0.12371	0.01806	0.03127	0.0	0.04829	0.09215	0.01366	0.0216	1.94358	0.37422	0.04827	0.01188	0.00075	1.76157	0.36536	0.06929	0.14771	0.04551	0.08051	0.14981	0.51976	0.0	0.00456	0.73364	0.01765	0.0	0.07822	0.00145	0.0	0.0	0.1717	0.04384	0.0	0.00994	0.03722	0.01087	0.0	0.0	0.0	0.01969	1.15469	0.0	0.0
s__Clostridium_disporicum	0	1.24866	0.00305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14294	0.31559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0304	0.0	0.0	0.01721	0.0	0.0	0.0	0.0	0.0	0.0	0.02328	0.0	0.0	0.0	0.00408	0.0	0.01636	0.0	0.0	0.01379	0.0	0.06319	0.0	0.0	0.0	0.18008	0.0	0.0	0.08757	0.0	0.0	0.0	0.0	0.00295	0.0306	0.0	0.0	0.0	0.0
s__Ruminococcus_sp_CAG_563	0	1.15148	0.0	4.13358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50821	0.0	0.0	0.00087	0.0	0.0	0.0	0.0	1.0681	0.00066	0.0	0.0	0.0	1.25177	0.00071	0.0	0.15864	0.0	0.0	0.0	0.0	0.0	8.08108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Porphyromonas_gingivalis	0	1.13983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_inulinivorans	0	1.10107	2.89835	1.32307	7.38695	4.59117	12.08394	0.0	0.01427	0.41236	1.14389	0.39862	1.4479	0.0	1.9877	0.52294	2.35289	1.2882	0.41172	2.19059	0.54021	7.97038	2.3874	1.47316	0.07434	7.72286	2.06458	4.43603	1.80243	0.32184	21.67728	1.37448	1.11713	0.48468	2.97995	8.11013	1.44995	0.74879	0.68059	2.3686	0.28704	0.02253	2.18175	0.06202	1.38595	1.6375	1.8053	0.03645	0.1523	3.96942	3.61009	1.54497	1.07177	2.12297	0.0214	0.14436	0.25788	0.0
