clade_name	NCBI_tax_id	S01-01-D	S01-02-D	S01-05-R	S01-06-R	S03-01-D	S03-03-R	S04-01-D	S04-02-D	S04-03-D	S04-04-D	S04-05-R	S04-06-R	S04-07-R	S04-08-R	S07-01-D	S07-03-R	S12-01-D	S12-02-D	S12-03-R	S12-04-R	S13-01-D	S13-02-D	S13-03-R	S13-04-R	S14-01-D	S14-02-D	S14-03-R	S14-04-R	S17-01-D	S17-02-D	S17-03-R	S17-04-R	S20-01-D	S20-02-D	S20-03-R	S20-04-R	S21-01-D	S21-02-D	S21-03-R	S21-04-R	S27-01-D	S27-02-D	S27-03-R	S27-04-R	S31-01-D	S31-02-D	S31-03-R	S31-04-R
s__Fretibacterium_fastidiosum	0	0.00716	0.15078	0.0	0.0	0.11019	0.21925	0.62161	0.57506	0.55817	1.15834	0.00167	0.0	0.0	0.0	0.72808	0.02483	0.56083	1.35826	0.0	0.00902	0.11009	0.83787	0.0	0.00208	0.00525	0.01116	0.11517	0.0	0.02886	0.0	0.0	0.0	1.84329	0.27807	0.0312	0.0	2.17975	1.71712	0.08709	0.3253	0.33957	0.18632	0.06572	0.01612	1.2359	3.86687	0.32579	0.20443
s__Oribacterium_sinus	0	0.00668	0.00693	0.02666	0.02717	0.0	0.0	0.0	0.00707	0.0	0.0	0.03343	0.89629	0.00189	0.0	0.00084	0.00796	0.0	0.0	0.05172	0.00927	0.0	0.0	0.0	0.0	0.03756	0.00606	0.0	0.0	0.00193	0.0	0.0	0.0	0.0	0.0	0.00249	0.0	0.0	0.0	0.0	0.0	0.0	0.02947	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroidetes_oral_taxon_274	0	0.00585	2.93969	0.0	0.0	0.60083	3.28076	0.05583	0.22736	2.46039	0.03576	0.0	0.0	0.0	0.0	1.62838	0.13672	1.66417	9.709	0.0	1.87627	0.0	0.43631	0.0	0.0	0.00177	0.0	0.04959	0.0	1.15399	0.05896	0.0	0.0	3.74287	0.97293	0.02103	0.0	2.15467	9.60863	0.00869	0.00472	2.45507	0.55071	0.88275	0.02408	0.0372	0.19434	0.00274	0.0031
s__Fusobacterium_periodonticum	0	0.00566	0.07021	0.0	0.01998	0.32308	0.0	0.02277	0.2245	0.00318	0.0037	0.12158	0.14114	0.08657	0.0	0.48786	0.5744	0.00645	0.0	0.98272	0.61271	0.0	0.0	0.0	0.0	0.05237	0.01004	0.24884	0.03235	0.00563	0.0126	0.00863	0.00823	0.0	0.0	0.0	0.00188	0.0	0.00658	0.0	0.0	0.0091	0.01625	0.14692	0.00587	0.00604	0.01564	0.00066	0.0
s__Campylobacter_mucosalis	0	0.00363	0.00226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00316	0.00187	0.0	0.0	0.0	0.00352	0.0	0.0	0.00109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00133	0.0	0.0	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Gemella_haemolysans	0	0.00362	0.04555	0.00914	0.0025	1.64357	0.06923	0.0	0.00673	0.0	0.0	0.0302	0.02759	0.1167	0.13066	0.00691	0.12136	0.01568	0.0	0.70864	0.1632	0.00588	0.0	0.13009	0.0504	0.08135	0.05799	1.56826	2.04639	0.01492	0.01098	0.02181	0.01166	0.0	0.00191	0.0093	0.00505	0.0	0.01207	0.00567	0.01318	0.0	0.0328	0.00727	0.03014	0.0316	0.0	0.04625	0.00964
s__Neisseria_mucosa	0	0.00349	0.00236	0.0	0.00867	0.01169	0.0	0.03654	0.0448	0.02224	0.0	0.0	0.0062	0.15891	0.01676	0.0	0.10302	0.00225	0.00422	1.94975	0.65956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	1.77922	0.0	0.78477	0.0	0.02308	0.04039	0.00482	0.0	0.0	0.00922	0.01841	0.0	0.0	0.0	0.0
s__Oribacterium_asaccharolyticum	0	0.00301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00219	0.0	0.0	0.0	0.0023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00748	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_micans	0	0.00263	0.31894	0.0	0.0	0.0	0.0	0.23322	0.70434	0.332	0.0	0.0	0.0	0.0	0.0	0.13949	0.48033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02594	0.06009	1.94531	0.0	0.24057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52288	0.0	0.25461	0.08171	0.05763	0.617	0.70641
s__Campylobacter_rectus	0	0.00237	0.21974	0.0	0.0	0.90827	2.25968	0.98683	1.6901	1.57665	2.37341	0.00344	0.0039	0.0	0.0	0.28794	0.04414	0.21844	1.19516	0.00041	0.0	0.49606	0.7509	0.0137	0.02205	0.00397	0.0001	0.02048	0.0	0.0	0.0	0.0	0.0	1.42955	1.04986	0.00131	0.00197	1.74036	0.81419	0.0	0.00275	0.0	0.0	0.0	0.00123	1.55791	1.28004	0.02305	0.06694
s__Abiotrophia_sp_HMSC24B09	0	0.0023	0.0	0.0	0.0	0.10298	0.00302	0.0	0.0	0.0	0.0	0.0	0.0	0.03648	0.0	0.0	0.00386	0.0	0.04668	0.08028	0.02214	0.0	0.0	0.01797	0.0	0.00668	0.00294	0.0	0.0	0.0111	0.01494	0.07667	0.07022	0.0	0.27905	0.0041	0.14845	0.0	0.03158	0.02036	0.0068	0.0	0.0	0.0	0.01133	0.0	0.0	0.0	0.0
s__Actinomyces_sp_HMSC035G02	0	0.00221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00412	0.0	0.0	0.0	0.0	0.0	0.01793	0.00439	0.00791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Haemophilus_paraphrohaemolyticus	0	0.00178	0.00042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01334	0.0	0.02667	0.0	0.0	0.0	0.0
s__Veillonella_dispar	0	0.00174	0.00451	0.0	0.00801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00876	0.0	0.0	0.01727	0.03528	0.01327	0.0	0.10033	0.00334	0.0	0.0	0.01314	0.00224	0.0395	0.00924	0.1119	0.00303	0.0	0.0	0.0	0.0	0.0	0.0	0.03579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00352
s__Streptococcus_australis	0	0.00164	0.0	0.0	0.00702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01645	0.00071	0.0	0.0	0.00811	0.0	0.0	0.01272	0.00236	0.0	0.0	0.0	0.0	0.05412	0.00798	0.85209	0.08586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Abiotrophia_defectiva	0	0.00141	0.0	0.0	0.0	0.16881	0.01305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00549	0.0	0.02168	0.1241	0.02058	0.0	0.0	0.0345	0.0	0.00658	0.00511	0.0	0.0	0.0086	0.01673	0.07481	0.09078	0.0	0.00463	0.0	0.00176	0.0	0.00722	0.02537	0.00099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mogibacterium_pumilum	0	0.00131	0.00034	0.00197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Kingella_oralis	0	0.00083	0.01114	0.03603	0.12992	0.22616	0.0	0.14424	0.06762	0.0	0.0	0.17638	0.63522	0.55401	0.21931	0.02075	0.07609	0.07983	0.0	0.4239	0.29054	0.73465	0.0031	0.15696	0.02676	2.11948	0.35888	0.31787	0.03777	0.00708	0.0	0.00093	0.0	0.08546	0.0	0.20992	0.12869	0.12569	0.42615	0.98238	0.97551	0.08533	0.00145	0.01131	0.0	0.01409	0.00309	0.50966	0.03915
s__Atopobium_deltae	0	0.00066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_meyeri	0	0.00064	0.02597	0.01934	0.00926	0.23536	0.06512	0.0	0.0	0.0	0.0	0.05963	0.00789	0.0	1.4882	0.01655	0.01056	0.02949	0.00322	0.02436	0.22169	0.20227	0.02983	0.20129	0.03861	0.0	0.0	0.0	0.0	0.10465	0.00865	0.01255	0.0	0.01234	0.17507	0.0	0.01949	0.00699	0.20015	0.03418	0.36391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
