clade_name	NCBI_tax_id	frank_P10	frank_P14	frank_P16	frank_P17	frank_P22	frank_P23	frank_P24	frank_P25	frank_P28	frank_P30	frank_P32	frank_P33	frank_P34	frank_P35	frank_P39	frank_P42	frank_P44	frank_P45	frank_P46	frank_P48	frank_P49	frank_P52	frank_P53	frank_P54	frank_P55	frank_P56	frank_P57	frank_P58	frank_P59	frank_P61	frank_P63	frank_P64	frank_P65	frank_P66	frank_P67	frank_P68	frank_P69	frank_P7	frank_P8
s__Sanguibacteroides_justesenii	0	0.0	0.0	0.05065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_nordii	0	0.0	0.0	0.04514	0.0	0.0	0.05859	0.0	0.00299	0.38924	0.0	0.00147	0.0	0.0	0.04814	0.0	0.01293	0.0	0.0	0.0	0.00408	0.0	0.0	0.0943	0.0374	0.0	0.0	0.02077	0.0	0.0	0.0	0.0	0.0	0.00487	0.0	0.0	0.02904	0.0	0.0	0.00167
s__Roseburia_sp_CAG_309	0	0.0	0.0	0.0257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Veillonella_atypica	0	0.0	0.0	0.02057	0.02448	0.0	0.0	0.00088	0.00561	0.0	0.0191	0.0	0.0	0.00051	0.0	0.0	0.0	0.0	1.26508	0.0	0.0	0.0	0.0	0.0	0.00034	0.0	0.00484	0.0	0.00443	0.0	0.0	0.0	0.01294	0.00022	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_radicidentis	0	0.0	0.0	0.01698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Monoglobus_pectinilyticus	0	0.0	0.0	0.01599	0.0	0.0	1.17847	0.0	0.30391	0.0	0.0	0.0	0.0	0.0	0.0	0.25553	0.14484	0.0	0.0	0.22655	0.0	0.0	0.00079	0.00111	0.0	0.0011	0.00068	0.41568	0.00138	0.0009	0.21418	0.40888	0.00148	0.0	0.00015	0.00117	0.85848	4.00123	0.0	0.0
s__Catenibacterium_mitsuokai	0	0.0	0.0	0.0144	0.0	1.15492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23332	0.17083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_253	0	0.0	0.0	0.01403	0.0	0.0	0.0	0.0	0.00066	0.0	0.0	0.0	0.0	0.05208	0.0	0.0	0.39847	0.18392	0.0	0.01846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterococcus_avium	0	0.0	0.0	0.0138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166	0.00662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Haemophilus_sp_HMSC71H05	0	0.0	0.0	0.01288	0.00346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056	0.0	0.00195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_infantis	0	0.0	0.0	0.00708	0.0	0.0	0.0	0.00223	0.0	0.0	0.01351	0.00453	0.0	0.0	0.00569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0086	0.0	0.00166	0.03387	0.0	0.0	0.06483	0.0	0.0	0.0	0.00453	0.0	0.0	0.0
s__Eubacterium_sulci	0	0.0	0.0	0.00621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00247	0.0	0.0	0.0	0.00053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00492	0.0	0.0	0.0	0.0	0.0	0.00423	0.01092
s__Roseburia_sp_CAG_182	0	0.0	0.0	0.00484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Allisonella_histaminiformans	0	0.0	0.0	0.00452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0535	0.0	0.0	0.0	0.03051	0.0	0.0	0.0	0.0	0.01746	0.0	0.0	0.0	0.0	0.01219	0.0	0.0	0.0
s__Haemophilus_parainfluenzae	0	0.0	0.0	0.00324	0.00318	0.0	0.0	0.01332	0.0	0.0	0.12501	0.0	0.0	0.00646	0.00066	0.0	0.00271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041	0.03133	0.00627	0.02146	0.0	0.0	0.0	0.04073	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_galacturonicus	0	0.0	0.0	0.00294	0.0	0.0	0.00818	0.0	0.01062	0.64104	0.0	0.0	0.0	0.0	0.0	0.0163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_sp_CAG_661	0	0.0	0.0	0.00261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_graevenitzii	0	0.0	0.0	0.00061	0.0	0.00066	0.0	0.0	0.0	0.00222	0.01245	0.04601	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02378	0.02142	0.0	0.0	0.0	0.0	0.00259	0.0	0.0	0.0045	0.0	0.0	0.0	0.0	0.006	0.0	0.01018
s__Veillonella_infantium	0	0.0	0.0	0.00055	0.0022	0.0	0.0	0.00025	0.0	0.0	0.00142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00058	0.0	0.0	0.0	0.0	0.0	0.0	0.00055	0.0	0.0	0.00228	0.0	0.0	0.0	0.12749	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_callanderi	0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0514	0.0	0.0	0.0	0.0	1.54356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10146	0.0	0.0
s__Veillonella_seminalis	0	0.0	0.0	0.0	0.33754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_bolteae_CAG_59	0	0.0	0.0	0.0	0.0246	0.02458	0.0	0.0	0.0	0.0	0.0	0.0	0.00059	0.0091	0.0	0.21539	0.0	0.0	0.00275	0.69952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00585
s__Enterobacter_mori	0	0.0	0.0	0.0	0.02102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Klebsiella_michiganensis	0	0.0	0.0	0.0	0.01828	0.0	0.0	0.0167	0.0	0.0	0.0	0.0	0.04653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactobacillus_animalis	0	0.0	0.0	0.0	0.01341	0.02134	0.01979	0.00984	0.18845	0.0	0.0	0.0	2.86734	0.0	0.0	0.00346	0.00228	0.00519	0.01581	0.00956	0.01758	13.67696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Klebsiella_oxytoca	0	0.0	0.0	0.0	0.0073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lachnoclostridium_sp_An298	0	0.0	0.0	0.0	0.00697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_spiroforme	0	0.0	0.0	0.0	0.0069	0.01618	0.30676	0.0	0.0628	0.0	0.08842	0.0	0.0	0.25131	0.08222	0.28281	0.07271	0.06425	0.0	0.04893	0.0	0.0	0.0	0.04426	0.00979	0.01241	0.00827	0.0	0.0883	0.0	0.0604	0.0	0.11116	0.00357	0.08434	0.0	0.0	0.15958	0.0	0.13649
s__Bacteroides_coprocola	0	0.0	0.0	0.0	0.00436	0.00732	0.00615	0.00418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_coagulans	0	0.0	0.0	0.0	0.00429	0.0	0.0	0.00234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_copri	0	0.0	0.0	0.0	0.0029	0.00777	0.01082	13.38096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01953	22.95131	0.06679	0.03674	0.0367	0.0461	0.05374	36.41697	0.04569	0.05694	4.58896	0.0	0.0	0.0	0.0	0.0	0.0	0.0056	0.00302
