clade_name	NCBI_tax_id	S2_001_006W1	S2_001_006Y1	S2_001_010G1	S2_001_011G1	S2_001_012G1	S2_001_013G1	S2_001_014G1	S2_001_015G1	S2_001_016G1	S2_001_017G1	S2_001_018G1	S2_001_019G1	S2_001_020G1	S2_001_021G1	S2_001_023G1	S2_001_023W1	S2_001_023Y1	S2_001_024G1	S2_001_025G1	S2_001_026G1	S2_001_027G1	S2_005_005G1	S2_005_006G1	S2_005_007G1	S2_005_008G1	S2_005_011G1	S2_005_012W1	S2_005_014G1	S2_005_014Y1	S2_005_015G1	S2_005_016G1	S2_005_017G1	S2_005_018G1	S2_005_019G1	S2_005_020G1	S2_005_021G1	S2_005_022G1	S2_005_022W1	S2_005_023G1	S2_005_024G1	S2_005_025G1	S2_005_026G1	S2_005_027G1	S2_005_028G1	S2_005_028Y1
s__Clostridium_perfringens	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54438	0.23942	1.66867	0.64463	0.59797	2.01334	31.87128	0.08197	22.0122	9.84532	3.2015	0.8159	9.42567	4.63466	0.0
s__Pseudomonas_aeruginosa_group	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72189	12.81636	2.47437	11.82362	1.32714	0.02013	0.0	0.02208	0.0	0.0	0.0	0.01533	5.24381	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Staphylococcus_hominis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04183	0.0	1.76556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.34175	0.00186	0.0	0.0	0.0	0.0	0.0	0.0
s__Cutibacterium_avidum	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66022	0.0	0.63911	4.87568	3.487	2.23652	2.9653	1.65725	3.81106	2.43105	0.48224	0.10238	12.56775	8.88236	22.28649	4.21693	5.29036	0.0
s__Finegoldia_magna	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04597	0.0	0.04517	0.16383	0.06706	0.05793	0.05098	0.00286	0.00577	0.0	0.0	0.0112	0.0	0.00524	0.03995	0.0	0.0	0.0
s__Serratia_marcescens	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.00618	0.8584	1.56854	2.4412	10.5275	2.77129	0.21534	5.12316	4.73192	0.98683	14.41812	2.38885	12.56049
s__Staphylococcus_aureus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23109	0.04261	0.0	0.0	0.0	0.00045	0.0	0.05348
s__Staphylococcus_capitis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30272	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rothia_mucilaginosa	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.12072
s__Gemella_haemolysans	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5225
s__Streptococcus_infantis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34662
s__Streptococcus_sp_HMSC067H01	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27417
s__Streptococcus_vestibularis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05292
