clade_name	NCBI_tax_id	DHAK_C10_M	DHAK_C13_M	DHAK_C14_M	DHAK_C15_M	DHAK_C16_M	DHAK_C18_M	DHAK_C19_M	DHAK_C2_M	DHAK_C22_M	DHAK_C23_M	DHAK_C24_M	DHAK_C25_M	DHAK_C3_M	DHAK_C4_M	DHAK_C5_M	DHAK_C6_M	DHAK_C7_M	DHAK_C9_M	DHAK_HA	DHAK_HAA	DHAK_HAB	DHAK_HAC	DHAK_HAD	DHAK_HAE	DHAK_HAF	DHAK_HAG	DHAK_HAH	DHAK_HAI	DHAK_HAJ	DHAK_HAK	DHAK_HAL	DHAK_HAM	DHAK_HAN	DHAK_HAO	DHAK_HAP	DHAK_HAR	DHAK_HAT	DHAK_HAU	DHAK_HAV	DHAK_HAX	DHAK_HAZ	DHAK_HB	DHAK_HBA	DHAK_HBB	DHAK_HBC	DHAK_HBD	DHAK_HBE	DHAK_HBF	DHAK_HBG	DHAK_HBH	DHAK_HBI	DHAK_HBJ	DHAK_HBK	DHAK_HBL	DHAK_HBM	DHAK_HBR	DHAK_HBV	DHAK_HBW	DHAK_HBY	DHAK_HBZ	DHAK_HC	DHAK_HCA	DHAK_HCB	DHAK_HCD	DHAK_HCF	DHAK_HCH	DHAK_HCI	DHAK_HCJ	DHAK_HCK	DHAK_HCL	DHAK_HCM	DHAK_HCN	DHAK_HCO	DHAK_HCP	DHAK_HCQ	DHAK_HCR	DHAK_HCS	DHAK_HCT	DHAK_HCU	DHAK_HCV	DHAK_HCW	DHAK_HCY	DHAK_HCZ	DHAK_HD	DHAK_HDA	DHAK_HDB	DHAK_HDC	DHAK_HDD	DHAK_HDE	DHAK_HDF	DHAK_HE	DHAK_HF	DHAK_HG	DHAK_HI	DHAK_HJ	DHAK_HK	DHAK_HL	DHAK_HM	DHAK_HN	DHAK_HO	DHAK_HP	DHAK_HQ	DHAK_HR	DHAK_HS	DHAK_HT	DHAK_HU	DHAK_HV	DHAK_HW	DHAK_HY	DHAK_HZ
s__Bacteroides_uniformis	0	2.32451	2.91999	0.03749	0.0244	0.00751	0.0	0.0019	5.83746	8.74305	2.44089	4.19716	3.41022	0.14613	0.21756	6.9882	1.08071	0.57264	2.61062	0.0	3.03543	0.0	3.6257	0.04722	3.51478	0.20158	0.0	0.0	0.0	0.66402	0.0	0.0	0.35619	6.27539	2.12242	0.0	0.0	0.0	0.33386	0.0	0.0	0.0	0.02723	0.0	0.0	0.55807	0.34357	2.9707	0.0	0.11658	0.0	12.47315	0.43055	0.2518	0.0	15.66076	0.5257	0.0	0.56513	25.52682	2.78959	0.33211	0.04777	2.97697	9.87953	2.94272	0.0	1.06945	0.9062	0.0	0.0	0.03199	3.97459	0.21866	0.99859	32.18097	0.73259	0.0	0.0	0.0	0.23879	1.19559	2.67976	3.21636	0.0	1.06793	0.59476	0.37759	6.75891	4.4284	24.94361	1.93663	0.0	0.0261	0.15897	0.0	0.51814	0.60321	0.0	0.04094	0.0	0.0	0.11918	0.0	0.0	0.30532	0.30119	0.0	0.0	11.97067	0.0
s__Eubacterium_sp_CAG_180	0	1.82903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04823	0.0	0.0	0.0	0.61011	0.0	0.02745	0.05772	0.0	0.0	0.0	0.07115	0.0	0.0	0.94927	0.0	0.08159	0.0	0.0	4.21894	0.0	0.0	0.0	0.0	0.0	0.54938	0.0	0.19415	0.0	0.107	0.0	0.0	1.72057	1.24833	0.0	0.0	0.16442	36.65386	0.0	0.0	0.0	15.8544	0.0	0.0	0.0	0.0	0.0	1.581	4.03047	0.0	0.0	3.90565	0.0	0.18232	0.45007	0.0	2.87069	0.30821	0.0	1.27782	0.2668	0.0	5.77301	0.0	3.05974	0.0	0.0	0.0	0.0	0.01095	0.0	0.0	0.0	6.17989	0.0	0.0	0.0	0.0	1.65593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11676	0.08817	0.0	0.0	0.51716	2.55447	0.0	3.02927	0.0	0.0	0.0	0.03048
s__Ruminococcus_sp_CAG_488	0	1.80613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.55013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.8225	0.0	0.0	0.0	0.05575	0.08487	0.0	0.0	0.0	0.0	0.0	0.13017	0.0	0.0	0.13349	0.0	0.0	0.0	0.0	0.58331	0.04436	0.0	0.0	0.0	0.0	0.0	0.0	0.50432	0.0	0.0	0.0	0.0	0.7851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Odoribacter_splanchnicus	0	1.57257	1.05857	0.75518	0.13383	0.00495	0.0	0.0	0.70453	1.90291	0.97234	1.59834	1.26561	0.14778	0.4555	0.0	0.60288	0.46286	3.89651	0.01346	0.09371	1.69373	1.36892	0.03587	4.81012	0.0	0.06615	0.01934	0.0	0.09245	0.02851	0.0	0.5323	0.11912	0.0	0.00856	0.0	0.0	0.0	0.0	0.59852	0.0	0.16028	0.0	0.0	0.33959	0.0	0.0	1.71729	0.04445	0.0	1.30111	0.0	0.51238	0.0	0.11345	0.09472	0.00678	0.0	0.74789	0.569	0.13241	0.00154	0.61729	0.80156	0.09285	0.0	0.0	0.30929	0.72605	0.0	0.0	0.08181	0.02584	0.0	0.11478	0.44607	0.0	0.0	0.0	0.02165	0.26189	0.06779	0.48917	0.0	0.0	0.12094	0.02567	0.0	0.84861	0.7764	0.67959	0.01936	0.22206	0.0	0.0	0.06408	2.18626	0.0	0.0	0.0	0.0	0.50668	0.10257	0.02291	0.20592	2.36939	0.0	0.0	0.0	0.0
s__Barnesiella_intestinihominis	0	1.13288	0.99407	0.0	1.41565	0.0	0.0	0.0	0.0	1.28169	0.0	0.55868	0.0	0.14201	0.50095	0.0	3.06562	0.0	3.11594	0.0	1.89735	0.58475	1.83625	0.0	5.39822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20479	0.0	0.0	0.0	0.0	0.0469	0.00714	0.0	0.0	0.0	0.0	0.0	0.0	0.00423	0.0	0.0	0.28367	0.0	0.0	0.0	0.12443	1.7963	0.13952	0.12793	0.83555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04059	0.0	3.02869	0.0	0.0	0.0	0.0	0.04358	0.47998	0.0	4.94049	0.0	0.0	0.31879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11831	0.01148	0.01433	0.12359	0.54347	0.0	0.0	0.0	0.0
s__Blastocystis_sp_subtype_1	0	1.00983	0.0	0.07054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00254	0.0	0.0	0.0	0.0	0.12575	0.0	0.0	0.0	0.0	0.0	0.0	0.02419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01772	0.0	0.0	0.0991	0.0	0.0	0.0	0.0	0.0
s__Prevotella_sp_AM42_24	0	1.00385	0.0	2.57772	0.0	0.0	16.40695	0.0	1.14071	0.0	4.69669	2.65188	3.85963	0.0	0.0	0.0	0.0	0.16756	0.0	4.21214	0.0	0.0	0.0	8.04242	0.0	0.0	0.0	0.0	0.0	0.0	6.34547	0.0	0.0	0.0	0.0	0.0	2.50676	9.46985	0.0	0.0	0.0	0.0	14.57536	3.83044	0.35562	0.0	2.02932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.77668	0.0	0.0	0.0	0.0	0.0	0.0	8.16943	0.65182	0.0	0.0	0.95798	0.0	0.0	0.0	0.0	2.42708	0.0	1.10536	0.0	0.0	0.0	0.0	2.1583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.21117	0.0	0.0	0.0	0.0	12.41865	0.0	0.0	0.0	0.0	0.0	0.00328	0.0	1.46105	3.45132	0.0	0.0	7.90176	0.0	1.86085	0.00171	0.0	0.0	3.57996
s__Eubacterium_rectale	0	0.79676	4.44459	1.89474	0.06031	12.37777	0.8829	3.59361	0.0	0.13542	0.2626	0.63149	0.26573	8.55602	23.72508	0.02188	0.68096	0.0	1.77326	6.03917	0.88644	3.84548	0.0	8.8755	0.0	0.24228	1.54806	9.8119	3.28133	0.64361	6.85524	15.72571	0.20513	1.17527	7.96704	1.01025	0.40005	6.65805	0.16361	0.96654	1.1172	1.53904	6.97062	0.61252	0.0	4.59411	8.35951	0.0	7.65366	0.0	0.0	0.0	2.7844	13.77739	7.06729	0.66633	1.57102	0.06591	1.06833	0.33165	1.86667	19.68375	0.0	1.65221	3.65116	10.51488	0.22007	11.70446	5.26325	0.13398	0.76775	0.12836	9.84427	0.0	0.0	1.6997	5.02788	2.88784	0.10742	0.0	0.0	26.005	2.12862	6.54356	1.60594	7.92346	1.64141	0.09549	2.40522	10.54218	0.39055	0.0	0.39667	3.08802	0.97076	0.71333	1.43184	1.49817	0.0	0.01794	1.0555	2.92822	1.24289	0.2439	1.49865	9.096	0.07864	0.0	0.0	0.0	0.75302
s__Bacteroides_ovatus	0	0.61277	0.74972	0.36872	0.0	0.0	1.06186	0.03329	0.87518	2.25175	0.0	1.30704	0.0	0.03983	0.0	0.61152	0.83514	0.41698	2.50918	0.0	0.2249	0.02794	0.40911	0.14588	4.96877	0.27909	0.4484	0.00706	0.14068	0.29213	0.19348	0.0	0.17823	0.0	0.03121	0.20004	0.0	0.04227	0.02568	0.13487	1.07711	0.0	0.14701	0.0	0.0	0.2425	0.1328	0.0	0.0	0.0	0.0	1.45567	0.0585	0.37181	0.04307	7.69638	0.34741	0.37346	0.0	30.88831	0.32417	0.06064	0.0	0.3703	3.50146	1.27704	0.02205	0.62878	0.22849	0.01231	0.0	0.03347	1.47906	0.0	0.09216	2.11475	0.19314	0.0	0.07496	0.0	0.0	0.23478	1.12517	0.49362	0.0	0.1572	0.44139	0.0	0.0	2.33465	30.98905	0.01503	0.0255	2.15284	0.06978	0.03699	0.0161	0.15454	0.0	0.0	0.0	0.0	0.00836	0.11793	0.0	0.30756	0.0	0.0	0.0	4.83138	0.0
s__Eubacterium_sp_OM08_24	0	0.58874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02377	0.0	0.0	0.0	0.0	0.0	0.03038	0.06067	0.0	0.0	0.0	0.0	0.0	0.0	0.00905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
