clade_name	NCBI_tax_id	Travel001	Travel002	Travel003	Travel004	Travel005	Travel006	Travel007	Travel008	Travel009	Travel010	Travel011	Travel012	Travel014	Travel015	Travel016	Travel017	Travel018	Travel019	Travel020	Travel021	Travel022	Travel023	Travel024	Travel025	Travel026	Travel027	Travel028	Travel030	Travel031	Travel033	Travel036	Travel037	Travel038	Travel039	Travel040	Travel041	Travel042	Travel043	Travel045	Travel046	Travel047	Travel048	Travel049	Travel050	Travel051	Travel052	Travel053	Travel054	Travel057	Travel058	Travel059	Travel060	Travel061	Travel062	Travel063	Travel064	Travel065	Travel066	Travel067	Travel068	Travel070	Travel071	Travel072	Travel073	Travel075	Travel076	Travel077	Travel078	Travel079	Travel080	Travel081	Travel082	Travel083	Travel084	Travel085	Travel086	Travel087	Travel088	Travel089	Travel090	Travel091	Travel092	Travel093	Travel095	Travel096	Travel097	Travel098	Travel099	Travel100	Travel101	Travel102	Travel103	Travel104	Travel105	Travel106	Travel107	Travel108	Travel109	Travel110	Travel111	Travel112	Travel113	Travel114	Travel115	Travel117	Travel118	Travel119	Travel120	Travel121	Travel122	Travel123	Travel124	Travel125	Travel126	Travel128	Travel129	Travel130
s__Bacteroides_vulgatus	0	3.24362	1.06526	0.0484	0.0	14.58521	7.90481	0.32978	0.0668	0.09179	9.23251	9.23283	3.64062	1.52226	0.49989	4.47614	5.57711	8.05673	5.72794	0.19527	4.25819	5.74539	12.62941	9.36446	1.54751	0.00405	9.12283	0.0	0.79037	0.0	5.54057	6.63918	2.26995	0.47027	4.50839	0.44199	0.63124	1.02114	2.26994	0.18544	0.03006	0.96737	1.0196	0.27237	0.0	0.00768	0.96494	1.548	9.47064	0.4539	5.2329	0.70009	11.43484	11.38629	0.41868	0.0	4.88117	0.07403	0.12256	1.24404	0.13869	0.02398	0.80248	0.26954	0.09221	5.00697	0.0	3.59262	3.47588	0.77806	0.38948	0.03884	0.22235	0.00741	0.0	11.15781	0.95883	2.16929	0.14782	11.29397	5.5427	6.22473	0.19259	4.73544	2.05343	0.0	6.39866	34.98594	0.97618	0.63413	30.00651	3.30767	7.41741	0.03138	0.12074	0.01621	0.16672	0.69452	2.62589	0.28697	0.0	8.48664	0.10788	0.33609	0.12724	20.56042	0.10201	0.01409	0.0	0.73302	0.0	1.46019	3.30804	0.94764	0.87069	0.0	1.43057	0.0
s__Roseburia_inulinivorans	0	3.20164	3.29865	0.16245	1.44988	1.48992	0.5583	0.40795	1.18127	0.46968	3.47595	3.47607	1.45642	1.45393	3.94135	2.35845	1.06085	1.138	0.34783	0.40361	0.0696	0.27172	1.72909	0.42684	0.16824	1.14756	0.28476	0.00688	0.01185	0.05602	1.54792	0.37708	0.01958	0.19148	0.09583	1.99807	2.41832	0.0291	0.74119	0.64399	1.59795	0.50676	0.27089	0.7365	0.0	2.02655	3.59129	1.85365	0.39273	0.03704	2.76363	0.26435	0.09121	0.0	0.70111	0.62649	1.85089	1.63085	2.08009	0.02112	1.62571	0.28273	1.54114	0.51463	3.7462	0.97867	0.20375	0.91718	0.56948	0.12954	2.32871	0.27583	0.48257	0.02306	3.01492	0.00052	3.76208	0.23938	0.15774	1.33468	0.10656	8.14408	0.47452	4.02843	0.23887	0.79657	0.45603	0.57181	2.93788	0.24697	0.54563	0.22391	0.3676	0.42704	0.09793	0.65162	1.32957	0.20107	2.29996	0.0	1.31717	0.0487	0.08755	0.52163	0.28467	0.51476	0.20653	0.0	0.05948	0.0	0.82529	0.40897	0.78146	0.1895	0.998	4.01572	0.72806	0.16352
s__Fusicatenibacter_saccharivorans	0	3.08846	5.10043	0.1894	3.82036	3.26016	5.72479	1.64775	0.64509	0.31124	10.33005	10.33098	0.1548	2.26571	0.18807	5.92006	0.72283	3.6834	0.11979	0.12326	1.46337	0.16598	1.52829	0.36441	0.83464	1.55039	0.0	4.70922	0.05871	4.56555	4.7371	1.37947	1.58815	0.78459	0.75933	2.0015	0.20063	1.39408	1.73016	0.2162	0.10533	2.08836	0.6138	1.88967	0.37233	0.62417	1.31078	0.70214	3.22182	0.67021	2.50815	1.30779	3.85713	0.12375	0.19335	0.91991	1.6978	0.02955	0.07207	0.29298	2.66405	3.76267	0.73484	1.07844	0.09196	1.27809	0.14402	2.29235	3.43746	0.25799	0.27755	0.02449	0.16523	0.19578	0.00158	3.38308	0.41007	1.19375	1.7746	3.9017	0.35551	1.14485	1.02019	0.10971	1.18743	0.69137	1.97153	1.14254	4.5699	6.13313	1.11729	0.30946	0.43979	0.51865	1.18592	0.48243	2.37846	0.24761	0.94682	0.05172	17.47895	20.2555	0.04465	0.08297	0.50606	1.88566	3.29763	0.09928	0.97684	0.1561	0.16157	1.34778	1.3878	0.53053	0.29371	0.14765	1.44015	1.04117
s__Coprococcus_comes	0	2.99232	3.19163	1.80447	1.16359	1.32657	1.30647	0.87488	0.58166	1.11941	1.98478	1.98485	0.27995	3.18065	0.32422	1.42113	0.90797	1.86461	0.0	0.54753	0.75532	0.40057	1.9222	0.0	0.2576	1.67842	1.28366	1.40376	0.00221	0.0	2.95469	2.73907	2.48839	5.41552	1.11062	5.78489	0.70917	1.01412	1.90773	1.00146	0.80584	2.31807	0.90894	1.66623	0.82394	1.32381	0.65225	2.42195	1.15702	1.99332	0.91479	1.23641	1.09712	0.69417	0.86755	0.92837	0.39314	3.00011	0.40961	0.89801	4.08436	3.12961	3.08734	2.0715	1.73196	0.38625	0.60944	1.10766	1.338	2.96673	1.45615	2.42526	1.03066	0.0248	0.36428	0.30366	3.28023	0.97855	0.77712	1.96575	0.31056	0.36207	0.61993	0.08011	1.9204	1.18542	1.09013	0.59277	1.26199	1.70605	0.0	0.46679	0.74288	2.50996	0.41868	0.9612	3.53688	0.1602	0.99109	0.11396	2.68908	1.29755	0.13889	0.26223	0.88706	0.38381	0.80418	0.65749	0.21263	0.12121	1.67344	7.31534	1.52868	2.65099	1.48899	0.2937	1.61719	0.16096
s__Bifidobacterium_adolescentis	0	2.58971	4.56203	3.97924	1.99356	1.10018	2.29732	0.17824	5.84998	0.54513	1.36766	1.36771	0.42236	0.96965	1.31072	4.31817	0.29087	0.41959	0.00912	0.4755	0.54916	0.4643	0.00993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06673	18.93267	0.0	0.25905	0.0	3.83054	0.46321	1.36552	3.81238	1.19373	0.87178	5.69164	3.33554	5.91989	0.0	0.0	0.27879	0.41118	0.0291	4.86989	1.36332	4.80019	0.0	0.0	0.13009	0.40067	6.39251	0.05597	0.76775	0.85205	0.0	0.0	2.55383	1.4015	0.69238	0.1241	0.21897	0.13627	1.20615	3.8977	0.05873	0.70654	1.52339	0.0	5.83127	0.0	0.36171	6.56789	0.0	5.37193	0.5148	0.1691	1.92423	0.0	0.22181	2.12987	3.63673	0.00474	1.03672	1.78263	1.57004	3.6885	6.53359	3.19025	0.86895	1.32814	0.0	3.31235	0.00599	0.36943	0.0	2.22698	0.06607	2.40995	1.34782	0.0	13.4098	1.25191	0.04379	0.49867	0.06418	0.16467	0.0	0.14192	0.0	0.0	0.24987	1.1526
s__Eubacterium_sp_CAG_251	0	2.25637	0.0	0.0	0.21744	0.1585	0.0	0.0	0.0	0.0	0.0	0.0	0.00313	1.34284	0.23935	0.10194	0.37347	0.01198	0.0	0.02173	0.80548	0.0	0.22597	0.0	0.35501	0.0	0.0	0.0	0.0	0.0	0.81451	0.0	0.0	0.08273	0.45757	0.05823	0.0	0.24157	0.0	0.0	0.92103	0.46033	0.0	8.36668	0.94341	0.56844	0.3227	0.0	0.0	0.26928	0.0	0.0	0.0	0.0	0.06026	0.37253	0.0	0.74207	0.34128	0.0	0.60188	0.0	0.03736	0.0	0.08831	0.09136	0.32855	0.0	0.0	0.0	0.0	0.41489	0.30131	0.32869	0.21046	2.58756	0.0	1.95704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.46558	0.12563	4.8756	0.0	0.0	0.0	2.72818	1.9167	1.20484	0.0	0.0	0.0	0.0	0.02567	1.98465	0.0	0.37258	0.66789	0.0	0.0	0.0	0.02064	0.0	0.0	0.0	0.01316	1.99329	0.0	0.05544	1.4728	0.23425	0.0	0.0
s__Parabacteroides_merdae	0	1.79543	0.41801	0.03765	0.50999	2.28738	0.71383	1.33238	0.0	0.0	0.0	0.0	2.01738	0.17987	0.48036	0.0	4.08371	1.82443	0.62675	0.00659	0.87087	2.50236	1.25046	0.21339	0.96648	0.00179	0.0	1.5243	1.47354	0.0	0.25734	3.82117	2.87641	0.09105	1.124	0.17557	0.31674	0.0	0.02609	0.0	0.0	0.28832	0.0	0.0	0.0	0.06368	0.93953	0.6652	1.33422	0.24148	0.9237	0.11941	0.64608	4.3758	0.10183	0.0	0.62386	0.00332	0.00177	0.03766	1.17952	0.0358	0.17059	0.0	0.0	0.44905	0.0	1.1318	0.12947	0.73598	0.09754	0.0	0.01924	0.0	0.0	0.0	0.10961	0.0	0.0	1.08483	2.21026	1.61159	0.13006	0.03038	2.34551	0.01073	2.00795	0.10844	0.70382	0.09457	0.0	0.51173	0.0	0.0	0.0	0.07771	0.12509	0.02792	0.1995	0.00469	0.0	0.49562	0.0	0.0371	0.10898	0.18413	0.01802	0.00794	0.0	0.28061	0.0	0.3789	0.86659	0.44435	0.12107	0.0	0.04946	0.0
s__Dorea_formicigenerans	0	1.70464	1.10613	1.30544	0.75225	0.92999	0.93874	0.52379	0.32031	1.36349	1.02475	1.02478	0.50288	1.2842	0.23491	0.58779	0.08615	1.16238	0.29825	0.51154	1.25654	0.49265	0.71559	1.03029	0.83632	3.29154	0.46358	0.44062	0.45347	1.26283	1.13263	1.34519	0.42695	1.32692	0.79792	1.90083	0.82341	1.32873	1.20548	0.28734	1.07644	1.06427	0.48521	1.5302	0.62511	0.26239	0.55394	1.24253	1.14622	2.23275	0.93633	0.38827	0.308	0.32596	0.49963	0.7569	0.74037	0.79498	0.41059	0.36886	1.41823	2.2565	1.91225	1.0168	0.65397	0.4347	0.23069	0.21159	0.09697	1.48677	0.57199	1.15861	1.85891	0.12004	0.20723	0.148	1.07888	1.14648	1.17347	0.65724	0.32303	0.66538	0.76912	0.67093	0.21319	1.43831	0.98377	0.28935	0.60451	1.96334	0.0	0.94663	1.71565	0.78537	0.22506	0.27417	1.09428	0.01364	0.56204	0.14102	1.2067	0.48098	0.0181	0.16434	0.19232	0.28886	0.67717	0.39751	0.34335	0.00575	0.1819	3.43077	0.25559	3.35364	0.51045	0.42827	0.11998	0.23744
s__Bacteroides_uniformis	0	1.03213	2.75032	0.0	1.41554	8.13307	4.86537	0.12519	0.0	0.0	3.79548	3.79561	1.73805	3.93981	0.71433	10.56628	5.7761	8.59319	0.82696	0.0	1.73201	3.32068	1.24356	9.12867	1.2676	0.11914	10.46815	0.0	2.15491	0.0	0.21358	0.0	12.57542	0.54961	3.06111	0.08107	0.35583	0.00657	0.07717	0.0052	0.0	1.665	1.14505	0.05435	0.0	0.0	0.71803	0.42527	1.33863	0.16525	0.86547	0.10035	5.42059	6.69851	0.496	0.0	11.8542	0.08551	0.0	0.0475	0.35566	0.09374	0.94116	0.0	0.0	0.1573	0.00905	4.30632	0.11033	0.0	0.0177	0.0	0.04219	0.0	0.0	11.74103	6.53273	2.13404	0.08675	7.11544	2.04576	11.1717	0.61166	0.39361	1.84588	0.03057	1.29722	0.35807	0.57371	0.31536	3.20899	1.53717	0.0	0.03504	0.00944	0.02061	0.16695	0.12516	2.23796	0.13857	0.0	0.56081	0.0	0.0115	0.25848	0.23071	1.02949	0.0	0.0	0.05823	0.04827	0.10916	0.49161	0.0	0.0	0.0	0.16622	0.80861
s__Firmicutes_bacterium_CAG_83	0	0.90812	1.70193	0.0	0.0639	0.42654	1.21834	0.37226	0.17174	1.06379	0.00245	0.00245	0.17422	0.59442	0.16423	0.9816	0.03649	1.67288	0.60011	0.06032	5.59971	0.02478	0.71764	0.0	1.3418	1.29138	0.0	0.15326	0.0	0.0	0.27307	1.09164	0.19139	1.09846	0.0	0.06081	0.03139	0.04045	0.01882	0.08653	0.21375	1.86668	0.05302	0.20533	0.65546	0.12512	0.13361	0.10771	4.32304	4.18555	0.04347	0.07142	0.17923	0.08414	1.05207	0.09828	0.22834	0.19886	0.07406	0.14463	0.35919	6.46814	1.73367	0.07918	0.65405	0.30115	0.01835	0.0	0.0	0.00308	0.0	0.12763	0.35442	0.00117	0.0	0.0	0.19595	0.51072	0.1021	0.47205	0.0	0.08945	0.18231	0.0	0.00355	0.41516	0.25932	0.0	0.36717	0.20379	0.0	0.46416	0.37811	0.03825	0.0	0.07834	0.17351	0.00729	0.04682	0.07013	0.0	0.0458	0.0	0.02436	0.0	0.01411	0.20535	0.07244	0.00555	0.0	0.0	0.33785	0.07745	2.0618	0.20805	0.00527	0.0012	0.0
