clade_name	NCBI_tax_id	H1	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H2	H20	H21	H22	H23	H24	H25	H26	H27	H3	H4	H5	H6	H7	H8	H9	IT1	IT11	IT13	IT14	IT2	IT3	IT4	IT5	IT6	IT7	IT8
s__Haemophilus_sp_HMSC71H05	0	0.42799	0.26906	0.17828	0.06306	0.0	0.0	0.0	0.00582	0.0103	0.03713	0.0	0.0	0.43494	0.0	0.0	0.0	0.08703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00336	0.01235	0.0
s__Prevotella_stercorea	0	0.3923	0.71262	0.8769	0.37461	4.05867	3.74755	2.09739	0.73124	3.20263	2.12495	6.5529	2.11298	0.22363	2.25867	0.48919	12.68936	6.9742	0.06803	0.07455	0.99915	1.18003	7.63861	2.85211	16.99623	0.3041	25.02589	1.55033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Haemophilus_parainfluenzae	0	0.37115	0.08762	0.0733	0.03819	0.00815	0.00546	0.0	0.00771	0.00764	0.0257	0.0	0.0	0.26065	0.0	0.0	0.02095	0.06604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00317	0.0	0.0	0.00408	0.0	0.0
s__Roseburia_inulinivorans	0	0.35137	0.18336	0.11608	0.09145	0.01291	0.02078	1.69303	0.0	3.19873	0.12668	0.38151	1.17561	0.29991	0.8013	0.0	0.0	0.0	0.0	0.03484	0.0	0.22031	0.0771	0.20688	0.66748	0.0	2.03803	5.8785	5.40349	0.60268	4.16832	1.11851	0.89645	0.09502	0.47709	3.63684	2.99274	0.17997	0.23782
s__Firmicutes_bacterium_CAG_95	0	0.35009	0.13263	0.16411	0.09371	0.09092	0.06354	1.50872	0.07411	0.17743	0.15702	0.0	0.0	0.5663	0.61738	0.94092	0.0	0.01015	0.45997	1.13597	1.95576	0.23193	0.72429	0.95705	0.0	0.0	0.45509	0.51456	0.0	0.0	0.0	0.0	0.01202	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_510	0	0.32755	0.19325	0.20403	0.18232	0.01982	0.03452	12.49285	0.67634	0.02349	0.0	0.00759	0.10511	0.675	0.40414	0.57805	0.0	0.03015	0.57576	0.70435	0.0	0.07177	0.02254	0.0	0.0	0.15384	0.25231	11.73615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_170	0	0.31661	0.18949	0.20201	0.12241	0.73679	1.30211	0.14581	0.0684	0.45222	0.05461	0.04926	0.44337	0.56359	0.34313	1.00216	0.00836	0.28648	1.71165	0.65444	0.61388	0.14369	0.98038	0.0	0.0	0.0	0.0	0.37297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_632	0	0.31391	0.0	0.0	0.0	0.0407	0.03036	0.31434	0.0	0.05072	0.0	0.0	0.0	0.38202	0.43594	0.05992	0.0	0.0	0.07077	0.12263	0.0	0.02164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Candidatus_Gastranaerophilales_bacterium_HUM_9	0	0.31343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09956	0.0	0.0	0.0	0.6275	1.26715	0.0	0.0	0.0	0.0	0.04806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_sp_CAG_488	0	0.2561	0.36727	0.59586	0.39812	0.12135	0.09512	0.25216	0.6695	0.26241	0.0205	0.0	1.72632	0.55938	1.73951	1.20339	0.07911	1.37085	0.81186	1.83854	0.0	1.91312	4.51999	0.04748	0.0	0.0	1.54876	2.56918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Blautia_wexlerae	0	0.23148	0.1101	0.28138	0.22203	0.10955	0.09406	0.44565	0.1464	0.06487	0.2455	0.11619	0.17707	0.17323	0.00897	0.63035	0.18859	0.54826	0.37952	0.0	0.0	0.02351	0.03198	0.0202	0.1783	0.0	0.86874	0.0	0.0	0.18089	0.18627	0.22264	0.1961	0.35568	0.04321	0.23355	0.14391	0.02508	0.27789
s__Coprococcus_catus	0	0.18769	0.23751	0.24331	0.18009	0.22215	0.25893	0.33689	0.19332	0.40608	0.20176	0.01865	0.20065	0.35131	0.86939	0.15337	0.03738	0.09139	0.11231	0.26934	0.0	0.13682	0.49295	0.31441	0.06885	0.00349	0.14384	0.15815	1.04266	0.11067	0.52025	0.08373	1.01846	0.19325	0.41186	0.0	0.01492	0.54538	0.0
