clade_name	NCBI_tax_id	SAMEA1966431	SAMEA2017457	SAMEA2017458	SAMEA2017459	SAMEA2017460	SAMEA2055106	SAMEA2055107	SAMEA2055108	SAMEA2055109	SAMEA2055266	SAMEA2055267	SAMEA2055268	SAMEA2055269	SAMEA2055272	SAMEA2055273	SAMEA2055274	SAMEA2055275	SAMEA2055276	SAMEA2055277	SAMEA2055278	SAMEA2055279	SAMEA2055280	SAMEA2055281	SAMEA2055282	SAMEA2055283	SAMEA2055284	SAMEA2055285	SAMEA2055286	SAMEA2055287	SAMEA2055288	SAMEA2055289	SAMEA2055290	SAMEA2055291	SAMEA2055292	SAMEA2055293	SAMEA2055294
s__Methanosphaera_stadtmanae	0	0.0	0.0	0.0	0.0	0.0	0.47401	0.46999	0.0	0.0	0.0	0.0	0.28532	0.74961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49302	1.3863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45956
s__Parabacteroides_merdae	0	0.0	0.0	0.0	0.0	0.0	0.41081	0.25116	0.15911	0.2765	0.12333	0.06806	0.50648	1.30096	0.76719	0.35942	0.04252	0.0	0.0	0.05164	0.57977	0.3256	0.31188	1.27335	0.90326	1.89128	1.74109	0.68704	1.24152	10.00354	1.01757	0.98536	0.60814	0.05839	0.05465	0.19954	0.29829
s__Slackia_isoflavoniconvertens	0	0.0	0.0	0.0	0.0	0.0	0.40124	0.42047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14002	0.40403	0.00212	0.00617	0.23749	0.0	0.01065	0.0	0.0	0.19693	0.0	0.0	0.0	0.0	0.0	0.0	0.00377	0.00182
s__Phascolarctobacterium_succinatutens	0	0.0	0.0	0.0	0.0	0.0	0.32682	1.22236	0.0	0.0	0.0	0.0	1.55769	2.22897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00357	1.98073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Megamonas_hypermegale	0	0.0	0.0	0.0	0.0	0.0	0.32039	0.02134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01231	0.06221	0.0	0.0	0.03681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00618	0.23268	0.0	4.91388	0.21431	0.0
s__Desulfovibrio_piger	0	0.0	0.0	0.0	0.0	0.0	0.30223	0.18747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_intestinalis	0	0.0	0.0	0.0	0.0	0.0	0.24653	0.17009	0.187	0.26669	0.00434	0.0	0.04233	0.03071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00128	0.30166	0.22172	0.41836	0.0	0.01898	0.0	0.0	0.00115	0.07971	0.0	0.0	0.07531	0.02466
s__Prevotella_sp_AM42_24	0	0.0	0.0	0.0	0.0	0.0	0.23489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33139	0.70376	0.0
s__Clostridium_sp_CAG_413	0	0.0	0.0	0.0	0.0	0.0	0.21655	0.01528	0.0	0.0	0.0	0.0	0.1329	0.20484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Butyrivibrio_crossotus	0	0.0	0.0	0.0	0.0	0.0	0.15311	3.57883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72701	0.0	0.0	0.45987	0.78063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
