clade_name	NCBI_tax_id	WBE003	WBE004	WBE005	WBE006	WBE007	WBE008	WBE009	WBE010	WBE011	WBE012	WBE013	WBE014	WBE015	WBE016	WBE017	WBE018	WBE019	WBE020	WBE021	WBE022	WBE023	WBE024	WBE026	WBE027	WBE028	WBE029	WBE030	WBE031	WBE032	WBE033	WBE034	WBE035	WBE036	WBE037	WBE038	WBE039	WBE040	WBE041	WBE042	WBE043	WBE044	WBE045	WBE046	WBE047	WBE048	WBE049	WBS012	WBS013	WBS014	WBS015	WBS016	WBS017	WBS018	WBS019	WBS020	WBS021	WBS022	WBS023	WBU001	WBU002	WBU003	WBU004	WBU005	WBU006	WBU007	WBU008	WBU009	WBU010	WBU011	WBU012	WBU013	WBU014	WBU015	WBU016	WBU017	WBU018	WBU019	WBU020
s__Haematobacter_massiliensis	0	2.63938	2.84739	0.0	0.0	0.0	0.0	0.17209	0.04394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Staphylococcus_hominis	0	2.58512	2.42468	1.91188	2.85207	0.96039	1.93785	0.413	0.52974	1.47446	1.9975	4.73406	1.54036	0.70332	0.83728	5.54522	2.45352	0.39941	0.48553	0.13568	0.02888	0.66961	0.48347	0.0	0.10456	0.35675	0.50256	0.0	0.01879	0.66363	0.58164	0.65748	0.23396	0.11581	0.04779	0.52206	0.19329	0.85692	0.68022	1.35794	0.98279	2.87806	3.95821	1.6283	0.50554	0.1881	0.45763	0.8331	0.41541	2.47894	12.57466	0.35192	0.3911	0.33309	0.49452	0.10768	0.0	20.24151	1.05006	2.57012	2.44202	4.38092	6.84939	0.17811	0.21876	1.9903	5.80983	0.10301	0.11588	1.97901	2.207	0.22015	0.86209	0.2554	0.49727	0.67124	0.84439	29.22123	10.32322
s__Staphylococcus_epidermidis	0	1.93138	4.61656	0.76747	1.3659	1.79928	2.89502	7.27852	3.83529	2.985	4.37247	4.03887	2.93766	1.4818	1.29604	5.2555	4.16322	0.53237	0.67331	1.36025	2.61917	1.77497	2.205	0.47086	0.17233	0.91727	0.5388	1.96822	0.5823	2.54303	1.13273	0.67887	1.63	1.53887	3.05199	1.09136	2.11446	2.13065	1.05721	2.31484	1.5667	8.12381	26.18669	4.91304	4.89443	1.65328	1.64842	0.92066	0.31126	1.12561	1.05281	1.09856	1.29306	0.66354	0.58756	0.36028	0.21508	0.48734	1.55574	3.79812	1.42305	2.10381	4.38923	0.51298	0.07838	4.15108	22.61341	0.17228	0.12274	1.14245	0.52485	0.6786	1.69472	0.99665	0.45068	0.44513	0.49888	1.5813	1.72196
s__Staphylococcus_lugdunensis	0	1.74397	0.05816	0.0	0.13677	0.0	0.0	0.0	0.0	0.01115	0.17256	0.01459	0.00943	0.0	0.0135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12344	0.41999	0.0	0.05323	0.0	0.0	0.94785	0.1373	0.0	0.0	0.0	0.0	0.19413	0.03201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01061
s__Acinetobacter_junii	0	1.72534	1.80669	0.19437	0.17227	0.6229	0.4911	0.06174	0.30172	0.11617	0.08549	0.0	0.04927	0.0	0.03168	0.00568	0.24292	0.03016	0.12845	0.0	0.0	0.04176	0.0	0.0	0.0	0.04539	0.0	0.0	0.06034	0.0	0.0	0.0	0.03111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34332	0.0	0.0	0.0	0.00732	0.0	0.04337	0.06687	0.16275	0.10006	0.0	0.0	0.00961	0.0	0.01025	0.34021	0.0	0.0	0.0	0.03734	0.11405	0.13019	1.44996	0.30628	0.04314	0.07809	5.71309	0.40902	0.0	0.0	0.06436	1.18598	0.0	0.0	0.0105	0.16576
s__Malassezia_globosa	0	0.86043	1.12122	0.80789	0.91997	0.10381	0.09771	0.46761	0.41214	0.66192	0.57324	0.7858	1.02275	0.18677	0.12438	3.23293	2.16988	0.21886	0.36434	0.1211	0.21092	0.4029	0.70124	0.2215	0.06566	0.30637	0.38581	0.14321	0.04966	0.04048	0.0	0.45353	0.73738	0.0	0.0	0.10343	0.11764	0.0	0.0	0.07525	0.209	1.52135	1.52377	0.07476	0.0	0.06516	0.10817	1.1827	0.8108	0.64475	0.788	0.89993	0.75989	0.83482	1.06221	1.58323	1.18051	1.64506	2.09176	2.3028	3.25096	7.0408	4.43804	0.25701	1.10779	0.80877	0.44509	0.33964	0.27108	7.68525	4.33332	1.94617	1.92317	0.21829	0.43666	0.42637	0.51398	2.91266	2.91509
s__Finegoldia_magna	0	0.80483	0.0	0.0	0.01335	0.06403	0.0138	0.0	0.0	0.2725	0.30944	0.14372	0.28753	0.01262	0.00255	0.02284	0.04037	0.04905	0.00515	0.0	0.0	0.13026	0.09138	0.05665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56999	1.11872	0.0	0.0	0.07813	0.01881	0.0	0.01722	0.0	0.0	0.0	0.0	0.0	0.0	0.00872	0.04442	0.06429	0.02265	0.05688	0.0	0.04124	0.02752	0.00696	0.03513	0.26426	0.10897	0.11384	0.09784	0.09912	0.19789	0.0	0.78836	0.06552	0.0	0.0466	0.0	0.57336	0.29559	0.0	0.0	0.11706	0.36349	0.0	0.00294	0.35234	0.01507	0.0	0.00125
s__Micrococcus_aloeverae	0	0.69117	0.16877	2.33451	0.3119	1.29994	2.27462	7.06994	7.1268	0.3539	0.07381	0.14977	0.101	0.42204	1.52179	5.51673	10.09716	0.05075	0.0	0.0	0.19434	0.85049	0.384	0.0	0.08457	7.80622	4.01208	6.02391	8.75671	0.71247	0.72616	0.46338	0.29187	3.9401	2.47505	0.66986	0.15441	7.02142	4.31717	0.78331	1.14352	0.0	0.0	0.0	0.0	1.19186	0.41849	4.75459	5.19498	0.17836	0.58998	0.65865	0.12591	0.82236	0.13734	0.28259	0.66038	0.9586	2.32108	0.30464	0.49237	0.0	0.51002	0.0	0.05439	1.57914	0.88495	6.78579	7.78173	0.7778	0.90252	0.09362	0.0	0.17891	0.49484	12.47637	9.43752	0.39897	0.43114
s__Skermanella_aerolata	0	0.6698	0.15117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02225	0.0	0.0	0.37959	0.0	0.0	0.0	0.00148	0.0028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00832	0.0	0.02884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Corynebacterium_matruchotii	0	0.5757	0.16414	0.08153	0.0	0.0	0.0	0.26821	0.43961	1.06968	0.0896	0.03641	0.14025	0.0	0.07632	0.0	0.0	0.03869	0.0	0.32259	0.20186	0.62684	0.56168	0.07165	0.0	0.0	0.0	0.83203	0.18271	0.45716	0.07759	0.35968	0.48256	0.06342	0.0	0.40821	0.0474	0.34343	1.40756	0.22589	0.26025	2.65448	0.0	0.06232	0.00876	0.39282	0.70619	0.0	0.13343	0.24696	0.10147	0.08314	0.02981	0.0	0.0	0.57786	0.3313	0.08287	0.0	0.00278	0.0	0.25543	0.44414	0.54574	7.27915	0.0	0.0	0.0	0.0021	0.50936	2.36168	0.01612	0.0	0.0	0.0	0.13416	0.01452	0.0	0.05623
