clade_name	NCBI_tax_id	SAMEA104335941	SAMEA104335942	SAMEA104335943	SAMEA104335944	SAMEA104335945	SAMEA104335946	SAMEA104335947	SAMEA104335948	SAMEA104335949	SAMEA104335950	SAMEA104335951	SAMEA104335952	SAMEA104335953	SAMEA104335954	SAMEA104335955	SAMEA104335956	SAMEA104335957	SAMEA104335958	SAMEA104335959	SAMEA104335960	SAMEA104335961	SAMEA104335962	SAMEA104335963	SAMEA104335964	SAMEA104335965
s__Faecalibacterium_prausnitzii	0	0.0	3.59587	2.10311	9.18443	0.97182	4.91216	0.0	2.93517	1.4019	0.0	0.79414	1.00068	3.9946	5.56792	5.69884	0.90529	0.21232	3.03718	4.05928	3.95555	3.67252	8.89794	9.73183	3.02102	2.01549
s__Akkermansia_muciniphila	0	0.0	2.71193	0.0	0.0	0.0	0.01377	0.05971	5.4099	0.0	0.0	0.01256	0.0	0.18453	0.0	0.0	0.97718	0.0	0.0	0.02433	0.70896	0.0	0.0	0.0	0.66787	21.60711
s__Parabacteroides_goldsteinii	0	0.0	2.40084	0.0	0.0	0.0	0.29418	0.0	0.0	0.0	0.0	0.0	0.0	0.88683	0.20081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_caccae	0	0.0	1.71844	0.0	1.39514	1.62683	0.0	0.0	0.26087	0.0	45.24375	0.0	3.43288	2.1181	2.20545	2.13716	2.29353	0.0	2.85433	0.0	0.0	8.08439	0.0	0.0	0.0	0.0
s__Lachnospira_pectinoschiza	0	0.0	1.343	7.41545	0.4488	0.27787	0.0	0.08282	0.0	0.0	0.0	0.75349	0.0	1.86986	0.0	0.31595	0.04838	0.0	3.21041	0.0	1.76975	0.74607	0.0	0.0	0.72018	0.0
s__Streptococcus_salivarius	0	0.0	1.15983	0.05103	0.15906	0.0	0.0	0.0	0.0249	0.0	0.01485	0.17079	0.0096	0.01124	0.0	0.0	0.0	0.0	0.0	0.0	0.03039	0.0	0.01359	0.02276	0.48503	0.0
s__Ruminococcus_bicirculans	0	0.0	0.95549	0.09056	3.25966	0.17621	0.00229	0.05874	0.0	0.0	0.90066	0.28226	0.0	1.86574	0.0	0.0	0.0	0.0	0.0	0.0	6.77253	0.0	0.03598	0.0	0.0	0.0
s__Candidatus_Methanomassiliicoccus_intestinalis	0	0.0	0.90167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phascolarctobacterium_faecium	0	0.0	0.76654	0.0	0.0	0.00406	0.68241	0.0	0.05166	0.0	0.0	0.0	0.0	0.36343	0.14017	2.05766	0.0	1.32287	0.59643	0.0	0.0	0.0	0.01992	0.02651	0.0	0.0
s__Lactobacillus_fermentum	0	0.0	0.59885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_stercoris	0	0.0	0.59791	18.85963	0.11261	1.35797	0.0	0.0	0.0	0.0	0.0	6.31476	1.17191	3.38648	6.91605	10.79474	16.80192	0.0	0.0	0.0	7.97746	0.0	0.06101	0.0	0.0	0.0
s__Alistipes_indistinctus	0	0.0	0.57351	0.0	0.0	0.0	0.0	0.0	0.0	0.21184	0.0	0.0	0.04514	0.11617	0.0	0.0	0.0278	1.08957	0.0	0.0	0.0	0.0	0.03276	0.0	0.0	0.0
s__Collinsella_aerofaciens	0	0.0	0.51329	1.27713	0.36333	0.17469	0.21867	3.63809	0.57532	0.0	0.0	0.20113	0.0	0.38876	0.37706	0.45124	0.0	0.0	0.16106	0.0	0.24177	0.0	0.39469	0.0	0.0	0.25199
s__Parasutterella_excrementihominis	0	0.0	0.49726	0.0	0.13405	1.03755	1.71577	0.0	1.51296	0.8996	0.0	2.56334	0.19568	0.0	1.79909	3.55875	0.19343	0.0	0.0	0.11397	0.54843	0.03072	0.03846	1.32514	0.0	0.0
s__Firmicutes_bacterium_CAG_83	0	0.0	0.44676	0.0	0.0	0.05559	0.0	0.0	0.43484	0.14947	0.0	0.1363	0.0	0.02304	0.20209	0.0	0.0	0.0	0.05316	0.27467	0.53322	0.17849	0.00161	0.21498	0.0	0.0
s__Bifidobacterium_adolescentis	0	0.0	0.4156	0.0	0.39092	0.11814	0.0	9.61369	0.0	0.0	0.0	0.03457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20893	0.0	0.45332	0.0	0.0	0.0
s__Ruminococcus_lactaris	0	0.0	0.37434	1.33863	0.0	0.07912	0.49657	0.0	0.0	0.0	0.0	0.13928	0.0	0.63833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bilophila_wadsworthia	0	0.0	0.36612	0.30728	0.0	0.06003	0.06956	0.0	0.04399	0.31032	0.22075	0.00075	0.0	0.15424	0.32589	0.11469	0.0	0.0	0.11323	0.04957	0.02914	0.04025	0.05635	0.04159	0.0	0.0
s__Ruminococcus_sp_CAG_403	0	0.0	0.34645	0.0	0.0	0.00622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Fusicatenibacter_saccharivorans	0	0.0	0.33679	0.22854	0.05405	0.145	0.30622	0.0	0.33554	0.2687	2.17992	0.24279	0.0	1.14724	0.92235	1.12252	0.41786	0.33886	1.75225	0.08559	0.87018	1.04609	1.04198	0.92263	0.03843	1.45426
s__Ruminococcaceae_bacterium_D5	0	0.0	0.29382	0.0	0.0	0.0	0.0	0.0	0.0	0.01508	0.0	0.0	0.0	0.02691	0.0	0.0	0.0	0.0	0.0	0.03724	0.0	0.01976	0.00328	0.0	0.0	0.0
s__Bacteroides_fragilis	0	0.0	0.26492	0.00075	0.0	0.0	3.23943	0.0	0.17447	1.24498	0.0	1.48047	1.28214	1.57336	0.0	0.0	0.0	0.0	0.0	1.14046	1.22152	0.5075	0.0	1.77871	0.19985	0.0
s__Clostridium_leptum	0	0.0	0.25173	0.0	0.04259	0.01199	0.00361	0.85841	0.0334	0.06069	0.19943	0.00635	0.0	0.03072	0.00908	0.0	0.0	0.6974	0.0	0.0	0.01977	0.00872	0.1886	0.01029	0.0	0.05027
s__Dorea_longicatena	0	0.0	0.24748	1.15587	0.07434	0.13691	0.15382	0.0	0.0	0.0165	0.0	0.0	0.0	0.66263	0.51083	0.0	0.0	0.0	0.0	0.0	0.40101	0.0	0.44086	0.22806	0.0	0.0
s__Streptococcus_parasanguinis	0	0.0	0.2453	0.0187	0.71291	0.0119	0.0	0.0	0.04045	0.0	0.0	0.01856	0.00093	0.01855	0.0	0.0	0.0	0.0	0.0	0.06942	0.0	0.0	0.01138	0.01365	0.25764	0.0
s__Blautia_obeum	0	0.0	0.23217	0.34498	0.0301	0.02732	0.19703	0.39068	0.0208	0.11559	0.0	0.11764	0.0	0.0	0.02219	0.00057	0.0	0.0	0.0	0.0	0.18039	0.14616	0.02333	0.09263	0.0	0.0816
s__Slackia_isoflavoniconvertens	0	0.0	0.2252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_242	0	0.0	0.2217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Holdemanella_biformis	0	0.0	0.21038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01314	0.0	0.0	0.0	0.03883	0.0	0.0	0.0	0.25374
s__Paraprevotella_xylaniphila	0	0.0	0.18714	0.0	0.0	0.22039	0.0	0.0	0.09734	0.0	0.0	0.0	0.0	0.0	0.70362	0.0	0.92212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Gemmiger_formicilis	0	0.0	0.18123	0.0	0.10312	0.07649	0.02769	0.0	0.0	0.0	0.0	0.0	0.0	0.68015	0.06204	0.03754	0.00728	0.0	0.03946	0.00152	0.05584	0.19498	0.2536	0.05348	0.0	0.0
s__Alistipes_finegoldii	0	0.0	0.17589	0.0	0.01217	0.46085	0.16941	0.0	0.0	0.36994	0.0	3.17398	1.96091	1.5911	0.01295	0.08535	0.37624	0.0	0.91649	0.0	13.17743	0.0	0.532	1.71058	0.0	0.0
s__Bifidobacterium_bifidum	0	0.0	0.17408	0.0	0.30859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27206	0.0	0.24775	0.0	0.0	0.0
s__Ruthenibacterium_lactatiformans	0	0.0	0.16456	0.32097	0.06352	0.0	0.12594	0.77743	0.40508	0.13391	1.26401	0.08911	0.09347	0.62626	0.27407	0.1122	0.15046	0.43612	0.37371	1.31004	0.21429	0.38767	0.08927	0.20154	0.04241	2.34449
s__Anaeromassilibacillus_sp_An250	0	0.0	0.10545	0.0	0.16289	0.0	0.0	0.54268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03057	0.0	0.07715	0.0	0.0	0.0
s__Coprococcus_comes	0	0.0	0.09973	0.0	0.22202	0.0526	0.39324	0.0	0.54667	0.0	0.0	0.21488	0.0	0.46261	0.31302	0.26752	0.0	0.0	0.32435	0.0	0.25311	0.0	0.30828	0.10097	0.0	0.0
s__Bacteroides_faecis_CAG_32	0	0.0	0.09591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01002	0.0	0.0	0.0
s__Coprobacter_fastidiosus	0	0.0	0.07798	0.0	0.0	0.00653	0.0	0.0	0.12048	1.39829	0.0	0.0	0.74349	0.0	0.0	0.60971	2.37611	0.0	5.61414	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Anaerostipes_hadrus	0	0.0	0.07205	0.0	0.10407	0.01243	0.02506	0.86401	0.45586	0.23266	0.25413	0.05957	0.0	1.1201	0.13295	0.0	0.39243	0.0	0.70529	0.3761	0.14744	0.0	0.66249	0.27317	0.0	0.0
s__Monoglobus_pectinilyticus	0	0.0	0.06801	0.00386	0.0	0.0	0.0	0.09297	0.18703	0.0	0.25748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00259	0.0	0.10438	0.86371	0.0	0.0	0.0	0.25351
s__Eubacterium_ventriosum	0	0.0	0.05168	0.89048	0.02381	0.0014	0.0	0.0	0.0	0.0	0.0	0.08112	0.0	0.0	0.01303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07217	0.0	0.0	0.0
s__Roseburia_hominis	0	0.0	0.04544	0.19162	0.42305	0.01654	0.10654	0.0	0.99176	0.1961	0.02207	0.03701	2.06802	0.26591	0.0	0.01709	0.0	0.0	0.0	0.0	0.08929	0.49369	0.231	0.0	0.23295	0.77231
s__Coprococcus_catus	0	0.0	0.04429	0.0	0.03548	0.01014	0.0	0.0	0.0	0.0	0.0	0.03223	0.0	0.05265	0.03091	0.0	0.0	0.0	0.0	0.0	0.04264	0.0	0.05761	0.03182	0.0	0.0
s__Clostridium_saccharolyticum	0	0.0	0.03329	0.00257	0.0	0.0	0.0	3.70352	0.0	0.0	0.0	0.0	0.0111	0.0	0.0	0.0	0.13333	0.0	0.0	0.0	0.02918	0.0	0.0	0.0	0.0	0.0
s__Alistipes_timonensis	0	0.0	0.03253	0.0	0.0	0.0	0.00696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03317	0.0	0.0	0.0
s__Bifidobacterium_pseudocatenulatum	0	0.0	0.02725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00069	0.0	0.0	0.0	0.0	0.11731	0.0	0.0	0.08224	0.0	0.0	0.05842	0.0	0.0	0.0	0.0
s__Weissella_confusa	0	0.0	0.02458	0.0	0.23391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_sp_CAG_38	0	0.0	0.02272	0.0	0.0	0.0547	0.0	0.0	0.03929	0.0	0.0	0.16464	0.34683	0.02173	0.3781	0.0	0.0	0.0	0.0	0.03564	0.0	0.0	0.03914	0.18413	0.0	0.03508
s__Proteobacteria_bacterium_CAG_139	0	0.0	0.0172	0.0	0.0	0.07874	0.08401	0.0	0.04899	0.04382	0.0	0.12446	1.46112	0.0	0.17697	0.1792	2.88381	0.0	0.0	0.00044	0.09234	0.0	0.0	0.06661	0.0	0.0
