clade_name	NCBI_tax_id	C16-20002-TZ	C16-20003-TZ	C16-20005-TZ	C16-20070-TZ	C16-20071-TZ	C16-20072-TZ	C16-20073-TZ	C16-20117-TZ	C16-20118-TZ	C16-20119-TZ	C16-20123-TZ	C16-20135-TZ	C16-20152-TZ	C16-20153-TZ	C16-20197-TZ	C16-20198-TZ	C16-20211-TZ	C16-20212-TZ	C16-20215-TZ	C16-20237-TZ	C16-20238-TZ	C16-20246-TZ	C16-20247-TZ	C16-20248-TZ	C16-20340-TZ	C16-20341-TZ	C16-20345-TZ	C16-20346-TZ	C16-20347-TZ	C16-20371-TZ	C16-20372-TZ	C16-20373-TZ	C16-20374-TZ	C16-20415-TZ	C16-20416-TZ	C16-20417-TZ	C16-20437-TZ	C16-20438-TZ	C16-20439-TZ	C16-20440-TZ	C16-20441-TZ	C16-20470-TZ	C16-20471-TZ	C16-20473-TZ	C16-20474-TZ	C16-20475-TZ	C16-20491-TZ	C16-20492-TZ	C16-20493-TZ	C16-20494-TZ	C16-20548-TZ	C16-20549-TZ	C16-20550-TZ	C16-20551-TZ	C16-20554-TZ	C16-20557-TZ	C16-20558-TZ	C16-20625-TZ	C16-20626-TZ	C16-20627-TZ	C16-20645-TZ	C16-20646-TZ	C16-20647-TZ	C16-20648-TZ	C16-20649-TZ	C16-20650-TZ	C16-20651-TZ	C16-20652-TZ
s__Bacteroides_plebeius	0	1.30446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06421	0.0	0.0	0.0	0.0	4.49131	0.0	17.79579	0.0	0.0	5.09272	0.0	3.64196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Haemophilus_sp_HMSC71H05	0	1.23021	0.36788	0.0	1.80121	0.0	0.05606	0.0	0.30879	0.02184	0.10075	0.5511	0.75148	0.0	0.01537	0.0	0.1006	0.0	4.83348	0.08864	0.27641	0.44362	0.10208	0.0	0.80206	0.0	1.34914	0.0	0.05524	0.47665	0.26649	1.11631	0.21554	0.21282	0.0	0.01697	0.31113	0.0	0.00758	0.01371	0.2316	0.19089	0.12114	0.0598	0.0	0.0	0.0403	0.33651	0.0	0.04815	0.05591	0.04714	0.91312	0.18723	0.18629	0.0	0.14458	0.0	0.49115	0.88113	0.0	0.00304	0.0	0.0	0.0	0.19201	0.0295	0.0	0.07164
s__Eubacterium_eligens	0	1.19845	1.84813	1.74135	2.83977	4.42313	0.39962	0.0	1.76112	6.95713	2.47748	1.12165	5.29354	0.88035	5.80889	0.26393	2.0103	3.83709	6.98149	0.21908	1.54123	0.77871	9.85946	1.67711	3.18201	0.0	0.00165	0.41649	0.67518	1.1024	0.40714	1.73015	0.49067	1.31344	0.0	0.61783	0.01884	0.95016	0.87564	0.75239	0.78019	0.09464	0.76327	0.01208	0.0	0.71669	0.59849	0.01777	0.0	0.2984	0.03628	0.26265	0.13141	0.47826	0.69192	0.13074	0.0	0.0311	2.38871	0.16864	1.28953	1.23213	0.74281	1.17639	0.14401	0.15532	2.7412	0.10535	3.00973
s__Bacteroides_coprophilus	0	1.17251	0.0	0.0	0.0	0.0	0.0	0.0	0.02513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86342	0.0	0.94818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_hominis	0	1.12968	0.09391	0.10283	0.0	0.18566	2.24418	0.02534	0.07704	0.0	5.95004	0.9336	0.0	0.02933	1.61313	0.0701	1.20513	0.62659	0.05968	0.00713	0.03694	0.05969	0.0267	0.03381	0.80908	0.00497	0.70565	0.02332	0.00374	0.1952	0.39033	0.99437	1.37398	0.9507	0.0	0.0393	0.0	0.02461	0.02453	0.00939	0.00244	1.15077	0.24992	0.51268	0.03635	0.14109	0.29633	0.0	0.0	0.03676	0.12752	0.15509	0.0038	0.01718	0.0	0.20841	0.0	0.15768	0.06596	0.0	3.37301	0.04768	0.31104	0.3784	0.17341	0.52839	0.0	0.35612	0.51468
s__Oscillibacter_sp_57_20	0	0.86825	0.51922	1.51026	0.57669	2.42126	0.70176	3.35837	0.24489	0.0	0.13508	0.0	0.04945	0.62162	0.8872	0.39184	0.77824	0.27034	0.86629	0.70412	0.51112	0.57997	0.18991	0.15589	0.42168	0.16251	0.15463	0.19752	0.18549	0.47142	0.36188	0.27933	0.92862	0.40762	0.0	0.6028	0.03007	0.62155	1.2754	1.48872	2.14505	1.42599	0.68496	1.20601	0.3929	2.01638	0.0	0.0	0.0	0.17209	0.26297	0.30213	0.96346	1.38759	1.18751	2.79043	0.0	0.85305	0.1146	1.30398	0.78934	1.3892	1.45987	0.92843	0.88056	1.46136	2.79296	0.0	1.83147
s__Methanobrevibacter_smithii	0	0.74074	0.0	0.54494	0.0	2.34501	0.0	0.41003	0.0	0.0	0.0	0.0	0.0	5.65744	0.94144	0.0	3.52978	0.48967	0.1269	1.47537	0.08689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02169	0.62691	0.0	0.0	0.89781	0.0	0.0	0.08937	0.17539	0.02828	0.0975	0.0	0.0	1.84709	0.0	0.0	0.0	0.0	0.0	0.0	0.85272	0.08349	0.06998	0.0	1.07913	0.0	0.06199	0.02347	0.00686	0.0	0.98311	0.05582	0.81655	4.24946	1.29064	4.16583	0.0	0.0
s__Bifidobacterium_adolescentis	0	0.58813	0.0	0.09516	0.01065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04682	1.13089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06915	0.0	0.1629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72842	0.0	0.0	0.0	0.05015	0.0	0.0	0.21471	0.0	0.3021	0.0536	0.0	0.45111	0.0	0.0	0.0	0.0	0.0
s__Haemophilus_parainfluenzae	0	0.51268	0.16028	0.0	0.95728	0.0	0.01506	0.0	0.14213	0.01403	0.03549	0.18247	0.23949	0.04731	0.47128	0.0	0.04345	0.0	2.76477	0.01284	0.07304	0.31053	0.52643	0.00225	0.34616	0.0	1.33729	0.0	0.02022	0.20903	0.18511	0.56768	0.10353	0.11316	0.0	0.0	0.05951	0.0	0.00908	0.01006	0.08874	0.06074	0.09228	0.06188	0.0	0.0	0.16154	0.14984	0.0	0.0712	0.01843	0.01666	0.26406	0.06216	0.09401	0.0	0.04614	0.00555	0.13654	0.5416	0.0	0.00832	0.00345	0.0	0.0	0.04243	0.02483	0.0	0.02751
s__Dialister_sp_CAG_357	0	0.50895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.83438	0.0	0.0	3.91802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
