clade_name	NCBI_tax_id	A01_02_1FE	A02_01_1FE	A03_01_1FE	A04_01_1FE	A04_04_1FE	A05_01_1FE	A06_01_1FE	A07_01_1FE	A08_01_1FE	A09_01_1FE	A09_02_1FE	A10_01_1FE	A10_02_1FE	A11_01_1FE	A13_01_1FE	A13_03_1FE	A14_01_1FE	A15_02_1FE	A19_01_1FE	A19_03_1FE	A20_01_1FE	A20_03_1FE	A22_01_1FE	A23_01_1FE	A24_02_1FE	A24_04_1FE	A25_01_1FE	A27_02_1FE	A28_02_1FE	A29_01_1FE	A32_01_1FE	A34_01_1FE	A34_02_1FE	A35_01_1FE	A36_01_1FE	A36_02_1FE	A39_01_1FE	A39_02_1FE	A39_04_1FE	A40_02_1FE	A41_01_1FE	A42_02_1FE	A43_02_1FE	A44_01_1FE	A45_02_1FE	A46_01_1FE	A46_02_1FE	A47_01_1FE	A47_02_1FE	A48_01_1FE	A48_05_1FE	A49_01_1FE	A53_01_1FE	A54_02_1FE	A55_01_1FE	A55_02_1FE	A56_01_1FE	A58_01_1FE	A58_03_1FE	A59_01_1FE	A62_01_1FE	A62_03_1FE	A66_02_1FE	A67_01_1FE	A68_01_1FE	A69_01_1FE	A69_02_1FE	A70_01_1FE	A70_03_1FE	A72_01_1FE	A72_02_1FE	A73_01_1FE	A73_02_1FE	A75_02_1FE	A79_02_1FE	A81_01_1FE	A81_03_1FE	A82_02_1FE	A83_02_1FE	A85_01_1FE	A88_02_1FE	A89_01_1FE	A89_02_1FE	A90_03_1FE	A90_04_1FE	A91_01_1FE	A91_02_1FE	A92_01_1FE	A93_01_1FE	A94_01_1FE	A94_02_1FE	A94_03_1FE	A95_01_1FE	V01_01_1FE	V06_02_1FE	V07_01_2FE	V07_02_2FE	V12_01_2FE	V18_02_1FE	V19_01_2FE	V19_02_2FE	V30_01_1FE	V31_01_2FE	V32_02_2FE	V36_02_2FE	V40_01_1FE	V48_03_2FE	V50_01_1FE	V50_01_2FE	V50_02_1FE	V53_02_1FE	V54_01_1FE
s__Weissella_cibaria	0	0.05981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2923	0.0	0.0	0.0	0.0	0.0	0.0	0.00422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0416	0.0	0.05633	0.0	0.0	0.0	0.0	0.0	0.0	0.01627	0.0
s__Eggerthella_lenta	0	0.05076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17738	0.0	0.00938	0.0693	0.0	0.0	0.0	0.0	2.59954	0.006	0.20896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02357	0.0	0.0	0.0	0.0
s__Dorea_longicatena	0	0.0465	0.0	4.49748	1.6053	4.85991	1.76133	0.0	0.89808	0.80792	0.5688	0.03305	0.2528	4.61416	1.22128	0.44288	0.62079	1.07701	0.3738	0.11072	0.1704	0.48248	0.50886	2.1379	0.39398	0.39659	0.16465	0.87858	1.95023	0.35143	3.46089	1.14214	2.81308	0.16962	0.21645	0.23286	1.34978	0.66699	0.65847	0.02941	0.63713	0.44378	0.0	0.16244	0.15837	0.57018	0.03165	1.25158	0.42194	0.03534	0.62221	0.14089	0.19154	0.76873	0.61722	0.19299	0.15061	1.70175	0.09347	0.26078	0.1353	0.65186	0.13696	0.27584	1.71398	0.02583	0.04587	0.67808	2.53206	0.02778	1.13168	2.39671	1.1246	0.18248	0.9593	0.11329	3.09939	0.96973	0.09379	0.59021	0.38754	0.05235	5.16738	0.91384	1.76086	0.35756	2.50718	0.53874	0.00587	0.32698	0.64793	5.25067	0.11127	2.42571	0.08615	1.23074	1.41545	0.72789	0.49309	0.08464	2.80015	2.7214	1.97016	0.2782	0.32165	0.52999	2.50975	1.17573	0.49195	0.09202	0.97441	0.03814	2.26197
s__Weissella_confusa	0	0.04187	0.0	0.0	0.11651	0.45415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1618	0.0	0.046	0.0	0.28062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8236	0.03096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02587	0.0	0.0	0.0	0.0	0.06426	0.0	0.0	0.0	0.0	0.0	2.11876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08717	0.0	0.0	0.0	0.0	0.0047	0.0	0.01032	0.02075	0.0	0.0	0.0	0.0	0.0	0.00869	0.0	0.0	0.0	0.01011	0.0	0.0	0.0	0.15004	0.0	1.06155	1.05378	0.11019	0.00406	0.0	0.00878	0.0	0.36936	0.0
s__Bacteroides_caccae	0	0.04023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01723	0.0	0.0	0.0	0.37422	0.0	0.0	0.0	0.07249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97497	0.0	0.0	0.0	0.0	0.0	0.03849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02403	0.0526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56984	0.0	0.23925	0.01056	0.0	0.0	0.1956	0.00489	0.0	0.0	0.02454	0.08281	0.0	0.18226	0.0	0.0	0.0	0.0	0.01265	0.0	0.0	0.0	0.0	0.99394	0.0	0.0	0.0	0.0	0.0194	0.04853	0.0	0.0	0.0	0.06102	0.00533	0.0	0.43678	0.0	0.0	0.00284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09485	0.03555
s__Dorea_formicigenerans	0	0.03576	0.0	0.7875	1.39304	1.12167	0.63857	0.0	0.15359	1.58634	0.19571	0.00479	0.12799	0.54511	0.01206	0.20473	0.21684	0.64824	0.55461	0.0	0.19513	0.35654	0.42387	2.27391	0.47618	0.19179	0.16673	1.25122	2.48766	0.37629	1.11243	1.31734	1.78836	0.56168	0.68371	0.48099	0.82988	0.10416	2.8793	0.03395	0.48341	0.40128	0.03589	0.101	0.03854	1.64333	0.06104	4.10679	1.15095	0.14048	1.47125	0.07719	0.46629	1.39408	0.37461	0.13377	0.11856	1.94268	0.68038	0.0	0.13474	0.17305	0.07019	0.08932	0.3021	0.00135	0.1364	0.40143	0.77677	0.27681	1.25119	0.58863	2.00838	0.12386	0.75145	1.06232	0.6177	0.78868	0.34483	0.3038	0.16382	0.00773	2.82044	0.88561	2.03781	1.49936	5.03503	2.3674	0.03102	0.262	0.10896	0.4556	0.31121	0.05353	0.05162	3.60268	0.50238	0.47457	0.37104	0.02287	1.27608	0.52062	0.95158	0.16706	0.0	0.34149	0.44247	0.02417	0.20545	0.00161	0.76917	0.44561	0.46783
s__Intestinibacter_bartlettii	0	0.03372	0.74425	0.04873	0.24203	0.01297	0.60876	0.0	0.08679	0.0	0.01642	0.12492	0.39379	0.0	0.00068	4.12066	0.00206	0.03229	0.0	0.52305	0.0	0.10744	0.01245	0.11361	4.17163	0.1667	0.0	0.0	0.1654	0.26996	0.01163	0.0509	0.04717	0.36152	0.0	0.0566	0.06701	0.84699	0.0	0.04589	0.0	0.00985	1.4402	0.1635	2.36634	0.02234	0.21746	0.07386	0.0	0.09534	0.0	0.0	0.0	0.0	0.02617	0.02767	0.72567	0.00526	0.0	0.00307	0.0	0.07114	0.19284	0.09071	0.06293	0.29536	0.09728	0.02235	0.01702	0.15682	0.12797	0.2154	0.02175	0.0	0.02413	0.94472	0.0	0.0	0.78682	0.15926	0.00314	0.03475	0.05297	0.00043	0.16884	0.00134	0.00247	0.0	1.62137	2.74914	0.0	0.0	0.01019	0.46313	0.37357	0.00963	0.08726	0.0	0.0252	2.71266	0.08599	0.0	0.07065	0.13715	0.0	0.03632	0.29895	0.80398	1.43549	0.0	0.0033	0.09489	0.3268
s__Collinsella_intestinalis	0	0.03321	0.0	0.02897	0.01156	0.00297	0.0	0.0	0.02336	0.03576	0.00669	0.03168	0.0	0.0	0.0579	0.11993	0.03315	0.01045	0.0	0.0	0.02729	0.0	0.0	0.0	0.04406	0.0	0.0	0.0	0.0085	0.08024	0.09935	0.00202	0.0	0.06984	0.0	0.0133	0.0	0.02448	0.00439	0.00863	0.0	0.0	0.03293	0.0	0.09562	0.0	0.0	0.01046	0.0	0.00345	0.0	0.0	0.00789	0.00266	0.014	0.0	0.11142	0.00363	0.0	0.04008	0.0316	0.00322	0.02316	0.03402	0.0	0.01316	0.00821	0.00803	0.00787	0.00711	0.0	0.00221	0.00905	0.01125	0.01375	0.0588	0.00816	0.0	0.02683	0.05398	0.0176	0.03198	0.00762	0.0	0.00498	0.02948	0.02192	0.0	0.08993	0.12578	0.00192	0.00224	0.0	0.0143	0.01344	0.0	0.0	0.0	0.0	0.0277	0.00768	0.01013	0.03035	0.00393	0.0	0.0	0.01335	0.02829	0.01489	0.0	0.00672	0.04342	0.01534
s__Streptococcus_lutetiensis	0	0.03289	0.0	0.0	1.4529	0.00421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00486	0.0	1.03067	0.0	0.0	0.2153	0.0	0.0	0.0	0.0	0.0	22.41585	0.0	0.0	0.51029	0.0	0.0	0.7182	0.0	0.70053	0.0	12.63629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00631	0.02065	3.94929	0.0	0.0	0.0	0.0	0.01684	0.0	0.0	0.00677	0.00777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.37394	0.0	0.99993	0.0	0.01324	0.03105	0.0	1.09796	0.0034	0.79649	0.39117	0.01889	10.24679	0.0	0.0	0.0	0.0	0.00388	10.78326
s__Alistipes_shahii	0	0.03213	0.0	0.0	0.0	0.0006	0.0	0.0	0.02147	0.02927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00189	0.24102	0.0	0.00647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1571	0.00349	0.01211	0.0	0.0	0.0	0.0	0.0	0.0	0.03197	0.0	0.01506	0.01241	0.02076	0.0	0.24772	0.0	0.0	0.0	0.04234	0.0	0.05988	0.01498	0.0	0.0	0.0	0.00666	0.29669	0.0	0.00357	0.00564	0.0	0.0	0.0	0.0	0.02886	0.03962	0.16371	0.00071	0.0	0.16478	0.0	1.86831	0.00017	0.0	0.01304	0.00488	0.0	0.00376	0.0	0.0	0.0	0.0	0.0	0.0	0.0966	0.0	0.0
